Deaths_Race_American_Indian_Alaskan_Native,Deaths_Race_Asian,Deaths_Race_Black,Deaths_Race_Native_Hawaiian_Other_Pacific_Islander,Deaths_Race_Other,Deaths_Race_Unknown,Deaths_Race_White,Parish,Scrape Time
0,1,18,0,0,0,13,St. Mary,2020-06-08 20:29:53.344045
0,1,27,0,0,0,138,St. Tammany,2020-06-08 20:29:53.344045
0,0,16,0,0,0,23,Tangipahoa,2020-06-08 20:29:53.344045
2,0,23,0,0,0,30,Terrebonne,2020-06-08 20:29:53.344045
0,0,21,0,0,2,19,Washington,2020-06-08 20:29:53.344045
0,0,20,0,0,0,11,West Baton Rouge,2020-06-08 20:29:53.344045
0,0,8,0,0,0,21,Acadia,2020-06-09 20:32:00.726972
0,0,32,0,0,3,23,Ascension,2020-06-09 20:32:00.726972
0,0,15,0,0,0,11,Bossier,2020-06-09 20:32:00.726972
0,0,142,1,0,2,61,Caddo,2020-06-09 20:32:00.726972
