# Cases Race/Ethnicity: Black,# Cases Race/Ethnicity: Hispanic,# Cases Race/Ethnicity: Multiple Races,# Cases Race/Ethnicity: Other Race,# Cases Race/Ethnicity: Unknown,# Cases Race/Ethnicity: White,# Deaths Race/Ethnicity: Black,# Deaths Race/Ethnicity: Hispanic,# Deaths Race/Ethnicity: Multiple Races,# Deaths Race/Ethnicity: Other Race,# Deaths Race/Ethnicity: Unknown,# Deaths Race/Ethnicity: White,# Hospitalized Race/Ethnicity: Black,# Hospitalized Race/Ethnicity: Hispanic,# Hospitalized Race/Ethnicity: Multiple Races,# Hospitalized Race/Ethnicity: Other Race,# Hospitalized Race/Ethnicity: Unknown,# Hospitalized Race/Ethnicity: White,CasesAge_0_9,CasesAge_100_plus,CasesAge_10_19,CasesAge_20_29,CasesAge_30_39,CasesAge_40_49,CasesAge_50_59,CasesAge_60_69,CasesAge_70_79,CasesAge_80_89,CasesAge_90_99,CasesFemale,CasesMale,CasesOther,DeathAge_0_9,DeathAge_100_plus,DeathAge_10_19,DeathAge_20_29,DeathAge_30_39,DeathAge_40_49,DeathAge_50_59,DeathAge_60_69,DeathAge_70_79,DeathAge_80_89,DeathAge_90_99,DeathFemale,DeathMale,DeathOther,HospAge_0_9,HospAge_100_plus,HospAge_10_19,HospAge_20_29,HospAge_30_39,HospAge_40_49,HospAge_50_59,HospAge_60_69,HospAge_70_79,HospAge_80_89,HospAge_90_99,HospFemale,HospMale,HospOther,Scrape_Time
1896,7274,521,595,3939,5655,53,93,0,14,184,678,224,670,87,66,458,877,604,55,1235,3346,3230,2967,2988,2105,1372,1224,749,10963,8826,49,0,22,<5,<5,7,16,47,106,245,326,250,538,484,0,24,6,34,129,184,274,381,468,450,309,119,1127,1245,8,2020-08-22 19:24:26.160003
1896,7274,521,595,3939,5655,53,93,0,14,184,678,224,670,87,66,458,877,604,55,1235,3346,3230,2967,2988,2105,1372,1224,749,10963,8826,49,0,22,<5,<5,7,16,47,106,245,326,250,538,484,0,24,6,34,129,184,274,381,468,450,309,119,1127,1245,8,2020-08-23 20:20:51.585085
1896,7274,521,595,3939,5655,53,93,0,14,184,678,224,670,87,66,458,877,604,55,1235,3346,3230,2967,2988,2105,1372,1224,749,10963,8826,49,0,22,<5,<5,7,16,47,106,245,326,250,538,484,0,24,6,34,129,184,274,381,468,450,309,119,1127,1245,8,2020-08-24 19:26:54.894212
1896,7274,521,595,3939,5655,53,93,0,14,184,678,224,670,87,66,458,877,604,55,1235,3346,3230,2967,2988,2105,1372,1224,749,10963,8826,49,0,22,<5,<5,7,16,47,106,245,326,250,538,484,0,24,6,34,129,184,274,381,468,450,309,119,1127,1245,8,2020-08-25 20:24:04.768713
1938,7574,nan,623,4013,5887,53,96,nan,14,186,685,226,707,nan,69,469,906,638,55,1332,3501,3336,3069,3075,2158,1411,1242,758,11356,9119,52,0,22,<5,<5,7,16,49,107,246,331,251,548,486,0,29,6,36,138,192,289,392,478,463,316,122,1171,1281,10,2020-08-26 20:25:58.498899
1938,7574,nan,623,4013,5887,53,96,nan,14,186,685,226,707,nan,69,469,906,638,55,1332,3501,3336,3069,3075,2158,1411,1242,758,11356,9119,52,0,22,<5,<5,7,16,49,107,246,331,251,548,486,0,29,6,36,138,192,289,392,478,463,316,122,1171,1281,10,2020-08-27 20:16:01.354181
1938,7574,nan,623,4013,5887,53,96,nan,14,186,685,226,707,nan,69,469,906,638,55,1332,3501,3336,3069,3075,2158,1411,1242,758,11356,9119,52,0,22,<5,<5,7,16,49,107,246,331,251,548,486,0,29,6,36,138,192,289,392,478,463,316,122,1171,1281,10,2020-08-28 20:06:09.572175
1938,7574,nan,623,4013,5887,53,96,nan,14,186,685,226,707,nan,69,469,906,638,55,1332,3501,3336,3069,3075,2158,1411,1242,758,11356,9119,52,0,22,<5,<5,7,16,49,107,246,331,251,548,486,0,29,6,36,138,192,289,392,478,463,316,122,1171,1281,10,2020-08-29 20:09:17.846688
1938,7574,nan,623,4013,5887,53,96,nan,14,186,685,226,707,nan,69,469,906,638,55,1332,3501,3336,3069,3075,2158,1411,1242,758,11356,9119,52,0,22,<5,<5,7,16,49,107,246,331,251,548,486,0,29,6,36,138,192,289,392,478,463,316,122,1171,1281,10,2020-08-30 20:00:55.020461
1938,7574,nan,623,4013,5887,53,96,nan,14,186,685,226,707,nan,69,469,906,638,55,1332,3501,3336,3069,3075,2158,1411,1242,758,11356,9119,52,0,22,<5,<5,7,16,49,107,246,331,251,548,486,0,29,6,36,138,192,289,392,478,463,316,122,1171,1281,10,2020-08-31 21:32:02.795696
1938,7574,nan,623,4013,5887,53,96,nan,14,186,685,226,707,nan,69,469,906,638,55,1332,3501,3336,3069,3075,2158,1411,1242,758,11356,9119,52,0,22,<5,<5,7,16,49,107,246,331,251,548,486,0,29,6,36,138,192,289,392,478,463,316,122,1171,1281,10,2020-09-01 20:24:51.010741
1938,7574,nan,623,4013,5887,53,96,nan,14,186,685,226,707,nan,69,469,906,638,55,1332,3501,3336,3069,3075,2158,1411,1242,758,11356,9119,52,0,22,<5,<5,7,16,49,107,246,331,251,548,486,0,29,6,36,138,192,289,392,478,463,316,122,1171,1281,10,2020-09-02 20:16:52.611670
