,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
186,2020-09-12T00:00:00.000,New River,60-69,77,10,2
187,2020-09-12T00:00:00.000,New River,70-79,64,15,5
188,2020-09-12T00:00:00.000,New River,80+,41,8,3
189,2020-09-12T00:00:00.000,New River,Missing,8,0,0
190,2020-09-12T00:00:00.000,Norfolk,0-9,164,4,0
191,2020-09-12T00:00:00.000,Norfolk,10-19,312,4,0
192,2020-09-12T00:00:00.000,Norfolk,20-29,1501,16,0
193,2020-09-12T00:00:00.000,Norfolk,30-39,821,37,1
194,2020-09-12T00:00:00.000,Norfolk,40-49,541,35,2
195,2020-09-12T00:00:00.000,Norfolk,50-59,524,58,6
196,2020-09-12T00:00:00.000,Norfolk,60-69,428,80,15
197,2020-09-12T00:00:00.000,Norfolk,70-79,188,64,17
198,2020-09-12T00:00:00.000,Norfolk,80+,109,34,20
199,2020-09-12T00:00:00.000,Norfolk,Missing,42,1,0
200,2020-09-12T00:00:00.000,Peninsula,0-9,147,1,0
201,2020-09-12T00:00:00.000,Peninsula,10-19,266,1,0
202,2020-09-12T00:00:00.000,Peninsula,20-29,1041,1,0
203,2020-09-12T00:00:00.000,Peninsula,30-39,754,17,3
204,2020-09-12T00:00:00.000,Peninsula,40-49,589,17,1
205,2020-09-12T00:00:00.000,Peninsula,50-59,534,25,3
206,2020-09-12T00:00:00.000,Peninsula,60-69,351,36,6
207,2020-09-12T00:00:00.000,Peninsula,70-79,222,50,16
208,2020-09-12T00:00:00.000,Peninsula,80+,125,35,30
209,2020-09-12T00:00:00.000,Peninsula,Missing,49,0,0
210,2020-09-12T00:00:00.000,Piedmont,0-9,44,0,0
211,2020-09-12T00:00:00.000,Piedmont,10-19,89,1,0
212,2020-09-12T00:00:00.000,Piedmont,20-29,338,3,0
213,2020-09-12T00:00:00.000,Piedmont,30-39,348,6,0
214,2020-09-12T00:00:00.000,Piedmont,40-49,325,13,0
215,2020-09-12T00:00:00.000,Piedmont,50-59,289,27,4
216,2020-09-12T00:00:00.000,Piedmont,60-69,220,26,6
217,2020-09-12T00:00:00.000,Piedmont,70-79,110,29,9
218,2020-09-12T00:00:00.000,Piedmont,80+,73,24,21
219,2020-09-12T00:00:00.000,Piedmont,Missing,2,0,0
220,2020-09-12T00:00:00.000,Pittsylvania-Danville,0-9,64,0,0
221,2020-09-12T00:00:00.000,Pittsylvania-Danville,10-19,120,0,0
222,2020-09-12T00:00:00.000,Pittsylvania-Danville,20-29,230,1,0
223,2020-09-12T00:00:00.000,Pittsylvania-Danville,30-39,242,4,0
224,2020-09-12T00:00:00.000,Pittsylvania-Danville,40-49,261,13,2
225,2020-09-12T00:00:00.000,Pittsylvania-Danville,50-59,301,26,2
226,2020-09-12T00:00:00.000,Pittsylvania-Danville,60-69,219,29,4
227,2020-09-12T00:00:00.000,Pittsylvania-Danville,70-79,90,23,2
228,2020-09-12T00:00:00.000,Pittsylvania-Danville,80+,102,22,13
229,2020-09-12T00:00:00.000,Pittsylvania-Danville,Missing,1,0,0
230,2020-09-12T00:00:00.000,Portsmouth,0-9,78,4,0
231,2020-09-12T00:00:00.000,Portsmouth,10-19,194,4,0
232,2020-09-12T00:00:00.000,Portsmouth,20-29,507,21,0
233,2020-09-12T00:00:00.000,Portsmouth,30-39,405,25,1
234,2020-09-12T00:00:00.000,Portsmouth,40-49,351,28,2
235,2020-09-12T00:00:00.000,Portsmouth,50-59,336,47,4
236,2020-09-12T00:00:00.000,Portsmouth,60-69,282,52,14
237,2020-09-12T00:00:00.000,Portsmouth,70-79,131,49,14
238,2020-09-12T00:00:00.000,Portsmouth,80+,66,24,10
239,2020-09-12T00:00:00.000,Portsmouth,Missing,23,1,0
240,2020-09-12T00:00:00.000,Prince William,0-9,636,12,0
241,2020-09-12T00:00:00.000,Prince William,10-19,1318,10,0
242,2020-09-12T00:00:00.000,Prince William,20-29,2687,64,0
243,2020-09-12T00:00:00.000,Prince William,30-39,2580,114,2
244,2020-09-12T00:00:00.000,Prince William,40-49,2764,192,8
245,2020-09-12T00:00:00.000,Prince William,50-59,2041,236,21
246,2020-09-12T00:00:00.000,Prince William,60-69,1111,204,52
247,2020-09-12T00:00:00.000,Prince William,70-79,433,130,57
248,2020-09-12T00:00:00.000,Prince William,80+,288,98,83
249,2020-09-12T00:00:00.000,Prince William,Missing,196,3,0
250,2020-09-12T00:00:00.000,Rappahannock,0-9,208,2,0
251,2020-09-12T00:00:00.000,Rappahannock,10-19,523,6,0
252,2020-09-12T00:00:00.000,Rappahannock,20-29,983,19,0
253,2020-09-12T00:00:00.000,Rappahannock,30-39,848,29,0
254,2020-09-12T00:00:00.000,Rappahannock,40-49,792,52,3
255,2020-09-12T00:00:00.000,Rappahannock,50-59,710,66,5
256,2020-09-12T00:00:00.000,Rappahannock,60-69,376,67,11
257,2020-09-12T00:00:00.000,Rappahannock,70-79,197,55,19
258,2020-09-12T00:00:00.000,Rappahannock,80+,206,76,27
259,2020-09-12T00:00:00.000,Rappahannock,Missing,33,1,0
260,2020-09-12T00:00:00.000,Rappahannock Rapidan,0-9,118,1,0
261,2020-09-12T00:00:00.000,Rappahannock Rapidan,10-19,230,4,0
262,2020-09-12T00:00:00.000,Rappahannock Rapidan,20-29,444,6,0
