,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
151,2020-10-26T00:00:00.000,Fairfax,23695,2274,621
152,2020-10-26T00:00:00.000,Hampton,2102,88,32
153,2020-10-26T00:00:00.000,Henrico,6249,479,232
154,2020-10-26T00:00:00.000,Lenowisco,1483,107,25
155,2020-10-26T00:00:00.000,Lord Fairfax,3886,321,130
156,2020-10-26T00:00:00.000,Loudoun,7784,475,130
157,2020-10-26T00:00:00.000,Mount Rogers,3682,311,147
158,2020-10-26T00:00:00.000,New River,4328,76,27
159,2020-10-26T00:00:00.000,Norfolk,5331,407,85
160,2020-10-26T00:00:00.000,Peninsula,5064,220,92
161,2020-10-26T00:00:00.000,Piedmont,2445,152,56
162,2020-10-26T00:00:00.000,Pittsylvania-Danville,2448,186,59
163,2020-10-26T00:00:00.000,Portsmouth,2819,306,69
164,2020-10-26T00:00:00.000,Prince William,16689,1177,258
165,2020-10-26T00:00:00.000,Rappahannock,6017,429,88
166,2020-10-26T00:00:00.000,Rappahannock Rapidan,3059,193,55
167,2020-10-26T00:00:00.000,Richmond,5285,449,76
168,2020-10-26T00:00:00.000,Roanoke,2695,96,37
169,2020-10-26T00:00:00.000,Southside,1800,90,48
170,2020-10-26T00:00:00.000,Thomas Jefferson,4390,230,77
171,2020-10-26T00:00:00.000,Three Rivers,2232,136,39
172,2020-10-26T00:00:00.000,Virginia Beach,7833,431,104
173,2020-10-26T00:00:00.000,Western Tidewater,4551,233,154
174,2020-10-26T00:00:00.000,West Piedmont,2911,290,87
175,2020-10-25T00:00:00.000,Alexandria,4216,324,74
176,2020-10-25T00:00:00.000,Alleghany,2566,114,36
177,2020-10-25T00:00:00.000,Arlington,4537,533,154
178,2020-10-25T00:00:00.000,Central Shenandoah,6677,294,82
179,2020-10-25T00:00:00.000,Central Virginia,4668,177,60
180,2020-10-25T00:00:00.000,Chesapeake,4859,477,78
181,2020-10-25T00:00:00.000,Chesterfield,7589,455,133
182,2020-10-25T00:00:00.000,Chickahominy,2312,189,57
183,2020-10-25T00:00:00.000,Crater,4943,300,115
184,2020-10-25T00:00:00.000,Cumberland Plateau,1341,83,13
185,2020-10-25T00:00:00.000,Eastern Shore,1526,145,50
186,2020-10-25T00:00:00.000,Fairfax,23584,2272,621
187,2020-10-25T00:00:00.000,Hampton,2100,88,32
188,2020-10-25T00:00:00.000,Henrico,6229,479,232
189,2020-10-25T00:00:00.000,Lenowisco,1435,104,24
190,2020-10-25T00:00:00.000,Lord Fairfax,3851,320,130
191,2020-10-25T00:00:00.000,Loudoun,7736,475,130
192,2020-10-25T00:00:00.000,Mount Rogers,3644,307,147
193,2020-10-25T00:00:00.000,New River,4290,76,27
194,2020-10-25T00:00:00.000,Norfolk,5330,407,85
195,2020-10-25T00:00:00.000,Peninsula,5057,220,92
196,2020-10-25T00:00:00.000,Piedmont,2443,152,56
197,2020-10-25T00:00:00.000,Pittsylvania-Danville,2440,185,59
198,2020-10-25T00:00:00.000,Portsmouth,2810,306,69
199,2020-10-25T00:00:00.000,Prince William,16658,1174,258
200,2020-10-25T00:00:00.000,Rappahannock,5999,429,88
201,2020-10-25T00:00:00.000,Rappahannock Rapidan,3011,193,55
202,2020-10-25T00:00:00.000,Richmond,5261,449,76
