,report_date,case_status,number_of_cases,number_of_hospitalizations,number_of_deaths
310,2020-06-18T00:00:00.000,Confirmed,53769,5713,1482
311,2020-06-18T00:00:00.000,Probable,2469,31,104
312,2020-06-17T00:00:00.000,Confirmed,53318,5661,1478
313,2020-06-17T00:00:00.000,Probable,2457,31,105
314,2020-06-16T00:00:00.000,Confirmed,52917,5614,1465
315,2020-06-16T00:00:00.000,Probable,2414,29,105
316,2020-06-15T00:00:00.000,Confirmed,52460,5557,1444
317,2020-06-15T00:00:00.000,Probable,2426,31,108
318,2020-06-14T00:00:00.000,Confirmed,52103,5506,1438
319,2020-06-14T00:00:00.000,Probable,2403,30,108
320,2020-06-13T00:00:00.000,Confirmed,51499,5482,1435
321,2020-06-13T00:00:00.000,Probable,2370,29,106
322,2020-06-12T00:00:00.000,Confirmed,50853,5417,1426
323,2020-06-12T00:00:00.000,Probable,2358,28,108
324,2020-06-11T00:00:00.000,Confirmed,50275,5331,1413
325,2020-06-11T00:00:00.000,Probable,2372,29,107
326,2020-06-10T00:00:00.000,Confirmed,49785,5240,1408
327,2020-06-10T00:00:00.000,Probable,2392,32,106
328,2020-06-09T00:00:00.000,Confirmed,49362,5172,1391
329,2020-06-09T00:00:00.000,Probable,2376,31,105
330,2020-06-08T00:00:00.000,Confirmed,48879,5112,1373
331,2020-06-08T00:00:00.000,Probable,2372,31,104
332,2020-06-07T00:00:00.000,Confirmed,48349,5075,1369
333,2020-06-07T00:00:00.000,Probable,2332,31,103
334,2020-06-06T00:00:00.000,Confirmed,47123,5024,1357
335,2020-06-06T00:00:00.000,Probable,2274,30,103
336,2020-06-05T00:00:00.000,Confirmed,46281,4978,1350
337,2020-06-05T00:00:00.000,Probable,2251,30,103
338,2020-06-04T00:00:00.000,Confirmed,45620,4925,1338
339,2020-06-04T00:00:00.000,Probable,2236,32,107
340,2020-06-03T00:00:00.000,Confirmed,44715,4852,1322
341,2020-06-03T00:00:00.000,Probable,2190,32,106
342,2020-06-02T00:00:00.000,Confirmed,44069,4738,1300
343,2020-06-02T00:00:00.000,Probable,2170,32,107
344,2020-06-01T00:00:00.000,Confirmed,43247,4660,1282
345,2020-06-01T00:00:00.000,Probable,2151,34,110
346,2020-05-31T00:00:00.000,Confirmed,42499,4611,1274
347,2020-05-31T00:00:00.000,Probable,2108,32,101
348,2020-05-30T00:00:00.000,Confirmed,41529,4570,1269
349,2020-05-30T00:00:00.000,Probable,2082,31,101
350,2020-05-29T00:00:00.000,Confirmed,40477,4497,1258
351,2020-05-29T00:00:00.000,Probable,2056,32,100
352,2020-05-28T00:00:00.000,Confirmed,39393,4410,1236
353,2020-05-28T00:00:00.000,Probable,2008,32,102
354,2020-05-27T00:00:00.000,Confirmed,38276,4351,1202
355,2020-05-27T00:00:00.000,Probable,1973,34,79
356,2020-05-26T00:00:00.000,Confirmed,37440,4294,1175
357,2020-05-26T00:00:00.000,Probable,1902,31,61
358,2020-05-25T00:00:00.000,Confirmed,35890,4239,1158
359,2020-05-25T00:00:00.000,Probable,1837,30,50
360,2020-05-24T00:00:00.000,Confirmed,34451,4185,1135
361,2020-05-24T00:00:00.000,Probable,1793,29,36
362,2020-05-23T00:00:00.000,Confirmed,33962,4153,1123
363,2020-05-23T00:00:00.000,Probable,1787,28,36
364,2020-05-22T00:00:00.000,Confirmed,33208,4117,1100
365,2020-05-22T00:00:00.000,Probable,1742,28,36
366,2020-05-21T00:00:00.000,Confirmed,32428,4066,1064
367,2020-05-21T00:00:00.000,Probable,1709,27,35
368,2020-05-20T00:00:00.000,Confirmed,31247,3951,1040
369,2020-05-20T00:00:00.000,Probable,1661,28,34
370,2020-05-19T00:00:00.000,Confirmed,30539,3876,1007
371,2020-05-19T00:00:00.000,Probable,1606,28,34
372,2020-05-18T00:00:00.000,Confirmed,29591,3796,980
373,2020-05-18T00:00:00.000,Probable,1549,26,34
374,2020-05-17T00:00:00.000,Confirmed,28901,3749,975
375,2020-05-17T00:00:00.000,Probable,1487,26,34
376,2020-05-16T00:00:00.000,Confirmed,28233,3697,968
377,2020-05-16T00:00:00.000,Probable,1450,27,34
378,2020-05-15T00:00:00.000,Confirmed,27293,3630,944
379,2020-05-15T00:00:00.000,Probable,1379,27,33
380,2020-05-14T00:00:00.000,Confirmed,26469,3568,927
381,2020-05-14T00:00:00.000,Probable,1344,24,28
382,2020-05-13T00:00:00.000,Confirmed,25431,3498,899
383,2020-05-13T00:00:00.000,Probable,1315,22,28
384,2020-05-12T00:00:00.000,Confirmed,24601,3373,864
385,2020-05-12T00:00:00.000,Probable,1199,22,27
386,2020-05-11T00:00:00.000,Confirmed,23889,3278,823
387,2020-05-11T00:00:00.000,Probable,1181,22,27
388,2020-05-10T00:00:00.000,Confirmed,22962,3190,813
389,2020-05-10T00:00:00.000,Probable,1119,21,26
390,2020-05-09T00:00:00.000,Confirmed,22086,3143,801
391,2020-05-09T00:00:00.000,Probable,1110,21,26
392,2020-05-08T00:00:00.000,Confirmed,21274,3039,787
393,2020-05-08T00:00:00.000,Probable,1068,20,25
394,2020-05-07T00:00:00.000,Confirmed,20537,2934,745
395,2020-05-07T00:00:00.000,Probable,1033,21,24
396,2020-05-05T00:00:00.000,Confirmed,19357,2754,690
397,2020-05-05T00:00:00.000,Probable,899,19,23
398,2020-05-04T00:00:00.000,Confirmed,18640,2681,662
399,2020-05-04T00:00:00.000,Probable,852,19,22
400,2020-05-03T00:00:00.000,Confirmed,17873,2613,644
401,2020-05-03T00:00:00.000,Probable,798,14,16
402,2020-05-02T00:00:00.000,Confirmed,16979,2510,607
403,2020-05-02T00:00:00.000,Probable,752,9,9
404,2020-05-01T00:00:00.000,Confirmed,16109,2407,572
405,2020-05-01T00:00:00.000,Probable,792,9,9
406,2020-04-30T00:00:00.000,Confirmed,15180,2313,543
407,2020-04-30T00:00:00.000,Probable,666,9,9
408,2020-04-29T00:00:00.000,Confirmed,14328,2252,513
409,2020-04-29T00:00:00.000,Probable,633,7,9
410,2020-04-28T00:00:00.000,Confirmed,13794,2158,487
411,2020-04-28T00:00:00.000,Probable,545,7,5
412,2020-04-27T00:00:00.000,Confirmed,13036,2059,454
413,2020-04-27T00:00:00.000,Probable,499,7,4
414,2020-04-26T00:00:00.000,Confirmed,12488,2007,444
415,2020-04-26T00:00:00.000,Probable,482,7,4
416,2020-04-25T00:00:00.000,Confirmed,11902,1935,432
417,2020-04-25T00:00:00.000,Probable,464,7,4
418,2020-04-24T00:00:00.000,Confirmed,11169,1829,407
419,2020-04-24T00:00:00.000,Probable,425,8,3
420,2020-04-23T00:00:00.000,Confirmed,10627,1743,370
421,2020-04-23T00:00:00.000,Probable,371,10,2
422,2020-04-22T00:00:00.000,Confirmed,9952,1656,347
423,2020-04-22T00:00:00.000,Probable,314,3,2
424,2020-04-21T00:00:00.000,Confirmed,9451,1578,321
425,2020-04-21T00:00:00.000,Probable,179,3,3
