,report_date,health_district,sex,number_of_cases,number_of_hospitalizations,number_of_deaths
193,2020-10-21T00:00:00.000,Southside,Male,888,47,23
194,2020-10-21T00:00:00.000,Southside,Not Reported,10,0,0
195,2020-10-21T00:00:00.000,Thomas Jefferson,Female,2226,109,41
196,2020-10-21T00:00:00.000,Thomas Jefferson,Male,2000,107,35
197,2020-10-21T00:00:00.000,Thomas Jefferson,Not Reported,3,0,0
198,2020-10-21T00:00:00.000,Three Rivers,Female,974,65,17
199,2020-10-21T00:00:00.000,Three Rivers,Male,1166,70,19
200,2020-10-21T00:00:00.000,Three Rivers,Not Reported,26,0,0
201,2020-10-21T00:00:00.000,Virginia Beach,Female,4142,220,53
202,2020-10-21T00:00:00.000,Virginia Beach,Male,3465,204,50
203,2020-10-21T00:00:00.000,Virginia Beach,Not Reported,15,0,0
204,2020-10-21T00:00:00.000,Western Tidewater,Female,2124,108,66
205,2020-10-21T00:00:00.000,Western Tidewater,Male,2355,119,80
206,2020-10-21T00:00:00.000,Western Tidewater,Not Reported,5,0,2
207,2020-10-21T00:00:00.000,West Piedmont,Female,1540,150,44
208,2020-10-21T00:00:00.000,West Piedmont,Male,1182,134,41
209,2020-10-21T00:00:00.000,West Piedmont,Not Reported,14,0,0
210,2020-10-20T00:00:00.000,Alexandria,Female,2139,143,38
211,2020-10-20T00:00:00.000,Alexandria,Male,1981,181,37
212,2020-10-20T00:00:00.000,Alexandria,Not Reported,13,0,0
213,2020-10-20T00:00:00.000,Alleghany,Female,1263,50,21
214,2020-10-20T00:00:00.000,Alleghany,Male,1025,53,11
215,2020-10-20T00:00:00.000,Alleghany,Not Reported,9,0,0
216,2020-10-20T00:00:00.000,Arlington,Female,2180,233,70
217,2020-10-20T00:00:00.000,Arlington,Male,2216,287,82
218,2020-10-20T00:00:00.000,Arlington,Not Reported,3,0,0
219,2020-10-20T00:00:00.000,Central Shenandoah,Female,3452,150,37
220,2020-10-20T00:00:00.000,Central Shenandoah,Male,3018,141,40
221,2020-10-20T00:00:00.000,Central Shenandoah,Not Reported,19,0,0
222,2020-10-20T00:00:00.000,Central Virginia,Female,2337,76,25
223,2020-10-20T00:00:00.000,Central Virginia,Male,2001,90,31
224,2020-10-20T00:00:00.000,Central Virginia,Not Reported,44,0,0
225,2020-10-20T00:00:00.000,Chesapeake,Female,2594,239,35
226,2020-10-20T00:00:00.000,Chesapeake,Male,2164,225,44
227,2020-10-20T00:00:00.000,Chesapeake,Not Reported,5,0,0
228,2020-10-20T00:00:00.000,Chesterfield,Female,3709,215,57
229,2020-10-20T00:00:00.000,Chesterfield,Male,3455,227,73
230,2020-10-20T00:00:00.000,Chesterfield,Not Reported,143,0,1
231,2020-10-20T00:00:00.000,Chickahominy,Female,1117,88,28
232,2020-10-20T00:00:00.000,Chickahominy,Male,1073,90,28
233,2020-10-20T00:00:00.000,Chickahominy,Not Reported,31,1,0
234,2020-10-20T00:00:00.000,Crater,Female,1982,157,59
235,2020-10-20T00:00:00.000,Crater,Male,2818,134,52
236,2020-10-20T00:00:00.000,Crater,Not Reported,49,3,0
237,2020-10-20T00:00:00.000,Cumberland Plateau,Female,649,40,7
238,2020-10-20T00:00:00.000,Cumberland Plateau,Male,536,37,6
239,2020-10-20T00:00:00.000,Cumberland Plateau,Not Reported,10,0,0
240,2020-10-20T00:00:00.000,Eastern Shore,Female,762,73,26
241,2020-10-20T00:00:00.000,Eastern Shore,Male,745,71,24
242,2020-10-20T00:00:00.000,Eastern Shore,Not Reported,9,0,0
243,2020-10-20T00:00:00.000,Fairfax,Female,11741,953,291
244,2020-10-20T00:00:00.000,Fairfax,Male,11097,1285,320
245,2020-10-20T00:00:00.000,Fairfax,Not Reported,161,1,6
246,2020-10-20T00:00:00.000,Hampton,Female,1129,32,14
247,2020-10-20T00:00:00.000,Hampton,Male,922,54,18
248,2020-10-20T00:00:00.000,Hampton,Not Reported,7,0,0
249,2020-10-20T00:00:00.000,Henrico,Female,3173,239,121
250,2020-10-20T00:00:00.000,Henrico,Male,2795,234,106
251,2020-10-20T00:00:00.000,Henrico,Not Reported,38,0,0
252,2020-10-20T00:00:00.000,Lenowisco,Female,670,44,5
253,2020-10-20T00:00:00.000,Lenowisco,Male,596,53,18
254,2020-10-20T00:00:00.000,Lenowisco,Not Reported,2,0,0
255,2020-10-20T00:00:00.000,Lord Fairfax,Female,1952,148,59
256,2020-10-20T00:00:00.000,Lord Fairfax,Male,1740,161,66
257,2020-10-20T00:00:00.000,Lord Fairfax,Not Reported,16,0,0
258,2020-10-20T00:00:00.000,Loudoun,Female,3824,215,80
259,2020-10-20T00:00:00.000,Loudoun,Male,3713,255,50
260,2020-10-20T00:00:00.000,Loudoun,Not Reported,62,0,0
261,2020-10-20T00:00:00.000,Mount Rogers,Female,1944,134,70
262,2020-10-20T00:00:00.000,Mount Rogers,Male,1471,162,71
263,2020-10-20T00:00:00.000,Mount Rogers,Not Reported,12,0,1
264,2020-10-20T00:00:00.000,New River,Female,1997,28,14
265,2020-10-20T00:00:00.000,New River,Male,2007,45,14
266,2020-10-20T00:00:00.000,New River,Not Reported,35,0,0
267,2020-10-20T00:00:00.000,Norfolk,Female,2699,202,38
268,2020-10-20T00:00:00.000,Norfolk,Male,2507,196,46
269,2020-10-20T00:00:00.000,Norfolk,Not Reported,3,0,0
270,2020-10-20T00:00:00.000,Peninsula,Female,2534,103,50
271,2020-10-20T00:00:00.000,Peninsula,Male,2364,111,41
272,2020-10-20T00:00:00.000,Peninsula,Not Reported,19,0,0
273,2020-10-20T00:00:00.000,Piedmont,Female,893,61,16
274,2020-10-20T00:00:00.000,Piedmont,Male,1484,87,38
275,2020-10-20T00:00:00.000,Piedmont,Not Reported,5,0,0
276,2020-10-20T00:00:00.000,Pittsylvania-Danville,Female,1308,107,35
277,2020-10-20T00:00:00.000,Pittsylvania-Danville,Male,1043,68,21
278,2020-10-20T00:00:00.000,Pittsylvania-Danville,Not Reported,6,0,0
279,2020-10-20T00:00:00.000,Portsmouth,Female,1432,168,35
280,2020-10-20T00:00:00.000,Portsmouth,Male,1295,126,30
281,2020-10-20T00:00:00.000,Portsmouth,Not Reported,3,0,0
282,2020-10-20T00:00:00.000,Prince William,Female,8287,510,107
283,2020-10-20T00:00:00.000,Prince William,Male,7905,654,149
284,2020-10-20T00:00:00.000,Prince William,Not Reported,127,2,0
285,2020-10-20T00:00:00.000,Rappahannock,Female,3124,196,32
286,2020-10-20T00:00:00.000,Rappahannock,Male,2718,228,48
287,2020-10-20T00:00:00.000,Rappahannock,Not Reported,20,0,0
288,2020-10-20T00:00:00.000,Rappahannock Rapidan,Female,1463,76,27
289,2020-10-20T00:00:00.000,Rappahannock Rapidan,Male,1436,109,27
290,2020-10-20T00:00:00.000,Rappahannock Rapidan,Not Reported,37,0,0
291,2020-10-20T00:00:00.000,Richmond,Female,2578,224,25
292,2020-10-20T00:00:00.000,Richmond,Male,2507,220,37
293,2020-10-20T00:00:00.000,Richmond,Not Reported,49,1,2
294,2020-10-20T00:00:00.000,Roanoke,Female,1357,53,20
295,2020-10-20T00:00:00.000,Roanoke,Male,1070,37,15
296,2020-10-20T00:00:00.000,Roanoke,Not Reported,18,0,0
297,2020-10-20T00:00:00.000,Southside,Female,827,43,23
298,2020-10-20T00:00:00.000,Southside,Male,885,47,23
299,2020-10-20T00:00:00.000,Southside,Not Reported,9,0,0
300,2020-10-20T00:00:00.000,Thomas Jefferson,Female,2203,109,41
301,2020-10-20T00:00:00.000,Thomas Jefferson,Male,1984,107,35
302,2020-10-20T00:00:00.000,Thomas Jefferson,Not Reported,3,0,0
303,2020-10-20T00:00:00.000,Three Rivers,Female,961,65,17
304,2020-10-20T00:00:00.000,Three Rivers,Male,1156,69,19
305,2020-10-20T00:00:00.000,Three Rivers,Not Reported,25,0,0
306,2020-10-20T00:00:00.000,Virginia Beach,Female,4123,219,52
307,2020-10-20T00:00:00.000,Virginia Beach,Male,3455,203,50
308,2020-10-20T00:00:00.000,Virginia Beach,Not Reported,15,0,0
309,2020-10-20T00:00:00.000,Western Tidewater,Female,2114,107,66
310,2020-10-20T00:00:00.000,Western Tidewater,Male,2349,119,78
311,2020-10-20T00:00:00.000,Western Tidewater,Not Reported,5,0,2
312,2020-10-20T00:00:00.000,West Piedmont,Female,1514,148,44
313,2020-10-20T00:00:00.000,West Piedmont,Male,1166,133,40
314,2020-10-20T00:00:00.000,West Piedmont,Not Reported,14,0,0
315,2020-10-19T00:00:00.000,Alexandria,Female,2132,143,38
316,2020-10-19T00:00:00.000,Alexandria,Male,1978,180,37
317,2020-10-19T00:00:00.000,Alexandria,Not Reported,13,0,0
318,2020-10-19T00:00:00.000,Alleghany,Female,1218,48,20
319,2020-10-19T00:00:00.000,Alleghany,Male,1001,52,10
320,2020-10-19T00:00:00.000,Alleghany,Not Reported,9,0,0
321,2020-10-19T00:00:00.000,Arlington,Female,2171,232,70
322,2020-10-19T00:00:00.000,Arlington,Male,2210,287,82
323,2020-10-19T00:00:00.000,Arlington,Not Reported,3,0,0
324,2020-10-19T00:00:00.000,Central Shenandoah,Female,3445,150,37
325,2020-10-19T00:00:00.000,Central Shenandoah,Male,3008,141,40
326,2020-10-19T00:00:00.000,Central Shenandoah,Not Reported,19,0,0
327,2020-10-19T00:00:00.000,Central Virginia,Female,2306,76,23
328,2020-10-19T00:00:00.000,Central Virginia,Male,1985,87,31
329,2020-10-19T00:00:00.000,Central Virginia,Not Reported,42,0,0
330,2020-10-19T00:00:00.000,Chesapeake,Female,2586,237,35
331,2020-10-19T00:00:00.000,Chesapeake,Male,2157,223,44
332,2020-10-19T00:00:00.000,Chesapeake,Not Reported,5,0,0
333,2020-10-19T00:00:00.000,Chesterfield,Female,3685,215,57
334,2020-10-19T00:00:00.000,Chesterfield,Male,3431,224,72
335,2020-10-19T00:00:00.000,Chesterfield,Not Reported,145,0,1
336,2020-10-19T00:00:00.000,Chickahominy,Female,1108,88,28
337,2020-10-19T00:00:00.000,Chickahominy,Male,1065,88,28
338,2020-10-19T00:00:00.000,Chickahominy,Not Reported,35,1,0
339,2020-10-19T00:00:00.000,Crater,Female,1964,155,59
340,2020-10-19T00:00:00.000,Crater,Male,2826,134,52
341,2020-10-19T00:00:00.000,Crater,Not Reported,49,3,0
342,2020-10-19T00:00:00.000,Cumberland Plateau,Female,642,39,7
343,2020-10-19T00:00:00.000,Cumberland Plateau,Male,533,37,6
344,2020-10-19T00:00:00.000,Cumberland Plateau,Not Reported,9,0,0
345,2020-10-19T00:00:00.000,Eastern Shore,Female,761,73,26
346,2020-10-19T00:00:00.000,Eastern Shore,Male,744,70,24
347,2020-10-19T00:00:00.000,Eastern Shore,Not Reported,9,0,0
348,2020-10-19T00:00:00.000,Fairfax,Female,11689,952,291
349,2020-10-19T00:00:00.000,Fairfax,Male,11065,1286,320
350,2020-10-19T00:00:00.000,Fairfax,Not Reported,162,1,6
351,2020-10-19T00:00:00.000,Hampton,Female,1119,32,13
352,2020-10-19T00:00:00.000,Hampton,Male,913,54,18
353,2020-10-19T00:00:00.000,Hampton,Not Reported,7,0,0
354,2020-10-19T00:00:00.000,Henrico,Female,3151,239,119
355,2020-10-19T00:00:00.000,Henrico,Male,2780,233,105
356,2020-10-19T00:00:00.000,Henrico,Not Reported,39,0,0
357,2020-10-19T00:00:00.000,Lenowisco,Female,658,43,5
358,2020-10-19T00:00:00.000,Lenowisco,Male,582,53,18
359,2020-10-19T00:00:00.000,Lenowisco,Not Reported,2,0,0
360,2020-10-19T00:00:00.000,Lord Fairfax,Female,1937,148,56
361,2020-10-19T00:00:00.000,Lord Fairfax,Male,1720,159,65
362,2020-10-19T00:00:00.000,Lord Fairfax,Not Reported,17,0,0
363,2020-10-19T00:00:00.000,Loudoun,Female,3816,213,80
364,2020-10-19T00:00:00.000,Loudoun,Male,3695,255,49
365,2020-10-19T00:00:00.000,Loudoun,Not Reported,65,0,0
366,2020-10-19T00:00:00.000,Mount Rogers,Female,1927,133,67
367,2020-10-19T00:00:00.000,Mount Rogers,Male,1463,162,71
368,2020-10-19T00:00:00.000,Mount Rogers,Not Reported,12,0,1
369,2020-10-19T00:00:00.000,New River,Female,1987,28,14
370,2020-10-19T00:00:00.000,New River,Male,1984,44,14
371,2020-10-19T00:00:00.000,New River,Not Reported,35,0,0
372,2020-10-19T00:00:00.000,Norfolk,Female,2685,200,38
373,2020-10-19T00:00:00.000,Norfolk,Male,2491,196,46
374,2020-10-19T00:00:00.000,Norfolk,Not Reported,3,0,0
375,2020-10-19T00:00:00.000,Peninsula,Female,2521,103,50
376,2020-10-19T00:00:00.000,Peninsula,Male,2348,110,39
377,2020-10-19T00:00:00.000,Peninsula,Not Reported,19,0,0
378,2020-10-19T00:00:00.000,Piedmont,Female,881,60,16
379,2020-10-19T00:00:00.000,Piedmont,Male,1474,87,37
380,2020-10-19T00:00:00.000,Piedmont,Not Reported,5,0,0
381,2020-10-19T00:00:00.000,Pittsylvania-Danville,Female,1303,107,35
382,2020-10-19T00:00:00.000,Pittsylvania-Danville,Male,1037,68,20
383,2020-10-19T00:00:00.000,Pittsylvania-Danville,Not Reported,6,0,0
384,2020-10-19T00:00:00.000,Portsmouth,Female,1428,168,35
385,2020-10-19T00:00:00.000,Portsmouth,Male,1293,126,30
386,2020-10-19T00:00:00.000,Portsmouth,Not Reported,3,0,0
387,2020-10-19T00:00:00.000,Prince William,Female,8252,506,106
388,2020-10-19T00:00:00.000,Prince William,Male,7878,649,146
389,2020-10-19T00:00:00.000,Prince William,Not Reported,127,2,0
390,2020-10-19T00:00:00.000,Rappahannock,Female,3103,193,32
391,2020-10-19T00:00:00.000,Rappahannock,Male,2704,228,48
392,2020-10-19T00:00:00.000,Rappahannock,Not Reported,22,0,0
393,2020-10-19T00:00:00.000,Rappahannock Rapidan,Female,1456,76,27
394,2020-10-19T00:00:00.000,Rappahannock Rapidan,Male,1422,108,27
395,2020-10-19T00:00:00.000,Rappahannock Rapidan,Not Reported,37,0,0
396,2020-10-19T00:00:00.000,Richmond,Female,2571,223,25
397,2020-10-19T00:00:00.000,Richmond,Male,2489,217,37
398,2020-10-19T00:00:00.000,Richmond,Not Reported,49,1,2
399,2020-10-19T00:00:00.000,Roanoke,Female,1325,51,20
400,2020-10-19T00:00:00.000,Roanoke,Male,1042,38,15
401,2020-10-19T00:00:00.000,Roanoke,Not Reported,18,0,0
402,2020-10-19T00:00:00.000,Southside,Female,824,43,23
