,age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
190,0-17,2444,2020-05-10,3.6,0.0,0.0,22.5
191,18-49,33805,2020-05-10,49.8,163.0,6.1,43.5
192,50-64,17002,2020-05-10,25.0,412.0,15.3,18.4
193,65+,14597,2020-05-10,21.5,2115.0,78.6,15.6
194,Unknown,91,2020-05-10,0.1,1.0,0.0,0.0
195,0-17,2549,2020-05-11,3.7,0.0,0.0,22.5
196,18-49,34573,2020-05-11,49.8,167.0,6.1,43.5
197,50-64,17322,2020-05-11,25.0,418.0,15.2,18.4
198,65+,14845,2020-05-11,21.4,2166.0,78.7,15.6
199,Unknown,93,2020-05-11,0.1,1.0,0.0,0.0
200,0-17,2672,2020-05-12,3.8,0.0,0.0,22.5
201,18-49,35567,2020-05-12,50.0,169.0,5.9,43.5
202,50-64,17701,2020-05-12,24.9,440.0,15.5,18.4
203,65+,15098,2020-05-12,21.2,2236.0,78.6,15.6
204,Unknown,103,2020-05-12,0.1,1.0,0.0,0.0
205,0-17,2799,2020-05-13,3.8,0.0,0.0,22.5
206,18-49,36602,2020-05-13,50.0,176.0,6.0,43.5
207,50-64,18154,2020-05-13,24.8,445.0,15.2,18.4
208,65+,15498,2020-05-13,21.2,2304.0,78.7,15.6
209,Unknown,111,2020-05-13,0.2,1.0,0.0,0.0
210,0-17,2951,2020-05-14,3.9,0.0,0.0,22.5
211,18-49,37637,2020-05-14,50.2,183.0,6.0,43.5
212,50-64,18510,2020-05-14,24.7,459.0,15.2,18.4
213,65+,15725,2020-05-14,21.0,2386.0,78.8,15.6
214,Unknown,113,2020-05-14,0.2,1.0,0.0,0.0
215,0-17,3064,2020-05-15,4.0,0.0,0.0,22.5
216,18-49,38611,2020-05-15,50.3,185.0,5.9,43.5
217,50-64,18908,2020-05-15,24.6,468.0,15.0,18.4
218,65+,16101,2020-05-15,21.0,2465.0,79.0,15.6
219,Unknown,109,2020-05-15,0.1,1.0,0.0,0.0
220,0-17,3225,2020-05-16,4.1,0.0,0.0,22.5
221,18-49,39651,2020-05-16,50.3,187.0,5.9,43.5
222,50-64,19365,2020-05-16,24.6,475.0,14.9,18.4
223,65+,16489,2020-05-16,20.9,2516.0,79.1,15.6
224,Unknown,109,2020-05-16,0.1,1.0,0.0,0.0
225,0-17,3355,2020-05-17,4.2,0.0,0.0,22.5
226,18-49,40539,2020-05-17,50.4,189.0,5.9,43.5
227,0-17,11064,2020-06-16,7.0,0.0,0.0,22.5
228,18-49,85325,2020-06-16,54.3,312.0,6.2,43.5
229,50-64,34922,2020-06-16,22.2,812.0,16.0,18.4
230,65+,25503,2020-06-16,16.2,3939.0,77.8,15.6
231,Missing,201,2020-06-16,0.1,1.0,0.0,0.0
232,0-17,10451,2020-06-14,6.9,0.0,0.0,22.5
233,18-49,81943,2020-06-14,54.1,307.0,6.2,43.5
234,50-64,33871,2020-06-14,22.4,798.0,16.0,18.4
235,65+,24981,2020-06-14,16.5,3874.0,77.8,15.6
236,Missing,206,2020-06-14,0.1,1.0,0.0,0.0
237,0-17,9819,2020-06-12,6.7,0.0,0.0,22.5
238,18-49,78441,2020-06-12,53.9,296.0,6.1,43.5
239,50-64,32783,2020-06-12,22.5,778.0,15.9,18.4
240,65+,24403,2020-06-12,16.8,3804.0,78.0,15.6
241,Missing,197,2020-06-12,0.1,1.0,0.0,0.0
242,0-17,7947,2020-06-06,6.2,0.0,0.0,22.5
243,18-49,68412,2020-06-06,53.1,269.0,6.0,43.5
244,50-64,29556,2020-06-06,22.9,709.0,15.8,18.4
245,65+,22704,2020-06-06,17.6,3523.0,78.3,15.6
246,Missing,193,2020-06-06,0.1,0.0,0.0,0.0
247,0-17,7678,2020-06-05,6.1,0.0,0.0,22.5
248,18-49,66755,2020-06-05,53.0,261.0,5.9,43.5
249,50-64,29033,2020-06-05,23.0,696.0,15.7,18.4
250,65+,22365,2020-06-05,17.7,3478.0,78.4,15.6
251,Missing,185,2020-06-05,0.1,0.0,0.0,0.0
252,50-64,19703,2020-05-17,24.5,481.0,15.0,18.4
253,65+,16727,2020-05-17,20.8,2546.0,79.2,15.2
254,Unknown,106,2020-05-17,0.1,0.0,0.0,0.0
255,0-17,3446,2020-05-18,4.2,0.0,0.0,22.5
256,18-49,41321,2020-05-18,50.5,190.0,5.8,43.5
257,50-64,20003,2020-05-18,24.5,483.0,14.9,18.4
258,65+,16920,2020-05-18,20.7,2577.0,79.3,15.6
259,Unknown,105,2020-05-18,0.1,0.0,0.0,0.0
260,0-17,3657,2020-05-19,4.4,0.0,0.0,22.5
261,18-49,42591,2020-05-19,50.7,195.0,5.8,43.5
262,50-64,20468,2020-05-19,24.4,509.0,15.1,18.4
263,65+,17232,2020-05-19,20.5,2670.0,79.1,15.6
