County Name,Scrape Time,Total Cases,Total Deaths
Dent,2020-05-25 20:50:59.330466,1,0
Miller,2020-05-25 20:50:59.330466,4,0
Reynolds,2020-05-25 20:50:59.330466,2,0
Saline,2020-05-25 20:50:59.330466,267,0
Christian,2020-05-25 20:50:59.330466,20,0
Montgomery,2020-05-25 20:50:59.330466,8,0
Worth,2020-05-25 20:50:59.330466,4,0
Pettis,2020-05-25 20:50:59.330466,69,1
Clark,2020-05-25 20:50:59.330466,1,0
Marion,2020-05-25 20:50:59.330466,5,0
Cooper,2020-05-25 20:50:59.330466,9,0
Phelps,2020-05-25 20:50:59.330466,4,0
Greene,2020-05-25 20:50:59.330466,119,8
Monroe,2020-05-25 20:50:59.330466,0,0
Daviess,2020-05-25 20:50:59.330466,4,0
Barton,2020-05-25 20:50:59.330466,0,0
Ripley,2020-05-25 20:50:59.330466,7,0
Gentry,2020-05-25 20:50:59.330466,17,0
Benton,2020-05-25 20:50:59.330466,10,0
Wright,2020-05-25 20:50:59.330466,11,0
Lincoln,2020-05-25 20:50:59.330466,80,1
Howell,2020-05-25 20:50:59.330466,5,0
Schuyler,2020-05-25 20:50:59.330466,2,0
Maries,2020-05-25 20:50:59.330466,2,0
Laclede,2020-05-25 20:50:59.330466,3,0
DeKalb,2020-05-25 20:50:59.330466,5,0
Vernon,2020-05-25 20:50:59.330466,7,0
Buchanan,2020-05-25 20:50:59.330466,628,2
Clay,2020-05-25 20:50:59.330466,148,2
Stone,2020-05-25 20:50:59.330466,4,0
Bollinger,2020-05-25 20:50:59.330466,6,0
Jefferson,2020-05-25 20:50:59.330466,323,16
Knox,2020-05-25 20:50:59.330466,0,0
Lafayette,2020-05-25 20:50:59.330466,70,1
Nodaway,2020-05-25 20:50:59.330466,12,0
Gasconade,2020-05-25 20:50:59.330466,2,0
Kansas City,2020-05-25 20:50:59.330466,1050,25
Livingston,2020-05-25 20:50:59.330466,3,0
Perry,2020-05-25 20:50:59.330466,49,0
Franklin,2020-05-25 20:50:59.330466,140,16
New Madrid,2020-05-25 20:50:59.330466,17,1
Iron,2020-05-25 20:50:59.330466,2,0
Howard,2020-05-25 20:50:59.330466,3,0
Randolph,2020-05-25 20:50:59.330466,9,0
Lewis,2020-05-25 20:50:59.330466,7,1
Texas,2020-05-25 20:50:59.330466,0,0
Douglas,2020-05-25 20:50:59.330466,0,0
Moniteau,2020-05-25 20:50:59.330466,45,1
Callaway,2020-05-25 20:50:59.330466,26,1
Atchison,2020-05-25 20:50:59.330466,3,0
St Charles,2020-05-25 20:50:59.330466,743,54
Ste Genevieve,2020-05-25 20:50:59.330466,8,1
Jasper,2020-05-25 20:50:59.330466,20,0
Joplin,2020-05-25 20:50:59.330466,12,0
Cedar,2020-05-25 20:50:59.330466,9,0
Andrew,2020-05-25 20:50:59.330466,24,0
Carroll,2020-05-25 20:50:59.330466,7,0
Henry,2020-05-25 20:50:59.330466,10,3
Madison,2020-05-25 20:50:59.330466,3,0
Boone,2020-05-25 20:50:59.330466,122,1
Ray,2020-05-25 20:50:59.330466,16,0
Sullivan,2020-05-25 20:50:59.330466,53,0
Taney,2020-05-25 20:50:59.330466,13,2
St Louis City,2020-05-25 20:50:59.330466,1739,107
Newton,2020-05-25 20:50:59.330466,16,1
Webster,2020-05-25 20:50:59.330466,17,0
Lawrence,2020-05-25 20:50:59.330466,7,0
Dunklin,2020-05-25 20:50:59.330466,30,2
Macon,2020-05-25 20:50:59.330466,2,0
Polk,2020-05-25 20:50:59.330466,2,0
Camden,2020-05-25 20:50:59.330466,38,1
Chariton,2020-05-25 20:50:59.330466,5,0
St Francois,2020-05-25 20:50:59.330466,31,2
Morgan,2020-05-25 20:50:59.330466,9,0
