County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Wayne,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Webster,MO,,1.0,0.0,1.0,2020-03-30 12:59:16.746871
Worth,MO,,0.0,0.0,0.0,2020-03-30 12:59:16.746871
Wright,MO,,4.0,1.0,3.0,2020-03-30 12:59:16.746871
TBD,MO,,12.0,2.0,10.0,2020-03-30 12:59:16.746871
County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Boone,MO,1.0,59.0,4.0,55.0,2020-03-30 20:37:30.944032
Camden,MO,1.0,11.0,2.0,9.0,2020-03-30 20:37:30.944032
Greene,MO,3.0,38.0,17.0,21.0,2020-03-30 20:37:30.944032
Henry,MO,1.0,1.0,1.0,0.0,2020-03-30 20:37:30.944032
Jackson,MO,1.0,56.0,4.0,52.0,2020-03-30 20:37:30.944032
Lafayette,MO,1.0,17.0,0.0,17.0,2020-03-30 20:37:30.944032
St. Charles County,MO,2.0,,,,2020-03-30 20:37:30.944032
St. Louis City,MO,1.0,91.0,11.0,80.0,2020-03-30 20:37:30.944032
St. Louis County,MO,2.0,366.0,29.0,337.0,2020-03-30 20:37:30.944032
Adair,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Andrew,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Atchison,MO,,1.0,1.0,0.0,2020-03-30 20:37:30.944032
Audrain,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Barry,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Barton,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Bates,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Benton,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Bollinger,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Buchanan,MO,,3.0,0.0,3.0,2020-03-30 20:37:30.944032
Butler,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Caldwell,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Callaway,MO,,13.0,1.0,12.0,2020-03-30 20:37:30.944032
Cape Girardeau,MO,,13.0,0.0,13.0,2020-03-30 20:37:30.944032
Carroll,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Carter,MO,,2.0,1.0,1.0,2020-03-30 20:37:30.944032
Cass,MO,,9.0,4.0,5.0,2020-03-30 20:37:30.944032
Cedar,MO,,5.0,0.0,5.0,2020-03-30 20:37:30.944032
Chariton,MO,,3.0,0.0,3.0,2020-03-30 20:37:30.944032
Christian,MO,,12.0,4.0,8.0,2020-03-30 20:37:30.944032
Clark,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Clay,MO,,13.0,0.0,13.0,2020-03-30 20:37:30.944032
Clinton,MO,,4.0,0.0,4.0,2020-03-30 20:37:30.944032
Cole,MO,,25.0,3.0,22.0,2020-03-30 20:37:30.944032
Cooper,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Crawford,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Dade,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Dallas,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Daviess,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
DeKalb,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Dent,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Douglas,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Dunklin,MO,,6.0,0.0,6.0,2020-03-30 20:37:30.944032
Franklin,MO,,7.0,0.0,7.0,2020-03-30 20:37:30.944032
Gasconade,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Gentry,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Grundy,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Harrison,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Hickory,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Holt,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Howard,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Howell,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Iron,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Jasper,MO,,3.0,1.0,2.0,2020-03-30 20:37:30.944032
Jefferson,MO,,18.0,3.0,15.0,2020-03-30 20:37:30.944032
Johnson,MO,,9.0,1.0,8.0,2020-03-30 20:37:30.944032
Joplin,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Kansas City,MO,,100.0,2.0,98.0,2020-03-30 20:37:30.944032
Knox,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Laclede,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Lawrence,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Lewis,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Lincoln,MO,,5.0,1.0,4.0,2020-03-30 20:37:30.944032
Linn,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Livingston,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Macon,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Madison,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Maries,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Marion,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
McDonald,MO,,2.0,0.0,2.0,2020-03-30 20:37:30.944032
Mercer,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Miller,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Mississippi,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
