County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Schuyler,MO,,0,0,0,59:16.7
Scotland,MO,,0,0,0,59:16.7
Scott,MO,,5,1,4,59:16.7
Shannon,MO,,0,0,0,59:16.7
Shelby,MO,,1,1,0,59:16.7
St. Charles,MO,,56,11,45,59:16.7
St. Clair,MO,,0,0,0,59:16.7
St. Francois,MO,,3,1,2,59:16.7
Ste. Genevieve,MO,,0,0,0,59:16.7
Stoddard,MO,,2,0,2,59:16.7
Stone,MO,,1,1,0,59:16.7
Sullivan,MO,,0,0,0,59:16.7
Taney,MO,,2,0,2,59:16.7
Texas,MO,,1,0,1,59:16.7
Vernon,MO,,0,0,0,59:16.7
Warren,MO,,2,0,2,59:16.7
Washington,MO,,0,0,0,59:16.7
Wayne,MO,,0,0,0,59:16.7
Webster,MO,,1,0,1,59:16.7
Worth,MO,,0,0,0,59:16.7
Wright,MO,,4,1,3,59:16.7
TBD,MO,,12,2,10,59:16.7
County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Boone,MO,1,59,4,55,37:30.9
Camden,MO,1,11,2,9,37:30.9
Greene,MO,3,38,17,21,37:30.9
Henry,MO,1,1,1,0,37:30.9
Jackson,MO,1,56,4,52,37:30.9
Lafayette,MO,1,17,0,17,37:30.9
St. Charles County,MO,2,,,,37:30.9
St. Louis City,MO,1,91,11,80,37:30.9
St. Louis County,MO,2,366,29,337,37:30.9
Adair,MO,,1,0,1,37:30.9
Andrew,MO,,0,0,0,37:30.9
Atchison,MO,,1,1,0,37:30.9
Audrain,MO,,0,0,0,37:30.9
Barry,MO,,1,0,1,37:30.9
Barton,MO,,0,0,0,37:30.9
Bates,MO,,1,0,1,37:30.9
Benton,MO,,1,0,1,37:30.9
Bollinger,MO,,1,0,1,37:30.9
Buchanan,MO,,3,0,3,37:30.9
Butler,MO,,0,0,0,37:30.9
Caldwell,MO,,0,0,0,37:30.9
Callaway,MO,,13,1,12,37:30.9
Cape Girardeau,MO,,13,0,13,37:30.9
Carroll,MO,,0,0,0,37:30.9
Carter,MO,,2,1,1,37:30.9
Cass,MO,,9,4,5,37:30.9
Cedar,MO,,5,0,5,37:30.9
Chariton,MO,,3,0,3,37:30.9
Christian,MO,,12,4,8,37:30.9
Clark,MO,,0,0,0,37:30.9
Clay,MO,,13,0,13,37:30.9
Clinton,MO,,4,0,4,37:30.9
Cole,MO,,25,3,22,37:30.9
Cooper,MO,,1,0,1,37:30.9
Crawford,MO,,1,0,1,37:30.9
Dade,MO,,0,0,0,37:30.9
Dallas,MO,,0,0,0,37:30.9
Daviess,MO,,0,0,0,37:30.9
DeKalb,MO,,0,0,0,37:30.9
Dent,MO,,0,0,0,37:30.9
Douglas,MO,,0,0,0,37:30.9
Dunklin,MO,,6,0,6,37:30.9
Franklin,MO,,7,0,7,37:30.9
Gasconade,MO,,0,0,0,37:30.9
Gentry,MO,,0,0,0,37:30.9
Grundy,MO,,0,0,0,37:30.9
Harrison,MO,,0,0,0,37:30.9
Hickory,MO,,0,0,0,37:30.9
Holt,MO,,0,0,0,37:30.9
Howard,MO,,0,0,0,37:30.9
Howell,MO,,0,0,0,37:30.9
Iron,MO,,0,0,0,37:30.9
Jasper,MO,,3,1,2,37:30.9
Jefferson,MO,,18,3,15,37:30.9
Johnson,MO,,9,1,8,37:30.9
Joplin,MO,,1,0,1,37:30.9
Kansas City,MO,,100,2,98,37:30.9
Knox,MO,,0,0,0,37:30.9
Laclede,MO,,0,0,0,37:30.9
Lawrence,MO,,0,0,0,37:30.9
Lewis,MO,,0,0,0,37:30.9
Lincoln,MO,,5,1,4,37:30.9
Linn,MO,,0,0,0,37:30.9
Livingston,MO,,1,0,1,37:30.9
Macon,MO,,1,0,1,37:30.9
Madison,MO,,0,0,0,37:30.9
Maries,MO,,1,0,1,37:30.9
Marion,MO,,0,0,0,37:30.9
McDonald,MO,,2,0,2,37:30.9
Mercer,MO,,0,0,0,37:30.9
Miller,MO,,0,0,0,37:30.9
Mississippi,MO,,0,0,0,37:30.9
Moniteau,MO,,2,0,2,37:30.9
Monroe,MO,,0,0,0,37:30.9
Montgomery,MO,,2,0,2,37:30.9
Morgan,MO,,1,0,1,37:30.9
New Madrid,MO,,0,0,0,37:30.9
Newton,MO,,4,3,1,37:30.9
Nodaway,MO,,0,0,0,37:30.9
Oregon,MO,,0,0,0,37:30.9
Osage,MO,,1,0,1,37:30.9
Ozark,MO,,0,0,0,37:30.9
Pemiscot,MO,,2,0,2,37:30.9
Perry,MO,,12,9,3,37:30.9
Pettis,MO,,1,0,1,37:30.9
Phelps,MO,,0,0,0,37:30.9
Pike,MO,,1,1,0,37:30.9
Platte,MO,,7,0,7,37:30.9
Polk,MO,,0,0,0,37:30.9
Pulaski,MO,,6,1,5,37:30.9
Putnam,MO,,0,0,0,37:30.9
Ralls,MO,,1,1,0,37:30.9
Randolph,MO,,1,0,1,37:30.9
Ray,MO,,1,0,1,37:30.9
Reynolds,MO,,2,1,1,37:30.9
Ripley,MO,,2,0,2,37:30.9
Saline,MO,,0,0,0,37:30.9
Schuyler,MO,,0,0,0,37:30.9
Scotland,MO,,0,0,0,37:30.9
Scott,MO,,5,1,4,37:30.9
Shannon,MO,,0,0,0,37:30.9
Shelby,MO,,1,1,0,37:30.9
St. Charles,MO,,56,11,45,37:30.9
St. Clair,MO,,0,0,0,37:30.9
St. Francois,MO,,3,1,2,37:30.9
Ste. Genevieve,MO,,0,0,0,37:30.9
Stoddard,MO,,2,0,2,37:30.9
Stone,MO,,1,1,0,37:30.9
Sullivan,MO,,0,0,0,37:30.9
Taney,MO,,2,0,2,37:30.9
Texas,MO,,1,0,1,37:30.9
Vernon,MO,,0,0,0,37:30.9
Warren,MO,,2,0,2,37:30.9
Washington,MO,,0,0,0,37:30.9
Wayne,MO,,0,0,0,37:30.9
Webster,MO,,1,0,1,37:30.9
Worth,MO,,0,0,0,37:30.9
Wright,MO,,4,1,3,37:30.9
TBD,MO,,12,2,10,37:30.9
County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Boone,MO,1,64,3,61,10:56.6
Camden,MO,1,12,2,10,10:56.6
Greene,MO,3,48,17,31,10:56.6
Henry,MO,1,1,1,0,10:56.6
Jackson,MO,1,77,5,72,10:56.6
Lafayette,MO,1,19,0,19,10:56.6
St. Charles County,MO,2,,,,10:56.6
St. Louis City,MO,1,136,11,125,10:56.6
St. Louis County,MO,3,492,29,463,10:56.6
Adair,MO,,2,0,2,10:56.6
Andrew,MO,,0,0,0,10:56.6
Atchison,MO,,1,1,0,10:56.6
Audrain,MO,,0,0,0,10:56.6
Barry,MO,,1,0,1,10:56.6
Barton,MO,,0,0,0,10:56.6
Bates,MO,,1,0,1,10:56.6
Benton,MO,,2,0,2,10:56.6
Bollinger,MO,,1,0,1,10:56.6
Buchanan,MO,,5,0,5,10:56.6
Butler,MO,,0,0,0,10:56.6
Caldwell,MO,,0,0,0,10:56.6
Callaway,MO,,14,1,13,10:56.6
Cape Girardeau,MO,,15,0,15,10:56.6
Carroll,MO,,0,0,0,10:56.6
Carter,MO,,4,1,3,10:56.6
Cass,MO,,14,3,11,10:56.6
Cedar,MO,,3,0,3,10:56.6
Chariton,MO,,4,0,4,10:56.6
Christian,MO,,11,4,7,10:56.6
Clark,MO,,0,0,0,10:56.6
