,Age,Number_of_Cases,date
0,Under 20,109,April 14
1,20,57,April 14
2,21,57,April 14
3,22,59,April 14
4,23,59,April 14
5,24,63,April 14
6,25,50,April 14
7,26,60,April 14
8,27,60,April 14
9,28,65,April 14
10,29,82,April 14
11,30,68,April 14
12,31,62,April 14
13,32,59,April 14
14,33,55,April 14
15,34,56,April 14
16,35,62,April 14
17,36,73,April 14
18,37,54,April 14
19,38,50,April 14
20,39,55,April 14
21,40,80,April 14
22,41,51,April 14
23,42,68,April 14
24,43,74,April 14
25,44,76,April 14
26,45,71,April 14
27,46,74,April 14
28,47,81,April 14
29,48,81,April 14
30,49,104,April 14
31,50,97,April 14
32,51,93,April 14
33,52,86,April 14
34,53,98,April 14
35,54,94,April 14
36,55,92,April 14
37,56,89,April 14
38,57,91,April 14
39,58,127,April 14
40,59,94,April 14
41,60,101,April 14
42,61,109,April 14
43,62,89,April 14
44,63,80,April 14
45,64,88,April 14
46,65,80,April 14
47,66,83,April 14
48,67,78,April 14
49,68,78,April 14
50,69,46,April 14
51,70,60,April 14
52,71,67,April 14
53,72,58,April 14
54,73,45,April 14
55,74,39,April 14
56,75,47,April 14
57,76,42,April 14
58,77,44,April 14
59,78,34,April 14
60,79,36,April 14
61,80+,342,April 14
62,Unknown,4,April 14
,Age,Number_of_Cases,date
0,Under 20,112,April 15
1,20,62,April 15
2,21,60,April 15
3,22,59,April 15
4,23,65,April 15
5,24,65,April 15
6,25,54,April 15
7,26,65,April 15
8,27,65,April 15
9,28,67,April 15
10,29,82,April 15
11,30,70,April 15
12,31,65,April 15
13,32,61,April 15
14,33,59,April 15
15,34,58,April 15
16,35,64,April 15
17,36,74,April 15
18,37,57,April 15
19,38,53,April 15
20,39,56,April 15
21,40,84,April 15
22,41,54,April 15
23,42,71,April 15
24,43,76,April 15
25,44,78,April 15
26,45,72,April 15
27,46,77,April 15
28,47,87,April 15
29,48,87,April 15
30,49,108,April 15
31,50,100,April 15
32,51,97,April 15
33,52,87,April 15
34,53,99,April 15
35,54,97,April 15
36,55,93,April 15
37,56,91,April 15
38,57,96,April 15
39,58,135,April 15
40,59,95,April 15
41,60,106,April 15
42,61,114,April 15
43,62,93,April 15
44,63,85,April 15
45,64,91,April 15
46,65,84,April 15
47,66,89,April 15
48,67,81,April 15
49,68,81,April 15
50,69,50,April 15
51,70,60,April 15
52,71,67,April 15
53,72,58,April 15
54,73,47,April 15
55,74,42,April 15
56,75,51,April 15
57,76,42,April 15
58,77,47,April 15
59,78,38,April 15
60,79,37,April 15
61,80+,370,April 15
62,Unknown,5,April 15
,Age,Number_of_Cases,date
0,Under 20,122,April 16
1,20,63,April 16
2,21,65,April 16
3,22,61,April 16
4,23,66,April 16
5,24,69,April 16
6,25,59,April 16
7,26,70,April 16
8,27,68,April 16
9,28,67,April 16
10,29,83,April 16
11,30,73,April 16
12,31,68,April 16
13,32,63,April 16
14,33,60,April 16
15,34,61,April 16
16,35,65,April 16
17,36,76,April 16
18,37,60,April 16
19,38,57,April 16
20,39,61,April 16
21,40,87,April 16
22,41,57,April 16
23,42,76,April 16
24,43,77,April 16
25,44,79,April 16
26,45,73,April 16
27,46,78,April 16
28,47,93,April 16
29,48,90,April 16
30,49,110,April 16
31,50,101,April 16
32,51,105,April 16
33,52,91,April 16
34,53,103,April 16
35,54,99,April 16
36,55,95,April 16
37,56,96,April 16
38,57,101,April 16
39,58,139,April 16
40,59,100,April 16
41,60,110,April 16
42,61,118,April 16
43,62,95,April 16
44,63,90,April 16
45,64,91,April 16
46,65,87,April 16
47,66,88,April 16
48,67,84,April 16
49,68,82,April 16
50,69,56,April 16
51,70,64,April 16
52,71,70,April 16
53,72,59,April 16
54,73,48,April 16
55,74,47,April 16
56,75,53,April 16
57,76,42,April 16
58,77,51,April 16
59,78,37,April 16
60,79,37,April 16
61,80+,411,April 16
62,Unknown,4,April 16
0,Under 20,122,April 16
1,20,63,April 16
2,21,65,April 16
3,22,61,April 16
4,23,66,April 16
5,24,69,April 16
6,25,59,April 16
7,26,70,April 16
8,27,68,April 16
9,28,67,April 16
10,29,83,April 16
11,30,73,April 16
12,31,68,April 16
13,32,63,April 16
14,33,60,April 16
15,34,61,April 16
16,35,65,April 16
17,36,76,April 16
18,37,60,April 16
19,38,57,April 16
20,39,61,April 16
21,40,87,April 16
22,41,57,April 16
23,42,76,April 16
24,43,77,April 16
25,44,79,April 16
26,45,73,April 16
27,46,78,April 16
28,47,93,April 16
29,48,90,April 16
30,49,110,April 16
31,50,101,April 16
32,51,105,April 16
33,52,91,April 16
34,53,103,April 16
35,54,99,April 16
36,55,95,April 16
37,56,96,April 16
38,57,101,April 16
39,58,139,April 16
40,59,100,April 16
41,60,110,April 16
42,61,118,April 16
43,62,95,April 16
44,63,90,April 16
45,64,91,April 16
46,65,87,April 16
47,66,88,April 16
48,67,84,April 16
49,68,82,April 16
50,69,56,April 16
51,70,64,April 16
52,71,70,April 16
53,72,59,April 16
54,73,48,April 16
55,74,47,April 16
56,75,53,April 16
57,76,42,April 16
58,77,51,April 16
59,78,37,April 16
60,79,37,April 16
61,80+,411,April 16
62,Unknown,4,April 16
0,Under 20,129,April 17
1,20,66,April 17
2,21,64,April 17
3,22,61,April 17
4,23,68,April 17
5,24,73,April 17
6,25,61,April 17
7,26,72,April 17
8,27,69,April 17
9,28,68,April 17
10,29,86,April 17
11,30,74,April 17
12,31,70,April 17
13,32,65,April 17
14,33,65,April 17
15,34,63,April 17
16,35,68,April 17
17,36,79,April 17
18,37,64,April 17
19,38,60,April 17
20,39,66,April 17
21,40,87,April 17
22,41,60,April 17
23,42,79,April 17
24,43,81,April 17
25,44,79,April 17
26,45,74,April 17
27,46,78,April 17
28,47,98,April 17
29,48,95,April 17
30,49,112,April 17
31,50,101,April 17
32,51,106,April 17
33,52,96,April 17
34,53,104,April 17
35,54,100,April 17
36,55,96,April 17
37,56,100,April 17
38,57,104,April 17
39,58,143,April 17
40,59,102,April 17
41,60,112,April 17
42,61,121,April 17
43,62,98,April 17
44,63,93,April 17
45,64,96,April 17
46,65,90,April 17
47,66,90,April 17
48,67,87,April 17
49,68,86,April 17
50,69,56,April 17
51,70,65,April 17
52,71,71,April 17
53,72,62,April 17
54,73,48,April 17
