,Age,Number_of_Cases,date
48,67,57,8-Apr
49,68,54,8-Apr
50,69,31,8-Apr
51,70,44,8-Apr
52,71,50,8-Apr
53,72,41,8-Apr
54,73,34,8-Apr
55,74,33,8-Apr
56,75,33,8-Apr
57,76,26,8-Apr
58,77,32,8-Apr
59,78,20,8-Apr
60,79,21,8-Apr
61,80+,205,8-Apr
62,Unknown,3,8-Apr
0,Under 20,81,9-Apr
1,20,49,9-Apr
2,21,51,9-Apr
3,22,44,9-Apr
4,23,42,9-Apr
5,24,44,9-Apr
6,25,38,9-Apr
7,26,51,9-Apr
8,27,45,9-Apr
9,28,46,9-Apr
10,29,64,9-Apr
11,30,45,9-Apr
12,31,49,9-Apr
13,32,46,9-Apr
14,33,42,9-Apr
15,34,42,9-Apr
16,35,54,9-Apr
17,36,49,9-Apr
18,37,44,9-Apr
19,38,38,9-Apr
20,39,38,9-Apr
21,40,60,9-Apr
22,41,39,9-Apr
23,42,50,9-Apr
24,43,56,9-Apr
25,44,58,9-Apr
26,45,55,9-Apr
27,46,59,9-Apr
28,47,53,9-Apr
29,48,55,9-Apr
30,49,79,9-Apr
31,50,70,9-Apr
32,51,70,9-Apr
33,52,73,9-Apr
34,53,81,9-Apr
35,54,64,9-Apr
36,55,71,9-Apr
37,56,68,9-Apr
38,57,71,9-Apr
39,58,99,9-Apr
40,59,77,9-Apr
41,60,75,9-Apr
42,61,81,9-Apr
43,62,67,9-Apr
44,63,62,9-Apr
45,64,75,9-Apr
46,65,63,9-Apr
47,66,64,9-Apr
48,67,63,9-Apr
49,68,59,9-Apr
50,69,34,9-Apr
51,70,45,9-Apr
52,71,52,9-Apr
53,72,45,9-Apr
54,73,37,9-Apr
55,74,33,9-Apr
56,75,34,9-Apr
57,76,30,9-Apr
58,77,32,9-Apr
59,78,22,9-Apr
60,79,21,9-Apr
61,80+,232,9-Apr
62,Unknown,3,9-Apr
0,Under 20,87,10-Apr
1,20,52,10-Apr
2,21,52,10-Apr
3,22,47,10-Apr
4,23,48,10-Apr
5,24,54,10-Apr
6,25,41,10-Apr
7,26,52,10-Apr
8,27,50,10-Apr
9,28,51,10-Apr
10,29,71,10-Apr
11,30,49,10-Apr
12,31,54,10-Apr
13,32,48,10-Apr
14,33,46,10-Apr
15,34,44,10-Apr
16,35,56,10-Apr
17,36,53,10-Apr
18,37,46,10-Apr
19,38,39,10-Apr
20,39,41,10-Apr
21,40,64,10-Apr
22,41,43,10-Apr
23,42,52,10-Apr
24,43,60,10-Apr
25,44,65,10-Apr
26,45,57,10-Apr
27,46,64,10-Apr
28,47,58,10-Apr
29,48,65,10-Apr
30,49,85,10-Apr
31,50,78,10-Apr
32,51,75,10-Apr
33,52,77,10-Apr
34,53,86,10-Apr
35,54,67,10-Apr
36,55,77,10-Apr
37,56,74,10-Apr
38,57,78,10-Apr
39,58,106,10-Apr
40,59,81,10-Apr
41,60,78,10-Apr
42,61,84,10-Apr
43,62,73,10-Apr
44,63,67,10-Apr
45,64,77,10-Apr
46,65,65,10-Apr
47,66,68,10-Apr
48,67,66,10-Apr
49,68,65,10-Apr
50,69,42,10-Apr
51,70,48,10-Apr
52,71,53,10-Apr
53,72,49,10-Apr
54,73,38,10-Apr
55,74,35,10-Apr
56,75,39,10-Apr
57,76,31,10-Apr
58,77,34,10-Apr
59,78,24,10-Apr
60,79,22,10-Apr
61,80+,245,10-Apr
62,Unknown,3,10-Apr
0,Under 20,94,11-Apr
1,20,56,11-Apr
2,21,53,11-Apr
3,22,49,11-Apr
4,23,51,11-Apr
5,24,56,11-Apr
6,25,43,11-Apr
7,26,55,11-Apr
8,27,53,11-Apr
9,28,54,11-Apr
10,29,74,11-Apr
11,30,54,11-Apr
12,31,55,11-Apr
13,32,51,11-Apr
14,33,48,11-Apr
15,34,47,11-Apr
16,35,58,11-Apr
17,36,60,11-Apr
18,37,48,11-Apr
19,38,43,11-Apr
20,39,47,11-Apr
21,40,69,11-Apr
22,41,45,11-Apr
23,42,58,11-Apr
24,43,62,11-Apr
25,44,67,11-Apr
26,45,61,11-Apr
27,46,68,11-Apr
28,47,64,11-Apr
29,48,73,11-Apr
30,49,90,11-Apr
31,50,82,11-Apr
32,51,79,11-Apr
33,52,81,11-Apr
34,53,88,11-Apr
35,54,76,11-Apr
36,55,81,11-Apr
37,56,78,11-Apr
38,57,83,11-Apr
39,58,111,11-Apr
40,59,87,11-Apr
41,60,80,11-Apr
42,61,93,11-Apr
43,62,75,11-Apr
44,63,71,11-Apr
45,64,79,11-Apr
46,65,69,11-Apr
47,66,74,11-Apr
48,67,67,11-Apr
49,68,65,11-Apr
50,69,42,11-Apr
51,70,50,11-Apr
52,71,55,11-Apr
53,72,55,11-Apr
54,73,39,11-Apr
55,74,35,11-Apr
56,75,39,11-Apr
57,76,33,11-Apr
58,77,36,11-Apr
59,78,24,11-Apr
60,79,29,11-Apr
61,80+,259,11-Apr
62,Unknown,3,11-Apr
0,Under 20,95,12-Apr
1,20,56,12-Apr
2,21,54,12-Apr
3,22,49,12-Apr
4,23,52,12-Apr
5,24,58,12-Apr
6,25,44,12-Apr
7,26,56,12-Apr
8,27,55,12-Apr
9,28,58,12-Apr
10,29,77,12-Apr
11,30,57,12-Apr
12,31,57,12-Apr
13,32,51,12-Apr
14,33,48,12-Apr
15,34,49,12-Apr
16,35,58,12-Apr
17,36,63,12-Apr
18,37,50,12-Apr
19,38,44,12-Apr
20,39,49,12-Apr
21,40,70,12-Apr
22,41,45,12-Apr
23,42,62,12-Apr
24,43,64,12-Apr
25,44,68,12-Apr
26,45,63,12-Apr
27,46,69,12-Apr
28,47,67,12-Apr
29,48,76,12-Apr
30,49,93,12-Apr
31,50,85,12-Apr
32,51,83,12-Apr
33,52,83,12-Apr
34,53,89,12-Apr
35,54,79,12-Apr
36,55,83,12-Apr
37,56,79,12-Apr
38,57,85,12-Apr
39,58,115,12-Apr
40,59,88,12-Apr
41,60,87,12-Apr
42,61,95,12-Apr
43,62,79,12-Apr
44,63,74,12-Apr
45,64,82,12-Apr
46,65,72,12-Apr
47,66,77,12-Apr
48,67,70,12-Apr
49,68,66,12-Apr
50,69,43,12-Apr
51,70,52,12-Apr
52,71,59,12-Apr
53,72,56,12-Apr
54,73,41,12-Apr
55,74,35,12-Apr
56,75,41,12-Apr
57,76,34,12-Apr
58,77,38,12-Apr
59,78,27,12-Apr
60,79,29,12-Apr
61,80+,274,12-Apr
62,Unknown,3,12-Apr
,Age,Number_of_Cases,date
0,Under 20,100,13-Apr
1,20,57,13-Apr
2,21,55,13-Apr
3,22,55,13-Apr
4,23,56,13-Apr
5,24,58,13-Apr
6,25,47,13-Apr
7,26,56,13-Apr
8,27,58,13-Apr
9,28,62,13-Apr
10,29,78,13-Apr
11,30,63,13-Apr
12,31,59,13-Apr
13,32,54,13-Apr
14,33,51,13-Apr
15,34,53,13-Apr
16,35,59,13-Apr
17,36,68,13-Apr
18,37,52,13-Apr
19,38,49,13-Apr
20,39,52,13-Apr
21,40,75,13-Apr
22,41,49,13-Apr
23,42,65,13-Apr
24,43,69,13-Apr
25,44,70,13-Apr
26,45,67,13-Apr
27,46,69,13-Apr
28,47,73,13-Apr
29,48,77,13-Apr
30,49,96,13-Apr
31,50,92,13-Apr
32,51,87,13-Apr
33,52,84,13-Apr
34,53,94,13-Apr
35,54,82,13-Apr
36,55,86,13-Apr
37,56,80,13-Apr
38,57,85,13-Apr
39,58,118,13-Apr
40,59,90,13-Apr
41,60,95,13-Apr
42,61,102,13-Apr
43,62,84,13-Apr
44,63,77,13-Apr
45,64,87,13-Apr
46,65,77,13-Apr
47,66,80,13-Apr
48,67,73,13-Apr
49,68,72,13-Apr
50,69,44,13-Apr
51,70,57,13-Apr
52,71,64,13-Apr
53,72,56,13-Apr
54,73,43,13-Apr
55,74,37,13-Apr
56,75,45,13-Apr
57,76,38,13-Apr
58,77,41,13-Apr
59,78,30,13-Apr
60,79,31,13-Apr
61,80+,301,13-Apr
62,Unknown,4,13-Apr
,Age,Number_of_Cases,date
0,Under 20,100,13-Apr
1,20,57,13-Apr
2,21,55,13-Apr
3,22,55,13-Apr
4,23,56,13-Apr
5,24,58,13-Apr
6,25,47,13-Apr
7,26,56,13-Apr
8,27,58,13-Apr
9,28,62,13-Apr
10,29,78,13-Apr
11,30,63,13-Apr
12,31,59,13-Apr
13,32,54,13-Apr
14,33,51,13-Apr
15,34,53,13-Apr
16,35,59,13-Apr
17,36,68,13-Apr
18,37,52,13-Apr
19,38,49,13-Apr
20,39,52,13-Apr
21,40,75,13-Apr
22,41,49,13-Apr
23,42,65,13-Apr
24,43,69,13-Apr
25,44,70,13-Apr
26,45,67,13-Apr
27,46,69,13-Apr
28,47,73,13-Apr
29,48,77,13-Apr
30,49,96,13-Apr
31,50,92,13-Apr
32,51,87,13-Apr
33,52,84,13-Apr
34,53,94,13-Apr
35,54,82,13-Apr
36,55,86,13-Apr
37,56,80,13-Apr
38,57,85,13-Apr
39,58,118,13-Apr
40,59,90,13-Apr
41,60,95,13-Apr
42,61,102,13-Apr
43,62,84,13-Apr
44,63,77,13-Apr
45,64,87,13-Apr
46,65,77,13-Apr
47,66,80,13-Apr
48,67,73,13-Apr
49,68,72,13-Apr
50,69,44,13-Apr
51,70,57,13-Apr
52,71,64,13-Apr
53,72,56,13-Apr
54,73,43,13-Apr
55,74,37,13-Apr
56,75,45,13-Apr
57,76,38,13-Apr
58,77,41,13-Apr
59,78,30,13-Apr
60,79,31,13-Apr
61,80+,301,13-Apr
62,Unknown,4,13-Apr
0,Under 20,100,13-Apr
1,20,57,13-Apr
2,21,55,13-Apr
3,22,55,13-Apr
4,23,56,13-Apr
5,24,58,13-Apr
6,25,47,13-Apr
7,26,56,13-Apr
8,27,58,13-Apr
9,28,62,13-Apr
10,29,78,13-Apr
11,30,63,13-Apr
12,31,59,13-Apr
13,32,54,13-Apr
14,33,51,13-Apr
15,34,53,13-Apr
16,35,59,13-Apr
17,36,68,13-Apr
18,37,52,13-Apr
19,38,49,13-Apr
20,39,52,13-Apr
21,40,75,13-Apr
22,41,49,13-Apr
23,42,65,13-Apr
24,43,69,13-Apr
25,44,70,13-Apr
26,45,67,13-Apr
27,46,69,13-Apr
28,47,73,13-Apr
29,48,77,13-Apr
30,49,96,13-Apr
31,50,92,13-Apr
32,51,87,13-Apr
33,52,84,13-Apr
34,53,94,13-Apr
35,54,82,13-Apr
36,55,86,13-Apr
37,56,80,13-Apr
38,57,85,13-Apr
39,58,118,13-Apr
40,59,90,13-Apr
41,60,95,13-Apr
42,61,102,13-Apr
43,62,84,13-Apr
44,63,77,13-Apr
45,64,87,13-Apr
46,65,77,13-Apr
47,66,80,13-Apr
48,67,73,13-Apr
49,68,72,13-Apr
50,69,44,13-Apr
51,70,57,13-Apr
52,71,64,13-Apr
53,72,56,13-Apr
54,73,43,13-Apr
55,74,37,13-Apr
56,75,45,13-Apr
57,76,38,13-Apr
58,77,41,13-Apr
59,78,30,13-Apr
60,79,31,13-Apr
61,80+,301,13-Apr
62,Unknown,4,13-Apr
0,Under 20,109,14-Apr
1,20,57,14-Apr
2,21,57,14-Apr
3,22,59,14-Apr
4,23,59,14-Apr
5,24,63,14-Apr
6,25,50,14-Apr
7,26,60,14-Apr
8,27,60,14-Apr
9,28,65,14-Apr
10,29,82,14-Apr
11,30,68,14-Apr
12,31,62,14-Apr
13,32,59,14-Apr
14,33,55,14-Apr
15,34,56,14-Apr
16,35,62,14-Apr
17,36,73,14-Apr
18,37,54,14-Apr
19,38,50,14-Apr
20,39,55,14-Apr
21,40,80,14-Apr
22,41,51,14-Apr
23,42,68,14-Apr
24,43,74,14-Apr
25,44,76,14-Apr
26,45,71,14-Apr
27,46,74,14-Apr
28,47,81,14-Apr
29,48,81,14-Apr
30,49,104,14-Apr
31,50,97,14-Apr
32,51,93,14-Apr
33,52,86,14-Apr
34,53,98,14-Apr
35,54,94,14-Apr
36,55,92,14-Apr
37,56,89,14-Apr
38,57,91,14-Apr
39,58,127,14-Apr
40,59,94,14-Apr
41,60,101,14-Apr
42,61,109,14-Apr
43,62,89,14-Apr
44,63,80,14-Apr
45,64,88,14-Apr
46,65,80,14-Apr
47,66,83,14-Apr
48,67,78,14-Apr
49,68,78,14-Apr
50,69,46,14-Apr
51,70,60,14-Apr
52,71,67,14-Apr
53,72,58,14-Apr
54,73,45,14-Apr
55,74,39,14-Apr
56,75,47,14-Apr
57,76,42,14-Apr
58,77,44,14-Apr
59,78,34,14-Apr
60,79,36,14-Apr
61,80+,342,14-Apr
62,Unknown,4,14-Apr
,Age,Number_of_Cases,date
0,Under 20,112,15-Apr
1,20,62,15-Apr
2,21,60,15-Apr
3,22,59,15-Apr
4,23,65,15-Apr
5,24,65,15-Apr
6,25,54,15-Apr
7,26,65,15-Apr
8,27,65,15-Apr
9,28,67,15-Apr
10,29,82,15-Apr
11,30,70,15-Apr
12,31,65,15-Apr
13,32,61,15-Apr
14,33,59,15-Apr
