,Age,Number_of_Cases,date
0,Under 20,63,6-Apr
1,20,44,6-Apr
2,21,49,6-Apr
3,22,40,6-Apr
4,23,32,6-Apr
5,24,36,6-Apr
6,25,28,6-Apr
7,26,38,6-Apr
8,27,33,6-Apr
9,28,37,6-Apr
10,29,47,6-Apr
11,30,39,6-Apr
12,31,32,6-Apr
13,32,36,6-Apr
14,33,32,6-Apr
15,34,36,6-Apr
16,35,37,6-Apr
17,36,40,6-Apr
18,37,36,6-Apr
19,38,27,6-Apr
20,39,31,6-Apr
21,40,52,6-Apr
22,41,34,6-Apr
23,42,40,6-Apr
24,43,39,6-Apr
25,44,47,6-Apr
26,45,41,6-Apr
27,46,45,6-Apr
28,47,41,6-Apr
29,48,39,6-Apr
30,49,64,6-Apr
31,50,57,6-Apr
32,51,58,6-Apr
33,52,60,6-Apr
34,53,60,6-Apr
35,54,50,6-Apr
36,55,49,6-Apr
37,56,55,6-Apr
38,57,52,6-Apr
39,58,84,6-Apr
40,59,62,6-Apr
41,60,63,6-Apr
42,61,54,6-Apr
43,62,55,6-Apr
44,63,46,6-Apr
45,64,59,6-Apr
46,65,48,6-Apr
47,66,47,6-Apr
48,67,50,6-Apr
49,68,47,6-Apr
50,69,23,6-Apr
51,70,34,6-Apr
52,71,36,6-Apr
53,72,28,6-Apr
54,73,25,6-Apr
55,74,30,6-Apr
56,75,23,6-Apr
57,76,21,6-Apr
58,77,25,6-Apr
59,78,16,6-Apr
60,79,18,6-Apr
61,80+,149,6-Apr
62,Unknown,3,6-Apr
0,Under 20,76,7-Apr
1,20,47,7-Apr
2,21,50,7-Apr
3,22,40,7-Apr
4,23,37,7-Apr
5,24,38,7-Apr
6,25,34,7-Apr
7,26,42,7-Apr
8,27,39,7-Apr
9,28,42,7-Apr
10,29,54,7-Apr
11,30,43,7-Apr
12,31,39,7-Apr
13,32,38,7-Apr
14,33,36,7-Apr
15,34,37,7-Apr
16,35,46,7-Apr
17,36,42,7-Apr
18,37,40,7-Apr
19,38,30,7-Apr
20,39,33,7-Apr
21,40,56,7-Apr
22,41,34,7-Apr
23,42,44,7-Apr
24,43,48,7-Apr
25,44,51,7-Apr
26,45,47,7-Apr
27,46,48,7-Apr
28,47,47,7-Apr
29,48,46,7-Apr
30,49,72,7-Apr
31,50,62,7-Apr
32,51,64,7-Apr
33,52,66,7-Apr
34,53,71,7-Apr
35,54,59,7-Apr
36,55,56,7-Apr
37,56,59,7-Apr
38,57,63,7-Apr
39,58,93,7-Apr
40,59,66,7-Apr
41,60,69,7-Apr
42,61,65,7-Apr
43,62,60,7-Apr
44,63,52,7-Apr
45,64,61,7-Apr
46,65,54,7-Apr
47,66,56,7-Apr
48,67,49,7-Apr
49,68,51,7-Apr
50,69,27,7-Apr
51,70,36,7-Apr
52,71,41,7-Apr
53,72,37,7-Apr
54,73,30,7-Apr
55,74,29,7-Apr
56,75,28,7-Apr
57,76,23,7-Apr
58,77,26,7-Apr
59,78,18,7-Apr
60,79,18,7-Apr
61,80+,169,7-Apr
62,Unknown,3,7-Apr
0,Under 20,82,8-Apr
1,20,50,8-Apr
2,21,51,8-Apr
3,22,42,8-Apr
4,23,40,8-Apr
5,24,42,8-Apr
6,25,35,8-Apr
7,26,48,8-Apr
8,27,44,8-Apr
9,28,44,8-Apr
10,29,58,8-Apr
11,30,44,8-Apr
12,31,43,8-Apr
13,32,44,8-Apr
14,33,39,8-Apr
15,34,38,8-Apr
16,35,49,8-Apr
17,36,48,8-Apr
18,37,42,8-Apr
19,38,33,8-Apr
20,39,35,8-Apr
21,40,57,8-Apr
22,41,38,8-Apr
23,42,45,8-Apr
24,43,53,8-Apr
25,44,56,8-Apr
26,45,50,8-Apr
27,46,55,8-Apr
28,47,51,8-Apr
29,48,50,8-Apr
30,49,77,8-Apr
31,50,67,8-Apr
32,51,67,8-Apr
33,52,70,8-Apr
34,53,77,8-Apr
35,54,62,8-Apr
36,55,66,8-Apr
37,56,62,8-Apr
38,57,65,8-Apr
39,58,98,8-Apr
40,59,72,8-Apr
41,60,72,8-Apr
42,61,72,8-Apr
43,62,65,8-Apr
44,63,55,8-Apr
45,64,70,8-Apr
46,65,60,8-Apr
47,66,60,8-Apr
