Report Date,Race,Number of Cases,Number of Hospitalizations,Number of Deaths,Health District Name,Scrape_Time
Hampton,5/19/2020,Other,7,2,0,2020-05-19 20:00:52.828849
Alleghany,5/19/2020,White,114,19,6,2020-05-19 20:00:52.828849
Prince William,5/19/2020,Other,1029,149,8,2020-05-19 20:00:52.828849
Arlington,5/19/2020,Not Reported,737,83,11,2020-05-19 20:00:52.828849
West Piedmont,5/19/2020,Black or African American,22,5,0,2020-05-19 20:00:52.828849
Peninsula,5/19/2020,Other,27,6,1,2020-05-19 20:00:52.828849
Norfolk,5/19/2020,Other,25,4,0,2020-05-19 20:00:52.828849
Lord Fairfax,5/19/2020,Black or African American,33,3,1,2020-05-19 20:00:52.828849
Mount Rogers,5/19/2020,Not Reported,19,1,0,2020-05-19 20:00:52.828849
Central Virginia,5/19/2020,Black or African American,18,2,1,2020-05-19 20:00:52.828849
West Piedmont,5/19/2020,Other,10,1,1,2020-05-19 20:00:52.828849
Portsmouth,5/19/2020,White,54,8,2,2020-05-19 20:00:52.828849
Thomas Jefferson,5/19/2020,Not Reported,19,0,0,2020-05-19 20:00:52.828849
Three Rivers,5/19/2020,Not Reported,112,4,3,2020-05-19 20:00:52.828849
Virginia Beach,5/19/2020,Black or African American,133,17,3,2020-05-19 20:00:52.828849
Prince William,5/19/2020,Black or African American,366,72,17,2020-05-19 20:00:52.828849
Loudoun,5/19/2020,Not Reported,566,3,5,2020-05-19 20:00:52.828849
Loudoun,5/19/2020,White,535,79,34,2020-05-19 20:00:52.828849
Peninsula,5/19/2020,Not Reported,89,3,0,2020-05-19 20:00:52.828849
Pittsylvania-Danville,5/19/2020,Black or African American,25,6,0,2020-05-19 20:00:52.828849
Henrico,5/19/2020,White,440,68,61,2020-05-19 20:00:52.828849
Richmond,5/19/2020,White,157,18,2,2020-05-19 20:00:52.828849
Southside,5/19/2020,Black or African American,40,10,2,2020-05-19 20:00:52.828849
Chickahominy,5/19/2020,White,165,42,18,2020-05-19 20:00:52.828849
Thomas Jefferson,5/19/2020,Other,41,5,1,2020-05-19 20:00:52.828849
Virginia Beach,5/19/2020,Other,63,19,2,2020-05-19 20:00:52.828849
Central Shenandoah,5/19/2020,Black or African American,60,3,2,2020-05-19 20:00:52.828849
Chesterfield,5/19/2020,White,317,33,20,2020-05-19 20:00:52.828849
Central Virginia,5/19/2020,White,66,10,2,2020-05-19 20:00:52.828849
Rappahannock,5/19/2020,White,303,45,10,2020-05-19 20:00:52.828849
New River,5/19/2020,White,55,11,1,2020-05-19 20:00:52.828849
Piedmont,5/19/2020,Other,12,2,0,2020-05-19 20:00:52.828849
Lenowisco,5/19/2020,Black or African American,0,0,0,2020-05-19 20:00:52.828849
Arlington,5/19/2020,White,492,98,35,2020-05-19 20:00:52.828849
Hampton,5/19/2020,Black or African American,97,24,3,2020-05-19 20:00:52.828849
Alexandria,5/19/2020,White,566,63,23,2020-05-19 20:00:52.828849
Hampton,5/19/2020,Not Reported,23,0,0,2020-05-19 20:00:52.828849
Mount Rogers,5/19/2020,White,193,16,5,2020-05-19 20:00:52.828849
Alexandria,5/19/2020,Not Reported,444,13,4,2020-05-19 20:00:52.828849
Chickahominy,5/19/2020,Black or African American,63,24,7,2020-05-19 20:00:52.828849
Chesapeake,5/19/2020,Black or African American,140,40,5,2020-05-19 20:00:52.828849
Western Tidewater,5/19/2020,Not Reported,170,1,1,2020-05-19 20:00:52.828849
Cumberland Plateau,5/19/2020,Not Reported,1,0,0,2020-05-19 20:00:52.828849
Western Tidewater,5/19/2020,Other,25,1,2,2020-05-19 20:00:52.828849
Loudoun,5/19/2020,Black or African American,81,10,2,2020-05-19 20:00:52.828849
Virginia Beach,5/19/2020,White,289,48,14,2020-05-19 20:00:52.828849
Chickahominy,5/19/2020,Other,14,5,0,2020-05-19 20:00:52.828849
New River,5/19/2020,Black or African American,5,1,0,2020-05-19 20:00:52.828849
Virginia Beach,5/19/2020,Not Reported,74,3,0,2020-05-19 20:00:52.828849
Rappahannock Rapidan,5/19/2020,Other,48,12,0,2020-05-19 20:00:52.828849
Piedmont,5/19/2020,Not Reported,270,7,1,2020-05-19 20:00:52.828849
Portsmouth,5/19/2020,Other,16,2,0,2020-05-19 20:00:52.828849
Pittsylvania-Danville,5/19/2020,Not Reported,11,3,0,2020-05-19 20:00:52.828849
West Piedmont,5/19/2020,Not Reported,13,1,0,2020-05-19 20:00:52.828849
Norfolk,5/19/2020,White,104,17,2,2020-05-19 20:00:52.828849
Central Shenandoah,5/19/2020,White,781,73,23,2020-05-19 20:00:52.828849
Southside,5/19/2020,White,54,12,6,2020-05-19 20:00:52.828849
Southside,5/19/2020,Not Reported,107,11,6,2020-05-19 20:00:52.828849
Chesapeake,5/19/2020,White,170,31,3,2020-05-19 20:00:52.828849
New River,5/19/2020,Other,0,0,0,2020-05-19 20:00:52.828849
Norfolk,5/19/2020,Black or African American,194,36,4,2020-05-19 20:00:52.828849
Central Shenandoah,5/19/2020,Other,196,12,1,2020-05-19 20:00:52.828849
Southside,5/19/2020,Other,27,1,4,2020-05-19 20:00:52.828849
Pittsylvania-Danville,5/19/2020,Other,1,0,0,2020-05-19 20:00:52.828849
Cumberland Plateau,5/19/2020,White,19,2,0,2020-05-19 20:00:52.828849
Rappahannock Rapidan,5/19/2020,Black or African American,32,6,1,2020-05-19 20:00:52.828849
Fairfax,5/19/2020,Not Reported,2007,92,80,2020-05-19 20:00:52.828849
Chesapeake,5/19/2020,Not Reported,52,2,0,2020-05-19 20:00:52.828849
Thomas Jefferson,5/19/2020,White,222,26,8,2020-05-19 20:00:52.828849
Richmond,5/19/2020,Other,181,29,1,2020-05-19 20:00:52.828849
Peninsula,5/19/2020,Black or African American,136,31,9,2020-05-19 20:00:52.828849
Henrico,5/19/2020,Other,131,12,3,2020-05-19 20:00:52.828849
Cumberland Plateau,5/19/2020,Black or African American,12,0,0,2020-05-19 20:00:52.828849
Loudoun,5/19/2020,Other,345,48,7,2020-05-19 20:00:52.828849
Crater,5/19/2020,Other,15,2,1,2020-05-19 20:00:52.828849
Arlington,5/19/2020,Black or African American,112,41,16,2020-05-19 20:00:52.828849
Alexandria,5/19/2020,Black or African American,228,48,6,2020-05-19 20:00:52.828849
Richmond,5/19/2020,Black or African American,302,69,16,2020-05-19 20:00:52.828849
Lord Fairfax,5/19/2020,Not Reported,135,2,4,2020-05-19 20:00:52.828849
Fairfax,5/19/2020,Black or African American,538,120,20,2020-05-19 20:00:52.828849
Thomas Jefferson,5/19/2020,Black or African American,105,35,4,2020-05-19 20:00:52.828849
West Piedmont,5/19/2020,White,56,6,2,2020-05-19 20:00:52.828849
Rappahannock,5/19/2020,Not Reported,374,20,0,2020-05-19 20:00:52.828849
Central Shenandoah,5/19/2020,Not Reported,190,6,1,2020-05-19 20:00:52.828849
Peninsula,5/19/2020,White,259,72,21,2020-05-19 20:00:52.828849
Rappahannock Rapidan,5/19/2020,White,312,25,8,2020-05-19 20:00:52.828849
Prince William,5/19/2020,White,969,193,54,2020-05-19 20:00:52.828849
New River,5/19/2020,Not Reported,28,0,0,2020-05-19 20:00:52.828849
Chesterfield,5/19/2020,Not Reported,505,3,9,2020-05-19 20:00:52.828849
Alleghany,5/19/2020,Other,2,0,0,2020-05-19 20:00:52.828849
Mount Rogers,5/19/2020,Other,23,1,0,2020-05-19 20:00:52.828849
Crater,5/19/2020,White,83,17,5,2020-05-19 20:00:52.828849
Alleghany,5/19/2020,Not Reported,46,3,0,2020-05-19 20:00:52.828849
Arlington,5/19/2020,Other,347,109,17,2020-05-19 20:00:52.828849
Piedmont,5/19/2020,White,139,7,3,2020-05-19 20:00:52.828849
Cumberland Plateau,5/19/2020,Other,0,0,0,2020-05-19 20:00:52.828849
Pittsylvania-Danville,5/19/2020,White,33,14,2,2020-05-19 20:00:52.828849
Roanoke,5/19/2020,Black or African American,17,4,2,2020-05-19 20:00:52.828849
Alleghany,5/19/2020,Black or African American,5,1,0,2020-05-19 20:00:52.828849
Richmond,5/19/2020,Not Reported,171,2,0,2020-05-19 20:00:52.828849
Central Virginia,5/19/2020,Other,2,1,0,2020-05-19 20:00:52.828849
Rappahannock,5/19/2020,Other,244,38,1,2020-05-19 20:00:52.828849
Roanoke,5/19/2020,Other,2,0,0,2020-05-19 20:00:52.828849
Piedmont,5/19/2020,Black or African American,165,23,1,2020-05-19 20:00:52.828849
Chesterfield,5/19/2020,Other,112,1,0,2020-05-19 20:00:52.828849
Portsmouth,5/19/2020,Black or African American,113,27,6,2020-05-19 20:00:52.828849
Portsmouth,5/19/2020,Not Reported,54,2,2,2020-05-19 20:00:52.828849
Norfolk,5/19/2020,Not Reported,47,0,0,2020-05-19 20:00:52.828849
Eastern Shore,5/19/2020,White,235,11,8,2020-05-19 20:00:52.828849
Eastern Shore,5/19/2020,Not Reported,119,1,0,2020-05-19 20:00:52.828849
Roanoke,5/19/2020,White,73,3,6,2020-05-19 20:00:52.828849
Three Rivers,5/19/2020,Other,36,2,0,2020-05-19 20:00:52.828849
Fairfax,5/19/2020,Other,3330,559,66,2020-05-19 20:00:52.828849
Henrico,5/19/2020,Not Reported,250,1,1,2020-05-19 20:00:52.828849
Lord Fairfax,5/19/2020,Other,134,15,4,2020-05-19 20:00:52.828849
Hampton,5/19/2020,White,37,4,0,2020-05-19 20:00:52.828849
Western Tidewater,5/19/2020,Black or African American,217,33,12,2020-05-19 20:00:52.828849
Prince William,5/19/2020,Not Reported,2452,34,2,2020-05-19 20:00:52.828849
Fairfax,5/19/2020,White,2236,357,133,2020-05-19 20:00:52.828849
Lenowisco,5/19/2020,Other,1,0,0,2020-05-19 20:00:52.828849
Rappahannock Rapidan,5/19/2020,Not Reported,409,16,2,2020-05-19 20:00:52.828849
Three Rivers,5/19/2020,Black or African American,142,10,0,2020-05-19 20:00:52.828849
Henrico,5/19/2020,Black or African American,478,90,49,2020-05-19 20:00:52.828849
Lenowisco,5/19/2020,Not Reported,9,1,1,2020-05-19 20:00:52.828849
Chesapeake,5/19/2020,Other,34,5,2,2020-05-19 20:00:52.828849
Crater,5/19/2020,Not Reported,106,3,1,2020-05-19 20:00:52.828849
Chickahominy,5/19/2020,Not Reported,129,3,1,2020-05-19 20:00:52.828849
Eastern Shore,5/19/2020,Black or African American,526,38,11,2020-05-19 20:00:52.828849
Alexandria,5/19/2020,Other,306,44,1,2020-05-19 20:00:52.828849
Chesterfield,5/19/2020,Black or African American,211,35,7,2020-05-19 20:00:52.828849
Roanoke,5/19/2020,Not Reported,43,0,0,2020-05-19 20:00:52.828849
Rappahannock,5/19/2020,Black or African American,112,21,3,2020-05-19 20:00:52.828849
Lord Fairfax,5/19/2020,White,633,68,26,2020-05-19 20:00:52.828849
Three Rivers,5/19/2020,White,147,14,3,2020-05-19 20:00:52.828849
Central Virginia,5/19/2020,Not Reported,92,3,0,2020-05-19 20:00:52.828849
Eastern Shore,5/19/2020,Other,25,1,1,2020-05-19 20:00:52.828849
Crater,5/19/2020,Black or African American,246,58,7,2020-05-19 20:00:52.828849
Mount Rogers,5/19/2020,Black or African American,2,0,0,2020-05-19 20:00:52.828849
Southside,5/20/2020,Not Reported,107,11,7,2020-05-20 20:06:34.135096
Chesapeake,5/20/2020,White,175,32,5,2020-05-20 20:06:34.135096
New River,5/20/2020,Other,0,0,0,2020-05-20 20:06:34.135096
Norfolk,5/20/2020,Black or African American,194,37,4,2020-05-20 20:06:34.135096
Central Shenandoah,5/20/2020,Other,197,12,1,2020-05-20 20:06:34.135096
Southside,5/20/2020,Other,27,1,5,2020-05-20 20:06:34.135096
Pittsylvania-Danville,5/20/2020,Other,1,0,0,2020-05-20 20:06:34.135096
Cumberland Plateau,5/20/2020,White,19,2,0,2020-05-20 20:06:34.135096
Rappahannock Rapidan,5/20/2020,Black or African American,34,7,1,2020-05-20 20:06:34.135096
Fairfax,5/20/2020,Not Reported,2037,96,82,2020-05-20 20:06:34.135096
Chesapeake,5/20/2020,Not Reported,49,2,0,2020-05-20 20:06:34.135096
Thomas Jefferson,5/20/2020,White,222,27,8,2020-05-20 20:06:34.135096
Richmond,5/20/2020,Other,190,32,1,2020-05-20 20:06:34.135096
Peninsula,5/20/2020,Black or African American,136,31,9,2020-05-20 20:06:34.135096
Henrico,5/20/2020,Other,137,12,3,2020-05-20 20:06:34.135096
Cumberland Plateau,5/20/2020,Black or African American,12,0,0,2020-05-20 20:06:34.135096
Loudoun,5/20/2020,Other,359,49,7,2020-05-20 20:06:34.135096
Crater,5/20/2020,Other,16,2,1,2020-05-20 20:06:34.135096
Arlington,5/20/2020,Black or African American,117,45,18,2020-05-20 20:06:34.135096
Alexandria,5/20/2020,Black or African American,234,49,6,2020-05-20 20:06:34.135096
Richmond,5/20/2020,Black or African American,306,70,16,2020-05-20 20:06:34.135096
Lord Fairfax,5/20/2020,Not Reported,136,2,4,2020-05-20 20:06:34.135096
Fairfax,5/20/2020,Black or African American,550,125,22,2020-05-20 20:06:34.135096
Thomas Jefferson,5/20/2020,Black or African American,106,35,4,2020-05-20 20:06:34.135096
West Piedmont,5/20/2020,White,59,6,2,2020-05-20 20:06:34.135096
Rappahannock,5/20/2020,Not Reported,378,21,0,2020-05-20 20:06:34.135096
Central Shenandoah,5/20/2020,Not Reported,189,6,1,2020-05-20 20:06:34.135096
Peninsula,5/20/2020,White,259,72,21,2020-05-20 20:06:34.135096
Rappahannock Rapidan,5/20/2020,White,330,28,8,2020-05-20 20:06:34.135096
Prince William,5/20/2020,White,1018,200,59,2020-05-20 20:06:34.135096
New River,5/20/2020,Not Reported,29,0,0,2020-05-20 20:06:34.135096
Chesterfield,5/20/2020,Not Reported,532,3,9,2020-05-20 20:06:34.135096
Alleghany,5/20/2020,Other,2,0,0,2020-05-20 20:06:34.135096
Lenowisco,5/20/2020,White,32,14,3,2020-05-20 20:06:34.135096
Western Tidewater,5/20/2020,White,145,22,16,2020-05-20 20:06:34.135096
Hampton,5/20/2020,Other,7,2,0,2020-05-20 20:06:34.135096
Alleghany,5/20/2020,White,116,19,6,2020-05-20 20:06:34.135096
Prince William,5/20/2020,Other,1065,154,9,2020-05-20 20:06:34.135096
Arlington,5/20/2020,Not Reported,750,77,10,2020-05-20 20:06:34.135096
West Piedmont,5/20/2020,Black or African American,25,5,0,2020-05-20 20:06:34.135096
Peninsula,5/20/2020,Other,27,6,1,2020-05-20 20:06:34.135096
Norfolk,5/20/2020,Other,25,4,0,2020-05-20 20:06:34.135096
Lord Fairfax,5/20/2020,Black or African American,34,3,1,2020-05-20 20:06:34.135096
Mount Rogers,5/20/2020,Not Reported,19,1,0,2020-05-20 20:06:34.135096
Central Virginia,5/20/2020,Black or African American,19,2,1,2020-05-20 20:06:34.135096
West Piedmont,5/20/2020,Other,12,1,1,2020-05-20 20:06:34.135096
Portsmouth,5/20/2020,White,54,8,2,2020-05-20 20:06:34.135096
Thomas Jefferson,5/20/2020,Not Reported,20,0,0,2020-05-20 20:06:34.135096
Three Rivers,5/20/2020,Not Reported,103,4,3,2020-05-20 20:06:34.135096
Virginia Beach,5/20/2020,Black or African American,135,17,3,2020-05-20 20:06:34.135096
Prince William,5/20/2020,Black or African American,374,73,18,2020-05-20 20:06:34.135096
Loudoun,5/20/2020,Not Reported,594,4,6,2020-05-20 20:06:34.135096
Loudoun,5/20/2020,White,543,83,34,2020-05-20 20:06:34.135096
Peninsula,5/20/2020,Not Reported,91,3,0,2020-05-20 20:06:34.135096
Pittsylvania-Danville,5/20/2020,Black or African American,25,6,0,2020-05-20 20:06:34.135096
Henrico,5/20/2020,White,444,68,61,2020-05-20 20:06:34.135096
Richmond,5/20/2020,White,160,18,2,2020-05-20 20:06:34.135096
Southside,5/20/2020,Black or African American,40,10,2,2020-05-20 20:06:34.135096
Chickahominy,5/20/2020,White,167,43,18,2020-05-20 20:06:34.135096
Thomas Jefferson,5/20/2020,Other,42,5,1,2020-05-20 20:06:34.135096
Virginia Beach,5/20/2020,Other,63,19,2,2020-05-20 20:06:34.135096
Central Shenandoah,5/20/2020,Black or African American,61,3,2,2020-05-20 20:06:34.135096
Chesterfield,5/20/2020,White,331,33,20,2020-05-20 20:06:34.135096
Central Virginia,5/20/2020,White,70,10,2,2020-05-20 20:06:34.135096
Rappahannock,5/20/2020,White,314,45,10,2020-05-20 20:06:34.135096
New River,5/20/2020,White,55,11,1,2020-05-20 20:06:34.135096
Mount Rogers,5/20/2020,Other,23,1,0,2020-05-20 20:06:34.135096
Crater,5/20/2020,White,84,17,5,2020-05-20 20:06:34.135096
Alleghany,5/20/2020,Not Reported,46,3,0,2020-05-20 20:06:34.135096
Hampton,5/20/2020,White,38,4,0,2020-05-20 20:06:34.135096
Western Tidewater,5/20/2020,Black or African American,219,33,12,2020-05-20 20:06:34.135096
Prince William,5/20/2020,Not Reported,2503,35,2,2020-05-20 20:06:34.135096
Fairfax,5/20/2020,White,2266,363,139,2020-05-20 20:06:34.135096
Lenowisco,5/20/2020,Other,1,0,0,2020-05-20 20:06:34.135096
Rappahannock Rapidan,5/20/2020,Not Reported,437,16,2,2020-05-20 20:06:34.135096
Three Rivers,5/20/2020,Black or African American,145,10,0,2020-05-20 20:06:34.135096
Henrico,5/20/2020,Black or African American,489,92,49,2020-05-20 20:06:34.135096
Lenowisco,5/20/2020,Not Reported,9,1,1,2020-05-20 20:06:34.135096
Chesapeake,5/20/2020,Other,35,5,2,2020-05-20 20:06:34.135096
Crater,5/20/2020,Not Reported,107,3,1,2020-05-20 20:06:34.135096
Chickahominy,5/20/2020,Not Reported,130,3,1,2020-05-20 20:06:34.135096
Eastern Shore,5/20/2020,Black or African American,537,42,14,2020-05-20 20:06:34.135096
Alexandria,5/20/2020,Other,317,44,1,2020-05-20 20:06:34.135096
Chesterfield,5/20/2020,Black or African American,220,35,7,2020-05-20 20:06:34.135096
Roanoke,5/20/2020,Not Reported,43,0,0,2020-05-20 20:06:34.135096
Rappahannock,5/20/2020,Black or African American,117,22,3,2020-05-20 20:06:34.135096
Lord Fairfax,5/20/2020,White,667,71,26,2020-05-20 20:06:34.135096
Three Rivers,5/20/2020,White,151,14,3,2020-05-20 20:06:34.135096
Central Virginia,5/20/2020,Not Reported,87,3,0,2020-05-20 20:06:34.135096
Eastern Shore,5/20/2020,Other,26,2,1,2020-05-20 20:06:34.135096
Crater,5/20/2020,Black or African American,255,59,7,2020-05-20 20:06:34.135096
Mount Rogers,5/20/2020,Black or African American,2,0,0,2020-05-20 20:06:34.135096
Central Shenandoah,5/20/2020,White,824,75,23,2020-05-20 20:06:34.135096
Southside,5/20/2020,White,54,12,6,2020-05-20 20:06:34.135096
Arlington,5/20/2020,Other,355,107,17,2020-05-20 20:06:34.135096
Piedmont,5/20/2020,White,142,7,3,2020-05-20 20:06:34.135096
Cumberland Plateau,5/20/2020,Other,0,0,0,2020-05-20 20:06:34.135096
Pittsylvania-Danville,5/20/2020,White,34,14,2,2020-05-20 20:06:34.135096
Roanoke,5/20/2020,Black or African American,17,4,2,2020-05-20 20:06:34.135096
Alleghany,5/20/2020,Black or African American,5,1,0,2020-05-20 20:06:34.135096
Richmond,5/20/2020,Not Reported,179,3,0,2020-05-20 20:06:34.135096
Central Virginia,5/20/2020,Other,2,1,0,2020-05-20 20:06:34.135096
Rappahannock,5/20/2020,Other,250,38,1,2020-05-20 20:06:34.135096
Roanoke,5/20/2020,Other,2,0,0,2020-05-20 20:06:34.135096
Piedmont,5/20/2020,Black or African American,166,23,1,2020-05-20 20:06:34.135096
Chesterfield,5/20/2020,Other,122,1,0,2020-05-20 20:06:34.135096
Portsmouth,5/20/2020,Black or African American,116,27,7,2020-05-20 20:06:34.135096
Portsmouth,5/20/2020,Not Reported,55,2,2,2020-05-20 20:06:34.135096
Norfolk,5/20/2020,Not Reported,47,0,0,2020-05-20 20:06:34.135096
Eastern Shore,5/20/2020,White,236,11,11,2020-05-20 20:06:34.135096
Eastern Shore,5/20/2020,Not Reported,115,1,0,2020-05-20 20:06:34.135096
Roanoke,5/20/2020,White,73,3,6,2020-05-20 20:06:34.135096
Three Rivers,5/20/2020,Other,37,3,0,2020-05-20 20:06:34.135096
Fairfax,5/20/2020,Other,3401,564,67,2020-05-20 20:06:34.135096
Henrico,5/20/2020,Not Reported,251,1,1,2020-05-20 20:06:34.135096
Lord Fairfax,5/20/2020,Other,136,15,4,2020-05-20 20:06:34.135096
Piedmont,5/20/2020,Other,13,3,0,2020-05-20 20:06:34.135096
Lenowisco,5/20/2020,Black or African American,0,0,0,2020-05-20 20:06:34.135096
Arlington,5/20/2020,White,506,105,36,2020-05-20 20:06:34.135096
Hampton,5/20/2020,Black or African American,97,24,3,2020-05-20 20:06:34.135096
Alexandria,5/20/2020,White,573,63,24,2020-05-20 20:06:34.135096
Hampton,5/20/2020,Not Reported,23,0,0,2020-05-20 20:06:34.135096
Mount Rogers,5/20/2020,White,208,16,6,2020-05-20 20:06:34.135096
Alexandria,5/20/2020,Not Reported,453,13,3,2020-05-20 20:06:34.135096
Chickahominy,5/20/2020,Black or African American,65,25,7,2020-05-20 20:06:34.135096
Chesapeake,5/20/2020,Black or African American,142,40,5,2020-05-20 20:06:34.135096
Western Tidewater,5/20/2020,Not Reported,174,1,1,2020-05-20 20:06:34.135096
Cumberland Plateau,5/20/2020,Not Reported,1,0,0,2020-05-20 20:06:34.135096
Western Tidewater,5/20/2020,Other,25,1,2,2020-05-20 20:06:34.135096
Loudoun,5/20/2020,Black or African American,83,10,2,2020-05-20 20:06:34.135096
Virginia Beach,5/20/2020,White,291,48,14,2020-05-20 20:06:34.135096
Chickahominy,5/20/2020,Other,15,5,0,2020-05-20 20:06:34.135096
New River,5/20/2020,Black or African American,5,1,0,2020-05-20 20:06:34.135096
Virginia Beach,5/20/2020,Not Reported,75,3,0,2020-05-20 20:06:34.135096
Rappahannock Rapidan,5/20/2020,Other,52,12,0,2020-05-20 20:06:34.135096
Piedmont,5/20/2020,Not Reported,270,7,1,2020-05-20 20:06:34.135096
Portsmouth,5/20/2020,Other,16,2,0,2020-05-20 20:06:34.135096
Pittsylvania-Danville,5/20/2020,Not Reported,11,3,0,2020-05-20 20:06:34.135096
West Piedmont,5/20/2020,Not Reported,14,1,0,2020-05-20 20:06:34.135096
Norfolk,5/20/2020,White,104,17,2,2020-05-20 20:06:34.135096
Roanoke,5/21/2020,Black or African American,17,4,2,2020-05-21 20:59:55.779002
Alleghany,5/21/2020,Black or African American,5,1,0,2020-05-21 20:59:55.779002
Richmond,5/21/2020,Not Reported,200,3,0,2020-05-21 20:59:55.779002
Central Virginia,5/21/2020,Other,2,1,0,2020-05-21 20:59:55.779002
Rappahannock,5/21/2020,Other,259,38,1,2020-05-21 20:59:55.779002
Roanoke,5/21/2020,Other,2,0,0,2020-05-21 20:59:55.779002
Piedmont,5/21/2020,Black or African American,189,24,1,2020-05-21 20:59:55.779002
Chesterfield,5/21/2020,Other,137,1,0,2020-05-21 20:59:55.779002
Portsmouth,5/21/2020,Black or African American,117,27,7,2020-05-21 20:59:55.779002
Portsmouth,5/21/2020,Not Reported,58,2,2,2020-05-21 20:59:55.779002
Norfolk,5/21/2020,Not Reported,48,0,0,2020-05-21 20:59:55.779002
Eastern Shore,5/21/2020,White,241,12,12,2020-05-21 20:59:55.779002
Eastern Shore,5/21/2020,Not Reported,108,1,0,2020-05-21 20:59:55.779002
Roanoke,5/21/2020,White,73,3,6,2020-05-21 20:59:55.779002
Three Rivers,5/21/2020,Other,37,3,0,2020-05-21 20:59:55.779002
Fairfax,5/21/2020,Other,3625,582,67,2020-05-21 20:59:55.779002
Henrico,5/21/2020,Not Reported,232,1,1,2020-05-21 20:59:55.779002
Lord Fairfax,5/21/2020,Other,145,16,5,2020-05-21 20:59:55.779002
Piedmont,5/21/2020,Other,14,3,0,2020-05-21 20:59:55.779002
Lenowisco,5/21/2020,Black or African American,0,0,0,2020-05-21 20:59:55.779002
Arlington,5/21/2020,White,538,112,41,2020-05-21 20:59:55.779002
Hampton,5/21/2020,Black or African American,98,24,3,2020-05-21 20:59:55.779002
Alexandria,5/21/2020,White,598,63,23,2020-05-21 20:59:55.779002
Hampton,5/21/2020,Not Reported,25,0,0,2020-05-21 20:59:55.779002
Mount Rogers,5/21/2020,White,210,17,6,2020-05-21 20:59:55.779002
Alexandria,5/21/2020,Not Reported,463,14,5,2020-05-21 20:59:55.779002
Chickahominy,5/21/2020,Black or African American,67,25,7,2020-05-21 20:59:55.779002
Chesapeake,5/21/2020,Black or African American,147,40,5,2020-05-21 20:59:55.779002
Western Tidewater,5/21/2020,Not Reported,179,2,1,2020-05-21 20:59:55.779002
Cumberland Plateau,5/21/2020,Not Reported,1,0,0,2020-05-21 20:59:55.779002
Western Tidewater,5/21/2020,Other,25,1,2,2020-05-21 20:59:55.779002
Loudoun,5/21/2020,Black or African American,84,10,2,2020-05-21 20:59:55.779002
Virginia Beach,5/21/2020,White,300,48,14,2020-05-21 20:59:55.779002
Prince William,5/21/2020,Other,1079,154,9,2020-05-21 20:59:55.779002
Arlington,5/21/2020,Not Reported,730,77,10,2020-05-21 20:59:55.779002
West Piedmont,5/21/2020,Black or African American,28,5,0,2020-05-21 20:59:55.779002
Peninsula,5/21/2020,Other,27,6,1,2020-05-21 20:59:55.779002
Norfolk,5/21/2020,Other,26,4,0,2020-05-21 20:59:55.779002
Lord Fairfax,5/21/2020,Black or African American,37,3,1,2020-05-21 20:59:55.779002
Mount Rogers,5/21/2020,Not Reported,19,1,0,2020-05-21 20:59:55.779002
Central Virginia,5/21/2020,Black or African American,19,2,1,2020-05-21 20:59:55.779002
West Piedmont,5/21/2020,Other,12,1,1,2020-05-21 20:59:55.779002
Portsmouth,5/21/2020,White,54,9,2,2020-05-21 20:59:55.779002
Thomas Jefferson,5/21/2020,Not Reported,20,0,0,2020-05-21 20:59:55.779002
Three Rivers,5/21/2020,Not Reported,104,4,3,2020-05-21 20:59:55.779002
Virginia Beach,5/21/2020,Black or African American,139,17,3,2020-05-21 20:59:55.779002
Prince William,5/21/2020,Black or African American,387,76,18,2020-05-21 20:59:55.779002
Loudoun,5/21/2020,Not Reported,680,4,6,2020-05-21 20:59:55.779002
Loudoun,5/21/2020,White,562,84,34,2020-05-21 20:59:55.779002
Peninsula,5/21/2020,Not Reported,84,3,0,2020-05-21 20:59:55.779002
Pittsylvania-Danville,5/21/2020,Black or African American,26,6,0,2020-05-21 20:59:55.779002
Henrico,5/21/2020,White,458,69,61,2020-05-21 20:59:55.779002
Richmond,5/21/2020,White,166,18,3,2020-05-21 20:59:55.779002
Southside,5/21/2020,Black or African American,42,10,2,2020-05-21 20:59:55.779002
Chickahominy,5/21/2020,White,173,44,18,2020-05-21 20:59:55.779002
Thomas Jefferson,5/21/2020,Other,45,5,1,2020-05-21 20:59:55.779002
Virginia Beach,5/21/2020,Other,66,19,2,2020-05-21 20:59:55.779002
Central Shenandoah,5/21/2020,Black or African American,63,3,2,2020-05-21 20:59:55.779002
Chesterfield,5/21/2020,White,334,34,20,2020-05-21 20:59:55.779002
Central Virginia,5/21/2020,White,70,9,2,2020-05-21 20:59:55.779002
Rappahannock,5/21/2020,White,333,48,10,2020-05-21 20:59:55.779002
New River,5/21/2020,White,56,11,1,2020-05-21 20:59:55.779002
Mount Rogers,5/21/2020,Other,23,1,0,2020-05-21 20:59:55.779002
Crater,5/21/2020,White,84,17,5,2020-05-21 20:59:55.779002
Alleghany,5/21/2020,Not Reported,46,3,0,2020-05-21 20:59:55.779002
Arlington,5/21/2020,Other,371,109,17,2020-05-21 20:59:55.779002
Piedmont,5/21/2020,White,152,7,3,2020-05-21 20:59:55.779002
Cumberland Plateau,5/21/2020,Other,0,0,0,2020-05-21 20:59:55.779002
Pittsylvania-Danville,5/21/2020,White,34,14,2,2020-05-21 20:59:55.779002
