deaths,fips,hospitalizations,locality,report_date,total_cases,vdh_health_district
22,51003,83,Albemarle,2020-10-11 00:00:00,1430,Thomas Jefferson
4,51005,8,Alleghany,2020-10-11 00:00:00,82,Alleghany
5,51007,14,Amelia,2020-10-11 00:00:00,131,Piedmont
4,51009,17,Amherst,2020-10-11 00:00:00,469,Central Virginia
4,51011,15,Appomattox,2020-10-11 00:00:00,242,Central Virginia
152,51013,510,Arlington,2020-10-11 00:00:00,4187,Arlington
7,51015,25,Augusta,2020-10-11 00:00:00,569,Central Shenandoah
0,51017,1,Bath,2020-10-11 00:00:00,19,Central Shenandoah
15,51019,44,Bedford,2020-10-11 00:00:00,942,Central Virginia
5,51021,3,Bland,2020-10-11 00:00:00,64,Mount Rogers
11,51023,24,Botetourt,2020-10-11 00:00:00,330,Alleghany
5,51025,30,Brunswick,2020-10-11 00:00:00,392,Southside
2,51027,13,Buchanan,2020-10-11 00:00:00,204,Cumberland Plateau
9,51029,25,Buckingham,2020-10-11 00:00:00,712,Piedmont
5,51031,21,Campbell,2020-10-11 00:00:00,557,Central Virginia
5,51033,30,Caroline,2020-10-11 00:00:00,379,Rappahannock
25,51035,47,Carroll,2020-10-11 00:00:00,525,Mount Rogers
5,51036,21,Charles City,2020-10-11 00:00:00,87,Chickahominy
0,51037,8,Charlotte,2020-10-11 00:00:00,174,Piedmont
98,51041,383,Chesterfield,2020-10-11 00:00:00,6364,Chesterfield
1,51043,12,Clarke,2020-10-11 00:00:00,105,Lord Fairfax
0,51045,2,Craig,2020-10-11 00:00:00,36,Alleghany
18,51047,94,Culpeper,2020-10-11 00:00:00,1246,Rappahannock Rapidan
2,51049,8,Cumberland,2020-10-11 00:00:00,110,Piedmont
1,51051,8,Dickenson,2020-10-11 00:00:00,109,Cumberland Plateau
11,51053,40,Dinwiddie,2020-10-11 00:00:00,439,Crater
2,51057,12,Essex,2020-10-11 00:00:00,184,Three Rivers
599,51059,2191,Fairfax,2020-10-11 00:00:00,21952,Fairfax
25,51061,50,Fauquier,2020-10-11 00:00:00,1000,Rappahannock Rapidan
16,51063,12,Floyd,2020-10-11 00:00:00,224,New River
9,51065,37,Fluvanna,2020-10-11 00:00:00,394,Thomas Jefferson
4,51067,22,Franklin County,2020-10-11 00:00:00,501,West Piedmont
13,51069,68,Frederick,2020-10-11 00:00:00,1012,Lord Fairfax
0,51071,3,Giles,2020-10-11 00:00:00,99,New River
