Health District Name,Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
Lord Fairfax,6/15/2020,Male,826,76,30,2020-06-15 22:13:41.671905
Three Rivers,6/15/2020,Male,398,16,2,2020-06-15 22:13:41.671905
Richmond,6/15/2020,Not Reported,46,2,2,2020-06-15 22:13:41.671905
Pittsylvania-Danville,6/15/2020,Male,60,16,1,2020-06-15 22:13:41.671905
Portsmouth,6/15/2020,Not Reported,3,0,0,2020-06-15 22:13:41.671905
Norfolk,6/15/2020,Not Reported,1,0,0,2020-06-15 22:13:41.671905
Chesapeake,6/15/2020,Male,295,52,9,2020-06-15 22:13:41.671905
Chickahominy,6/15/2020,Female,314,48,16,2020-06-15 22:13:41.671905
Prince William,6/15/2020,Male,4147,411,76,2020-06-15 22:13:41.671905
Eastern Shore,6/15/2020,Not Reported,3,0,0,2020-06-15 22:13:41.671905
Eastern Shore,6/15/2020,Male,626,44,19,2020-06-15 22:13:41.671905
Rappahannock Rapidan,6/15/2020,Male,680,62,11,2020-06-15 22:13:41.671905
Henrico,6/15/2020,Not Reported,9,0,1,2020-06-15 22:13:41.671905
Cumberland Plateau,6/15/2020,Female,19,1,0,2020-06-15 22:13:41.671905
West Piedmont,6/15/2020,Male,163,19,3,2020-06-15 22:13:41.671905
Hampton,6/15/2020,Not Reported,2,0,0,2020-06-15 22:13:41.671905
Alexandria,6/15/2020,Not Reported,9,0,0,2020-06-15 22:13:41.671905
Western Tidewater,6/15/2020,Not Reported,2,0,0,2020-06-15 22:13:41.671905
Cumberland Plateau,6/15/2020,Not Reported,0,0,0,2020-06-15 22:13:41.671905
Virginia Beach,6/15/2020,Male,422,58,16,2020-06-15 22:13:41.671905
Alleghany,6/15/2020,Female,139,10,9,2020-06-15 22:13:41.671905
Lenowisco,6/15/2020,Female,22,8,1,2020-06-15 22:13:41.671905
Virginia Beach,6/15/2020,Not Reported,6,0,0,2020-06-15 22:13:41.671905
Western Tidewater,6/15/2020,Female,347,29,19,2020-06-15 22:13:41.671905
Mount Rogers,6/15/2020,Male,252,43,13,2020-06-15 22:13:41.671905
Lord Fairfax,6/15/2020,Female,891,71,31,2020-06-15 22:13:41.671905
Piedmont,6/15/2020,Not Reported,1,0,0,2020-06-15 22:13:41.671905
Alexandria,6/15/2020,Male,1049,124,22,2020-06-15 22:13:41.671905
Pittsylvania-Danville,6/15/2020,Not Reported,1,0,0,2020-06-15 22:13:41.671905
West Piedmont,6/15/2020,Not Reported,6,0,0,2020-06-15 22:13:41.671905
Loudoun,6/15/2020,Female,1712,97,39,2020-06-15 22:13:41.671905
Hampton,6/15/2020,Female,129,14,2,2020-06-15 22:13:41.671905
Henrico,6/15/2020,Female,1262,114,67,2020-06-15 22:13:41.671905
Prince William,6/15/2020,Not Reported,93,1,0,2020-06-15 22:13:41.671905
Chickahominy,6/15/2020,Male,247,52,19,2020-06-15 22:13:41.671905
Rappahannock Rapidan,6/15/2020,Not Reported,32,2,1,2020-06-15 22:13:41.671905
Peninsula,6/15/2020,Female,414,59,21,2020-06-15 22:13:41.671905
Lenowisco,6/15/2020,Not Reported,0,0,0,2020-06-15 22:13:41.671905
Crater,6/15/2020,Not Reported,17,3,0,2020-06-15 22:13:41.671905
Chickahominy,6/15/2020,Not Reported,7,1,0,2020-06-15 22:13:41.671905
Portsmouth,6/15/2020,Male,201,25,6,2020-06-15 22:13:41.671905
New River,6/15/2020,Female,74,7,0,2020-06-15 22:13:41.671905
Rappahannock,6/15/2020,Female,1120,82,9,2020-06-15 22:13:41.671905
Central Virginia,6/15/2020,Female,130,8,0,2020-06-15 22:13:41.671905
Roanoke,6/15/2020,Not Reported,6,0,0,2020-06-15 22:13:41.671905
West Piedmont,6/15/2020,Female,162,14,2,2020-06-15 22:13:41.671905
Mount Rogers,6/15/2020,Female,313,20,9,2020-06-15 22:13:41.671905
Piedmont,6/15/2020,Male,645,39,4,2020-06-15 22:13:41.671905
Chesterfield,6/15/2020,Female,1163,59,26,2020-06-15 22:13:41.671905
Fairfax,6/15/2020,Male,6426,847,216,2020-06-15 22:13:41.671905
Crater,6/15/2020,Male,728,45,7,2020-06-15 22:13:41.671905
Central Virginia,6/15/2020,Not Reported,0,0,0,2020-06-15 22:13:41.671905
Prince William,6/15/2020,Female,4066,332,65,2020-06-15 22:13:41.671905
Virginia Beach,6/15/2020,Female,471,50,11,2020-06-15 22:13:41.671905
Norfolk,6/15/2020,Female,333,42,1,2020-06-15 22:13:41.671905
Three Rivers,6/15/2020,Female,168,30,7,2020-06-15 22:13:41.671905
Arlington,6/15/2020,Male,1180,221,65,2020-06-15 22:13:41.671905
Central Shenandoah,6/15/2020,Female,958,77,17,2020-06-15 22:13:41.671905
Southside,6/15/2020,Female,207,23,16,2020-06-15 22:13:41.671905
Southside,6/16/2020,Not Reported,4,0,0,2020-06-16 20:30:14.941698
Chesapeake,6/16/2020,Female,375,50,7,2020-06-16 20:30:14.941698
Richmond,6/16/2020,Female,867,77,6,2020-06-16 20:30:14.941698
Roanoke,6/16/2020,Male,115,6,2,2020-06-16 20:30:14.941698
Fairfax,6/16/2020,Not Reported,138,5,3,2020-06-16 20:30:14.941698
Thomas Jefferson,6/16/2020,Female,371,43,9,2020-06-16 20:30:14.941698
Chesapeake,6/16/2020,Not Reported,2,0,0,2020-06-16 20:30:14.941698
Cumberland Plateau,6/16/2020,Male,17,1,0,2020-06-16 20:30:14.941698
Eastern Shore,6/16/2020,Female,637,53,22,2020-06-16 20:30:14.941698
Lord Fairfax,6/16/2020,Not Reported,14,0,0,2020-06-16 20:30:14.941698
Rappahannock,6/16/2020,Not Reported,16,1,0,2020-06-16 20:30:14.941698
Central Shenandoah,6/16/2020,Not Reported,0,0,0,2020-06-16 20:30:14.941698
Peninsula,6/16/2020,Male,360,62,12,2020-06-16 20:30:14.941698
Norfolk,6/16/2020,Male,345,42,6,2020-06-16 20:30:14.941698
Alexandria,6/16/2020,Female,1106,100,25,2020-06-16 20:30:14.941698
Lenowisco,6/16/2020,Male,24,8,3,2020-06-16 20:30:14.941698
Pittsylvania-Danville,6/16/2020,Female,75,16,2,2020-06-16 20:30:14.941698
New River,6/16/2020,Not Reported,3,0,0,2020-06-16 20:30:14.941698
Chesterfield,6/16/2020,Not Reported,78,0,1,2020-06-16 20:30:14.941698
Loudoun,6/16/2020,Male,1690,108,30,2020-06-16 20:30:14.941698
Rappahannock Rapidan,6/16/2020,Female,652,39,6,2020-06-16 20:30:14.941698
Piedmont,6/16/2020,Female,251,34,3,2020-06-16 20:30:14.941698
Richmond,6/16/2020,Male,934,112,21,2020-06-16 20:30:14.941698
Crater,6/16/2020,Female,508,68,14,2020-06-16 20:30:14.941698
Portsmouth,6/16/2020,Female,183,34,6,2020-06-16 20:30:14.941698
Arlington,6/16/2020,Not Reported,10,1,0,2020-06-16 20:30:14.941698
Mount Rogers,6/16/2020,Not Reported,3,0,0,2020-06-16 20:30:14.941698
Thomas Jefferson,6/16/2020,Not Reported,7,0,0,2020-06-16 20:30:14.941698
Three Rivers,6/16/2020,Not Reported,18,0,0,2020-06-16 20:30:14.941698
Hampton,6/16/2020,Male,112,23,3,2020-06-16 20:30:14.941698
Alleghany,6/16/2020,Male,129,17,5,2020-06-16 20:30:14.941698
Roanoke,6/16/2020,Female,149,5,8,2020-06-16 20:30:14.941698
Loudoun,6/16/2020,Not Reported,20,0,2,2020-06-16 20:30:14.941698
Fairfax,6/16/2020,Female,6655,670,221,2020-06-16 20:30:14.941698
Western Tidewater,6/16/2020,Male,353,49,27,2020-06-16 20:30:14.941698
Peninsula,6/16/2020,Not Reported,4,0,0,2020-06-16 20:30:14.941698
New River,6/16/2020,Male,74,11,4,2020-06-16 20:30:14.941698
Central Shenandoah,6/16/2020,Male,833,69,14,2020-06-16 20:30:14.941698
Southside,6/16/2020,Male,111,22,10,2020-06-16 20:30:14.941698
Chesterfield,6/16/2020,Male,1152,68,29,2020-06-16 20:30:14.941698
Arlington,6/16/2020,Female,1164,183,59,2020-06-16 20:30:14.941698
Rappahannock,6/16/2020,Male,1011,109,21,2020-06-16 20:30:14.941698
Central Virginia,6/16/2020,Male,146,9,4,2020-06-16 20:30:14.941698
Alleghany,6/16/2020,Not Reported,3,0,0,2020-06-16 20:30:14.941698
Henrico,6/16/2020,Male,1028,125,67,2020-06-16 20:30:14.941698
Thomas Jefferson,6/16/2020,Male,339,38,10,2020-06-16 20:30:14.941698
Lord Fairfax,6/16/2020,Male,834,77,31,2020-06-16 20:30:14.941698
Three Rivers,6/16/2020,Male,399,16,3,2020-06-16 20:30:14.941698
Richmond,6/16/2020,Not Reported,47,2,2,2020-06-16 20:30:14.941698
Pittsylvania-Danville,6/16/2020,Male,60,16,1,2020-06-16 20:30:14.941698
Portsmouth,6/16/2020,Not Reported,3,0,0,2020-06-16 20:30:14.941698
Norfolk,6/16/2020,Not Reported,1,0,0,2020-06-16 20:30:14.941698
Chesapeake,6/16/2020,Male,301,52,9,2020-06-16 20:30:14.941698
Chickahominy,6/16/2020,Female,316,49,16,2020-06-16 20:30:14.941698
Prince William,6/16/2020,Male,4165,415,83,2020-06-16 20:30:14.941698
Eastern Shore,6/16/2020,Not Reported,7,0,0,2020-06-16 20:30:14.941698
Eastern Shore,6/16/2020,Male,627,49,19,2020-06-16 20:30:14.941698
Rappahannock Rapidan,6/16/2020,Male,687,62,11,2020-06-16 20:30:14.941698
Henrico,6/16/2020,Not Reported,10,0,1,2020-06-16 20:30:14.941698
Cumberland Plateau,6/16/2020,Female,19,1,0,2020-06-16 20:30:14.941698
West Piedmont,6/16/2020,Male,167,19,3,2020-06-16 20:30:14.941698
Hampton,6/16/2020,Not Reported,2,0,0,2020-06-16 20:30:14.941698
Alexandria,6/16/2020,Not Reported,9,0,0,2020-06-16 20:30:14.941698
Western Tidewater,6/16/2020,Not Reported,2,0,0,2020-06-16 20:30:14.941698
Cumberland Plateau,6/16/2020,Not Reported,0,0,0,2020-06-16 20:30:14.941698
Virginia Beach,6/16/2020,Male,425,60,16,2020-06-16 20:30:14.941698
Alleghany,6/16/2020,Female,146,10,9,2020-06-16 20:30:14.941698
Lenowisco,6/16/2020,Female,22,8,1,2020-06-16 20:30:14.941698
Virginia Beach,6/16/2020,Not Reported,7,0,0,2020-06-16 20:30:14.941698
Western Tidewater,6/16/2020,Female,349,29,19,2020-06-16 20:30:14.941698
Mount Rogers,6/16/2020,Male,253,43,13,2020-06-16 20:30:14.941698
Lord Fairfax,6/16/2020,Female,901,71,31,2020-06-16 20:30:14.941698
Piedmont,6/16/2020,Not Reported,1,0,0,2020-06-16 20:30:14.941698
Alexandria,6/16/2020,Male,1053,124,22,2020-06-16 20:30:14.941698
Pittsylvania-Danville,6/16/2020,Not Reported,1,0,0,2020-06-16 20:30:14.941698
West Piedmont,6/16/2020,Not Reported,5,0,0,2020-06-16 20:30:14.941698
Loudoun,6/16/2020,Female,1729,98,44,2020-06-16 20:30:14.941698
Hampton,6/16/2020,Female,132,14,2,2020-06-16 20:30:14.941698
Henrico,6/16/2020,Female,1273,115,69,2020-06-16 20:30:14.941698
Prince William,6/16/2020,Not Reported,90,1,0,2020-06-16 20:30:14.941698
Chickahominy,6/16/2020,Male,247,52,19,2020-06-16 20:30:14.941698
Rappahannock Rapidan,6/16/2020,Not Reported,33,2,1,2020-06-16 20:30:14.941698
Peninsula,6/16/2020,Female,421,61,21,2020-06-16 20:30:14.941698
Lenowisco,6/16/2020,Not Reported,0,0,0,2020-06-16 20:30:14.941698
Crater,6/16/2020,Not Reported,16,3,0,2020-06-16 20:30:14.941698
Chickahominy,6/16/2020,Not Reported,7,1,0,2020-06-16 20:30:14.941698
Portsmouth,6/16/2020,Male,201,25,6,2020-06-16 20:30:14.941698
New River,6/16/2020,Female,75,7,0,2020-06-16 20:30:14.941698
Rappahannock,6/16/2020,Female,1139,82,9,2020-06-16 20:30:14.941698
Central Virginia,6/16/2020,Female,134,8,0,2020-06-16 20:30:14.941698
Roanoke,6/16/2020,Not Reported,6,0,0,2020-06-16 20:30:14.941698
West Piedmont,6/16/2020,Female,169,14,2,2020-06-16 20:30:14.941698
Mount Rogers,6/16/2020,Female,317,20,9,2020-06-16 20:30:14.941698
Piedmont,6/16/2020,Male,660,39,4,2020-06-16 20:30:14.941698
Chesterfield,6/16/2020,Female,1199,60,26,2020-06-16 20:30:14.941698
Fairfax,6/16/2020,Male,6435,852,217,2020-06-16 20:30:14.941698
Crater,6/16/2020,Male,729,46,7,2020-06-16 20:30:14.941698
Central Virginia,6/16/2020,Not Reported,0,0,0,2020-06-16 20:30:14.941698
Prince William,6/16/2020,Female,4071,337,64,2020-06-16 20:30:14.941698
Virginia Beach,6/16/2020,Female,477,50,11,2020-06-16 20:30:14.941698
Norfolk,6/16/2020,Female,335,42,1,2020-06-16 20:30:14.941698
Three Rivers,6/16/2020,Female,169,30,7,2020-06-16 20:30:14.941698
Arlington,6/16/2020,Male,1189,223,66,2020-06-16 20:30:14.941698
Central Shenandoah,6/16/2020,Female,965,77,17,2020-06-16 20:30:14.941698
Southside,6/16/2020,Female,208,23,16,2020-06-16 20:30:14.941698
Southside,6/17/2020,Not Reported,4,0,0,2020-06-17 21:18:16.620133
Chesapeake,6/17/2020,Female,379,51,7,2020-06-17 21:18:16.620133
Richmond,6/17/2020,Female,878,80,6,2020-06-17 21:18:16.620133
Roanoke,6/17/2020,Male,117,6,2,2020-06-17 21:18:16.620133
Fairfax,6/17/2020,Not Reported,136,5,3,2020-06-17 21:18:16.620133
Thomas Jefferson,6/17/2020,Female,374,43,9,2020-06-17 21:18:16.620133
Chesapeake,6/17/2020,Not Reported,1,0,0,2020-06-17 21:18:16.620133
Cumberland Plateau,6/17/2020,Male,18,1,0,2020-06-17 21:18:16.620133
Eastern Shore,6/17/2020,Female,638,55,22,2020-06-17 21:18:16.620133
Lord Fairfax,6/17/2020,Not Reported,14,0,0,2020-06-17 21:18:16.620133
Rappahannock,6/17/2020,Not Reported,15,1,0,2020-06-17 21:18:16.620133
Central Shenandoah,6/17/2020,Not Reported,0,0,0,2020-06-17 21:18:16.620133
Peninsula,6/17/2020,Male,366,62,12,2020-06-17 21:18:16.620133
Norfolk,6/17/2020,Male,351,43,6,2020-06-17 21:18:16.620133
Alexandria,6/17/2020,Female,1108,101,26,2020-06-17 21:18:16.620133
Lenowisco,6/17/2020,Male,24,8,3,2020-06-17 21:18:16.620133
Pittsylvania-Danville,6/17/2020,Female,76,16,2,2020-06-17 21:18:16.620133
New River,6/17/2020,Not Reported,3,0,0,2020-06-17 21:18:16.620133
Chesterfield,6/17/2020,Not Reported,79,0,1,2020-06-17 21:18:16.620133
Loudoun,6/17/2020,Male,1697,113,30,2020-06-17 21:18:16.620133
Rappahannock Rapidan,6/17/2020,Female,657,39,6,2020-06-17 21:18:16.620133
Piedmont,6/17/2020,Female,251,36,3,2020-06-17 21:18:16.620133
Richmond,6/17/2020,Male,947,113,20,2020-06-17 21:18:16.620133
Crater,6/17/2020,Female,521,71,14,2020-06-17 21:18:16.620133
Portsmouth,6/17/2020,Female,187,35,7,2020-06-17 21:18:16.620133
Arlington,6/17/2020,Not Reported,4,1,0,2020-06-17 21:18:16.620133
Mount Rogers,6/17/2020,Not Reported,3,0,0,2020-06-17 21:18:16.620133
Thomas Jefferson,6/17/2020,Not Reported,4,0,0,2020-06-17 21:18:16.620133
Three Rivers,6/17/2020,Not Reported,18,0,0,2020-06-17 21:18:16.620133
Hampton,6/17/2020,Male,113,23,3,2020-06-17 21:18:16.620133
Alleghany,6/17/2020,Male,135,18,5,2020-06-17 21:18:16.620133
Roanoke,6/17/2020,Female,154,6,8,2020-06-17 21:18:16.620133
Loudoun,6/17/2020,Not Reported,20,0,2,2020-06-17 21:18:16.620133
Fairfax,6/17/2020,Female,6674,671,220,2020-06-17 21:18:16.620133
Western Tidewater,6/17/2020,Male,354,49,27,2020-06-17 21:18:16.620133
Peninsula,6/17/2020,Not Reported,4,0,0,2020-06-17 21:18:16.620133
New River,6/17/2020,Male,74,11,4,2020-06-17 21:18:16.620133
Central Shenandoah,6/17/2020,Male,843,69,15,2020-06-17 21:18:16.620133
Southside,6/17/2020,Male,115,22,10,2020-06-17 21:18:16.620133
Chesterfield,6/17/2020,Male,1189,68,30,2020-06-17 21:18:16.620133
Arlington,6/17/2020,Female,1176,186,60,2020-06-17 21:18:16.620133
Rappahannock,6/17/2020,Male,1019,109,21,2020-06-17 21:18:16.620133
Central Virginia,6/17/2020,Male,147,9,4,2020-06-17 21:18:16.620133
Alleghany,6/17/2020,Not Reported,3,0,0,2020-06-17 21:18:16.620133
Henrico,6/17/2020,Male,1039,126,68,2020-06-17 21:18:16.620133
Thomas Jefferson,6/17/2020,Male,344,38,10,2020-06-17 21:18:16.620133
Lord Fairfax,6/17/2020,Male,842,78,30,2020-06-17 21:18:16.620133
Three Rivers,6/17/2020,Male,399,16,3,2020-06-17 21:18:16.620133
Richmond,6/17/2020,Not Reported,47,2,2,2020-06-17 21:18:16.620133
Pittsylvania-Danville,6/17/2020,Male,62,16,1,2020-06-17 21:18:16.620133
Portsmouth,6/17/2020,Not Reported,3,0,0,2020-06-17 21:18:16.620133
Norfolk,6/17/2020,Not Reported,1,0,0,2020-06-17 21:18:16.620133
Chesapeake,6/17/2020,Male,304,52,9,2020-06-17 21:18:16.620133
Chickahominy,6/17/2020,Female,321,49,16,2020-06-17 21:18:16.620133
Prince William,6/17/2020,Male,4180,416,83,2020-06-17 21:18:16.620133
Eastern Shore,6/17/2020,Not Reported,18,0,0,2020-06-17 21:18:16.620133
Eastern Shore,6/17/2020,Male,627,50,19,2020-06-17 21:18:16.620133
Rappahannock Rapidan,6/17/2020,Male,693,62,11,2020-06-17 21:18:16.620133
Henrico,6/17/2020,Not Reported,11,0,1,2020-06-17 21:18:16.620133
Cumberland Plateau,6/17/2020,Female,19,1,0,2020-06-17 21:18:16.620133
West Piedmont,6/17/2020,Male,170,19,3,2020-06-17 21:18:16.620133
Hampton,6/17/2020,Not Reported,2,0,0,2020-06-17 21:18:16.620133
Alexandria,6/17/2020,Not Reported,9,0,0,2020-06-17 21:18:16.620133
Western Tidewater,6/17/2020,Not Reported,2,0,0,2020-06-17 21:18:16.620133
Cumberland Plateau,6/17/2020,Not Reported,0,0,0,2020-06-17 21:18:16.620133
Virginia Beach,6/17/2020,Male,431,60,16,2020-06-17 21:18:16.620133
Alleghany,6/17/2020,Female,149,10,9,2020-06-17 21:18:16.620133
Lenowisco,6/17/2020,Female,22,8,1,2020-06-17 21:18:16.620133
Virginia Beach,6/17/2020,Not Reported,7,0,0,2020-06-17 21:18:16.620133
Western Tidewater,6/17/2020,Female,348,29,19,2020-06-17 21:18:16.620133
Mount Rogers,6/17/2020,Male,257,42,14,2020-06-17 21:18:16.620133
Lord Fairfax,6/17/2020,Female,908,71,32,2020-06-17 21:18:16.620133
Piedmont,6/17/2020,Not Reported,1,0,0,2020-06-17 21:18:16.620133
Alexandria,6/17/2020,Male,1058,124,22,2020-06-17 21:18:16.620133
Pittsylvania-Danville,6/17/2020,Not Reported,1,0,0,2020-06-17 21:18:16.620133
West Piedmont,6/17/2020,Not Reported,5,0,0,2020-06-17 21:18:16.620133
Loudoun,6/17/2020,Female,1741,104,48,2020-06-17 21:18:16.620133
Hampton,6/17/2020,Female,133,14,2,2020-06-17 21:18:16.620133
Henrico,6/17/2020,Female,1282,115,71,2020-06-17 21:18:16.620133
Prince William,6/17/2020,Not Reported,90,1,0,2020-06-17 21:18:16.620133
Chickahominy,6/17/2020,Male,247,52,19,2020-06-17 21:18:16.620133
Rappahannock Rapidan,6/17/2020,Not Reported,32,2,1,2020-06-17 21:18:16.620133
Peninsula,6/17/2020,Female,425,61,21,2020-06-17 21:18:16.620133
Lenowisco,6/17/2020,Not Reported,0,0,0,2020-06-17 21:18:16.620133
Crater,6/17/2020,Not Reported,16,3,0,2020-06-17 21:18:16.620133
Chickahominy,6/17/2020,Not Reported,7,1,0,2020-06-17 21:18:16.620133
Portsmouth,6/17/2020,Male,205,25,6,2020-06-17 21:18:16.620133
New River,6/17/2020,Female,75,7,0,2020-06-17 21:18:16.620133
Rappahannock,6/17/2020,Female,1154,85,9,2020-06-17 21:18:16.620133
Central Virginia,6/17/2020,Female,135,8,0,2020-06-17 21:18:16.620133
Roanoke,6/17/2020,Not Reported,6,0,0,2020-06-17 21:18:16.620133
West Piedmont,6/17/2020,Female,174,13,2,2020-06-17 21:18:16.620133
Mount Rogers,6/17/2020,Female,323,20,9,2020-06-17 21:18:16.620133
Piedmont,6/17/2020,Male,668,40,4,2020-06-17 21:18:16.620133
Chesterfield,6/17/2020,Female,1219,60,26,2020-06-17 21:18:16.620133
Fairfax,6/17/2020,Male,6469,859,220,2020-06-17 21:18:16.620133
Crater,6/17/2020,Male,734,48,7,2020-06-17 21:18:16.620133
Central Virginia,6/17/2020,Not Reported,0,0,0,2020-06-17 21:18:16.620133
Prince William,6/17/2020,Female,4094,338,64,2020-06-17 21:18:16.620133
Virginia Beach,6/17/2020,Female,485,52,12,2020-06-17 21:18:16.620133
Norfolk,6/17/2020,Female,346,42,1,2020-06-17 21:18:16.620133
Three Rivers,6/17/2020,Female,169,30,7,2020-06-17 21:18:16.620133
Arlington,6/17/2020,Male,1192,220,64,2020-06-17 21:18:16.620133
Central Shenandoah,6/17/2020,Female,974,78,17,2020-06-17 21:18:16.620133
Southside,6/17/2020,Female,210,24,16,2020-06-17 21:18:16.620133
Southside,6/18/2020,Not Reported,4,0,0,2020-06-18 21:08:23.582701
Chesapeake,6/18/2020,Female,386,51,7,2020-06-18 21:08:23.582701
Richmond,6/18/2020,Female,892,83,6,2020-06-18 21:08:23.582701
Roanoke,6/18/2020,Male,117,6,2,2020-06-18 21:08:23.582701
Fairfax,6/18/2020,Not Reported,140,5,3,2020-06-18 21:08:23.582701
Thomas Jefferson,6/18/2020,Female,382,43,9,2020-06-18 21:08:23.582701
Chesapeake,6/18/2020,Not Reported,1,0,0,2020-06-18 21:08:23.582701
Cumberland Plateau,6/18/2020,Male,18,1,0,2020-06-18 21:08:23.582701
Eastern Shore,6/18/2020,Female,638,54,22,2020-06-18 21:08:23.582701
Lord Fairfax,6/18/2020,Not Reported,15,0,0,2020-06-18 21:08:23.582701
Rappahannock,6/18/2020,Not Reported,11,1,0,2020-06-18 21:08:23.582701
Central Shenandoah,6/18/2020,Not Reported,0,0,0,2020-06-18 21:08:23.582701
Peninsula,6/18/2020,Male,369,62,12,2020-06-18 21:08:23.582701
Norfolk,6/18/2020,Male,351,44,6,2020-06-18 21:08:23.582701
Alexandria,6/18/2020,Female,1113,102,26,2020-06-18 21:08:23.582701
Lenowisco,6/18/2020,Male,24,8,3,2020-06-18 21:08:23.582701
Pittsylvania-Danville,6/18/2020,Female,78,16,2,2020-06-18 21:08:23.582701
New River,6/18/2020,Not Reported,3,0,0,2020-06-18 21:08:23.582701
Chesterfield,6/18/2020,Not Reported,79,0,1,2020-06-18 21:08:23.582701
Loudoun,6/18/2020,Male,1724,123,31,2020-06-18 21:08:23.582701
Rappahannock Rapidan,6/18/2020,Female,658,39,6,2020-06-18 21:08:23.582701
Piedmont,6/18/2020,Female,258,37,3,2020-06-18 21:08:23.582701
Richmond,6/18/2020,Male,957,113,21,2020-06-18 21:08:23.582701
Crater,6/18/2020,Female,522,72,14,2020-06-18 21:08:23.582701
Portsmouth,6/18/2020,Female,188,35,7,2020-06-18 21:08:23.582701
Arlington,6/18/2020,Not Reported,4,1,0,2020-06-18 21:08:23.582701
Mount Rogers,6/18/2020,Not Reported,2,0,0,2020-06-18 21:08:23.582701
Thomas Jefferson,6/18/2020,Not Reported,4,0,0,2020-06-18 21:08:23.582701
Three Rivers,6/18/2020,Not Reported,18,0,0,2020-06-18 21:08:23.582701
Hampton,6/18/2020,Male,116,23,3,2020-06-18 21:08:23.582701
Alleghany,6/18/2020,Male,136,18,5,2020-06-18 21:08:23.582701
Roanoke,6/18/2020,Female,154,6,8,2020-06-18 21:08:23.582701
Loudoun,6/18/2020,Not Reported,19,0,1,2020-06-18 21:08:23.582701
Fairfax,6/18/2020,Female,6694,678,222,2020-06-18 21:08:23.582701
Western Tidewater,6/18/2020,Male,354,49,27,2020-06-18 21:08:23.582701
Peninsula,6/18/2020,Not Reported,4,0,0,2020-06-18 21:08:23.582701
New River,6/18/2020,Male,75,11,4,2020-06-18 21:08:23.582701
Central Shenandoah,6/18/2020,Male,850,70,15,2020-06-18 21:08:23.582701
Southside,6/18/2020,Male,128,22,10,2020-06-18 21:08:23.582701
Chesterfield,6/18/2020,Male,1230,68,30,2020-06-18 21:08:23.582701
Arlington,6/18/2020,Female,1180,186,60,2020-06-18 21:08:23.582701
Rappahannock,6/18/2020,Male,1034,110,21,2020-06-18 21:08:23.582701
Central Virginia,6/18/2020,Male,146,9,4,2020-06-18 21:08:23.582701
Alleghany,6/18/2020,Not Reported,3,0,0,2020-06-18 21:08:23.582701
Henrico,6/18/2020,Male,1042,126,67,2020-06-18 21:08:23.582701
Thomas Jefferson,6/18/2020,Male,351,38,10,2020-06-18 21:08:23.582701
Lord Fairfax,6/18/2020,Male,851,78,30,2020-06-18 21:08:23.582701
Three Rivers,6/18/2020,Male,402,16,2,2020-06-18 21:08:23.582701
Richmond,6/18/2020,Not Reported,46,2,2,2020-06-18 21:08:23.582701
Pittsylvania-Danville,6/18/2020,Male,65,17,1,2020-06-18 21:08:23.582701
Portsmouth,6/18/2020,Not Reported,3,0,0,2020-06-18 21:08:23.582701
Norfolk,6/18/2020,Not Reported,1,0,0,2020-06-18 21:08:23.582701
Chesapeake,6/18/2020,Male,310,54,9,2020-06-18 21:08:23.582701
Chickahominy,6/18/2020,Female,322,50,16,2020-06-18 21:08:23.582701
Prince William,6/18/2020,Male,4201,418,83,2020-06-18 21:08:23.582701
Eastern Shore,6/18/2020,Not Reported,18,0,0,2020-06-18 21:08:23.582701
Eastern Shore,6/18/2020,Male,629,51,19,2020-06-18 21:08:23.582701
Rappahannock Rapidan,6/18/2020,Male,693,62,11,2020-06-18 21:08:23.582701
Henrico,6/18/2020,Not Reported,11,0,1,2020-06-18 21:08:23.582701
Cumberland Plateau,6/18/2020,Female,19,1,0,2020-06-18 21:08:23.582701
West Piedmont,6/18/2020,Male,172,20,3,2020-06-18 21:08:23.582701
Hampton,6/18/2020,Not Reported,2,0,0,2020-06-18 21:08:23.582701
Alexandria,6/18/2020,Not Reported,10,0,0,2020-06-18 21:08:23.582701
Western Tidewater,6/18/2020,Not Reported,2,0,0,2020-06-18 21:08:23.582701
Cumberland Plateau,6/18/2020,Not Reported,0,0,0,2020-06-18 21:08:23.582701
Virginia Beach,6/18/2020,Male,436,60,15,2020-06-18 21:08:23.582701
Alleghany,6/18/2020,Female,149,10,9,2020-06-18 21:08:23.582701
Lenowisco,6/18/2020,Female,22,8,1,2020-06-18 21:08:23.582701
Virginia Beach,6/18/2020,Not Reported,8,0,0,2020-06-18 21:08:23.582701
Western Tidewater,6/18/2020,Female,349,29,19,2020-06-18 21:08:23.582701
Mount Rogers,6/18/2020,Male,261,42,14,2020-06-18 21:08:23.582701
Lord Fairfax,6/18/2020,Female,920,71,32,2020-06-18 21:08:23.582701
Piedmont,6/18/2020,Not Reported,1,0,0,2020-06-18 21:08:23.582701
Alexandria,6/18/2020,Male,1063,127,22,2020-06-18 21:08:23.582701
Pittsylvania-Danville,6/18/2020,Not Reported,1,0,0,2020-06-18 21:08:23.582701
West Piedmont,6/18/2020,Not Reported,5,0,0,2020-06-18 21:08:23.582701
Loudoun,6/18/2020,Female,1756,105,50,2020-06-18 21:08:23.582701
Hampton,6/18/2020,Female,133,14,2,2020-06-18 21:08:23.582701
