Health District Name,Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
Prince William,4/24/2020,Female,646,68,8,2020-04-24 20:41:10.285310
Loudoun,4/24/2020,Male,259,45,5,2020-04-24 20:41:10.285310
Portsmouth,4/24/2020,Male,42,17,2,2020-04-24 20:41:10.285310
Henrico,4/24/2020,Female,424,48,46,2020-04-24 20:41:10.285310
Thomas Jefferson,4/24/2020,Female,133,27,3,2020-04-24 20:41:10.285310
Pittsylvania-Danville,4/24/2020,Female,25,9,1,2020-04-24 20:41:10.285310
Mount Rogers,4/24/2020,Not Reported,1,0,0,2020-04-24 20:41:10.285310
Chickahominy,4/24/2020,Male,66,20,8,2020-04-24 20:41:10.285310
Prince William,4/24/2020,Male,635,70,12,2020-04-24 20:41:10.285310
Thomas Jefferson,4/24/2020,Male,110,22,8,2020-04-24 20:41:10.285310
Cumberland Plateau,4/24/2020,Male,6,0,0,2020-04-24 20:41:10.285310
Portsmouth,4/24/2020,Not Reported,1,0,0,2020-04-24 20:41:10.285310
Eastern Shore,4/24/2020,Female,51,10,2,2020-04-24 20:41:10.285310
Three Rivers,4/24/2020,Male,89,6,0,2020-04-24 20:41:10.285310
Alexandria,4/24/2020,Male,258,43,9,2020-04-24 20:41:10.285310
Piedmont,4/24/2020,Female,68,6,1,2020-04-24 20:41:10.285310
New River,4/24/2020,Male,31,5,0,2020-04-24 20:41:10.285310
Rappahannock,4/24/2020,Male,164,43,7,2020-04-24 20:41:10.285310
Rappahannock Rapidan,4/24/2020,Male,99,13,2,2020-04-24 20:41:10.285310
Lord Fairfax,4/24/2020,Male,124,17,0,2020-04-24 20:41:10.285310
Chesapeake,4/24/2020,Male,82,22,3,2020-04-24 20:41:10.285310
Norfolk,4/24/2020,Female,84,15,0,2020-04-24 20:41:10.285310
Alleghany,4/24/2020,Female,47,5,2,2020-04-24 20:41:10.285310
Crater,4/24/2020,Male,69,13,3,2020-04-24 20:41:10.285310
Central Shenandoah,4/24/2020,Male,250,22,7,2020-04-24 20:41:10.285310
Rappahannock Rapidan,4/24/2020,Not Reported,6,0,0,2020-04-24 20:41:10.285310
Hampton,4/24/2020,Male,45,17,1,2020-04-24 20:41:10.285310
Southside,4/24/2020,Male,37,14,3,2020-04-24 20:41:10.285310
Hampton,4/24/2020,Female,54,9,0,2020-04-24 20:41:10.285310
Fairfax,4/24/2020,Male,1315,269,45,2020-04-24 20:41:10.285310
Henrico,4/24/2020,Not Reported,6,0,1,2020-04-24 20:41:10.285310
Alexandria,4/24/2020,Female,285,38,6,2020-04-24 20:41:10.285310
Arlington,4/24/2020,Not Reported,5,0,0,2020-04-24 20:41:10.285310
Three Rivers,4/24/2020,Female,33,5,1,2020-04-24 20:41:10.285310
Peninsula,4/24/2020,Male,153,53,7,2020-04-24 20:41:10.285310
Southside,4/24/2020,Female,67,9,4,2020-04-24 20:41:10.285310
Prince William,4/24/2020,Not Reported,10,0,0,2020-04-24 20:41:10.285310
Pittsylvania-Danville,4/24/2020,Male,17,8,1,2020-04-24 20:41:10.285310
Central Virginia,4/24/2020,Female,45,3,0,2020-04-24 20:41:10.285310
