Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
5/26/2020,Chickahominy,Hispanic or Latino,23,2,0,2020-05-26 21:06:18.378753
5/26/2020,Lenowisco,Not Reported,19,4,2,2020-05-26 21:06:18.378753
5/26/2020,New River,Hispanic or Latino,7,1,0,2020-05-26 21:06:18.378753
5/26/2020,Crater,Not Reported,273,28,9,2020-05-26 21:06:18.378753
5/26/2020,Chickahominy,Not Reported,240,14,3,2020-05-26 21:06:18.378753
5/26/2020,Loudoun,Hispanic or Latino,565,51,3,2020-05-26 21:06:18.378753
5/26/2020,Rappahannock Rapidan,Hispanic or Latino,511,37,3,2020-05-26 21:06:18.378753
5/26/2020,Roanoke,Not Reported,42,0,1,2020-05-26 21:06:18.378753
5/26/2020,Rappahannock,Hispanic or Latino,434,49,1,2020-05-26 21:06:18.378753
5/26/2020,Lenowisco,Hispanic or Latino,0,0,0,2020-05-26 21:06:18.378753
5/26/2020,Virginia Beach,Hispanic or Latino,49,6,1,2020-05-26 21:06:18.378753
5/26/2020,Prince William,Not Hispanic or Latino,946,194,81,2020-05-26 21:06:18.378753
5/26/2020,Central Virginia,Not Reported,105,3,0,2020-05-26 21:06:18.378753
5/26/2020,Central Shenandoah,Not Hispanic or Latino,570,73,21,2020-05-26 21:06:18.378753
5/26/2020,Hampton,Hispanic or Latino,11,0,0,2020-05-26 21:06:18.378753
5/26/2020,Roanoke,Hispanic or Latino,29,0,0,2020-05-26 21:06:18.378753
5/27/2020,Southside,Not Reported,164,26,14,2020-05-27 20:42:09.126486
5/27/2020,Lord Fairfax,Hispanic or Latino,292,23,4,2020-05-27 20:42:09.126486
5/27/2020,Eastern Shore,Not Hispanic or Latino,744,60,27,2020-05-27 20:42:09.126486
5/27/2020,Portsmouth,Hispanic or Latino,7,2,0,2020-05-27 20:42:09.126486
5/27/2020,Fairfax,Not Reported,2611,119,114,2020-05-27 20:42:09.126486
5/27/2020,Richmond,Hispanic or Latino,341,34,2,2020-05-27 20:42:09.126486
5/27/2020,Chesapeake,Not Reported,106,7,0,2020-05-27 20:42:09.126486
5/27/2020,Arlington,Hispanic or Latino,654,151,12,2020-05-27 20:42:09.126486
5/27/2020,West Piedmont,Not Hispanic or Latino,95,13,4,2020-05-27 20:42:09.126486
5/27/2020,Fairfax,Not Hispanic or Latino,2634,602,221,2020-05-27 20:42:09.126486
5/27/2020,Piedmont,Hispanic or Latino,17,0,0,2020-05-27 20:42:09.126486
5/27/2020,Crater,Not Hispanic or Latino,265,53,8,2020-05-27 20:42:09.126486
5/27/2020,Chickahominy,Not Hispanic or Latino,198,61,27,2020-05-27 20:42:09.126486
5/27/2020,New River,Not Hispanic or Latino,62,13,1,2020-05-27 20:42:09.126486
5/27/2020,Lord Fairfax,Not Reported,352,23,11,2020-05-27 20:42:09.126486
5/27/2020,Rappahannock,Not Reported,497,21,1,2020-05-27 20:42:09.126486
5/27/2020,Central Shenandoah,Not Reported,215,5,5,2020-05-27 20:42:09.126486
5/27/2020,Central Virginia,Not Hispanic or Latino,74,12,3,2020-05-27 20:42:09.126486
5/27/2020,Lenowisco,Not Hispanic or Latino,23,11,2,2020-05-27 20:42:09.126486
5/27/2020,Cumberland Plateau,Not Hispanic or Latino,18,2,0,2020-05-27 20:42:09.126486
5/27/2020,Western Tidewater,Not Hispanic or Latino,362,62,36,2020-05-27 20:42:09.126486
5/27/2020,New River,Not Reported,32,0,0,2020-05-27 20:42:09.126486
5/27/2020,Chesterfield,Not Reported,852,16,18,2020-05-27 20:42:09.126486
5/27/2020,Chesterfield,Hispanic or Latino,215,9,0,2020-05-27 20:42:09.126486
5/27/2020,Hampton,Not Hispanic or Latino,125,29,3,2020-05-27 20:42:09.126486
5/27/2020,Chesapeake,Not Hispanic or Latino,338,73,13,2020-05-27 20:42:09.126486
5/27/2020,Peninsula,Hispanic or Latino,49,10,1,2020-05-27 20:42:09.126486
5/27/2020,Arlington,Not Reported,761,72,19,2020-05-27 20:42:09.126486
5/27/2020,Roanoke,Not Hispanic or Latino,75,9,8,2020-05-27 20:42:09.126486
5/27/2020,Lord Fairfax,Not Hispanic or Latino,562,66,30,2020-05-27 20:42:09.126486
5/27/2020,Eastern Shore,Hispanic or Latino,151,5,3,2020-05-27 20:42:09.126486
5/27/2020,Mount Rogers,Not Reported,20,2,0,2020-05-27 20:42:09.126486
5/27/2020,Three Rivers,Not Hispanic or Latino,292,24,3,2020-05-27 20:42:09.126486
5/27/2020,Thomas Jefferson,Not Reported,61,0,0,2020-05-27 20:42:09.126486
5/27/2020,Three Rivers,Not Reported,165,10,3,2020-05-27 20:42:09.126486
5/27/2020,Arlington,Not Hispanic or Latino,573,148,78,2020-05-27 20:42:09.126486
5/27/2020,Alleghany,Not Hispanic or Latino,119,17,15,2020-05-27 20:42:09.126486
5/27/2020,Loudoun,Not Reported,1121,6,7,2020-05-27 20:42:09.126486
5/27/2020,Fairfax,Hispanic or Latino,4936,564,41,2020-05-27 20:42:09.126486
5/27/2020,Peninsula,Not Reported,151,3,2,2020-05-27 20:42:09.126486
5/27/2020,Crater,Hispanic or Latino,29,1,0,2020-05-27 20:42:09.126486
5/27/2020,Piedmont,Not Hispanic or Latino,324,31,3,2020-05-27 20:42:09.126486
5/27/2020,Henrico,Hispanic or Latino,154,15,4,2020-05-27 20:42:09.126486
5/27/2020,Alexandria,Not Hispanic or Latino,562,96,33,2020-05-27 20:42:09.126486
5/27/2020,Central Virginia,Hispanic or Latino,14,1,1,2020-05-27 20:42:09.126486
5/27/2020,Alleghany,Not Reported,52,3,1,2020-05-27 20:42:09.126486
5/27/2020,Cumberland Plateau,Hispanic or Latino,0,0,0,2020-05-27 20:42:09.126486
5/27/2020,Western Tidewater,Hispanic or Latino,3,0,0,2020-05-27 20:42:09.126486
5/27/2020,Chesterfield,Not Hispanic or Latino,310,51,24,2020-05-27 20:42:09.126486
5/27/2020,Pittsylvania-Danville,Not Hispanic or Latino,59,19,3,2020-05-27 20:42:09.126486
5/27/2020,Mount Rogers,Hispanic or Latino,126,0,0,2020-05-27 20:42:09.126486
5/27/2020,Richmond,Not Reported,432,28,2,2020-05-27 20:42:09.126486
5/27/2020,Peninsula,Not Hispanic or Latino,375,100,29,2020-05-27 20:42:09.126486
5/27/2020,Chesapeake,Hispanic or Latino,28,5,1,2020-05-27 20:42:09.126486
5/27/2020,Southside,Hispanic or Latino,2,1,0,2020-05-27 20:42:09.126486
5/27/2020,Thomas Jefferson,Not Hispanic or Latino,345,67,19,2020-05-27 20:42:09.126486
5/27/2020,Norfolk,Not Hispanic or Latino,273,54,6,2020-05-27 20:42:09.126486
5/27/2020,Portsmouth,Not Reported,158,7,2,2020-05-27 20:42:09.126486
5/27/2020,Norfolk,Not Reported,103,1,0,2020-05-27 20:42:09.126486
5/27/2020,Three Rivers,Hispanic or Latino,37,0,0,2020-05-27 20:42:09.126486
5/27/2020,Eastern Shore,Not Reported,110,0,0,2020-05-27 20:42:09.126486
5/27/2020,Alleghany,Hispanic or Latino,13,4,0,2020-05-27 20:42:09.126486
5/27/2020,Henrico,Not Reported,615,19,22,2020-05-27 20:42:09.126486
5/27/2020,Henrico,Not Hispanic or Latino,810,146,93,2020-05-27 20:42:09.126486
5/27/2020,Loudoun,Not Hispanic or Latino,580,96,43,2020-05-27 20:42:09.126486
5/27/2020,Hampton,Not Reported,47,1,0,2020-05-27 20:42:09.126486
5/27/2020,Rappahannock Rapidan,Not Hispanic or Latino,222,26,7,2020-05-27 20:42:09.126486
5/27/2020,Alexandria,Not Reported,421,4,3,2020-05-27 20:42:09.126486
5/27/2020,Rappahannock,Not Hispanic or Latino,423,69,14,2020-05-27 20:42:09.126486
5/27/2020,Western Tidewater,Not Reported,251,3,1,2020-05-27 20:42:09.126486
5/27/2020,Cumberland Plateau,Not Reported,14,0,0,2020-05-27 20:42:09.126486
5/27/2020,Alexandria,Hispanic or Latino,841,75,6,2020-05-27 20:42:09.126486
5/27/2020,Virginia Beach,Not Hispanic or Latino,453,78,20,2020-05-27 20:42:09.126486
5/27/2020,Prince William,Hispanic or Latino,2296,314,29,2020-05-27 20:42:09.126486
5/27/2020,Virginia Beach,Not Reported,142,6,1,2020-05-27 20:42:09.126486
5/27/2020,Central Shenandoah,Hispanic or Latino,651,39,2,2020-05-27 20:42:09.126486
5/27/2020,Pittsylvania-Danville,Hispanic or Latino,7,1,0,2020-05-27 20:42:09.126486
5/27/2020,Mount Rogers,Not Hispanic or Latino,169,20,6,2020-05-27 20:42:09.126486
5/27/2020,Piedmont,Not Reported,342,12,3,2020-05-27 20:42:09.126486
5/27/2020,Southside,Not Hispanic or Latino,97,10,8,2020-05-27 20:42:09.126486
5/27/2020,Thomas Jefferson,Hispanic or Latino,64,1,0,2020-05-27 20:42:09.126486
5/27/2020,Pittsylvania-Danville,Not Reported,17,5,0,2020-05-27 20:42:09.126486
5/27/2020,Norfolk,Hispanic or Latino,75,7,0,2020-05-27 20:42:09.126486
5/27/2020,Portsmouth,Not Hispanic or Latino,117,32,9,2020-05-27 20:42:09.126486
5/27/2020,West Piedmont,Not Reported,48,5,2,2020-05-27 20:42:09.126486
5/27/2020,Richmond,Not Hispanic or Latino,339,75,17,2020-05-27 20:42:09.126486
5/27/2020,West Piedmont,Hispanic or Latino,28,0,0,2020-05-27 20:42:09.126486
5/27/2020,Prince William,Not Reported,3063,16,3,2020-05-27 20:42:09.126486
5/27/2020,Rappahannock Rapidan,Not Reported,350,11,1,2020-05-27 20:42:09.126486
5/27/2020,Chickahominy,Hispanic or Latino,26,2,0,2020-05-27 20:42:09.126486
5/27/2020,Lenowisco,Not Reported,19,4,2,2020-05-27 20:42:09.126486
5/27/2020,New River,Hispanic or Latino,7,1,0,2020-05-27 20:42:09.126486
5/27/2020,Crater,Not Reported,299,29,9,2020-05-27 20:42:09.126486
5/27/2020,Chickahominy,Not Reported,241,15,3,2020-05-27 20:42:09.126486
5/27/2020,Loudoun,Hispanic or Latino,573,53,3,2020-05-27 20:42:09.126486
5/27/2020,Rappahannock Rapidan,Hispanic or Latino,517,37,3,2020-05-27 20:42:09.126486
5/27/2020,Roanoke,Not Reported,42,0,1,2020-05-27 20:42:09.126486
5/27/2020,Rappahannock,Hispanic or Latino,461,49,1,2020-05-27 20:42:09.126486
5/27/2020,Lenowisco,Hispanic or Latino,0,0,0,2020-05-27 20:42:09.126486
5/27/2020,Virginia Beach,Hispanic or Latino,51,6,1,2020-05-27 20:42:09.126486
5/27/2020,Prince William,Not Hispanic or Latino,961,196,83,2020-05-27 20:42:09.126486
5/27/2020,Central Virginia,Not Reported,111,3,0,2020-05-27 20:42:09.126486
5/27/2020,Central Shenandoah,Not Hispanic or Latino,581,72,21,2020-05-27 20:42:09.126486
5/27/2020,Hampton,Hispanic or Latino,11,0,0,2020-05-27 20:42:09.126486
5/27/2020,Roanoke,Hispanic or Latino,29,0,0,2020-05-27 20:42:09.126486
5/28/2020,Southside,Not Reported,167,26,14,2020-05-28 20:18:54.156002
5/28/2020,Lord Fairfax,Hispanic or Latino,314,24,4,2020-05-28 20:18:54.156002
5/28/2020,Eastern Shore,Not Hispanic or Latino,773,62,29,2020-05-28 20:18:54.156002
5/28/2020,Portsmouth,Hispanic or Latino,7,2,0,2020-05-28 20:18:54.156002
5/28/2020,Fairfax,Not Reported,2913,117,117,2020-05-28 20:18:54.156002
5/28/2020,Richmond,Hispanic or Latino,350,34,2,2020-05-28 20:18:54.156002
5/28/2020,Chesapeake,Not Reported,96,7,0,2020-05-28 20:18:54.156002
5/28/2020,Arlington,Hispanic or Latino,667,153,12,2020-05-28 20:18:54.156002
5/28/2020,West Piedmont,Not Hispanic or Latino,101,13,3,2020-05-28 20:18:54.156002
5/28/2020,Fairfax,Not Hispanic or Latino,2667,605,226,2020-05-28 20:18:54.156002
5/28/2020,Piedmont,Hispanic or Latino,18,0,0,2020-05-28 20:18:54.156002
5/28/2020,Crater,Not Hispanic or Latino,274,54,9,2020-05-28 20:18:54.156002
5/28/2020,Chickahominy,Not Hispanic or Latino,200,62,28,2020-05-28 20:18:54.156002
5/28/2020,New River,Not Hispanic or Latino,63,13,1,2020-05-28 20:18:54.156002
5/28/2020,Lord Fairfax,Not Reported,374,23,14,2020-05-28 20:18:54.156002
5/28/2020,Rappahannock,Not Reported,494,21,1,2020-05-28 20:18:54.156002
5/28/2020,Central Shenandoah,Not Reported,220,5,5,2020-05-28 20:18:54.156002
5/28/2020,Central Virginia,Not Hispanic or Latino,76,12,3,2020-05-28 20:18:54.156002
5/28/2020,Lenowisco,Not Hispanic or Latino,23,11,2,2020-05-28 20:18:54.156002
5/28/2020,Cumberland Plateau,Not Hispanic or Latino,19,2,0,2020-05-28 20:18:54.156002
5/28/2020,Western Tidewater,Not Hispanic or Latino,366,63,37,2020-05-28 20:18:54.156002
5/28/2020,New River,Not Reported,32,0,0,2020-05-28 20:18:54.156002
5/28/2020,Chesterfield,Not Reported,894,19,21,2020-05-28 20:18:54.156002
5/28/2020,Chesterfield,Hispanic or Latino,238,9,0,2020-05-28 20:18:54.156002
5/28/2020,Hampton,Not Hispanic or Latino,126,29,3,2020-05-28 20:18:54.156002
5/28/2020,Chesapeake,Not Hispanic or Latino,353,74,13,2020-05-28 20:18:54.156002
5/28/2020,Peninsula,Hispanic or Latino,50,10,1,2020-05-28 20:18:54.156002
5/28/2020,Arlington,Not Reported,792,72,19,2020-05-28 20:18:54.156002
5/28/2020,Roanoke,Not Hispanic or Latino,75,9,8,2020-05-28 20:18:54.156002
5/28/2020,Lord Fairfax,Not Hispanic or Latino,591,71,30,2020-05-28 20:18:54.156002
5/28/2020,Eastern Shore,Hispanic or Latino,154,5,3,2020-05-28 20:18:54.156002
5/28/2020,Mount Rogers,Not Reported,20,2,0,2020-05-28 20:18:54.156002
5/28/2020,Three Rivers,Not Hispanic or Latino,296,24,3,2020-05-28 20:18:54.156002
5/28/2020,Thomas Jefferson,Not Reported,60,0,0,2020-05-28 20:18:54.156002
5/28/2020,Three Rivers,Not Reported,166,12,5,2020-05-28 20:18:54.156002
5/28/2020,Arlington,Not Hispanic or Latino,580,148,78,2020-05-28 20:18:54.156002
5/28/2020,Alleghany,Not Hispanic or Latino,119,17,15,2020-05-28 20:18:54.156002
5/28/2020,Loudoun,Not Reported,1149,6,8,2020-05-28 20:18:54.156002
5/28/2020,Fairfax,Hispanic or Latino,5039,564,42,2020-05-28 20:18:54.156002
5/28/2020,Peninsula,Not Reported,151,3,2,2020-05-28 20:18:54.156002
5/28/2020,Crater,Hispanic or Latino,36,1,0,2020-05-28 20:18:54.156002
5/28/2020,Piedmont,Not Hispanic or Latino,335,32,3,2020-05-28 20:18:54.156002
5/28/2020,Henrico,Hispanic or Latino,161,17,4,2020-05-28 20:18:54.156002
5/28/2020,Alexandria,Not Hispanic or Latino,567,97,35,2020-05-28 20:18:54.156002
5/28/2020,Central Virginia,Hispanic or Latino,14,1,1,2020-05-28 20:18:54.156002
5/28/2020,Alleghany,Not Reported,52,3,1,2020-05-28 20:18:54.156002
5/28/2020,Cumberland Plateau,Hispanic or Latino,0,0,0,2020-05-28 20:18:54.156002
5/28/2020,Western Tidewater,Hispanic or Latino,3,0,0,2020-05-28 20:18:54.156002
5/28/2020,Chesterfield,Not Hispanic or Latino,315,52,30,2020-05-28 20:18:54.156002
5/28/2020,Pittsylvania-Danville,Not Hispanic or Latino,63,20,3,2020-05-28 20:18:54.156002
5/28/2020,Mount Rogers,Hispanic or Latino,126,0,0,2020-05-28 20:18:54.156002
5/28/2020,Richmond,Not Reported,436,28,2,2020-05-28 20:18:54.156002
5/28/2020,Peninsula,Not Hispanic or Latino,381,100,29,2020-05-28 20:18:54.156002
5/28/2020,Chesapeake,Hispanic or Latino,32,5,1,2020-05-28 20:18:54.156002
5/28/2020,Southside,Hispanic or Latino,2,1,0,2020-05-28 20:18:54.156002
5/28/2020,Thomas Jefferson,Not Hispanic or Latino,347,67,19,2020-05-28 20:18:54.156002
5/28/2020,Norfolk,Not Hispanic or Latino,277,54,6,2020-05-28 20:18:54.156002
5/28/2020,Portsmouth,Not Reported,160,8,2,2020-05-28 20:18:54.156002
5/28/2020,Norfolk,Not Reported,100,1,0,2020-05-28 20:18:54.156002
5/28/2020,Three Rivers,Hispanic or Latino,42,0,0,2020-05-28 20:18:54.156002
5/28/2020,Eastern Shore,Not Reported,107,0,0,2020-05-28 20:18:54.156002
5/28/2020,Alleghany,Hispanic or Latino,15,4,0,2020-05-28 20:18:54.156002
5/28/2020,Henrico,Not Reported,631,21,23,2020-05-28 20:18:54.156002
5/28/2020,Henrico,Not Hispanic or Latino,832,146,104,2020-05-28 20:18:54.156002
5/28/2020,Loudoun,Not Hispanic or Latino,589,96,50,2020-05-28 20:18:54.156002
5/28/2020,Hampton,Not Reported,53,1,0,2020-05-28 20:18:54.156002
5/28/2020,Rappahannock Rapidan,Not Hispanic or Latino,225,26,7,2020-05-28 20:18:54.156002
5/28/2020,Alexandria,Not Reported,464,4,3,2020-05-28 20:18:54.156002
5/28/2020,Rappahannock,Not Hispanic or Latino,434,70,14,2020-05-28 20:18:54.156002
5/28/2020,Western Tidewater,Not Reported,252,3,1,2020-05-28 20:18:54.156002
5/28/2020,Cumberland Plateau,Not Reported,14,0,0,2020-05-28 20:18:54.156002
5/28/2020,Alexandria,Hispanic or Latino,856,79,6,2020-05-28 20:18:54.156002
5/28/2020,Virginia Beach,Not Hispanic or Latino,463,79,20,2020-05-28 20:18:54.156002
5/28/2020,Prince William,Hispanic or Latino,2354,320,29,2020-05-28 20:18:54.156002
5/28/2020,Virginia Beach,Not Reported,147,6,1,2020-05-28 20:18:54.156002
5/28/2020,Central Shenandoah,Hispanic or Latino,655,40,3,2020-05-28 20:18:54.156002
5/28/2020,Pittsylvania-Danville,Hispanic or Latino,7,1,0,2020-05-28 20:18:54.156002
5/28/2020,Mount Rogers,Not Hispanic or Latino,172,20,6,2020-05-28 20:18:54.156002
5/28/2020,Piedmont,Not Reported,342,12,3,2020-05-28 20:18:54.156002
5/28/2020,Southside,Not Hispanic or Latino,99,11,8,2020-05-28 20:18:54.156002
5/28/2020,Thomas Jefferson,Hispanic or Latino,73,1,0,2020-05-28 20:18:54.156002
5/28/2020,Pittsylvania-Danville,Not Reported,18,6,0,2020-05-28 20:18:54.156002
5/28/2020,Norfolk,Hispanic or Latino,75,7,0,2020-05-28 20:18:54.156002
5/28/2020,Portsmouth,Not Hispanic or Latino,117,32,9,2020-05-28 20:18:54.156002
5/28/2020,West Piedmont,Not Reported,45,6,2,2020-05-28 20:18:54.156002
5/28/2020,Richmond,Not Hispanic or Latino,347,76,17,2020-05-28 20:18:54.156002
5/28/2020,West Piedmont,Hispanic or Latino,33,0,0,2020-05-28 20:18:54.156002
5/28/2020,Prince William,Not Reported,3091,15,3,2020-05-28 20:18:54.156002
5/28/2020,Rappahannock Rapidan,Not Reported,354,12,1,2020-05-28 20:18:54.156002
5/28/2020,Chickahominy,Hispanic or Latino,26,2,0,2020-05-28 20:18:54.156002
5/28/2020,Lenowisco,Not Reported,19,5,2,2020-05-28 20:18:54.156002
5/28/2020,New River,Hispanic or Latino,11,1,0,2020-05-28 20:18:54.156002
5/28/2020,Crater,Not Reported,322,33,9,2020-05-28 20:18:54.156002
5/28/2020,Chickahominy,Not Reported,246,15,4,2020-05-28 20:18:54.156002
5/28/2020,Loudoun,Hispanic or Latino,580,54,5,2020-05-28 20:18:54.156002
5/28/2020,Rappahannock Rapidan,Hispanic or Latino,523,37,4,2020-05-28 20:18:54.156002
5/28/2020,Roanoke,Not Reported,42,0,1,2020-05-28 20:18:54.156002
5/28/2020,Rappahannock,Hispanic or Latino,491,52,1,2020-05-28 20:18:54.156002
5/28/2020,Lenowisco,Hispanic or Latino,0,0,0,2020-05-28 20:18:54.156002
5/28/2020,Virginia Beach,Hispanic or Latino,52,6,1,2020-05-28 20:18:54.156002
5/28/2020,Prince William,Not Hispanic or Latino,964,197,85,2020-05-28 20:18:54.156002
5/28/2020,Central Virginia,Not Reported,111,3,0,2020-05-28 20:18:54.156002
5/28/2020,Central Shenandoah,Not Hispanic or Latino,593,73,22,2020-05-28 20:18:54.156002
5/28/2020,Hampton,Hispanic or Latino,11,0,0,2020-05-28 20:18:54.156002
5/28/2020,Roanoke,Hispanic or Latino,30,0,0,2020-05-28 20:18:54.156002
5/29/2020,Southside,Not Reported,168,26,14,2020-05-29 20:02:00.539473
5/29/2020,Lord Fairfax,Hispanic or Latino,334,24,5,2020-05-29 20:02:00.539473
5/29/2020,Eastern Shore,Not Hispanic or Latino,797,70,29,2020-05-29 20:02:00.539473
5/29/2020,Portsmouth,Hispanic or Latino,9,2,0,2020-05-29 20:02:00.539473
5/29/2020,Fairfax,Not Reported,2992,117,118,2020-05-29 20:02:00.539473
5/29/2020,Richmond,Hispanic or Latino,361,36,2,2020-05-29 20:02:00.539473
5/29/2020,Chesapeake,Not Reported,98,7,0,2020-05-29 20:02:00.539473
5/29/2020,Arlington,Hispanic or Latino,678,154,14,2020-05-29 20:02:00.539473
5/29/2020,West Piedmont,Not Hispanic or Latino,104,13,3,2020-05-29 20:02:00.539473
5/29/2020,Fairfax,Not Hispanic or Latino,2708,611,231,2020-05-29 20:02:00.539473
5/29/2020,Piedmont,Hispanic or Latino,19,0,0,2020-05-29 20:02:00.539473
5/29/2020,Crater,Not Hispanic or Latino,284,56,9,2020-05-29 20:02:00.539473
5/29/2020,Chickahominy,Not Hispanic or Latino,203,64,28,2020-05-29 20:02:00.539473
5/29/2020,New River,Not Hispanic or Latino,64,14,1,2020-05-29 20:02:00.539473
5/29/2020,Lord Fairfax,Not Reported,381,23,14,2020-05-29 20:02:00.539473
5/29/2020,Rappahannock,Not Reported,494,23,1,2020-05-29 20:02:00.539473
5/29/2020,Central Shenandoah,Not Reported,221,5,5,2020-05-29 20:02:00.539473
5/29/2020,Central Virginia,Not Hispanic or Latino,76,12,3,2020-05-29 20:02:00.539473
5/29/2020,Lenowisco,Not Hispanic or Latino,23,11,2,2020-05-29 20:02:00.539473
5/29/2020,Cumberland Plateau,Not Hispanic or Latino,19,2,0,2020-05-29 20:02:00.539473
5/29/2020,Western Tidewater,Not Hispanic or Latino,368,66,38,2020-05-29 20:02:00.539473
5/29/2020,New River,Not Reported,33,0,0,2020-05-29 20:02:00.539473
5/29/2020,Chesterfield,Not Reported,945,22,23,2020-05-29 20:02:00.539473
5/29/2020,Chesterfield,Hispanic or Latino,252,9,0,2020-05-29 20:02:00.539473
5/29/2020,Hampton,Not Hispanic or Latino,127,29,3,2020-05-29 20:02:00.539473
5/29/2020,Chesapeake,Not Hispanic or Latino,362,74,14,2020-05-29 20:02:00.539473
5/29/2020,Peninsula,Hispanic or Latino,54,10,1,2020-05-29 20:02:00.539473
5/29/2020,Arlington,Not Reported,827,70,19,2020-05-29 20:02:00.539473
5/29/2020,Roanoke,Not Hispanic or Latino,75,9,8,2020-05-29 20:02:00.539473
5/29/2020,Lord Fairfax,Not Hispanic or Latino,606,72,31,2020-05-29 20:02:00.539473
5/29/2020,Eastern Shore,Hispanic or Latino,154,5,3,2020-05-29 20:02:00.539473
5/29/2020,Mount Rogers,Not Reported,19,2,0,2020-05-29 20:02:00.539473
5/29/2020,Three Rivers,Not Hispanic or Latino,297,24,3,2020-05-29 20:02:00.539473
5/29/2020,Thomas Jefferson,Not Reported,69,0,0,2020-05-29 20:02:00.539473
5/29/2020,Three Rivers,Not Reported,166,12,5,2020-05-29 20:02:00.539473
5/29/2020,Arlington,Not Hispanic or Latino,584,148,78,2020-05-29 20:02:00.539473
5/29/2020,Alleghany,Not Hispanic or Latino,120,17,15,2020-05-29 20:02:00.539473
5/29/2020,Loudoun,Not Reported,1228,7,8,2020-05-29 20:02:00.539473
5/29/2020,Fairfax,Hispanic or Latino,5156,572,43,2020-05-29 20:02:00.539473
5/29/2020,Peninsula,Not Reported,146,3,2,2020-05-29 20:02:00.539473
5/29/2020,Crater,Hispanic or Latino,38,1,0,2020-05-29 20:02:00.539473
5/29/2020,Piedmont,Not Hispanic or Latino,349,35,3,2020-05-29 20:02:00.539473
5/29/2020,Henrico,Hispanic or Latino,184,17,4,2020-05-29 20:02:00.539473
5/29/2020,Alexandria,Not Hispanic or Latino,572,97,35,2020-05-29 20:02:00.539473
5/29/2020,Central Virginia,Hispanic or Latino,14,1,1,2020-05-29 20:02:00.539473
5/29/2020,Alleghany,Not Reported,56,3,1,2020-05-29 20:02:00.539473
5/29/2020,Cumberland Plateau,Hispanic or Latino,0,0,0,2020-05-29 20:02:00.539473
5/29/2020,Western Tidewater,Hispanic or Latino,5,1,0,2020-05-29 20:02:00.539473
5/29/2020,Chesterfield,Not Hispanic or Latino,321,54,29,2020-05-29 20:02:00.539473
5/29/2020,Pittsylvania-Danville,Not Hispanic or Latino,64,20,3,2020-05-29 20:02:00.539473
5/29/2020,Mount Rogers,Hispanic or Latino,127,0,0,2020-05-29 20:02:00.539473
5/29/2020,Richmond,Not Reported,478,28,2,2020-05-29 20:02:00.539473
5/29/2020,Peninsula,Not Hispanic or Latino,382,101,29,2020-05-29 20:02:00.539473
5/29/2020,Chesapeake,Hispanic or Latino,34,5,1,2020-05-29 20:02:00.539473
5/29/2020,Southside,Hispanic or Latino,2,1,0,2020-05-29 20:02:00.539473
5/29/2020,Thomas Jefferson,Not Hispanic or Latino,351,68,19,2020-05-29 20:02:00.539473
5/29/2020,Norfolk,Not Hispanic or Latino,290,58,6,2020-05-29 20:02:00.539473
5/29/2020,Portsmouth,Not Reported,163,8,2,2020-05-29 20:02:00.539473
5/29/2020,Norfolk,Not Reported,100,1,0,2020-05-29 20:02:00.539473
5/29/2020,Three Rivers,Hispanic or Latino,42,0,0,2020-05-29 20:02:00.539473
5/29/2020,Eastern Shore,Not Reported,104,0,0,2020-05-29 20:02:00.539473
5/29/2020,Alleghany,Hispanic or Latino,19,4,0,2020-05-29 20:02:00.539473
5/29/2020,Henrico,Not Reported,630,23,25,2020-05-29 20:02:00.539473
5/29/2020,Henrico,Not Hispanic or Latino,864,154,104,2020-05-29 20:02:00.539473
5/29/2020,Loudoun,Not Hispanic or Latino,598,97,50,2020-05-29 20:02:00.539473
5/29/2020,Hampton,Not Reported,53,1,0,2020-05-29 20:02:00.539473
5/29/2020,Rappahannock Rapidan,Not Hispanic or Latino,231,27,8,2020-05-29 20:02:00.539473
5/29/2020,Alexandria,Not Reported,498,4,3,2020-05-29 20:02:00.539473
5/29/2020,Rappahannock,Not Hispanic or Latino,446,71,14,2020-05-29 20:02:00.539473
5/29/2020,Western Tidewater,Not Reported,253,3,1,2020-05-29 20:02:00.539473
5/29/2020,Cumberland Plateau,Not Reported,14,0,0,2020-05-29 20:02:00.539473
5/29/2020,Alexandria,Hispanic or Latino,871,80,6,2020-05-29 20:02:00.539473
5/29/2020,Virginia Beach,Not Hispanic or Latino,467,80,21,2020-05-29 20:02:00.539473
5/29/2020,Prince William,Hispanic or Latino,2400,323,29,2020-05-29 20:02:00.539473
5/29/2020,Virginia Beach,Not Reported,160,6,1,2020-05-29 20:02:00.539473
5/29/2020,Central Shenandoah,Hispanic or Latino,662,40,3,2020-05-29 20:02:00.539473
5/29/2020,Pittsylvania-Danville,Hispanic or Latino,7,1,0,2020-05-29 20:02:00.539473
5/29/2020,Mount Rogers,Not Hispanic or Latino,176,22,6,2020-05-29 20:02:00.539473
5/29/2020,Piedmont,Not Reported,334,12,3,2020-05-29 20:02:00.539473
5/29/2020,Southside,Not Hispanic or Latino,99,11,8,2020-05-29 20:02:00.539473
5/29/2020,Thomas Jefferson,Hispanic or Latino,78,1,0,2020-05-29 20:02:00.539473
5/29/2020,Pittsylvania-Danville,Not Reported,19,7,0,2020-05-29 20:02:00.539473
