Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
5/3/2020,Alleghany,Not Reported,39,1,0,2020-05-03 20:34:10.546837
5/3/2020,Cumberland Plateau,Hispanic or Latino,0,0,0,2020-05-03 20:34:10.546837
5/3/2020,Western Tidewater,Hispanic or Latino,3,0,0,2020-05-03 20:34:10.546837
5/3/2020,Chesterfield,Not Hispanic or Latino,186,33,14,2020-05-03 20:34:10.546837
5/3/2020,Pittsylvania-Danville,Not Hispanic or Latino,40,16,2,2020-05-03 20:34:10.546837
5/3/2020,Mount Rogers,Hispanic or Latino,15,0,0,2020-05-03 20:34:10.546837
5/3/2020,Richmond,Not Reported,109,11,0,2020-05-03 20:34:10.546837
5/3/2020,Peninsula,Not Hispanic or Latino,270,89,21,2020-05-03 20:34:10.546837
5/3/2020,Chesapeake,Hispanic or Latino,13,5,1,2020-05-03 20:34:10.546837
5/3/2020,Southside,Hispanic or Latino,1,0,0,2020-05-03 20:34:10.546837
5/3/2020,Thomas Jefferson,Not Hispanic or Latino,272,59,13,2020-05-03 20:34:10.546837
5/3/2020,Norfolk,Not Hispanic or Latino,167,39,4,2020-05-03 20:34:10.546837
5/3/2020,Portsmouth,Not Reported,105,9,1,2020-05-03 20:34:10.546837
5/3/2020,Norfolk,Not Reported,36,2,0,2020-05-03 20:34:10.546837
5/3/2020,Three Rivers,Hispanic or Latino,17,0,0,2020-05-03 20:34:10.546837
5/3/2020,Eastern Shore,Not Reported,131,0,0,2020-05-03 20:34:10.546837
5/3/2020,Alleghany,Hispanic or Latino,3,0,0,2020-05-03 20:34:10.546837
5/3/2020,Henrico,Not Reported,399,27,26,2020-05-03 20:34:10.546837
5/3/2020,Henrico,Not Hispanic or Latino,508,98,77,2020-05-03 20:34:10.546837
5/3/2020,Loudoun,Not Hispanic or Latino,357,58,12,2020-05-03 20:34:10.546837
5/3/2020,Hampton,Not Reported,29,2,0,2020-05-03 20:34:10.546837
5/3/2020,Rappahannock Rapidan,Not Hispanic or Latino,72,11,3,2020-05-03 20:34:10.546837
5/3/2020,Alexandria,Not Reported,204,7,4,2020-05-03 20:34:10.546837
5/3/2020,Rappahannock,Not Hispanic or Latino,190,43,9,2020-05-03 20:34:10.546837
5/3/2020,Western Tidewater,Not Reported,162,2,1,2020-05-03 20:34:10.546837
5/3/2020,Cumberland Plateau,Not Reported,13,0,0,2020-05-03 20:34:10.546837
5/3/2020,Alexandria,Hispanic or Latino,390,41,4,2020-05-03 20:34:10.546837
5/3/2020,Virginia Beach,Not Hispanic or Latino,304,67,14,2020-05-03 20:34:10.546837
5/3/2020,Prince William,Hispanic or Latino,707,132,3,2020-05-03 20:34:10.546837
5/3/2020,Virginia Beach,Not Reported,89,9,0,2020-05-03 20:34:10.546837
5/3/2020,Central Shenandoah,Hispanic or Latino,306,14,1,2020-05-03 20:34:10.546837
5/3/2020,Pittsylvania-Danville,Hispanic or Latino,0,0,0,2020-05-03 20:34:10.546837
5/3/2020,Mount Rogers,Not Hispanic or Latino,74,14,4,2020-05-03 20:34:10.546837
5/3/2020,Piedmont,Not Reported,99,6,0,2020-05-03 20:34:10.546837
