Health District Name,Report Date,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
Southside,5/15/2020,50-59,32,5,0,2020-05-15 20:24:35.630097
Chesterfield,5/15/2020,20-29,121,3,0,2020-05-15 20:24:35.630097
Norfolk,5/15/2020,70-79,16,13,1,2020-05-15 20:24:35.630097
Alleghany,5/15/2020,10-19,2,0,0,2020-05-15 20:24:35.630097
Crater,5/15/2020,80+,23,6,0,2020-05-15 20:24:35.630097
Portsmouth,5/15/2020,Missing,0,0,0,2020-05-15 20:24:35.630097
Western Tidewater,5/15/2020,10-19,5,0,0,2020-05-15 20:24:35.630097
Chesterfield,5/15/2020,10-19,66,0,0,2020-05-15 20:24:35.630097
Southside,5/15/2020,60-69,30,9,3,2020-05-15 20:24:35.630097
West Piedmont,5/15/2020,20-29,7,0,0,2020-05-15 20:24:35.630097
Arlington,5/15/2020,70-79,130,53,18,2020-05-15 20:24:35.630097
Chickahominy,5/15/2020,50-59,67,14,0,2020-05-15 20:24:35.630097
Alleghany,5/15/2020,40-49,17,0,0,2020-05-15 20:24:35.630097
Prince William,5/15/2020,50-59,728,96,4,2020-05-15 20:24:35.630097
Mount Rogers,5/15/2020,0-9,15,1,0,2020-05-15 20:24:35.630097
Eastern Shore,5/15/2020,0-9,10,0,0,2020-05-15 20:24:35.630097
Thomas Jefferson,5/15/2020,60-69,46,13,2,2020-05-15 20:24:35.630097
Pittsylvania-Danville,5/15/2020,70-79,10,7,0,2020-05-15 20:24:35.630097
Chesterfield,5/15/2020,80+,94,13,19,2020-05-15 20:24:35.630097
Richmond,5/15/2020,0-9,16,2,0,2020-05-15 20:24:35.630097
Chesapeake,5/15/2020,80+,31,11,5,2020-05-15 20:24:35.630097
Peninsula,5/15/2020,40-49,58,4,1,2020-05-15 20:24:35.630097
Henrico,5/15/2020,0-9,30,0,0,2020-05-15 20:24:35.630097
Lenowisco,5/15/2020,80+,0,0,0,2020-05-15 20:24:35.630097
Piedmont,5/15/2020,60-69,77,9,2,2020-05-15 20:24:35.630097
West Piedmont,5/15/2020,0-9,0,0,0,2020-05-15 20:24:35.630097
Rappahannock Rapidan,5/15/2020,70-79,20,5,4,2020-05-15 20:24:35.630097
Central Shenandoah,5/15/2020,70-79,70,16,9,2020-05-15 20:24:35.630097
Chesapeake,5/15/2020,30-39,67,3,0,2020-05-15 20:24:35.630097
Chickahominy,5/15/2020,0-9,4,0,0,2020-05-15 20:24:35.630097
Prince William,5/15/2020,0-9,106,2,0,2020-05-15 20:24:35.630097
Eastern Shore,5/15/2020,50-59,183,8,5,2020-05-15 20:24:35.630097
Mount Rogers,5/15/2020,50-59,35,2,0,2020-05-15 20:24:35.630097
Loudoun,5/15/2020,10-19,58,0,0,2020-05-15 20:24:35.630097
Southside,5/15/2020,80+,48,6,7,2020-05-15 20:24:35.630097
Central Virginia,5/15/2020,80+,5,2,0,2020-05-15 20:24:35.630097
Rappahannock,5/15/2020,Missing,6,0,0,2020-05-15 20:24:35.630097
Rappahannock Rapidan,5/15/2020,30-39,139,9,1,2020-05-15 20:24:35.630097
New River,5/15/2020,50-59,15,2,0,2020-05-15 20:24:35.630097
Richmond,5/15/2020,80+,22,10,7,2020-05-15 20:24:35.630097
Mount Rogers,5/15/2020,20-29,36,0,0,2020-05-15 20:24:35.630097
Eastern Shore,5/15/2020,20-29,115,1,0,2020-05-15 20:24:35.630097
Hampton,5/15/2020,10-19,7,0,0,2020-05-15 20:24:35.630097
Portsmouth,5/15/2020,0-9,1,1,0,2020-05-15 20:24:35.630097
Crater,5/15/2020,70-79,40,16,4,2020-05-15 20:24:35.630097
Chesterfield,5/15/2020,40-49,198,7,2,2020-05-15 20:24:35.630097
Alexandria,5/15/2020,Missing,3,0,0,2020-05-15 20:24:35.630097
Southside,5/15/2020,30-39,16,0,0,2020-05-15 20:24:35.630097
Prince William,5/15/2020,Missing,39,0,0,2020-05-15 20:24:35.630097
Hampton,5/15/2020,60-69,22,8,1,2020-05-15 20:24:35.630097
Fairfax,5/15/2020,20-29,1010,48,1,2020-05-15 20:24:35.630097
Thomas Jefferson,5/15/2020,0-9,5,1,0,2020-05-15 20:24:35.630097
Lenowisco,5/15/2020,40-49,5,2,0,2020-05-15 20:24:35.630097
Central Virginia,5/15/2020,10-19,12,1,0,2020-05-15 20:24:35.630097
Lenowisco,5/15/2020,70-79,4,3,1,2020-05-15 20:24:35.630097
Chickahominy,5/15/2020,40-49,47,7,1,2020-05-15 20:24:35.630097
Three Rivers,5/15/2020,80+,21,5,3,2020-05-15 20:24:35.630097
Rappahannock,5/15/2020,30-39,194,10,0,2020-05-15 20:24:35.630097
Lord Fairfax,5/15/2020,60-69,117,23,7,2020-05-15 20:24:35.630097
Western Tidewater,5/15/2020,0-9,3,0,0,2020-05-15 20:24:35.630097
Rappahannock,5/15/2020,70-79,24,14,4,2020-05-15 20:24:35.630097
Prince William,5/15/2020,80+,109,35,33,2020-05-15 20:24:35.630097
Hampton,5/15/2020,80+,3,2,1,2020-05-15 20:24:35.630097
Alexandria,5/15/2020,80+,64,20,14,2020-05-15 20:24:35.630097
Mount Rogers,5/15/2020,60-69,20,1,0,2020-05-15 20:24:35.630097
Eastern Shore,5/15/2020,60-69,118,9,4,2020-05-15 20:24:35.630097
Lord Fairfax,5/15/2020,70-79,61,15,6,2020-05-15 20:24:35.630097
New River,5/15/2020,30-39,6,0,0,2020-05-15 20:24:35.630097
Chesapeake,5/15/2020,10-19,8,0,0,2020-05-15 20:24:35.630097
Hampton,5/15/2020,40-49,19,2,0,2020-05-15 20:24:35.630097
Peninsula,5/15/2020,Missing,4,0,0,2020-05-15 20:24:35.630097
Henrico,5/15/2020,70-79,152,38,31,2020-05-15 20:24:35.630097
Western Tidewater,5/15/2020,20-29,33,0,0,2020-05-15 20:24:35.630097
Peninsula,5/15/2020,0-9,11,0,0,2020-05-15 20:24:35.630097
Loudoun,5/15/2020,40-49,303,16,0,2020-05-15 20:24:35.630097
Pittsylvania-Danville,5/15/2020,30-39,9,0,0,2020-05-15 20:24:35.630097
Loudoun,5/15/2020,20-29,197,2,0,2020-05-15 20:24:35.630097
Crater,5/15/2020,60-69,63,22,8,2020-05-15 20:24:35.630097
Loudoun,5/15/2020,80+,114,34,36,2020-05-15 20:24:35.630097
Arlington,5/15/2020,80+,138,56,37,2020-05-15 20:24:35.630097
Virginia Beach,5/15/2020,10-19,16,0,0,2020-05-15 20:24:35.630097
Mount Rogers,5/15/2020,80+,4,4,3,2020-05-15 20:24:35.630097
Eastern Shore,5/15/2020,80+,37,11,4,2020-05-15 20:24:35.630097
Crater,5/15/2020,10-19,14,0,0,2020-05-15 20:24:35.630097
Lenowisco,5/15/2020,30-39,3,1,1,2020-05-15 20:24:35.630097
Norfolk,5/15/2020,Missing,5,0,0,2020-05-15 20:24:35.630097
Henrico,5/15/2020,Missing,11,1,1,2020-05-15 20:24:35.630097
New River,5/15/2020,40-49,13,1,0,2020-05-15 20:24:35.630097
Central Virginia,5/15/2020,0-9,3,0,0,2020-05-15 20:24:35.630097
New River,5/15/2020,70-79,9,5,1,2020-05-15 20:24:35.630097
Loudoun,5/15/2020,0-9,38,1,0,2020-05-15 20:24:35.630097
Central Virginia,5/15/2020,70-79,13,4,1,2020-05-15 20:24:35.630097
Southside,5/15/2020,0-9,1,0,0,2020-05-15 20:24:35.630097
Three Rivers,5/15/2020,40-49,78,7,1,2020-05-15 20:24:35.630097
Chickahominy,5/15/2020,30-39,43,0,0,2020-05-15 20:24:35.630097
Central Shenandoah,5/15/2020,60-69,152,23,4,2020-05-15 20:24:35.630097
Western Tidewater,5/15/2020,60-69,94,10,4,2020-05-15 20:24:35.630097
Cumberland Plateau,5/15/2020,30-39,5,0,0,2020-05-15 20:24:35.630097
Portsmouth,5/15/2020,10-19,1,0,0,2020-05-15 20:24:35.630097
Chesterfield,5/15/2020,Missing,8,0,0,2020-05-15 20:24:35.630097
Alexandria,5/15/2020,40-49,269,24,0,2020-05-15 20:24:35.630097
Thomas Jefferson,5/15/2020,70-79,44,15,1,2020-05-15 20:24:35.630097
Three Rivers,5/15/2020,30-39,71,2,0,2020-05-15 20:24:35.630097
Western Tidewater,5/15/2020,70-79,71,17,10,2020-05-15 20:24:35.630097
Arlington,5/15/2020,60-69,197,50,11,2020-05-15 20:24:35.630097
Cumberland Plateau,5/15/2020,10-19,11,0,0,2020-05-15 20:24:35.630097
West Piedmont,5/15/2020,30-39,3,0,0,2020-05-15 20:24:35.630097
Peninsula,5/15/2020,10-19,8,1,0,2020-05-15 20:24:35.630097
Norfolk,5/15/2020,0-9,4,0,0,2020-05-15 20:24:35.630097
Cumberland Plateau,5/15/2020,40-49,4,0,0,2020-05-15 20:24:35.630097
Eastern Shore,5/15/2020,10-19,34,0,0,2020-05-15 20:24:35.630097
Mount Rogers,5/15/2020,10-19,12,0,0,2020-05-15 20:24:35.630097
Rappahannock Rapidan,5/15/2020,0-9,22,1,0,2020-05-15 20:24:35.630097
Three Rivers,5/15/2020,0-9,2,0,0,2020-05-15 20:24:35.630097
Henrico,5/15/2020,40-49,164,13,0,2020-05-15 20:24:35.630097
Alexandria,5/15/2020,50-59,185,32,7,2020-05-15 20:24:35.630097
Arlington,5/15/2020,0-9,23,2,0,2020-05-15 20:24:35.630097
Chickahominy,5/15/2020,Missing,2,0,0,2020-05-15 20:24:35.630097
New River,5/15/2020,20-29,21,0,0,2020-05-15 20:24:35.630097
Virginia Beach,5/15/2020,20-29,63,1,0,2020-05-15 20:24:35.630097
Chesapeake,5/15/2020,50-59,75,15,1,2020-05-15 20:24:35.630097
Alleghany,5/15/2020,80+,21,7,2,2020-05-15 20:24:35.630097
Fairfax,5/15/2020,10-19,278,10,0,2020-05-15 20:24:35.630097
Chesapeake,5/15/2020,60-69,51,16,3,2020-05-15 20:24:35.630097
West Piedmont,5/15/2020,Missing,0,0,0,2020-05-15 20:24:35.630097
Peninsula,5/15/2020,80+,36,22,14,2020-05-15 20:24:35.630097
Crater,5/15/2020,40-49,65,10,1,2020-05-15 20:24:35.630097
Chesapeake,5/15/2020,40-49,59,10,0,2020-05-15 20:24:35.630097
Thomas Jefferson,5/15/2020,20-29,49,0,0,2020-05-15 20:24:35.630097
Lord Fairfax,5/15/2020,20-29,122,0,0,2020-05-15 20:24:35.630097
Norfolk,5/15/2020,20-29,72,1,0,2020-05-15 20:24:35.630097
Arlington,5/15/2020,30-39,280,33,0,2020-05-15 20:24:35.630097
West Piedmont,5/15/2020,60-69,14,1,0,2020-05-15 20:24:35.630097
Henrico,5/15/2020,50-59,165,23,5,2020-05-15 20:24:35.630097
West Piedmont,5/15/2020,50-59,17,1,0,2020-05-15 20:24:35.630097
Cumberland Plateau,5/15/2020,20-29,1,0,0,2020-05-15 20:24:35.630097
Alexandria,5/15/2020,70-79,77,30,9,2020-05-15 20:24:35.630097
Portsmouth,5/15/2020,20-29,29,2,0,2020-05-15 20:24:35.630097
Western Tidewater,5/15/2020,30-39,42,1,0,2020-05-15 20:24:35.630097
Central Shenandoah,5/15/2020,0-9,23,0,0,2020-05-15 20:24:35.630097
Henrico,5/15/2020,80+,234,52,57,2020-05-15 20:24:35.630097
Alexandria,5/15/2020,0-9,60,2,0,2020-05-15 20:24:35.630097
Pittsylvania-Danville,5/15/2020,40-49,11,4,0,2020-05-15 20:24:35.630097
Henrico,5/15/2020,20-29,114,7,0,2020-05-15 20:24:35.630097
Roanoke,5/15/2020,60-69,9,1,0,2020-05-15 20:24:35.630097
Peninsula,5/15/2020,30-39,55,6,1,2020-05-15 20:24:35.630097
Alleghany,5/15/2020,60-69,24,6,0,2020-05-15 20:24:35.630097
Prince William,5/15/2020,70-79,149,45,22,2020-05-15 20:24:35.630097
Norfolk,5/15/2020,60-69,35,13,1,2020-05-15 20:24:35.630097
Southside,5/15/2020,40-49,18,3,0,2020-05-15 20:24:35.630097
Chesterfield,5/15/2020,30-39,198,1,0,2020-05-15 20:24:35.630097
Loudoun,5/15/2020,70-79,74,27,8,2020-05-15 20:24:35.630097
Central Virginia,5/15/2020,40-49,23,1,0,2020-05-15 20:24:35.630097
New River,5/15/2020,Missing,0,0,0,2020-05-15 20:24:35.630097
Chickahominy,5/15/2020,20-29,40,0,0,2020-05-15 20:24:35.630097
New River,5/15/2020,0-9,2,0,0,2020-05-15 20:24:35.630097
Cumberland Plateau,5/15/2020,0-9,0,0,0,2020-05-15 20:24:35.630097
Three Rivers,5/15/2020,70-79,21,4,2,2020-05-15 20:24:35.630097
Rappahannock Rapidan,5/15/2020,40-49,141,9,1,2020-05-15 20:24:35.630097
Hampton,5/15/2020,0-9,6,0,0,2020-05-15 20:24:35.630097
Piedmont,5/15/2020,50-59,108,9,0,2020-05-15 20:24:35.630097
Rappahannock,5/15/2020,20-29,163,7,0,2020-05-15 20:24:35.630097
Henrico,5/15/2020,10-19,27,1,0,2020-05-15 20:24:35.630097
Mount Rogers,5/15/2020,30-39,42,3,0,2020-05-15 20:24:35.630097
Eastern Shore,5/15/2020,30-39,145,3,0,2020-05-15 20:24:35.630097
Chesterfield,5/15/2020,0-9,12,0,0,2020-05-15 20:24:35.630097
Central Shenandoah,5/15/2020,10-19,51,1,0,2020-05-15 20:24:35.630097
Crater,5/15/2020,0-9,5,1,0,2020-05-15 20:24:35.630097
Fairfax,5/15/2020,70-79,410,145,50,2020-05-15 20:24:35.630097
Rappahannock,5/15/2020,80+,16,9,3,2020-05-15 20:24:35.630097
Alexandria,5/15/2020,10-19,84,1,0,2020-05-15 20:24:35.630097
Portsmouth,5/15/2020,40-49,35,3,0,2020-05-15 20:24:35.630097
Three Rivers,5/15/2020,50-59,48,3,0,2020-05-15 20:24:35.630097
Alleghany,5/15/2020,Missing,0,0,0,2020-05-15 20:24:35.630097
Alexandria,5/15/2020,30-39,328,20,0,2020-05-15 20:24:35.630097
Southside,5/15/2020,Missing,0,0,0,2020-05-15 20:24:35.630097
Portsmouth,5/15/2020,60-69,27,9,4,2020-05-15 20:24:35.630097
Roanoke,5/15/2020,30-39,20,0,0,2020-05-15 20:24:35.630097
Three Rivers,5/15/2020,60-69,54,8,0,2020-05-15 20:24:35.630097
Fairfax,5/15/2020,50-59,1205,187,16,2020-05-15 20:24:35.630097
Portsmouth,5/15/2020,50-59,39,12,1,2020-05-15 20:24:35.630097
Chickahominy,5/15/2020,80+,58,22,17,2020-05-15 20:24:35.630097
Rappahannock Rapidan,5/15/2020,50-59,87,12,0,2020-05-15 20:24:35.630097
Fairfax,5/15/2020,80+,539,199,172,2020-05-15 20:24:35.630097
Hampton,5/15/2020,Missing,0,0,0,2020-05-15 20:24:35.630097
Cumberland Plateau,5/15/2020,80+,0,0,0,2020-05-15 20:24:35.630097
Alleghany,5/15/2020,50-59,35,4,0,2020-05-15 20:24:35.630097
Prince William,5/15/2020,40-49,904,78,2,2020-05-15 20:24:35.630097
Fairfax,5/15/2020,Missing,25,1,0,2020-05-15 20:24:35.630097
Virginia Beach,5/15/2020,40-49,82,14,1,2020-05-15 20:24:35.630097
Richmond,5/15/2020,Missing,0,0,0,2020-05-15 20:24:35.630097
Norfolk,5/15/2020,40-49,60,9,0,2020-05-15 20:24:35.630097
Piedmont,5/15/2020,80+,13,3,1,2020-05-15 20:24:35.630097
Virginia Beach,5/15/2020,60-69,86,13,1,2020-05-15 20:24:35.630097
West Piedmont,5/15/2020,40-49,11,1,0,2020-05-15 20:24:35.630097
Arlington,5/15/2020,10-19,39,5,0,2020-05-15 20:24:35.630097
Lenowisco,5/15/2020,0-9,4,0,0,2020-05-15 20:24:35.630097
Pittsylvania-Danville,5/15/2020,50-59,12,5,0,2020-05-15 20:24:35.630097
Virginia Beach,5/15/2020,50-59,86,12,0,2020-05-15 20:24:35.630097
Chesapeake,5/15/2020,Missing,2,0,0,2020-05-15 20:24:35.630097
Central Shenandoah,5/15/2020,80+,67,11,10,2020-05-15 20:24:35.630097
Thomas Jefferson,5/15/2020,40-49,44,5,0,2020-05-15 20:24:35.630097
Rappahannock Rapidan,5/15/2020,60-69,52,8,1,2020-05-15 20:24:35.630097
Norfolk,5/15/2020,30-39,76,6,0,2020-05-15 20:24:35.630097
Rappahannock Rapidan,5/15/2020,Missing,1,0,0,2020-05-15 20:24:35.630097
Lord Fairfax,5/15/2020,80+,58,17,17,2020-05-15 20:24:35.630097
Three Rivers,5/15/2020,10-19,12,0,0,2020-05-15 20:24:35.630097
Piedmont,5/15/2020,40-49,104,4,0,2020-05-15 20:24:35.630097
Norfolk,5/15/2020,80+,9,6,3,2020-05-15 20:24:35.630097
Peninsula,5/15/2020,20-29,49,1,0,2020-05-15 20:24:35.630097
Norfolk,5/15/2020,50-59,58,7,0,2020-05-15 20:24:35.630097
Thomas Jefferson,5/15/2020,50-59,58,8,1,2020-05-15 20:24:35.630097
Richmond,5/15/2020,70-79,32,17,6,2020-05-15 20:24:35.630097
Chesterfield,5/15/2020,70-79,66,13,6,2020-05-15 20:24:35.630097
Piedmont,5/15/2020,30-39,97,0,0,2020-05-15 20:24:35.630097
Prince William,5/15/2020,30-39,790,47,1,2020-05-15 20:24:35.630097
Alleghany,5/15/2020,20-29,27,1,0,2020-05-15 20:24:35.630097
Alleghany,5/15/2020,0-9,0,0,0,2020-05-15 20:24:35.630097
Mount Rogers,5/15/2020,40-49,32,0,0,2020-05-15 20:24:35.630097
Eastern Shore,5/15/2020,40-49,160,4,2,2020-05-15 20:24:35.630097
Central Virginia,5/15/2020,60-69,32,3,1,2020-05-15 20:24:35.630097
Richmond,5/15/2020,10-19,27,2,0,2020-05-15 20:24:35.630097
Pittsylvania-Danville,5/15/2020,60-69,8,4,1,2020-05-15 20:24:35.630097
Pittsylvania-Danville,5/15/2020,Missing,0,0,0,2020-05-15 20:24:35.630097
Chesterfield,5/15/2020,60-69,117,18,8,2020-05-15 20:24:35.630097
Southside,5/15/2020,10-19,3,0,0,2020-05-15 20:24:35.630097
New River,5/15/2020,80+,4,2,0,2020-05-15 20:24:35.630097
Central Virginia,5/15/2020,50-59,29,2,1,2020-05-15 20:24:35.630097
Hampton,5/15/2020,70-79,11,6,0,2020-05-15 20:24:35.630097
Pittsylvania-Danville,5/15/2020,10-19,1,0,0,2020-05-15 20:24:35.630097
Richmond,5/15/2020,60-69,86,29,5,2020-05-15 20:24:35.630097
Norfolk,5/16/2020,0-9,4,0,0,2020-05-16 19:58:57.538119
Cumberland Plateau,5/16/2020,40-49,4,0,0,2020-05-16 19:58:57.538119
Eastern Shore,5/16/2020,10-19,36,0,0,2020-05-16 19:58:57.538119
Mount Rogers,5/16/2020,10-19,15,0,0,2020-05-16 19:58:57.538119
Rappahannock Rapidan,5/16/2020,0-9,23,1,0,2020-05-16 19:58:57.538119
Three Rivers,5/16/2020,0-9,2,0,0,2020-05-16 19:58:57.538119
Henrico,5/16/2020,40-49,166,14,0,2020-05-16 19:58:57.538119
Alexandria,5/16/2020,50-59,194,32,7,2020-05-16 19:58:57.538119
Arlington,5/16/2020,0-9,24,2,0,2020-05-16 19:58:57.538119
Chickahominy,5/16/2020,Missing,3,0,0,2020-05-16 19:58:57.538119
New River,5/16/2020,20-29,21,0,0,2020-05-16 19:58:57.538119
Virginia Beach,5/16/2020,20-29,64,1,0,2020-05-16 19:58:57.538119
Chesapeake,5/16/2020,50-59,75,15,1,2020-05-16 19:58:57.538119
Alleghany,5/16/2020,80+,21,7,3,2020-05-16 19:58:57.538119
Fairfax,5/16/2020,10-19,289,10,0,2020-05-16 19:58:57.538119
Chesapeake,5/16/2020,60-69,51,16,3,2020-05-16 19:58:57.538119
West Piedmont,5/16/2020,Missing,0,0,0,2020-05-16 19:58:57.538119
Peninsula,5/16/2020,80+,36,23,14,2020-05-16 19:58:57.538119
Crater,5/16/2020,40-49,67,11,1,2020-05-16 19:58:57.538119
Chesapeake,5/16/2020,40-49,60,10,0,2020-05-16 19:58:57.538119
Thomas Jefferson,5/16/2020,20-29,50,0,0,2020-05-16 19:58:57.538119
Lord Fairfax,5/16/2020,20-29,127,0,0,2020-05-16 19:58:57.538119
Norfolk,5/16/2020,20-29,72,1,0,2020-05-16 19:58:57.538119
Arlington,5/16/2020,30-39,288,35,0,2020-05-16 19:58:57.538119
West Piedmont,5/16/2020,60-69,14,1,0,2020-05-16 19:58:57.538119
Henrico,5/16/2020,50-59,170,22,5,2020-05-16 19:58:57.538119
West Piedmont,5/16/2020,50-59,18,1,0,2020-05-16 19:58:57.538119
Cumberland Plateau,5/16/2020,20-29,1,0,0,2020-05-16 19:58:57.538119
Alexandria,5/16/2020,70-79,77,29,9,2020-05-16 19:58:57.538119
Portsmouth,5/16/2020,20-29,30,2,0,2020-05-16 19:58:57.538119
Western Tidewater,5/16/2020,30-39,43,1,0,2020-05-16 19:58:57.538119
Central Shenandoah,5/16/2020,0-9,25,0,0,2020-05-16 19:58:57.538119
Henrico,5/16/2020,80+,238,52,57,2020-05-16 19:58:57.538119
Alexandria,5/16/2020,0-9,63,2,0,2020-05-16 19:58:57.538119
Pittsylvania-Danville,5/16/2020,40-49,12,4,0,2020-05-16 19:58:57.538119
Henrico,5/16/2020,20-29,119,7,0,2020-05-16 19:58:57.538119
Roanoke,5/16/2020,60-69,9,1,0,2020-05-16 19:58:57.538119
Peninsula,5/16/2020,30-39,55,6,1,2020-05-16 19:58:57.538119
Alleghany,5/16/2020,60-69,24,6,0,2020-05-16 19:58:57.538119
Prince William,5/16/2020,70-79,150,47,22,2020-05-16 19:58:57.538119
Norfolk,5/16/2020,60-69,36,13,1,2020-05-16 19:58:57.538119
Southside,5/16/2020,40-49,18,3,0,2020-05-16 19:58:57.538119
Chesterfield,5/16/2020,30-39,207,1,0,2020-05-16 19:58:57.538119
Loudoun,5/16/2020,70-79,75,27,8,2020-05-16 19:58:57.538119
Central Virginia,5/16/2020,40-49,23,1,0,2020-05-16 19:58:57.538119
New River,5/16/2020,Missing,0,0,0,2020-05-16 19:58:57.538119
Chickahominy,5/16/2020,20-29,40,0,0,2020-05-16 19:58:57.538119
New River,5/16/2020,0-9,2,0,0,2020-05-16 19:58:57.538119
Cumberland Plateau,5/16/2020,0-9,0,0,0,2020-05-16 19:58:57.538119
Three Rivers,5/16/2020,70-79,22,4,2,2020-05-16 19:58:57.538119
Rappahannock Rapidan,5/16/2020,40-49,146,9,1,2020-05-16 19:58:57.538119
Hampton,5/16/2020,0-9,6,0,0,2020-05-16 19:58:57.538119
Piedmont,5/16/2020,50-59,121,9,0,2020-05-16 19:58:57.538119
Rappahannock,5/16/2020,20-29,171,7,0,2020-05-16 19:58:57.538119
West Piedmont,5/16/2020,20-29,8,0,0,2020-05-16 19:58:57.538119
Arlington,5/16/2020,70-79,130,55,19,2020-05-16 19:58:57.538119
Chickahominy,5/16/2020,50-59,68,14,0,2020-05-16 19:58:57.538119
Alleghany,5/16/2020,40-49,18,0,0,2020-05-16 19:58:57.538119
Prince William,5/16/2020,50-59,751,98,4,2020-05-16 19:58:57.538119
Mount Rogers,5/16/2020,0-9,16,1,0,2020-05-16 19:58:57.538119
Eastern Shore,5/16/2020,0-9,10,0,0,2020-05-16 19:58:57.538119
Thomas Jefferson,5/16/2020,60-69,47,13,2,2020-05-16 19:58:57.538119
Pittsylvania-Danville,5/16/2020,70-79,10,7,0,2020-05-16 19:58:57.538119
Chesterfield,5/16/2020,80+,95,13,19,2020-05-16 19:58:57.538119
Richmond,5/16/2020,0-9,20,2,0,2020-05-16 19:58:57.538119
Chesapeake,5/16/2020,80+,31,11,5,2020-05-16 19:58:57.538119
Peninsula,5/16/2020,40-49,58,4,1,2020-05-16 19:58:57.538119
Henrico,5/16/2020,0-9,30,0,0,2020-05-16 19:58:57.538119
Lenowisco,5/16/2020,80+,0,0,0,2020-05-16 19:58:57.538119
Piedmont,5/16/2020,60-69,88,10,2,2020-05-16 19:58:57.538119
West Piedmont,5/16/2020,0-9,0,0,0,2020-05-16 19:58:57.538119
Rappahannock Rapidan,5/16/2020,70-79,22,5,4,2020-05-16 19:58:57.538119
Central Shenandoah,5/16/2020,70-79,71,17,9,2020-05-16 19:58:57.538119
Chesapeake,5/16/2020,30-39,66,3,0,2020-05-16 19:58:57.538119
Chickahominy,5/16/2020,0-9,4,0,0,2020-05-16 19:58:57.538119
Prince William,5/16/2020,0-9,110,2,0,2020-05-16 19:58:57.538119
Eastern Shore,5/16/2020,50-59,186,8,5,2020-05-16 19:58:57.538119
Mount Rogers,5/16/2020,50-59,37,2,0,2020-05-16 19:58:57.538119
Loudoun,5/16/2020,10-19,62,0,0,2020-05-16 19:58:57.538119
Southside,5/16/2020,80+,54,6,7,2020-05-16 19:58:57.538119
Central Virginia,5/16/2020,80+,5,2,0,2020-05-16 19:58:57.538119
Rappahannock,5/16/2020,Missing,8,0,0,2020-05-16 19:58:57.538119
Rappahannock Rapidan,5/16/2020,30-39,146,9,1,2020-05-16 19:58:57.538119
New River,5/16/2020,50-59,15,2,0,2020-05-16 19:58:57.538119
Richmond,5/16/2020,80+,22,10,7,2020-05-16 19:58:57.538119
Mount Rogers,5/16/2020,20-29,37,0,0,2020-05-16 19:58:57.538119
Eastern Shore,5/16/2020,20-29,117,2,0,2020-05-16 19:58:57.538119
Hampton,5/16/2020,10-19,7,0,0,2020-05-16 19:58:57.538119
Portsmouth,5/16/2020,0-9,1,1,0,2020-05-16 19:58:57.538119
Crater,5/16/2020,70-79,41,16,4,2020-05-16 19:58:57.538119
Chesterfield,5/16/2020,40-49,201,7,2,2020-05-16 19:58:57.538119
Alexandria,5/16/2020,Missing,3,0,0,2020-05-16 19:58:57.538119
Southside,5/16/2020,30-39,17,0,0,2020-05-16 19:58:57.538119
Prince William,5/16/2020,Missing,45,0,0,2020-05-16 19:58:57.538119
Hampton,5/16/2020,60-69,22,9,1,2020-05-16 19:58:57.538119
Fairfax,5/16/2020,20-29,1042,48,1,2020-05-16 19:58:57.538119
Thomas Jefferson,5/16/2020,0-9,5,1,0,2020-05-16 19:58:57.538119
Lenowisco,5/16/2020,40-49,5,2,0,2020-05-16 19:58:57.538119
Central Virginia,5/16/2020,10-19,12,1,0,2020-05-16 19:58:57.538119
Lenowisco,5/16/2020,70-79,4,3,1,2020-05-16 19:58:57.538119
Chickahominy,5/16/2020,40-49,48,7,1,2020-05-16 19:58:57.538119
Three Rivers,5/16/2020,80+,21,5,3,2020-05-16 19:58:57.538119
Rappahannock,5/16/2020,30-39,199,10,0,2020-05-16 19:58:57.538119
Lord Fairfax,5/16/2020,60-69,124,23,7,2020-05-16 19:58:57.538119
Western Tidewater,5/16/2020,0-9,3,0,0,2020-05-16 19:58:57.538119
Rappahannock,5/16/2020,70-79,24,14,4,2020-05-16 19:58:57.538119
Prince William,5/16/2020,80+,114,35,35,2020-05-16 19:58:57.538119
Hampton,5/16/2020,80+,3,2,1,2020-05-16 19:58:57.538119
Alexandria,5/16/2020,80+,64,20,16,2020-05-16 19:58:57.538119
Mount Rogers,5/16/2020,60-69,21,1,0,2020-05-16 19:58:57.538119
Eastern Shore,5/16/2020,60-69,122,9,4,2020-05-16 19:58:57.538119
Lord Fairfax,5/16/2020,70-79,62,15,6,2020-05-16 19:58:57.538119
New River,5/16/2020,30-39,6,0,0,2020-05-16 19:58:57.538119
Chesapeake,5/16/2020,10-19,8,0,0,2020-05-16 19:58:57.538119
Hampton,5/16/2020,40-49,19,2,0,2020-05-16 19:58:57.538119
Peninsula,5/16/2020,Missing,4,0,0,2020-05-16 19:58:57.538119
Henrico,5/16/2020,70-79,153,39,31,2020-05-16 19:58:57.538119
Western Tidewater,5/16/2020,20-29,34,0,0,2020-05-16 19:58:57.538119
Peninsula,5/16/2020,0-9,11,0,0,2020-05-16 19:58:57.538119
Loudoun,5/16/2020,40-49,315,16,0,2020-05-16 19:58:57.538119
