age_group,health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
30-39,Henrico,906,0,22,2020-09-16 00:00:00
40-49,Henrico,747,2,45,2020-09-16 00:00:00
50-59,Henrico,639,12,67,2020-09-16 00:00:00
60-69,Henrico,448,39,68,2020-09-16 00:00:00
70-79,Henrico,318,50,71,2020-09-16 00:00:00
80+,Henrico,445,100,96,2020-09-16 00:00:00
Missing,Henrico,50,1,1,2020-09-16 00:00:00
0-9,Lenowisco,36,0,0,2020-09-16 00:00:00
10-19,Lenowisco,77,0,0,2020-09-16 00:00:00
20-29,Lenowisco,119,0,0,2020-09-16 00:00:00
30-39,Lenowisco,130,1,3,2020-09-16 00:00:00
40-49,Lenowisco,121,0,6,2020-09-16 00:00:00
50-59,Lenowisco,123,1,14,2020-09-16 00:00:00
60-69,Lenowisco,123,3,14,2020-09-16 00:00:00
70-79,Lenowisco,84,10,25,2020-09-16 00:00:00
80+,Lenowisco,29,2,9,2020-09-16 00:00:00
Missing,Lenowisco,1,0,0,2020-09-16 00:00:00
0-9,Lord Fairfax,99,0,2,2020-09-16 00:00:00
10-19,Lord Fairfax,252,0,4,2020-09-16 00:00:00
20-29,Lord Fairfax,507,0,7,2020-09-16 00:00:00
30-39,Lord Fairfax,483,1,16,2020-09-16 00:00:00
40-49,Lord Fairfax,439,1,23,2020-09-16 00:00:00
50-59,Lord Fairfax,477,6,40,2020-09-16 00:00:00
60-69,Lord Fairfax,291,15,58,2020-09-16 00:00:00
70-79,Lord Fairfax,192,22,59,2020-09-16 00:00:00
80+,Lord Fairfax,218,61,53,2020-09-16 00:00:00
Missing,Lord Fairfax,4,0,0,2020-09-16 00:00:00
0-9,Loudoun,262,0,4,2020-09-16 00:00:00
10-19,Loudoun,944,0,2,2020-09-16 00:00:00
20-29,Loudoun,1173,0,15,2020-09-16 00:00:00
30-39,Loudoun,1100,0,41,2020-09-16 00:00:00
40-49,Loudoun,1217,1,73,2020-09-16 00:00:00
50-59,Loudoun,952,4,81,2020-09-16 00:00:00
60-69,Loudoun,384,9,76,2020-09-16 00:00:00
70-79,Loudoun,194,20,62,2020-09-16 00:00:00
80+,Loudoun,231,84,63,2020-09-16 00:00:00
Missing,Loudoun,66,1,0,2020-09-16 00:00:00
0-9,Mount Rogers,87,0,2,2020-09-16 00:00:00
10-19,Mount Rogers,193,0,0,2020-09-16 00:00:00
20-29,Mount Rogers,377,0,0,2020-09-16 00:00:00
30-39,Mount Rogers,308,0,14,2020-09-16 00:00:00
40-49,Mount Rogers,325,2,8,2020-09-16 00:00:00
50-59,Mount Rogers,356,3,28,2020-09-16 00:00:00
60-69,Mount Rogers,296,4,32,2020-09-16 00:00:00
70-79,Mount Rogers,284,29,74,2020-09-16 00:00:00
80+,Mount Rogers,276,51,58,2020-09-16 00:00:00
Missing,Mount Rogers,0,0,0,2020-09-16 00:00:00
0-9,New River,24,0,0,2020-09-16 00:00:00
10-19,New River,787,0,0,2020-09-16 00:00:00
20-29,New River,1251,0,1,2020-09-16 00:00:00
30-39,New River,163,0,4,2020-09-16 00:00:00
40-49,New River,138,0,4,2020-09-16 00:00:00
50-59,New River,123,0,7,2020-09-16 00:00:00
60-69,New River,89,2,11,2020-09-16 00:00:00
70-79,New River,70,5,15,2020-09-16 00:00:00
80+,New River,46,5,8,2020-09-16 00:00:00
Missing,New River,9,0,0,2020-09-16 00:00:00
0-9,Norfolk,166,0,4,2020-09-16 00:00:00
10-19,Norfolk,324,0,3,2020-09-16 00:00:00
20-29,Norfolk,1520,0,16,2020-09-16 00:00:00
30-39,Norfolk,829,1,37,2020-09-16 00:00:00
40-49,Norfolk,544,2,35,2020-09-16 00:00:00
50-59,Norfolk,530,6,61,2020-09-16 00:00:00
60-69,Norfolk,430,15,82,2020-09-16 00:00:00
70-79,Norfolk,189,18,64,2020-09-16 00:00:00
80+,Norfolk,110,24,35,2020-09-16 00:00:00
Missing,Norfolk,43,0,1,2020-09-16 00:00:00
0-9,Peninsula,148,0,1,2020-09-16 00:00:00
10-19,Peninsula,279,0,1,2020-09-16 00:00:00
20-29,Peninsula,1061,0,1,2020-09-16 00:00:00
30-39,Peninsula,767,3,17,2020-09-16 00:00:00
40-49,Peninsula,604,1,17,2020-09-16 00:00:00
50-59,Peninsula,545,3,25,2020-09-16 00:00:00
60-69,Peninsula,362,7,36,2020-09-16 00:00:00
70-79,Peninsula,228,19,50,2020-09-16 00:00:00
80+,Peninsula,136,32,35,2020-09-16 00:00:00
Missing,Peninsula,52,0,0,2020-09-16 00:00:00
0-9,Piedmont,47,0,0,2020-09-16 00:00:00
10-19,Piedmont,95,0,1,2020-09-16 00:00:00
20-29,Piedmont,346,0,3,2020-09-16 00:00:00
30-39,Piedmont,351,0,6,2020-09-16 00:00:00
40-49,Piedmont,329,0,13,2020-09-16 00:00:00
50-59,Piedmont,292,4,27,2020-09-16 00:00:00
60-69,Piedmont,227,7,26,2020-09-16 00:00:00
70-79,Piedmont,113,10,29,2020-09-16 00:00:00
80+,Piedmont,74,21,24,2020-09-16 00:00:00
Missing,Piedmont,2,0,0,2020-09-16 00:00:00
0-9,Pittsylvania-Danville,65,0,0,2020-09-16 00:00:00
10-19,Pittsylvania-Danville,126,0,0,2020-09-16 00:00:00
20-29,Pittsylvania-Danville,242,0,1,2020-09-16 00:00:00
30-39,Pittsylvania-Danville,244,0,4,2020-09-16 00:00:00
40-49,Pittsylvania-Danville,269,2,13,2020-09-16 00:00:00
50-59,Pittsylvania-Danville,309,2,27,2020-09-16 00:00:00
60-69,Pittsylvania-Danville,227,5,30,2020-09-16 00:00:00
70-79,Pittsylvania-Danville,97,4,26,2020-09-16 00:00:00
80+,Pittsylvania-Danville,124,16,24,2020-09-16 00:00:00
Missing,Pittsylvania-Danville,1,0,0,2020-09-16 00:00:00
0-9,Portsmouth,78,0,4,2020-09-16 00:00:00
10-19,Portsmouth,194,0,5,2020-09-16 00:00:00
20-29,Portsmouth,511,0,21,2020-09-16 00:00:00
30-39,Portsmouth,422,1,26,2020-09-16 00:00:00
40-49,Portsmouth,362,2,30,2020-09-16 00:00:00
50-59,Portsmouth,350,4,48,2020-09-16 00:00:00
60-69,Portsmouth,288,14,52,2020-09-16 00:00:00
70-79,Portsmouth,131,14,49,2020-09-16 00:00:00
80+,Portsmouth,68,12,26,2020-09-16 00:00:00
Missing,Portsmouth,23,0,1,2020-09-16 00:00:00
0-9,Prince William,644,0,12,2020-09-16 00:00:00
10-19,Prince William,1342,0,10,2020-09-16 00:00:00
20-29,Prince William,2744,0,65,2020-09-16 00:00:00
30-39,Prince William,2613,2,114,2020-09-16 00:00:00
40-49,Prince William,2809,8,196,2020-09-16 00:00:00
50-59,Prince William,2070,21,239,2020-09-16 00:00:00
60-69,Prince William,1124,53,204,2020-09-16 00:00:00
70-79,Prince William,441,58,131,2020-09-16 00:00:00
80+,Prince William,294,86,99,2020-09-16 00:00:00
Missing,Prince William,196,0,3,2020-09-16 00:00:00
0-9,Rappahannock,209,0,2,2020-09-16 00:00:00
10-19,Rappahannock,533,0,6,2020-09-16 00:00:00
20-29,Rappahannock,1001,0,19,2020-09-16 00:00:00
30-39,Rappahannock,860,0,29,2020-09-16 00:00:00
40-49,Rappahannock,806,3,52,2020-09-16 00:00:00
50-59,Rappahannock,726,5,66,2020-09-16 00:00:00
60-69,Rappahannock,384,11,67,2020-09-16 00:00:00
70-79,Rappahannock,202,19,56,2020-09-16 00:00:00
80+,Rappahannock,212,32,78,2020-09-16 00:00:00
Missing,Rappahannock,33,0,1,2020-09-16 00:00:00
0-9,Rappahannock Rapidan,121,0,1,2020-09-16 00:00:00
10-19,Rappahannock Rapidan,238,0,4,2020-09-16 00:00:00
20-29,Rappahannock Rapidan,455,0,6,2020-09-16 00:00:00
30-39,Rappahannock Rapidan,461,1,21,2020-09-16 00:00:00
40-49,Rappahannock Rapidan,433,3,25,2020-09-16 00:00:00
50-59,Rappahannock Rapidan,384,2,39,2020-09-16 00:00:00
60-69,Rappahannock Rapidan,214,6,30,2020-09-16 00:00:00
70-79,Rappahannock Rapidan,89,10,18,2020-09-16 00:00:00
80+,Rappahannock Rapidan,91,24,24,2020-09-16 00:00:00
Missing,Rappahannock Rapidan,15,0,0,2020-09-16 00:00:00
0-9,Richmond,161,0,6,2020-09-16 00:00:00
10-19,Richmond,414,0,5,2020-09-16 00:00:00
20-29,Richmond,1183,0,23,2020-09-16 00:00:00
30-39,Richmond,885,1,50,2020-09-16 00:00:00
40-49,Richmond,603,5,45,2020-09-16 00:00:00
50-59,Richmond,473,3,80,2020-09-16 00:00:00
60-69,Richmond,353,9,84,2020-09-16 00:00:00
70-79,Richmond,179,22,71,2020-09-16 00:00:00
80+,Richmond,104,15,38,2020-09-16 00:00:00
Missing,Richmond,29,0,1,2020-09-16 00:00:00
0-9,Roanoke,50,0,0,2020-09-16 00:00:00
10-19,Roanoke,149,0,1,2020-09-16 00:00:00
20-29,Roanoke,318,0,6,2020-09-16 00:00:00
30-39,Roanoke,286,0,6,2020-09-16 00:00:00
40-49,Roanoke,204,0,9,2020-09-16 00:00:00
50-59,Roanoke,152,0,8,2020-09-16 00:00:00
60-69,Roanoke,102,1,9,2020-09-16 00:00:00
70-79,Roanoke,63,2,10,2020-09-16 00:00:00
80+,Roanoke,86,12,8,2020-09-16 00:00:00
Missing,Roanoke,3,0,0,2020-09-16 00:00:00
0-9,Southside,29,0,0,2020-09-16 00:00:00
10-19,Southside,52,0,0,2020-09-16 00:00:00
20-29,Southside,173,0,2,2020-09-16 00:00:00
30-39,Southside,226,0,4,2020-09-16 00:00:00
40-49,Southside,207,0,6,2020-09-16 00:00:00
50-59,Southside,199,2,15,2020-09-16 00:00:00
60-69,Southside,176,8,20,2020-09-16 00:00:00
70-79,Southside,116,17,18,2020-09-16 00:00:00
80+,Southside,102,13,12,2020-09-16 00:00:00
Missing,Southside,2,0,0,2020-09-16 00:00:00
0-9,Thomas Jefferson,116,0,1,2020-09-16 00:00:00
10-19,Thomas Jefferson,468,0,4,2020-09-16 00:00:00
20-29,Thomas Jefferson,595,0,3,2020-09-16 00:00:00
30-39,Thomas Jefferson,471,0,14,2020-09-16 00:00:00
40-49,Thomas Jefferson,397,0,23,2020-09-16 00:00:00
50-59,Thomas Jefferson,312,4,25,2020-09-16 00:00:00
60-69,Thomas Jefferson,231,6,40,2020-09-16 00:00:00
70-79,Thomas Jefferson,165,14,30,2020-09-16 00:00:00
80+,Thomas Jefferson,184,38,40,2020-09-16 00:00:00
Missing,Thomas Jefferson,4,0,0,2020-09-16 00:00:00
0-9,Three Rivers,43,0,1,2020-09-16 00:00:00
10-19,Three Rivers,107,0,1,2020-09-16 00:00:00
20-29,Three Rivers,285,0,6,2020-09-16 00:00:00
30-39,Three Rivers,270,0,8,2020-09-16 00:00:00
40-49,Three Rivers,259,2,16,2020-09-16 00:00:00
50-59,Three Rivers,229,0,16,2020-09-16 00:00:00
60-69,Three Rivers,174,2,21,2020-09-16 00:00:00
70-79,Three Rivers,85,11,18,2020-09-16 00:00:00
80+,Three Rivers,74,12,15,2020-09-16 00:00:00
Missing,Three Rivers,15,0,1,2020-09-16 00:00:00
0-9,Virginia Beach,227,0,1,2020-09-16 00:00:00
10-19,Virginia Beach,523,0,1,2020-09-16 00:00:00
20-29,Virginia Beach,1671,0,13,2020-09-16 00:00:00
30-39,Virginia Beach,1236,1,26,2020-09-16 00:00:00
40-49,Virginia Beach,861,2,35,2020-09-16 00:00:00
50-59,Virginia Beach,769,3,48,2020-09-16 00:00:00
60-69,Virginia Beach,576,9,73,2020-09-16 00:00:00
70-79,Virginia Beach,291,24,79,2020-09-16 00:00:00
80+,Virginia Beach,234,37,73,2020-09-16 00:00:00
Missing,Virginia Beach,127,0,0,2020-09-16 00:00:00
0-9,Western Tidewater,107,0,1,2020-09-16 00:00:00
10-19,Western Tidewater,238,0,0,2020-09-16 00:00:00
20-29,Western Tidewater,465,0,6,2020-09-16 00:00:00
30-39,Western Tidewater,504,2,18,2020-09-16 00:00:00
40-49,Western Tidewater,479,3,11,2020-09-16 00:00:00
50-59,Western Tidewater,634,4,27,2020-09-16 00:00:00
60-69,Western Tidewater,458,13,41,2020-09-16 00:00:00
70-79,Western Tidewater,275,26,38,2020-09-16 00:00:00
80+,Western Tidewater,229,56,38,2020-09-16 00:00:00
Missing,Western Tidewater,24,0,0,2020-09-16 00:00:00
0-9,West Piedmont,48,0,2,2020-09-16 00:00:00
10-19,West Piedmont,160,0,1,2020-09-16 00:00:00
20-29,West Piedmont,275,0,4,2020-09-16 00:00:00
30-39,West Piedmont,243,0,7,2020-09-16 00:00:00
40-49,West Piedmont,289,4,19,2020-09-16 00:00:00
50-59,West Piedmont,317,3,47,2020-09-16 00:00:00
60-69,West Piedmont,248,5,44,2020-09-16 00:00:00
70-79,West Piedmont,158,20,55,2020-09-16 00:00:00
80+,West Piedmont,145,22,48,2020-09-16 00:00:00
Missing,West Piedmont,0,0,0,2020-09-16 00:00:00
0-9,Alexandria,228,0,3,2020-09-17 00:00:00
10-19,Alexandria,260,0,4,2020-09-17 00:00:00
20-29,Alexandria,672,1,12,2020-09-17 00:00:00
30-39,Alexandria,853,1,37,2020-09-17 00:00:00
40-49,Alexandria,641,0,47,2020-09-17 00:00:00
50-59,Alexandria,464,13,63,2020-09-17 00:00:00
60-69,Alexandria,275,3,60,2020-09-17 00:00:00
70-79,Alexandria,129,19,45,2020-09-17 00:00:00
80+,Alexandria,116,29,35,2020-09-17 00:00:00
Missing,Alexandria,11,0,0,2020-09-17 00:00:00
0-9,Alleghany,45,0,0,2020-09-17 00:00:00
10-19,Alleghany,180,0,1,2020-09-17 00:00:00
20-29,Alleghany,302,0,1,2020-09-17 00:00:00
30-39,Alleghany,185,0,5,2020-09-17 00:00:00
40-49,Alleghany,184,0,5,2020-09-17 00:00:00
50-59,Alleghany,225,1,12,2020-09-17 00:00:00
60-69,Alleghany,125,1,15,2020-09-17 00:00:00
70-79,Alleghany,110,14,18,2020-09-17 00:00:00
80+,Alleghany,55,8,14,2020-09-17 00:00:00
Missing,Alleghany,4,0,0,2020-09-17 00:00:00
0-9,Arlington,101,0,2,2020-09-17 00:00:00
10-19,Arlington,211,0,5,2020-09-17 00:00:00
20-29,Arlington,837,0,24,2020-09-17 00:00:00
30-39,Arlington,714,0,47,2020-09-17 00:00:00
40-49,Arlington,617,9,65,2020-09-17 00:00:00
50-59,Arlington,507,7,81,2020-09-17 00:00:00
60-69,Arlington,355,20,91,2020-09-17 00:00:00
70-79,Arlington,209,36,82,2020-09-17 00:00:00
80+,Arlington,223,74,93,2020-09-17 00:00:00
Missing,Arlington,17,0,1,2020-09-17 00:00:00
0-9,Central Shenandoah,119,0,0,2020-09-17 00:00:00
10-19,Central Shenandoah,823,0,1,2020-09-17 00:00:00
20-29,Central Shenandoah,1430,0,14,2020-09-17 00:00:00
30-39,Central Shenandoah,526,1,10,2020-09-17 00:00:00
40-49,Central Shenandoah,549,0,21,2020-09-17 00:00:00
50-59,Central Shenandoah,572,6,44,2020-09-17 00:00:00
60-69,Central Shenandoah,407,15,58,2020-09-17 00:00:00
70-79,Central Shenandoah,208,19,61,2020-09-17 00:00:00
80+,Central Shenandoah,187,29,47,2020-09-17 00:00:00
Missing,Central Shenandoah,8,0,0,2020-09-17 00:00:00
0-9,Central Virginia,82,0,0,2020-09-17 00:00:00
10-19,Central Virginia,344,0,2,2020-09-17 00:00:00
20-29,Central Virginia,728,0,5,2020-09-17 00:00:00
30-39,Central Virginia,358,0,15,2020-09-17 00:00:00
40-49,Central Virginia,359,0,4,2020-09-17 00:00:00
50-59,Central Virginia,421,4,16,2020-09-17 00:00:00
60-69,Central Virginia,282,4,26,2020-09-17 00:00:00
70-79,Central Virginia,169,9,19,2020-09-17 00:00:00
80+,Central Virginia,120,13,15,2020-09-17 00:00:00
Missing,Central Virginia,4,0,0,2020-09-17 00:00:00
0-9,Chesapeake,136,0,1,2020-09-17 00:00:00
10-19,Chesapeake,333,0,4,2020-09-17 00:00:00
20-29,Chesapeake,759,0,7,2020-09-17 00:00:00
30-39,Chesapeake,760,0,24,2020-09-17 00:00:00
40-49,Chesapeake,628,1,46,2020-09-17 00:00:00
50-59,Chesapeake,611,3,67,2020-09-17 00:00:00
60-69,Chesapeake,468,14,96,2020-09-17 00:00:00
70-79,Chesapeake,228,11,78,2020-09-17 00:00:00
80+,Chesapeake,176,29,57,2020-09-17 00:00:00
Missing,Chesapeake,42,0,1,2020-09-17 00:00:00
0-9,Chesterfield,247,0,3,2020-09-17 00:00:00
10-19,Chesterfield,627,0,2,2020-09-17 00:00:00
20-29,Chesterfield,1151,0,15,2020-09-17 00:00:00
30-39,Chesterfield,1163,1,30,2020-09-17 00:00:00
40-49,Chesterfield,1001,4,49,2020-09-17 00:00:00
50-59,Chesterfield,851,8,70,2020-09-17 00:00:00
60-69,Chesterfield,517,23,82,2020-09-17 00:00:00
70-79,Chesterfield,224,30,42,2020-09-17 00:00:00
80+,Chesterfield,191,54,45,2020-09-17 00:00:00
Missing,Chesterfield,134,0,1,2020-09-17 00:00:00
0-9,Chickahominy,35,0,0,2020-09-17 00:00:00
10-19,Chickahominy,192,0,0,2020-09-17 00:00:00
20-29,Chickahominy,299,0,4,2020-09-17 00:00:00
30-39,Chickahominy,248,0,3,2020-09-17 00:00:00
40-49,Chickahominy,235,1,16,2020-09-17 00:00:00
50-59,Chickahominy,291,1,29,2020-09-17 00:00:00
60-69,Chickahominy,173,9,32,2020-09-17 00:00:00
70-79,Chickahominy,110,8,30,2020-09-17 00:00:00
80+,Chickahominy,104,30,42,2020-09-17 00:00:00
Missing,Chickahominy,20,0,0,2020-09-17 00:00:00
0-9,Crater,74,0,2,2020-09-17 00:00:00
10-19,Crater,169,0,2,2020-09-17 00:00:00
20-29,Crater,592,0,9,2020-09-17 00:00:00
30-39,Crater,664,0,13,2020-09-17 00:00:00
40-49,Crater,564,1,27,2020-09-17 00:00:00
50-59,Crater,624,6,55,2020-09-17 00:00:00
60-69,Crater,445,23,67,2020-09-17 00:00:00
70-79,Crater,250,31,51,2020-09-17 00:00:00
80+,Crater,195,34,42,2020-09-17 00:00:00
Missing,Crater,30,0,0,2020-09-17 00:00:00
0-9,Cumberland Plateau,24,0,0,2020-09-17 00:00:00
10-19,Cumberland Plateau,93,0,1,2020-09-17 00:00:00
20-29,Cumberland Plateau,98,0,0,2020-09-17 00:00:00
30-39,Cumberland Plateau,84,0,2,2020-09-17 00:00:00
40-49,Cumberland Plateau,106,1,5,2020-09-17 00:00:00
50-59,Cumberland Plateau,103,1,13,2020-09-17 00:00:00
60-69,Cumberland Plateau,78,2,15,2020-09-17 00:00:00
70-79,Cumberland Plateau,44,0,5,2020-09-17 00:00:00
80+,Cumberland Plateau,30,5,10,2020-09-17 00:00:00
Missing,Cumberland Plateau,0,0,0,2020-09-17 00:00:00
0-9,Eastern Shore,28,0,2,2020-09-17 00:00:00
10-19,Eastern Shore,77,0,1,2020-09-17 00:00:00
20-29,Eastern Shore,217,0,6,2020-09-17 00:00:00
30-39,Eastern Shore,254,0,11,2020-09-17 00:00:00
40-49,Eastern Shore,265,2,13,2020-09-17 00:00:00
50-59,Eastern Shore,293,6,24,2020-09-17 00:00:00
60-69,Eastern Shore,205,8,31,2020-09-17 00:00:00
70-79,Eastern Shore,67,13,24,2020-09-17 00:00:00
80+,Eastern Shore,55,20,25,2020-09-17 00:00:00
Missing,Eastern Shore,6,0,0,2020-09-17 00:00:00
0-9,Fairfax,811,0,27,2020-09-17 00:00:00
10-19,Fairfax,1606,0,33,2020-09-17 00:00:00
20-29,Fairfax,3565,3,105,2020-09-17 00:00:00
30-39,Fairfax,3841,9,236,2020-09-17 00:00:00
40-49,Fairfax,3488,15,335,2020-09-17 00:00:00
50-59,Fairfax,3020,39,385,2020-09-17 00:00:00
60-69,Fairfax,1859,80,398,2020-09-17 00:00:00
70-79,Fairfax,836,124,283,2020-09-17 00:00:00
80+,Fairfax,914,316,339,2020-09-17 00:00:00
Missing,Fairfax,181,0,6,2020-09-17 00:00:00
0-9,Hampton,44,0,0,2020-09-17 00:00:00
10-19,Hampton,112,0,0,2020-09-17 00:00:00
20-29,Hampton,448,0,3,2020-09-17 00:00:00
30-39,Hampton,322,0,3,2020-09-17 00:00:00
40-49,Hampton,246,1,9,2020-09-17 00:00:00
50-59,Hampton,242,4,12,2020-09-17 00:00:00
60-69,Hampton,165,7,13,2020-09-17 00:00:00
70-79,Hampton,90,5,13,2020-09-17 00:00:00
80+,Hampton,47,3,5,2020-09-17 00:00:00
Missing,Hampton,32,0,0,2020-09-17 00:00:00
0-9,Henrico,191,0,6,2020-09-17 00:00:00
10-19,Henrico,460,0,6,2020-09-17 00:00:00
20-29,Henrico,931,1,21,2020-09-17 00:00:00
30-39,Henrico,910,0,22,2020-09-17 00:00:00
40-49,Henrico,755,2,45,2020-09-17 00:00:00
50-59,Henrico,645,12,68,2020-09-17 00:00:00
60-69,Henrico,450,39,68,2020-09-17 00:00:00
70-79,Henrico,317,49,71,2020-09-17 00:00:00
80+,Henrico,446,101,98,2020-09-17 00:00:00
Missing,Henrico,50,1,1,2020-09-17 00:00:00
0-9,Lenowisco,36,0,0,2020-09-17 00:00:00
10-19,Lenowisco,77,0,0,2020-09-17 00:00:00
20-29,Lenowisco,121,0,0,2020-09-17 00:00:00
30-39,Lenowisco,132,1,3,2020-09-17 00:00:00
40-49,Lenowisco,121,0,6,2020-09-17 00:00:00
50-59,Lenowisco,125,1,14,2020-09-17 00:00:00
60-69,Lenowisco,123,3,15,2020-09-17 00:00:00
70-79,Lenowisco,84,10,25,2020-09-17 00:00:00
80+,Lenowisco,29,2,9,2020-09-17 00:00:00
Missing,Lenowisco,1,0,0,2020-09-17 00:00:00
0-9,Lord Fairfax,99,0,2,2020-09-17 00:00:00
10-19,Lord Fairfax,253,0,4,2020-09-17 00:00:00
20-29,Lord Fairfax,511,0,7,2020-09-17 00:00:00
30-39,Lord Fairfax,490,1,16,2020-09-17 00:00:00
40-49,Lord Fairfax,442,1,23,2020-09-17 00:00:00
50-59,Lord Fairfax,478,6,40,2020-09-17 00:00:00
60-69,Lord Fairfax,291,15,58,2020-09-17 00:00:00
70-79,Lord Fairfax,193,22,59,2020-09-17 00:00:00
80+,Lord Fairfax,218,61,53,2020-09-17 00:00:00
Missing,Lord Fairfax,4,0,0,2020-09-17 00:00:00
0-9,Loudoun,265,0,4,2020-09-17 00:00:00
10-19,Loudoun,948,0,2,2020-09-17 00:00:00
20-29,Loudoun,1179,0,15,2020-09-17 00:00:00
30-39,Loudoun,1111,0,41,2020-09-17 00:00:00
40-49,Loudoun,1223,1,74,2020-09-17 00:00:00
50-59,Loudoun,958,4,82,2020-09-17 00:00:00
60-69,Loudoun,387,9,76,2020-09-17 00:00:00
70-79,Loudoun,196,20,62,2020-09-17 00:00:00
80+,Loudoun,232,85,64,2020-09-17 00:00:00
Missing,Loudoun,68,1,0,2020-09-17 00:00:00
0-9,Mount Rogers,88,0,2,2020-09-17 00:00:00
10-19,Mount Rogers,193,0,0,2020-09-17 00:00:00
20-29,Mount Rogers,381,0,0,2020-09-17 00:00:00
30-39,Mount Rogers,310,0,14,2020-09-17 00:00:00
40-49,Mount Rogers,326,2,8,2020-09-17 00:00:00
50-59,Mount Rogers,361,3,29,2020-09-17 00:00:00
60-69,Mount Rogers,296,4,32,2020-09-17 00:00:00
70-79,Mount Rogers,284,31,76,2020-09-17 00:00:00
80+,Mount Rogers,279,52,58,2020-09-17 00:00:00
Missing,Mount Rogers,0,0,0,2020-09-17 00:00:00
0-9,New River,24,0,0,2020-09-17 00:00:00
10-19,New River,796,0,0,2020-09-17 00:00:00
20-29,New River,1271,0,1,2020-09-17 00:00:00
30-39,New River,166,0,4,2020-09-17 00:00:00
40-49,New River,141,0,4,2020-09-17 00:00:00
50-59,New River,125,0,7,2020-09-17 00:00:00
60-69,New River,90,2,11,2020-09-17 00:00:00
70-79,New River,72,5,15,2020-09-17 00:00:00
80+,New River,46,5,8,2020-09-17 00:00:00
Missing,New River,9,0,0,2020-09-17 00:00:00
0-9,Norfolk,167,0,4,2020-09-17 00:00:00
10-19,Norfolk,323,0,4,2020-09-17 00:00:00
20-29,Norfolk,1528,0,16,2020-09-17 00:00:00
30-39,Norfolk,835,1,37,2020-09-17 00:00:00
40-49,Norfolk,547,2,35,2020-09-17 00:00:00
50-59,Norfolk,533,6,61,2020-09-17 00:00:00
60-69,Norfolk,431,15,84,2020-09-17 00:00:00
70-79,Norfolk,189,18,65,2020-09-17 00:00:00
80+,Norfolk,111,25,35,2020-09-17 00:00:00
Missing,Norfolk,43,0,1,2020-09-17 00:00:00
0-9,Peninsula,149,0,1,2020-09-17 00:00:00
10-19,Peninsula,281,0,1,2020-09-17 00:00:00
20-29,Peninsula,1067,0,1,2020-09-17 00:00:00
30-39,Peninsula,769,3,17,2020-09-17 00:00:00
40-49,Peninsula,608,1,17,2020-09-17 00:00:00
50-59,Peninsula,548,3,25,2020-09-17 00:00:00
60-69,Peninsula,362,7,36,2020-09-17 00:00:00
70-79,Peninsula,228,19,50,2020-09-17 00:00:00
80+,Peninsula,136,32,35,2020-09-17 00:00:00
Missing,Peninsula,53,0,0,2020-09-17 00:00:00
0-9,Piedmont,46,0,0,2020-09-17 00:00:00
10-19,Piedmont,99,0,1,2020-09-17 00:00:00
20-29,Piedmont,353,0,3,2020-09-17 00:00:00
30-39,Piedmont,351,0,6,2020-09-17 00:00:00
40-49,Piedmont,334,0,13,2020-09-17 00:00:00
50-59,Piedmont,293,4,27,2020-09-17 00:00:00
60-69,Piedmont,227,7,26,2020-09-17 00:00:00
70-79,Piedmont,113,10,29,2020-09-17 00:00:00
80+,Piedmont,76,22,24,2020-09-17 00:00:00
Missing,Piedmont,2,0,0,2020-09-17 00:00:00
0-9,Pittsylvania-Danville,65,0,0,2020-09-17 00:00:00
10-19,Pittsylvania-Danville,130,0,0,2020-09-17 00:00:00
20-29,Pittsylvania-Danville,243,0,1,2020-09-17 00:00:00
30-39,Pittsylvania-Danville,246,0,4,2020-09-17 00:00:00
40-49,Pittsylvania-Danville,273,3,13,2020-09-17 00:00:00
50-59,Pittsylvania-Danville,311,2,27,2020-09-17 00:00:00
60-69,Pittsylvania-Danville,230,5,30,2020-09-17 00:00:00
70-79,Pittsylvania-Danville,98,4,26,2020-09-17 00:00:00
80+,Pittsylvania-Danville,127,16,24,2020-09-17 00:00:00
Missing,Pittsylvania-Danville,1,0,0,2020-09-17 00:00:00
0-9,Portsmouth,79,0,4,2020-09-17 00:00:00
10-19,Portsmouth,195,0,6,2020-09-17 00:00:00
20-29,Portsmouth,513,0,21,2020-09-17 00:00:00
30-39,Portsmouth,423,1,26,2020-09-17 00:00:00
40-49,Portsmouth,365,2,30,2020-09-17 00:00:00
50-59,Portsmouth,351,4,48,2020-09-17 00:00:00
60-69,Portsmouth,291,14,54,2020-09-17 00:00:00
70-79,Portsmouth,131,15,50,2020-09-17 00:00:00
80+,Portsmouth,69,12,26,2020-09-17 00:00:00
Missing,Portsmouth,22,0,1,2020-09-17 00:00:00
0-9,Prince William,651,0,12,2020-09-17 00:00:00
10-19,Prince William,1351,0,10,2020-09-17 00:00:00
20-29,Prince William,2760,0,66,2020-09-17 00:00:00
30-39,Prince William,2628,2,114,2020-09-17 00:00:00
40-49,Prince William,2822,8,196,2020-09-17 00:00:00
50-59,Prince William,2082,21,240,2020-09-17 00:00:00
60-69,Prince William,1127,53,204,2020-09-17 00:00:00
70-79,Prince William,443,58,132,2020-09-17 00:00:00
80+,Prince William,295,86,99,2020-09-17 00:00:00
Missing,Prince William,197,0,3,2020-09-17 00:00:00
0-9,Rappahannock,209,0,2,2020-09-17 00:00:00
