age_group,health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
70-79,Henrico,231,43,51,2020-07-23 00:00:00
80+,Henrico,332,88,70,2020-07-23 00:00:00
Missing,Henrico,35,1,1,2020-07-23 00:00:00
0-9,Lenowisco,7,0,0,2020-07-23 00:00:00
10-19,Lenowisco,17,0,0,2020-07-23 00:00:00
20-29,Lenowisco,20,0,0,2020-07-23 00:00:00
30-39,Lenowisco,18,1,1,2020-07-23 00:00:00
40-49,Lenowisco,16,0,2,2020-07-23 00:00:00
50-59,Lenowisco,30,1,6,2020-07-23 00:00:00
60-69,Lenowisco,23,2,5,2020-07-23 00:00:00
70-79,Lenowisco,18,1,8,2020-07-23 00:00:00
80+,Lenowisco,8,0,1,2020-07-23 00:00:00
Missing,Lenowisco,0,0,0,2020-07-23 00:00:00
0-9,Lord Fairfax,72,0,2,2020-07-23 00:00:00
10-19,Lord Fairfax,175,0,3,2020-07-23 00:00:00
20-29,Lord Fairfax,401,0,5,2020-07-23 00:00:00
30-39,Lord Fairfax,393,1,11,2020-07-23 00:00:00
40-49,Lord Fairfax,368,1,18,2020-07-23 00:00:00
50-59,Lord Fairfax,379,3,32,2020-07-23 00:00:00
60-69,Lord Fairfax,253,14,52,2020-07-23 00:00:00
70-79,Lord Fairfax,158,18,44,2020-07-23 00:00:00
80+,Lord Fairfax,171,45,40,2020-07-23 00:00:00
Missing,Lord Fairfax,2,0,0,2020-07-23 00:00:00
0-9,Loudoun,175,0,4,2020-07-23 00:00:00
10-19,Loudoun,662,0,0,2020-07-23 00:00:00
20-29,Loudoun,787,0,10,2020-07-23 00:00:00
30-39,Loudoun,807,0,29,2020-07-23 00:00:00
40-49,Loudoun,891,1,59,2020-07-23 00:00:00
50-59,Loudoun,722,3,63,2020-07-23 00:00:00
60-69,Loudoun,275,7,55,2020-07-23 00:00:00
70-79,Loudoun,155,18,50,2020-07-23 00:00:00
80+,Loudoun,216,76,55,2020-07-23 00:00:00
Missing,Loudoun,68,1,0,2020-07-23 00:00:00
0-9,Mount Rogers,41,0,1,2020-07-23 00:00:00
10-19,Mount Rogers,78,0,0,2020-07-23 00:00:00
20-29,Mount Rogers,167,0,0,2020-07-23 00:00:00
30-39,Mount Rogers,144,0,4,2020-07-23 00:00:00
40-49,Mount Rogers,146,1,5,2020-07-23 00:00:00
50-59,Mount Rogers,142,1,10,2020-07-23 00:00:00
60-69,Mount Rogers,125,1,16,2020-07-23 00:00:00
70-79,Mount Rogers,84,13,29,2020-07-23 00:00:00
80+,Mount Rogers,87,21,33,2020-07-23 00:00:00
