Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
6/3/2020,Chesapeake,548,90,15,2020-06-03 19:59:25.226424
6/3/2020,Thomas Jefferson,556,70,19,2020-06-03 19:59:25.226424
6/3/2020,Roanoke,176,10,10,2020-06-03 19:59:25.226424
6/3/2020,Eastern Shore,1198,80,35,2020-06-03 19:59:25.226424
6/3/2020,Mount Rogers,379,34,7,2020-06-03 19:59:25.226424
6/3/2020,Chickahominy,499,87,33,2020-06-03 19:59:25.226424
6/3/2020,New River,119,15,1,2020-06-03 19:59:25.226424
6/3/2020,Central Virginia,218,16,4,2020-06-03 19:59:25.226424
6/3/2020,Piedmont,759,54,6,2020-06-03 19:59:25.226424
6/3/2020,Lord Fairfax,1505,125,55,2020-06-03 19:59:25.226424
6/3/2020,Crater,872,98,20,2020-06-03 19:59:25.226424
6/3/2020,Hampton,212,30,3,2020-06-03 19:59:25.226424
6/3/2020,Alexandria,2016,197,46,2020-06-03 19:59:25.226424
6/3/2020,Fairfax,11718,1396,410,2020-06-03 19:59:25.226424
6/3/2020,Richmond,1455,161,24,2020-06-03 19:59:25.226424
6/3/2020,Arlington,2142,379,120,2020-06-03 19:59:25.226424
6/3/2020,Rappahannock Rapidan,1222,87,16,2020-06-03 19:59:25.226424
6/3/2020,Rappahannock,1646,160,18,2020-06-03 19:59:25.226424
6/3/2020,Pittsylvania-Danville,103,28,3,2020-06-03 19:59:25.226424
6/3/2020,Prince William,7323,608,127,2020-06-03 19:59:25.226424
6/3/2020,Cumberland Plateau,35,2,0,2020-06-03 19:59:25.226424
6/3/2020,Portsmouth,322,47,11,2020-06-03 19:59:25.226424
6/3/2020,Virginia Beach,752,97,23,2020-06-03 19:59:25.226424
6/3/2020,West Piedmont,240,21,5,2020-06-03 19:59:25.226424
6/3/2020,Three Rivers,541,38,9,2020-06-03 19:59:25.226424
6/3/2020,Alleghany,216,24,15,2020-06-03 19:59:25.226424
6/3/2020,Lenowisco,43,16,4,2020-06-03 19:59:25.226424
6/3/2020,Norfolk,539,70,6,2020-06-03 19:59:25.226424
6/3/2020,Western Tidewater,643,75,40,2020-06-03 19:59:25.226424
6/3/2020,Henrico,1933,214,134,2020-06-03 19:59:25.226424
6/3/2020,Central Shenandoah,1611,127,31,2020-06-03 19:59:25.226424
6/3/2020,Loudoun,2659,171,67,2020-06-03 19:59:25.226424
6/3/2020,Chesterfield,1793,100,54,2020-06-03 19:59:25.226424
6/3/2020,Peninsula,633,117,32,2020-06-03 19:59:25.226424
6/4/2020,Southside,281,40,25,2020-06-04 20:32:33.479606
6/4/2020,Chesapeake,554,90,15,2020-06-04 20:32:33.479606
6/4/2020,Thomas Jefferson,573,72,19,2020-06-04 20:32:33.479606
6/4/2020,Roanoke,176,10,10,2020-06-04 20:32:33.479606
6/4/2020,Eastern Shore,1213,82,37,2020-06-04 20:32:33.479606
6/4/2020,Mount Rogers,410,35,7,2020-06-04 20:32:33.479606
6/4/2020,Chickahominy,505,87,33,2020-06-04 20:32:33.479606
6/4/2020,New River,120,15,2,2020-06-04 20:32:33.479606
6/4/2020,Central Virginia,219,16,4,2020-06-04 20:32:33.479606
6/4/2020,Piedmont,766,57,6,2020-06-04 20:32:33.479606
6/4/2020,Lord Fairfax,1548,127,55,2020-06-04 20:32:33.479606
6/4/2020,Crater,972,104,21,2020-06-04 20:32:33.479606
6/4/2020,Hampton,214,32,4,2020-06-04 20:32:33.479606
6/4/2020,Alexandria,2031,202,46,2020-06-04 20:32:33.479606
6/4/2020,Fairfax,11938,1405,417,2020-06-04 20:32:33.479606
6/4/2020,Richmond,1488,163,24,2020-06-04 20:32:33.479606
6/4/2020,Arlington,2150,384,120,2020-06-04 20:32:33.479606
6/4/2020,Rappahannock Rapidan,1237,90,16,2020-06-04 20:32:33.479606
6/4/2020,Rappahannock,1661,164,20,2020-06-04 20:32:33.479606
6/4/2020,Pittsylvania-Danville,103,28,3,2020-06-04 20:32:33.479606
6/4/2020,Prince William,7437,623,128,2020-06-04 20:32:33.479606
6/4/2020,Cumberland Plateau,35,2,0,2020-06-04 20:32:33.479606
6/4/2020,Portsmouth,325,47,11,2020-06-04 20:32:33.479606
6/4/2020,Virginia Beach,770,100,24,2020-06-04 20:32:33.479606
6/4/2020,West Piedmont,250,22,5,2020-06-04 20:32:33.479606
6/4/2020,Three Rivers,557,38,9,2020-06-04 20:32:33.479606
6/4/2020,Alleghany,216,24,15,2020-06-04 20:32:33.479606
6/4/2020,Lenowisco,45,16,4,2020-06-04 20:32:33.479606
6/4/2020,Norfolk,552,71,6,2020-06-04 20:32:33.479606
6/4/2020,Western Tidewater,645,75,40,2020-06-04 20:32:33.479606
6/4/2020,Henrico,1946,217,134,2020-06-04 20:32:33.479606
6/4/2020,Central Shenandoah,1631,127,31,2020-06-04 20:32:33.479606
6/4/2020,Loudoun,2794,173,67,2020-06-04 20:32:33.479606
6/4/2020,Chesterfield,1854,101,54,2020-06-04 20:32:33.479606
6/4/2020,Peninsula,640,118,33,2020-06-04 20:32:33.479606
6/5/2020,Southside,283,41,25,2020-06-05 20:17:14.539234
6/5/2020,Chesapeake,563,91,15,2020-06-05 20:17:14.539234
6/5/2020,Thomas Jefferson,579,73,19,2020-06-05 20:17:14.539234
6/5/2020,Roanoke,190,10,10,2020-06-05 20:17:14.539234
6/5/2020,Eastern Shore,1218,84,37,2020-06-05 20:17:14.539234
6/5/2020,Mount Rogers,410,35,7,2020-06-05 20:17:14.539234
6/5/2020,Chickahominy,509,87,33,2020-06-05 20:17:14.539234
6/5/2020,New River,123,15,2,2020-06-05 20:17:14.539234
6/5/2020,Central Virginia,239,17,4,2020-06-05 20:17:14.539234
6/5/2020,Piedmont,779,57,6,2020-06-05 20:17:14.539234
6/5/2020,Lord Fairfax,1569,132,56,2020-06-05 20:17:14.539234
6/5/2020,Crater,1003,104,21,2020-06-05 20:17:14.539234
6/5/2020,Hampton,215,33,4,2020-06-05 20:17:14.539234
6/5/2020,Alexandria,2045,203,45,2020-06-05 20:17:14.539234
6/5/2020,Fairfax,12027,1419,423,2020-06-05 20:17:14.539234
6/5/2020,Richmond,1527,165,25,2020-06-05 20:17:14.539234
6/5/2020,Arlington,2173,385,121,2020-06-05 20:17:14.539234
6/5/2020,Rappahannock Rapidan,1254,93,16,2020-06-05 20:17:14.539234
6/5/2020,Rappahannock,1702,165,19,2020-06-05 20:17:14.539234
6/5/2020,Pittsylvania-Danville,107,28,3,2020-06-05 20:17:14.539234
6/5/2020,Prince William,7563,631,128,2020-06-05 20:17:14.539234
6/5/2020,Cumberland Plateau,35,2,0,2020-06-05 20:17:14.539234
6/5/2020,Portsmouth,325,47,11,2020-06-05 20:17:14.539234
6/5/2020,Virginia Beach,784,102,25,2020-06-05 20:17:14.539234
6/5/2020,West Piedmont,257,22,5,2020-06-05 20:17:14.539234
6/5/2020,Three Rivers,560,38,9,2020-06-05 20:17:14.539234
6/5/2020,Alleghany,224,25,15,2020-06-05 20:17:14.539234
6/5/2020,Lenowisco,45,16,4,2020-06-05 20:17:14.539234
6/5/2020,Norfolk,560,71,6,2020-06-05 20:17:14.539234
6/5/2020,Western Tidewater,653,77,40,2020-06-05 20:17:14.539234
6/5/2020,Henrico,1983,218,134,2020-06-05 20:17:14.539234
6/5/2020,Central Shenandoah,1644,128,31,2020-06-05 20:17:14.539234
6/5/2020,Loudoun,2837,175,67,2020-06-05 20:17:14.539234
6/5/2020,Chesterfield,1895,101,54,2020-06-05 20:17:14.539234
6/5/2020,Peninsula,652,118,33,2020-06-05 20:17:14.539234
6/6/2020,Southside,285,41,25,2020-06-06 20:35:52.742844
6/6/2020,Chesapeake,577,94,15,2020-06-06 20:35:52.742844
6/6/2020,Thomas Jefferson,593,74,19,2020-06-06 20:35:52.742844
6/6/2020,Roanoke,197,10,10,2020-06-06 20:35:52.742844
6/6/2020,Eastern Shore,1221,86,38,2020-06-06 20:35:52.742844
6/6/2020,Mount Rogers,421,37,7,2020-06-06 20:35:52.742844
6/6/2020,Chickahominy,515,88,33,2020-06-06 20:35:52.742844
6/6/2020,New River,133,16,3,2020-06-06 20:35:52.742844
6/6/2020,Central Virginia,244,17,4,2020-06-06 20:35:52.742844
6/6/2020,Piedmont,790,58,6,2020-06-06 20:35:52.742844
6/6/2020,Lord Fairfax,1591,132,56,2020-06-06 20:35:52.742844
6/6/2020,Crater,1033,106,21,2020-06-06 20:35:52.742844
6/6/2020,Hampton,215,33,4,2020-06-06 20:35:52.742844
6/6/2020,Alexandria,2070,209,45,2020-06-06 20:35:52.742844
6/6/2020,Fairfax,12180,1427,426,2020-06-06 20:35:52.742844
6/6/2020,Richmond,1592,167,25,2020-06-06 20:35:52.742844
6/6/2020,Arlington,2195,389,120,2020-06-06 20:35:52.742844
6/6/2020,Rappahannock Rapidan,1266,94,17,2020-06-06 20:35:52.742844
6/6/2020,Rappahannock,1747,166,19,2020-06-06 20:35:52.742844
6/6/2020,Pittsylvania-Danville,107,28,3,2020-06-06 20:35:52.742844
6/6/2020,Prince William,7686,636,128,2020-06-06 20:35:52.742844
6/6/2020,Cumberland Plateau,36,2,0,2020-06-06 20:35:52.742844
6/6/2020,Portsmouth,335,47,11,2020-06-06 20:35:52.742844
6/6/2020,Virginia Beach,798,102,25,2020-06-06 20:35:52.742844
6/6/2020,West Piedmont,272,23,5,2020-06-06 20:35:52.742844
6/6/2020,Three Rivers,565,40,10,2020-06-06 20:35:52.742844
6/6/2020,Alleghany,235,25,15,2020-06-06 20:35:52.742844
6/6/2020,Lenowisco,45,16,4,2020-06-06 20:35:52.742844
6/6/2020,Norfolk,562,71,7,2020-06-06 20:35:52.742844
6/6/2020,Western Tidewater,659,77,40,2020-06-06 20:35:52.742844
6/6/2020,Henrico,2033,218,134,2020-06-06 20:35:52.742844
6/6/2020,Central Shenandoah,1662,129,31,2020-06-06 20:35:52.742844
6/6/2020,Loudoun,2939,177,67,2020-06-06 20:35:52.742844
6/6/2020,Chesterfield,1938,101,54,2020-06-06 20:35:52.742844
6/6/2020,Peninsula,660,118,33,2020-06-06 20:35:52.742844
6/6/2020,Southside,285,41,25,2020-06-07 20:33:57.122504
6/6/2020,Chesapeake,577,94,15,2020-06-07 20:33:57.122504
6/6/2020,Thomas Jefferson,593,74,19,2020-06-07 20:33:57.122504
6/6/2020,Roanoke,197,10,10,2020-06-07 20:33:57.122504
6/6/2020,Eastern Shore,1221,86,38,2020-06-07 20:33:57.122504
6/6/2020,Mount Rogers,421,37,7,2020-06-07 20:33:57.122504
6/6/2020,Chickahominy,515,88,33,2020-06-07 20:33:57.122504
6/6/2020,New River,133,16,3,2020-06-07 20:33:57.122504
6/6/2020,Central Virginia,244,17,4,2020-06-07 20:33:57.122504
6/6/2020,Piedmont,790,58,6,2020-06-07 20:33:57.122504
6/6/2020,Lord Fairfax,1591,132,56,2020-06-07 20:33:57.122504
6/6/2020,Crater,1033,106,21,2020-06-07 20:33:57.122504
6/6/2020,Hampton,215,33,4,2020-06-07 20:33:57.122504
6/6/2020,Alexandria,2070,209,45,2020-06-07 20:33:57.122504
6/6/2020,Fairfax,12180,1427,426,2020-06-07 20:33:57.122504
6/6/2020,Richmond,1592,167,25,2020-06-07 20:33:57.122504
6/6/2020,Arlington,2195,389,120,2020-06-07 20:33:57.122504
6/6/2020,Rappahannock Rapidan,1266,94,17,2020-06-07 20:33:57.122504
6/6/2020,Rappahannock,1747,166,19,2020-06-07 20:33:57.122504
6/6/2020,Pittsylvania-Danville,107,28,3,2020-06-07 20:33:57.122504
6/6/2020,Prince William,7686,636,128,2020-06-07 20:33:57.122504
6/6/2020,Cumberland Plateau,36,2,0,2020-06-07 20:33:57.122504
6/6/2020,Portsmouth,335,47,11,2020-06-07 20:33:57.122504
6/6/2020,Virginia Beach,798,102,25,2020-06-07 20:33:57.122504
6/6/2020,West Piedmont,272,23,5,2020-06-07 20:33:57.122504
6/6/2020,Three Rivers,565,40,10,2020-06-07 20:33:57.122504
6/6/2020,Alleghany,235,25,15,2020-06-07 20:33:57.122504
6/6/2020,Lenowisco,45,16,4,2020-06-07 20:33:57.122504
6/6/2020,Norfolk,562,71,7,2020-06-07 20:33:57.122504
6/6/2020,Western Tidewater,659,77,40,2020-06-07 20:33:57.122504
6/6/2020,Henrico,2033,218,134,2020-06-07 20:33:57.122504
6/6/2020,Central Shenandoah,1662,129,31,2020-06-07 20:33:57.122504
6/6/2020,Loudoun,2939,177,67,2020-06-07 20:33:57.122504
6/6/2020,Chesterfield,1938,101,54,2020-06-07 20:33:57.122504
6/6/2020,Peninsula,660,118,33,2020-06-07 20:33:57.122504
6/8/2020,Southside,297,44,25,2020-06-08 20:31:22.637281
6/8/2020,Chesapeake,596,97,15,2020-06-08 20:31:22.637281
6/8/2020,Thomas Jefferson,644,77,19,2020-06-08 20:31:22.637281
6/8/2020,Roanoke,199,10,10,2020-06-08 20:31:22.637281
6/8/2020,Eastern Shore,1238,87,39,2020-06-08 20:31:22.637281
6/8/2020,Mount Rogers,454,41,10,2020-06-08 20:31:22.637281
6/8/2020,Chickahominy,526,88,33,2020-06-08 20:31:22.637281
6/8/2020,New River,142,17,3,2020-06-08 20:31:22.637281
6/8/2020,Central Virginia,247,17,4,2020-06-08 20:31:22.637281
6/8/2020,Piedmont,804,59,6,2020-06-08 20:31:22.637281
6/8/2020,Lord Fairfax,1628,134,58,2020-06-08 20:31:22.637281
6/8/2020,Crater,1062,106,21,2020-06-08 20:31:22.637281
6/8/2020,Hampton,227,33,4,2020-06-08 20:31:22.637281
6/8/2020,Alexandria,2102,208,45,2020-06-08 20:31:22.637281
6/8/2020,Fairfax,12728,1449,427,2020-06-08 20:31:22.637281
6/8/2020,Richmond,1651,174,26,2020-06-08 20:31:22.637281
6/8/2020,Arlington,2256,392,122,2020-06-08 20:31:22.637281
6/8/2020,Rappahannock Rapidan,1303,96,17,2020-06-08 20:31:22.637281
6/8/2020,Rappahannock,1889,172,19,2020-06-08 20:31:22.637281
6/8/2020,Pittsylvania-Danville,110,28,3,2020-06-08 20:31:22.637281
6/8/2020,Prince William,7885,658,135,2020-06-08 20:31:22.637281
6/8/2020,Cumberland Plateau,36,2,0,2020-06-08 20:31:22.637281
6/8/2020,Portsmouth,343,48,11,2020-06-08 20:31:22.637281
6/8/2020,Virginia Beach,810,102,25,2020-06-08 20:31:22.637281
6/8/2020,West Piedmont,287,23,5,2020-06-08 20:31:22.637281
6/8/2020,Three Rivers,571,41,10,2020-06-08 20:31:22.637281
6/8/2020,Alleghany,238,25,15,2020-06-08 20:31:22.637281
6/8/2020,Lenowisco,46,16,4,2020-06-08 20:31:22.637281
6/8/2020,Norfolk,589,71,7,2020-06-08 20:31:22.637281
6/8/2020,Western Tidewater,665,77,40,2020-06-08 20:31:22.637281
6/8/2020,Henrico,2128,218,134,2020-06-08 20:31:22.637281
6/8/2020,Central Shenandoah,1709,133,31,2020-06-08 20:31:22.637281
6/8/2020,Loudoun,3147,181,67,2020-06-08 20:31:22.637281
6/8/2020,Chesterfield,2014,101,54,2020-06-08 20:31:22.637281
6/8/2020,Peninsula,680,118,33,2020-06-08 20:31:22.637281
6/9/2020,Southside,297,44,26,2020-06-09 20:34:11.169232
6/9/2020,Chesapeake,605,97,15,2020-06-09 20:34:11.169232
6/9/2020,Thomas Jefferson,649,77,19,2020-06-09 20:34:11.169232
6/9/2020,Roanoke,204,10,10,2020-06-09 20:34:11.169232
6/9/2020,Eastern Shore,1239,88,40,2020-06-09 20:34:11.169232
6/9/2020,Mount Rogers,466,45,12,2020-06-09 20:34:11.169232
6/9/2020,Chickahominy,532,90,33,2020-06-09 20:34:11.169232
6/9/2020,New River,143,17,3,2020-06-09 20:34:11.169232
6/9/2020,Central Virginia,250,17,4,2020-06-09 20:34:11.169232
6/9/2020,Piedmont,810,60,6,2020-06-09 20:34:11.169232
6/9/2020,Lord Fairfax,1641,136,58,2020-06-09 20:34:11.169232
6/9/2020,Crater,1093,106,21,2020-06-09 20:34:11.169232
6/9/2020,Hampton,228,35,4,2020-06-09 20:34:11.169232
6/9/2020,Alexandria,2115,212,47,2020-06-09 20:34:11.169232
6/9/2020,Fairfax,12820,1455,429,2020-06-09 20:34:11.169232
6/9/2020,Richmond,1667,177,27,2020-06-09 20:34:11.169232
6/9/2020,Arlington,2265,395,122,2020-06-09 20:34:11.169232
6/9/2020,Rappahannock Rapidan,1312,96,17,2020-06-09 20:34:11.169232
6/9/2020,Rappahannock,1905,177,21,2020-06-09 20:34:11.169232
6/9/2020,Pittsylvania-Danville,110,28,3,2020-06-09 20:34:11.169232
6/9/2020,Prince William,7949,669,136,2020-06-09 20:34:11.169232
6/9/2020,Cumberland Plateau,35,2,0,2020-06-09 20:34:11.169232
6/9/2020,Portsmouth,351,48,11,2020-06-09 20:34:11.169232
6/9/2020,Virginia Beach,815,104,27,2020-06-09 20:34:11.169232
6/9/2020,West Piedmont,293,26,5,2020-06-09 20:34:11.169232
6/9/2020,Three Rivers,567,40,9,2020-06-09 20:34:11.169232
6/9/2020,Alleghany,243,25,15,2020-06-09 20:34:11.169232
6/9/2020,Lenowisco,45,16,4,2020-06-09 20:34:11.169232
6/9/2020,Norfolk,596,73,7,2020-06-09 20:34:11.169232
6/9/2020,Western Tidewater,669,77,46,2020-06-09 20:34:11.169232
6/9/2020,Henrico,2146,220,134,2020-06-09 20:34:11.169232
6/9/2020,Central Shenandoah,1721,135,31,2020-06-09 20:34:11.169232
6/9/2020,Loudoun,3174,185,67,2020-06-09 20:34:11.169232
6/9/2020,Chesterfield,2093,103,54,2020-06-09 20:34:11.169232
6/9/2020,Peninsula,690,118,33,2020-06-09 20:34:11.169232
6/10/2020,Southside,299,44,26,2020-06-10 20:37:28.068980
6/10/2020,Chesapeake,617,97,15,2020-06-10 20:37:28.068980
6/10/2020,Thomas Jefferson,655,77,19,2020-06-10 20:37:28.068980
6/10/2020,Roanoke,207,10,10,2020-06-10 20:37:28.068980
6/10/2020,Eastern Shore,1241,88,40,2020-06-10 20:37:28.068980
6/10/2020,Mount Rogers,482,46,18,2020-06-10 20:37:28.068980
6/10/2020,Chickahominy,533,95,34,2020-06-10 20:37:28.068980
6/10/2020,New River,146,18,3,2020-06-10 20:37:28.068980
6/10/2020,Central Virginia,254,17,4,2020-06-10 20:37:28.068980
6/10/2020,Piedmont,827,61,7,2020-06-10 20:37:28.068980
6/10/2020,Lord Fairfax,1662,136,60,2020-06-10 20:37:28.068980
6/10/2020,Crater,1126,107,21,2020-06-10 20:37:28.068980
6/10/2020,Hampton,231,36,5,2020-06-10 20:37:28.068980
6/10/2020,Alexandria,2125,216,47,2020-06-10 20:37:28.068980
6/10/2020,Fairfax,12871,1469,436,2020-06-10 20:37:28.068980
6/10/2020,Richmond,1686,180,26,2020-06-10 20:37:28.068980
6/10/2020,Arlington,2280,394,121,2020-06-10 20:37:28.068980
6/10/2020,Rappahannock Rapidan,1319,96,18,2020-06-10 20:37:28.068980
6/10/2020,Rappahannock,1930,178,22,2020-06-10 20:37:28.068980
6/10/2020,Pittsylvania-Danville,115,28,3,2020-06-10 20:37:28.068980
6/10/2020,Prince William,7998,683,136,2020-06-10 20:37:28.068980
6/10/2020,Cumberland Plateau,35,2,0,2020-06-10 20:37:28.068980
6/10/2020,Portsmouth,354,49,11,2020-06-10 20:37:28.068980
6/10/2020,Virginia Beach,823,105,27,2020-06-10 20:37:28.068980
6/10/2020,West Piedmont,303,28,5,2020-06-10 20:37:28.068980
6/10/2020,Three Rivers,569,42,9,2020-06-10 20:37:28.068980
6/10/2020,Alleghany,243,25,14,2020-06-10 20:37:28.068980
6/10/2020,Lenowisco,45,16,4,2020-06-10 20:37:28.068980
6/10/2020,Norfolk,605,74,7,2020-06-10 20:37:28.068980
6/10/2020,Western Tidewater,676,77,45,2020-06-10 20:37:28.068980
6/10/2020,Henrico,2162,223,135,2020-06-10 20:37:28.068980
6/10/2020,Central Shenandoah,1734,135,31,2020-06-10 20:37:28.068980
6/10/2020,Loudoun,3180,196,67,2020-06-10 20:37:28.068980
6/10/2020,Chesterfield,2149,104,55,2020-06-10 20:37:28.068980
6/10/2020,Peninsula,695,120,33,2020-06-10 20:37:28.068980
6/11/2020,Southside,301,44,26,2020-06-11 20:32:05.113617
6/11/2020,Chesapeake,622,98,15,2020-06-11 20:32:05.113617
6/11/2020,Thomas Jefferson,669,78,19,2020-06-11 20:32:05.113617
6/11/2020,Roanoke,222,10,10,2020-06-11 20:32:05.113617
6/11/2020,Eastern Shore,1243,89,40,2020-06-11 20:32:05.113617
6/11/2020,Mount Rogers,506,52,19,2020-06-11 20:32:05.113617
6/11/2020,Chickahominy,539,96,34,2020-06-11 20:32:05.113617
6/11/2020,New River,146,18,4,2020-06-11 20:32:05.113617
6/11/2020,Central Virginia,253,17,4,2020-06-11 20:32:05.113617
6/11/2020,Piedmont,857,63,7,2020-06-11 20:32:05.113617
6/11/2020,Lord Fairfax,1675,137,60,2020-06-11 20:32:05.113617
6/11/2020,Crater,1139,108,21,2020-06-11 20:32:05.113617
6/11/2020,Hampton,233,37,5,2020-06-11 20:32:05.113617
6/11/2020,Alexandria,2127,218,48,2020-06-11 20:32:05.113617
6/11/2020,Fairfax,12936,1478,432,2020-06-11 20:32:05.113617
6/11/2020,Richmond,1709,184,26,2020-06-11 20:32:05.113617
6/11/2020,Arlington,2299,396,124,2020-06-11 20:32:05.113617
6/11/2020,Rappahannock Rapidan,1324,98,18,2020-06-11 20:32:05.113617
6/11/2020,Rappahannock,1950,180,23,2020-06-11 20:32:05.113617
6/11/2020,Pittsylvania-Danville,117,30,3,2020-06-11 20:32:05.113617
6/11/2020,Prince William,8028,695,136,2020-06-11 20:32:05.113617
6/11/2020,Cumberland Plateau,35,2,0,2020-06-11 20:32:05.113617
6/11/2020,Portsmouth,364,56,11,2020-06-11 20:32:05.113617
6/11/2020,Virginia Beach,832,107,27,2020-06-11 20:32:05.113617
6/11/2020,West Piedmont,312,29,5,2020-06-11 20:32:05.113617
6/11/2020,Three Rivers,570,43,9,2020-06-11 20:32:05.113617
6/11/2020,Alleghany,250,25,14,2020-06-11 20:32:05.113617
6/11/2020,Lenowisco,45,16,4,2020-06-11 20:32:05.113617
6/11/2020,Norfolk,619,74,7,2020-06-11 20:32:05.113617
6/11/2020,Western Tidewater,681,77,45,2020-06-11 20:32:05.113617
6/11/2020,Henrico,2170,229,135,2020-06-11 20:32:05.113617
6/11/2020,Central Shenandoah,1740,138,32,2020-06-11 20:32:05.113617
6/11/2020,Loudoun,3229,201,69,2020-06-11 20:32:05.113617
6/11/2020,Chesterfield,2195,117,55,2020-06-11 20:32:05.113617
6/11/2020,Peninsula,710,120,33,2020-06-11 20:32:05.113617
6/12/2020,Southside,302,44,26,2020-06-12 20:27:50.005218
6/12/2020,Chesapeake,636,99,16,2020-06-12 20:27:50.005218
6/12/2020,Thomas Jefferson,680,79,19,2020-06-12 20:27:50.005218
6/12/2020,Roanoke,232,11,10,2020-06-12 20:27:50.005218
6/12/2020,Eastern Shore,1246,92,40,2020-06-12 20:27:50.005218
6/12/2020,Mount Rogers,515,56,20,2020-06-12 20:27:50.005218
6/12/2020,Chickahominy,546,95,34,2020-06-12 20:27:50.005218
6/12/2020,New River,146,18,4,2020-06-12 20:27:50.005218
6/12/2020,Central Virginia,260,17,4,2020-06-12 20:27:50.005218
6/12/2020,Piedmont,874,68,7,2020-06-12 20:27:50.005218
6/12/2020,Lord Fairfax,1703,139,61,2020-06-12 20:27:50.005218
6/12/2020,Crater,1160,109,21,2020-06-12 20:27:50.005218
6/12/2020,Hampton,234,37,5,2020-06-12 20:27:50.005218
6/12/2020,Alexandria,2128,222,48,2020-06-12 20:27:50.005218
6/12/2020,Fairfax,12987,1482,435,2020-06-12 20:27:50.005218
6/12/2020,Richmond,1733,185,28,2020-06-12 20:27:50.005218
6/12/2020,Arlington,2307,397,125,2020-06-12 20:27:50.005218
6/12/2020,Rappahannock Rapidan,1332,99,18,2020-06-12 20:27:50.005218
6/12/2020,Rappahannock,1988,186,24,2020-06-12 20:27:50.005218
6/12/2020,Pittsylvania-Danville,122,31,3,2020-06-12 20:27:50.005218
6/12/2020,Prince William,8090,725,138,2020-06-12 20:27:50.005218
6/12/2020,Cumberland Plateau,35,2,0,2020-06-12 20:27:50.005218
6/12/2020,Portsmouth,370,56,11,2020-06-12 20:27:50.005218
6/12/2020,Virginia Beach,847,107,27,2020-06-12 20:27:50.005218
6/12/2020,West Piedmont,320,32,5,2020-06-12 20:27:50.005218
6/12/2020,Three Rivers,572,45,9,2020-06-12 20:27:50.005218
6/12/2020,Alleghany,256,26,14,2020-06-12 20:27:50.005218
6/12/2020,Lenowisco,45,16,4,2020-06-12 20:27:50.005218
6/12/2020,Norfolk,630,74,7,2020-06-12 20:27:50.005218
6/12/2020,Western Tidewater,685,77,45,2020-06-12 20:27:50.005218
6/12/2020,Henrico,2193,231,136,2020-06-12 20:27:50.005218
6/12/2020,Central Shenandoah,1756,138,32,2020-06-12 20:27:50.005218
6/12/2020,Loudoun,3280,204,70,2020-06-12 20:27:50.005218
6/12/2020,Chesterfield,2270,126,55,2020-06-12 20:27:50.005218
6/12/2020,Peninsula,731,120,33,2020-06-12 20:27:50.005218
6/13/2020,Southside,307,45,26,2020-06-13 20:44:52.913687
6/13/2020,Chesapeake,650,100,16,2020-06-13 20:44:52.913687
6/13/2020,Thomas Jefferson,685,81,19,2020-06-13 20:44:52.913687
6/13/2020,Roanoke,247,11,10,2020-06-13 20:44:52.913687
6/13/2020,Eastern Shore,1250,93,41,2020-06-13 20:44:52.913687
6/13/2020,Mount Rogers,546,60,20,2020-06-13 20:44:52.913687
6/13/2020,Chickahominy,556,97,34,2020-06-13 20:44:52.913687
6/13/2020,New River,148,18,4,2020-06-13 20:44:52.913687
6/13/2020,Central Virginia,267,17,4,2020-06-13 20:44:52.913687
6/13/2020,Piedmont,880,70,7,2020-06-13 20:44:52.913687
6/13/2020,Lord Fairfax,1717,146,61,2020-06-13 20:44:52.913687
6/13/2020,Crater,1209,113,21,2020-06-13 20:44:52.913687
6/13/2020,Hampton,234,37,5,2020-06-13 20:44:52.913687
6/13/2020,Alexandria,2134,223,48,2020-06-13 20:44:52.913687
6/13/2020,Fairfax,13062,1486,436,2020-06-13 20:44:52.913687
6/13/2020,Richmond,1789,186,28,2020-06-13 20:44:52.913687
6/13/2020,Arlington,2321,398,125,2020-06-13 20:44:52.913687
6/13/2020,Rappahannock Rapidan,1340,99,18,2020-06-13 20:44:52.913687
6/13/2020,Rappahannock,2023,188,26,2020-06-13 20:44:52.913687
6/13/2020,Pittsylvania-Danville,123,31,3,2020-06-13 20:44:52.913687
6/13/2020,Prince William,8180,741,138,2020-06-13 20:44:52.913687
6/13/2020,Cumberland Plateau,35,2,0,2020-06-13 20:44:52.913687
6/13/2020,Portsmouth,375,57,12,2020-06-13 20:44:52.913687
6/13/2020,Virginia Beach,869,107,27,2020-06-13 20:44:52.913687
6/13/2020,West Piedmont,326,33,5,2020-06-13 20:44:52.913687
6/13/2020,Three Rivers,577,46,9,2020-06-13 20:44:52.913687
6/13/2020,Alleghany,262,27,14,2020-06-13 20:44:52.913687
6/13/2020,Lenowisco,45,16,4,2020-06-13 20:44:52.913687
6/13/2020,Norfolk,643,80,7,2020-06-13 20:44:52.913687
6/13/2020,Western Tidewater,694,78,45,2020-06-13 20:44:52.913687
6/13/2020,Henrico,2234,233,136,2020-06-13 20:44:52.913687
6/13/2020,Central Shenandoah,1765,140,32,2020-06-13 20:44:52.913687
6/13/2020,Loudoun,3321,204,71,2020-06-13 20:44:52.913687
6/13/2020,Chesterfield,2316,127,56,2020-06-13 20:44:52.913687
6/13/2020,Peninsula,739,121,33,2020-06-13 20:44:52.913687
