Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
4/25/2020,Portsmouth,103,31,5,2020-04-25 20:31:07.033242
4/25/2020,Central Shenandoah,624,40,11,2020-04-25 20:31:07.033242
4/25/2020,New River,69,8,1,2020-04-25 20:31:07.033242
4/25/2020,Loudoun,564,72,11,2020-04-25 20:31:07.033242
4/25/2020,Central Virginia,103,7,1,2020-04-25 20:31:07.033242
4/25/2020,Chickahominy,204,40,12,2020-04-25 20:31:07.033242
4/25/2020,Rappahannock Rapidan,216,21,3,2020-04-25 20:31:07.033242
4/25/2020,Norfolk,169,32,3,2020-04-25 20:31:07.033242
4/25/2020,Arlington,764,139,29,2020-04-25 20:31:07.033242
4/25/2020,Prince William,1382,150,21,2020-04-25 20:31:07.033242
4/25/2020,Thomas Jefferson,249,50,11,2020-04-25 20:31:07.033242
4/25/2020,Rappahannock,368,78,9,2020-04-25 20:31:07.033242
4/25/2020,Three Rivers,146,14,1,2020-04-25 20:31:07.033242
4/25/2020,Chesterfield,494,39,21,2020-04-25 20:31:07.033242
4/25/2020,Lord Fairfax,329,35,1,2020-04-25 20:31:07.033242
4/25/2020,Fairfax,2797,488,94,2020-04-25 20:31:07.033242
4/25/2020,Virginia Beach,335,71,10,2020-04-25 20:31:07.033242
4/25/2020,Mount Rogers,59,15,4,2020-04-25 20:31:07.033242
4/25/2020,West Piedmont,34,5,1,2020-04-25 20:31:07.033242
4/25/2020,Western Tidewater,323,41,8,2020-04-25 20:31:07.033242
4/27/2020,Pittsylvania-Danville,44,18,2,2020-04-27 20:28:04.771219
4/27/2020,Peninsula,331,98,21,2020-04-27 20:28:04.771219
4/27/2020,Eastern Shore,223,20,3,2020-04-27 20:28:04.771219
4/27/2020,Lenowisco,37,13,2,2020-04-27 20:28:04.771219
4/27/2020,Cumberland Plateau,22,1,0,2020-04-27 20:28:04.771219
4/27/2020,Piedmont,133,17,3,2020-04-27 20:28:04.771219
4/27/2020,Southside,129,23,9,2020-04-27 20:28:04.771219
4/27/2020,Alexandria,627,79,18,2020-04-27 20:28:04.771219
4/27/2020,Henrico,817,116,89,2020-04-27 20:28:04.771219
4/27/2020,Hampton,108,28,1,2020-04-27 20:28:04.771219
4/27/2020,Alleghany,87,14,3,2020-04-27 20:28:04.771219
4/27/2020,Richmond,304,59,14,2020-04-27 20:28:04.771219
4/27/2020,Chesapeake,214,45,6,2020-04-27 20:28:04.771219
4/27/2020,Crater,190,51,12,2020-04-27 20:28:04.771219
4/27/2020,Roanoke,33,5,0,2020-04-27 20:28:04.771219
4/27/2020,Portsmouth,114,32,5,2020-04-27 20:28:04.771219
4/27/2020,Central Shenandoah,647,42,11,2020-04-27 20:28:04.771219
4/27/2020,New River,71,8,1,2020-04-27 20:28:04.771219
4/27/2020,Loudoun,628,78,12,2020-04-27 20:28:04.771219
4/27/2020,Central Virginia,113,7,1,2020-04-27 20:28:04.771219
4/27/2020,Chickahominy,213,43,12,2020-04-27 20:28:04.771219
4/27/2020,Rappahannock Rapidan,250,22,4,2020-04-27 20:28:04.771219
4/27/2020,Norfolk,184,36,3,2020-04-27 20:28:04.771219
4/27/2020,Arlington,836,144,32,2020-04-27 20:28:04.771219
4/27/2020,Prince William,1568,171,23,2020-04-27 20:28:04.771219
4/27/2020,Thomas Jefferson,258,57,11,2020-04-27 20:28:04.771219
4/27/2020,Rappahannock,410,87,9,2020-04-27 20:28:04.771219
4/27/2020,Three Rivers,204,14,1,2020-04-27 20:28:04.771219
4/27/2020,Chesterfield,513,39,21,2020-04-27 20:28:04.771219
4/27/2020,Lord Fairfax,344,35,2,2020-04-27 20:28:04.771219
4/27/2020,Fairfax,3055,529,104,2020-04-27 20:28:04.771219
4/27/2020,Virginia Beach,355,72,10,2020-04-27 20:28:04.771219
4/27/2020,Mount Rogers,66,15,4,2020-04-27 20:28:04.771219
4/27/2020,West Piedmont,36,5,1,2020-04-27 20:28:04.771219
4/27/2020,Western Tidewater,371,43,8,2020-04-27 20:28:04.771219
4/27/2020,Pittsylvania-Danville,44,18,2,2020-04-27 20:44:17.382058
4/27/2020,Peninsula,331,98,21,2020-04-27 20:44:17.382058
4/27/2020,Eastern Shore,223,20,3,2020-04-27 20:44:17.382058
4/27/2020,Lenowisco,37,13,2,2020-04-27 20:44:17.382058
4/27/2020,Cumberland Plateau,22,1,0,2020-04-27 20:44:17.382058
4/27/2020,Piedmont,133,17,3,2020-04-27 20:44:17.382058
4/27/2020,Southside,129,23,9,2020-04-27 20:44:17.382058
4/27/2020,Alexandria,627,79,18,2020-04-27 20:44:17.382058
4/27/2020,Henrico,817,116,89,2020-04-27 20:44:17.382058
4/27/2020,Hampton,108,28,1,2020-04-27 20:44:17.382058
4/27/2020,Alleghany,87,14,3,2020-04-27 20:44:17.382058
4/27/2020,Richmond,304,59,14,2020-04-27 20:44:17.382058
4/27/2020,Chesapeake,214,45,6,2020-04-27 20:44:17.382058
4/27/2020,Crater,190,51,12,2020-04-27 20:44:17.382058
4/27/2020,Roanoke,33,5,0,2020-04-27 20:44:17.382058
4/27/2020,Portsmouth,114,32,5,2020-04-27 20:44:17.382058
4/27/2020,Central Shenandoah,647,42,11,2020-04-27 20:44:17.382058
4/27/2020,New River,71,8,1,2020-04-27 20:44:17.382058
4/27/2020,Loudoun,628,78,12,2020-04-27 20:44:17.382058
4/27/2020,Central Virginia,113,7,1,2020-04-27 20:44:17.382058
4/27/2020,Chickahominy,213,43,12,2020-04-27 20:44:17.382058
4/27/2020,Rappahannock Rapidan,250,22,4,2020-04-27 20:44:17.382058
4/27/2020,Norfolk,184,36,3,2020-04-27 20:44:17.382058
4/27/2020,Arlington,836,144,32,2020-04-27 20:44:17.382058
4/27/2020,Prince William,1568,171,23,2020-04-27 20:44:17.382058
4/27/2020,Thomas Jefferson,258,57,11,2020-04-27 20:44:17.382058
4/27/2020,Rappahannock,410,87,9,2020-04-27 20:44:17.382058
4/27/2020,Three Rivers,204,14,1,2020-04-27 20:44:17.382058
4/27/2020,Chesterfield,513,39,21,2020-04-27 20:44:17.382058
4/27/2020,Lord Fairfax,344,35,2,2020-04-27 20:44:17.382058
4/27/2020,Fairfax,3055,529,104,2020-04-27 20:44:17.382058
4/27/2020,Virginia Beach,355,72,10,2020-04-27 20:44:17.382058
4/27/2020,Mount Rogers,66,15,4,2020-04-27 20:44:17.382058
4/27/2020,West Piedmont,36,5,1,2020-04-27 20:44:17.382058
4/27/2020,Western Tidewater,371,43,8,2020-04-27 20:44:17.382058
