health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date,sex
Mount Rogers,1143,56,140,2020-09-23 00:00:00,Male
Mount Rogers,9,0,0,2020-09-23 00:00:00,Not Reported
New River,1537,8,17,2020-09-23 00:00:00,Female
New River,1442,10,38,2020-09-23 00:00:00,Male
New River,31,0,0,2020-09-23 00:00:00,Not Reported
Norfolk,2478,35,184,2020-09-23 00:00:00,Female
Norfolk,2285,40,171,2020-09-23 00:00:00,Male
Norfolk,2,0,0,2020-09-23 00:00:00,Not Reported
Peninsula,2241,42,90,2020-09-23 00:00:00,Female
Peninsula,2065,32,100,2020-09-23 00:00:00,Male
Peninsula,21,0,0,2020-09-23 00:00:00,Not Reported
Piedmont,667,14,53,2020-09-23 00:00:00,Female
Piedmont,1272,34,78,2020-09-23 00:00:00,Male
Piedmont,4,0,0,2020-09-23 00:00:00,Not Reported
Pittsylvania-Danville,1001,23,81,2020-09-23 00:00:00,Female
Pittsylvania-Danville,803,12,54,2020-09-23 00:00:00,Male
Pittsylvania-Danville,8,0,1,2020-09-23 00:00:00,Not Reported
Portsmouth,1336,31,153,2020-09-23 00:00:00,Female
Portsmouth,1194,27,121,2020-09-23 00:00:00,Male
Portsmouth,4,0,0,2020-09-23 00:00:00,Not Reported
Prince William,7430,99,470,2020-09-23 00:00:00,Female
Prince William,7172,134,612,2020-09-23 00:00:00,Male
Prince William,124,0,2,2020-09-23 00:00:00,Not Reported
Rappahannock,2746,30,176,2020-09-23 00:00:00,Female
Rappahannock,2420,44,209,2020-09-23 00:00:00,Male
Rappahannock,12,0,0,2020-09-23 00:00:00,Not Reported
Rappahannock Rapidan,1320,25,72,2020-09-23 00:00:00,Female
Rappahannock Rapidan,1249,25,100,2020-09-23 00:00:00,Male
Rappahannock Rapidan,16,0,0,2020-09-23 00:00:00,Not Reported
Richmond,2268,22,200,2020-09-23 00:00:00,Female
Richmond,2228,35,210,2020-09-23 00:00:00,Male
Richmond,55,3,2,2020-09-23 00:00:00,Not Reported
Roanoke,884,13,34,2020-09-23 00:00:00,Female
Roanoke,721,10,29,2020-09-23 00:00:00,Male
Roanoke,16,0,0,2020-09-23 00:00:00,Not Reported
Southside,655,22,40,2020-09-23 00:00:00,Female
Southside,690,21,44,2020-09-23 00:00:00,Male
Southside,5,0,0,2020-09-23 00:00:00,Not Reported
Thomas Jefferson,1736,38,92,2020-09-23 00:00:00,Female
Thomas Jefferson,1532,31,90,2020-09-23 00:00:00,Male
Thomas Jefferson,4,0,0,2020-09-23 00:00:00,Not Reported
Three Rivers,727,16,56,2020-09-23 00:00:00,Female
Three Rivers,923,14,53,2020-09-23 00:00:00,Male
Three Rivers,25,0,0,2020-09-23 00:00:00,Not Reported
Virginia Beach,3639,40,186,2020-09-23 00:00:00,Female
Virginia Beach,3034,43,174,2020-09-23 00:00:00,Male
Virginia Beach,16,0,0,2020-09-23 00:00:00,Not Reported
Western Tidewater,1859,57,90,2020-09-23 00:00:00,Female
Western Tidewater,1903,63,107,2020-09-23 00:00:00,Male
Western Tidewater,4,1,0,2020-09-23 00:00:00,Not Reported
West Piedmont,1133,33,129,2020-09-23 00:00:00,Female
West Piedmont,859,29,109,2020-09-23 00:00:00,Male
West Piedmont,7,0,0,2020-09-23 00:00:00,Not Reported
Alexandria,1955,35,142,2020-09-24 00:00:00,Female
Alexandria,1792,34,175,2020-09-24 00:00:00,Male
Alexandria,14,0,0,2020-09-24 00:00:00,Not Reported
Alleghany,801,17,32,2020-09-24 00:00:00,Female
Alleghany,706,9,42,2020-09-24 00:00:00,Male
Alleghany,10,0,0,2020-09-24 00:00:00,Not Reported
Arlington,1924,69,220,2020-09-24 00:00:00,Female
Arlington,1960,79,278,2020-09-24 00:00:00,Male
Arlington,5,0,0,2020-09-24 00:00:00,Not Reported
Central Shenandoah,2822,33,135,2020-09-24 00:00:00,Female
Central Shenandoah,2376,36,127,2020-09-24 00:00:00,Male
Central Shenandoah,20,0,0,2020-09-24 00:00:00,Not Reported
Central Virginia,1644,19,55,2020-09-24 00:00:00,Female
Central Virginia,1436,16,57,2020-09-24 00:00:00,Male
Central Virginia,38,0,0,2020-09-24 00:00:00,Not Reported
Chesapeake,2345,31,200,2020-09-24 00:00:00,Female
Chesapeake,1909,39,196,2020-09-24 00:00:00,Male
Chesapeake,8,0,0,2020-09-24 00:00:00,Not Reported
Chesterfield,3188,57,173,2020-09-24 00:00:00,Female
Chesterfield,3029,66,188,2020-09-24 00:00:00,Male
Chesterfield,124,1,0,2020-09-24 00:00:00,Not Reported
Chickahominy,889,24,77,2020-09-24 00:00:00,Female
Chickahominy,872,27,81,2020-09-24 00:00:00,Male
Chickahominy,33,0,1,2020-09-24 00:00:00,Not Reported
Crater,1640,56,145,2020-09-24 00:00:00,Female
Crater,2214,46,125,2020-09-24 00:00:00,Male
Crater,35,0,3,2020-09-24 00:00:00,Not Reported
Cumberland Plateau,403,6,27,2020-09-24 00:00:00,Female
Cumberland Plateau,358,4,27,2020-09-24 00:00:00,Male
Cumberland Plateau,1,0,0,2020-09-24 00:00:00,Not Reported
Eastern Shore,746,26,71,2020-09-24 00:00:00,Female
Eastern Shore,719,24,68,2020-09-24 00:00:00,Male
Eastern Shore,9,0,0,2020-09-24 00:00:00,Not Reported
Fairfax,10531,281,935,2020-09-24 00:00:00,Female
Fairfax,10012,309,1244,2020-09-24 00:00:00,Male
Fairfax,167,6,2,2020-09-24 00:00:00,Not Reported
Hampton,992,11,23,2020-09-24 00:00:00,Female
Hampton,791,13,40,2020-09-24 00:00:00,Male
Hampton,17,0,0,2020-09-24 00:00:00,Not Reported
Henrico,2842,111,213,2020-09-24 00:00:00,Female
Henrico,2497,99,211,2020-09-24 00:00:00,Male
Henrico,32,0,0,2020-09-24 00:00:00,Not Reported
Lenowisco,443,4,35,2020-09-24 00:00:00,Female
Lenowisco,430,16,40,2020-09-24 00:00:00,Male
Lenowisco,2,0,0,2020-09-24 00:00:00,Not Reported
Lord Fairfax,1604,55,127,2020-09-24 00:00:00,Female
Lord Fairfax,1442,55,139,2020-09-24 00:00:00,Male
Lord Fairfax,14,0,0,2020-09-24 00:00:00,Not Reported
Loudoun,3400,78,193,2020-09-24 00:00:00,Female
Loudoun,3291,46,235,2020-09-24 00:00:00,Male
Loudoun,56,0,0,2020-09-24 00:00:00,Not Reported
Mount Rogers,1529,45,97,2020-09-24 00:00:00,Female
Mount Rogers,1147,59,140,2020-09-24 00:00:00,Male
Mount Rogers,9,0,0,2020-09-24 00:00:00,Not Reported
New River,1557,9,18,2020-09-24 00:00:00,Female
New River,1469,10,38,2020-09-24 00:00:00,Male
New River,31,0,0,2020-09-24 00:00:00,Not Reported
Norfolk,2487,36,184,2020-09-24 00:00:00,Female
Norfolk,2292,42,172,2020-09-24 00:00:00,Male
Norfolk,2,0,0,2020-09-24 00:00:00,Not Reported
Peninsula,2247,42,91,2020-09-24 00:00:00,Female
Peninsula,2069,32,100,2020-09-24 00:00:00,Male
Peninsula,21,0,0,2020-09-24 00:00:00,Not Reported
Piedmont,672,14,53,2020-09-24 00:00:00,Female
Piedmont,1283,35,79,2020-09-24 00:00:00,Male
Piedmont,4,0,0,2020-09-24 00:00:00,Not Reported
Pittsylvania-Danville,1014,24,81,2020-09-24 00:00:00,Female
Pittsylvania-Danville,808,12,54,2020-09-24 00:00:00,Male
Pittsylvania-Danville,8,0,1,2020-09-24 00:00:00,Not Reported
Portsmouth,1338,31,153,2020-09-24 00:00:00,Female
Portsmouth,1197,27,121,2020-09-24 00:00:00,Male
Portsmouth,4,0,0,2020-09-24 00:00:00,Not Reported
Prince William,7446,100,471,2020-09-24 00:00:00,Female
Prince William,7193,134,613,2020-09-24 00:00:00,Male
Prince William,128,0,2,2020-09-24 00:00:00,Not Reported
Rappahannock,2762,31,178,2020-09-24 00:00:00,Female
Rappahannock,2431,45,210,2020-09-24 00:00:00,Male
Rappahannock,17,0,0,2020-09-24 00:00:00,Not Reported
Rappahannock Rapidan,1327,25,72,2020-09-24 00:00:00,Female
Rappahannock Rapidan,1255,25,100,2020-09-24 00:00:00,Male
Rappahannock Rapidan,16,0,0,2020-09-24 00:00:00,Not Reported
Richmond,2279,22,203,2020-09-24 00:00:00,Female
Richmond,2243,36,211,2020-09-24 00:00:00,Male
Richmond,56,3,2,2020-09-24 00:00:00,Not Reported
Roanoke,897,13,36,2020-09-24 00:00:00,Female
Roanoke,727,10,29,2020-09-24 00:00:00,Male
Roanoke,16,0,0,2020-09-24 00:00:00,Not Reported
Southside,663,23,40,2020-09-24 00:00:00,Female
Southside,711,21,44,2020-09-24 00:00:00,Male
Southside,5,0,0,2020-09-24 00:00:00,Not Reported
Thomas Jefferson,1757,38,92,2020-09-24 00:00:00,Female
Thomas Jefferson,1546,31,92,2020-09-24 00:00:00,Male
Thomas Jefferson,4,0,0,2020-09-24 00:00:00,Not Reported
Three Rivers,738,16,56,2020-09-24 00:00:00,Female
Three Rivers,928,14,53,2020-09-24 00:00:00,Male
Three Rivers,25,0,0,2020-09-24 00:00:00,Not Reported
Virginia Beach,3666,40,189,2020-09-24 00:00:00,Female
Virginia Beach,3052,46,176,2020-09-24 00:00:00,Male
Virginia Beach,16,0,0,2020-09-24 00:00:00,Not Reported
Western Tidewater,1867,57,90,2020-09-24 00:00:00,Female
Western Tidewater,1924,63,107,2020-09-24 00:00:00,Male
Western Tidewater,4,1,0,2020-09-24 00:00:00,Not Reported
West Piedmont,1141,34,130,2020-09-24 00:00:00,Female
West Piedmont,869,29,109,2020-09-24 00:00:00,Male
West Piedmont,7,0,0,2020-09-24 00:00:00,Not Reported
Alexandria,1964,35,142,2020-09-25 00:00:00,Female
Alexandria,1802,34,176,2020-09-25 00:00:00,Male
Alexandria,14,0,0,2020-09-25 00:00:00,Not Reported
Alleghany,813,17,33,2020-09-25 00:00:00,Female
Alleghany,719,9,42,2020-09-25 00:00:00,Male
Alleghany,10,0,0,2020-09-25 00:00:00,Not Reported
Arlington,1933,69,220,2020-09-25 00:00:00,Female
Arlington,1971,79,278,2020-09-25 00:00:00,Male
Arlington,5,0,0,2020-09-25 00:00:00,Not Reported
Central Shenandoah,2840,33,136,2020-09-25 00:00:00,Female
Central Shenandoah,2398,36,129,2020-09-25 00:00:00,Male
Central Shenandoah,17,0,0,2020-09-25 00:00:00,Not Reported
Central Virginia,1658,19,58,2020-09-25 00:00:00,Female
Central Virginia,1456,18,60,2020-09-25 00:00:00,Male
Central Virginia,38,0,0,2020-09-25 00:00:00,Not Reported
Chesapeake,2353,32,206,2020-09-25 00:00:00,Female
Chesapeake,1910,39,196,2020-09-25 00:00:00,Male
Chesapeake,8,0,0,2020-09-25 00:00:00,Not Reported
Chesterfield,3209,57,173,2020-09-25 00:00:00,Female
Chesterfield,3057,66,188,2020-09-25 00:00:00,Male
Chesterfield,122,1,0,2020-09-25 00:00:00,Not Reported
Chickahominy,902,24,78,2020-09-25 00:00:00,Female
Chickahominy,889,28,83,2020-09-25 00:00:00,Male
Chickahominy,33,0,1,2020-09-25 00:00:00,Not Reported
Crater,1649,56,145,2020-09-25 00:00:00,Female
Crater,2222,47,125,2020-09-25 00:00:00,Male
Crater,37,0,3,2020-09-25 00:00:00,Not Reported
Cumberland Plateau,409,6,27,2020-09-25 00:00:00,Female
Cumberland Plateau,365,4,27,2020-09-25 00:00:00,Male
Cumberland Plateau,0,0,0,2020-09-25 00:00:00,Not Reported
Eastern Shore,748,26,71,2020-09-25 00:00:00,Female
Eastern Shore,720,24,68,2020-09-25 00:00:00,Male
Eastern Shore,9,0,0,2020-09-25 00:00:00,Not Reported
Fairfax,10599,283,929,2020-09-25 00:00:00,Female
Fairfax,10067,311,1242,2020-09-25 00:00:00,Male
Fairfax,166,6,2,2020-09-25 00:00:00,Not Reported
Hampton,993,11,25,2020-09-25 00:00:00,Female
Hampton,793,13,40,2020-09-25 00:00:00,Male
Hampton,17,0,0,2020-09-25 00:00:00,Not Reported
Henrico,2856,111,216,2020-09-25 00:00:00,Female
Henrico,2509,100,211,2020-09-25 00:00:00,Male
Henrico,34,0,0,2020-09-25 00:00:00,Not Reported
Lenowisco,447,4,35,2020-09-25 00:00:00,Female
Lenowisco,434,16,40,2020-09-25 00:00:00,Male
Lenowisco,2,0,0,2020-09-25 00:00:00,Not Reported
Lord Fairfax,1608,55,127,2020-09-25 00:00:00,Female
Lord Fairfax,1450,56,139,2020-09-25 00:00:00,Male
Lord Fairfax,14,0,0,2020-09-25 00:00:00,Not Reported
Loudoun,3414,78,193,2020-09-25 00:00:00,Female
Loudoun,3304,46,235,2020-09-25 00:00:00,Male
Loudoun,56,0,0,2020-09-25 00:00:00,Not Reported
Mount Rogers,1538,49,98,2020-09-25 00:00:00,Female
Mount Rogers,1155,61,141,2020-09-25 00:00:00,Male
Mount Rogers,8,0,0,2020-09-25 00:00:00,Not Reported
New River,1588,9,19,2020-09-25 00:00:00,Female
New River,1507,10,38,2020-09-25 00:00:00,Male
New River,33,0,0,2020-09-25 00:00:00,Not Reported
Norfolk,2499,36,185,2020-09-25 00:00:00,Female
Norfolk,2299,42,176,2020-09-25 00:00:00,Male
Norfolk,2,0,0,2020-09-25 00:00:00,Not Reported
Peninsula,2250,42,91,2020-09-25 00:00:00,Female
Peninsula,2078,33,100,2020-09-25 00:00:00,Male
Peninsula,21,0,0,2020-09-25 00:00:00,Not Reported
Piedmont,675,14,53,2020-09-25 00:00:00,Female
Piedmont,1282,35,79,2020-09-25 00:00:00,Male
Piedmont,4,0,0,2020-09-25 00:00:00,Not Reported
Pittsylvania-Danville,1022,24,81,2020-09-25 00:00:00,Female
Pittsylvania-Danville,814,12,54,2020-09-25 00:00:00,Male
Pittsylvania-Danville,9,0,1,2020-09-25 00:00:00,Not Reported
Portsmouth,1342,31,153,2020-09-25 00:00:00,Female
Portsmouth,1201,27,121,2020-09-25 00:00:00,Male
Portsmouth,4,0,0,2020-09-25 00:00:00,Not Reported
Prince William,7487,100,472,2020-09-25 00:00:00,Female
Prince William,7231,135,614,2020-09-25 00:00:00,Male
Prince William,128,0,2,2020-09-25 00:00:00,Not Reported
Rappahannock,2777,30,178,2020-09-25 00:00:00,Female
Rappahannock,2435,45,209,2020-09-25 00:00:00,Male
Rappahannock,17,0,0,2020-09-25 00:00:00,Not Reported
Rappahannock Rapidan,1330,26,72,2020-09-25 00:00:00,Female
Rappahannock Rapidan,1260,25,100,2020-09-25 00:00:00,Male
Rappahannock Rapidan,15,0,0,2020-09-25 00:00:00,Not Reported
Richmond,2291,22,203,2020-09-25 00:00:00,Female
Richmond,2249,36,211,2020-09-25 00:00:00,Male
Richmond,55,3,2,2020-09-25 00:00:00,Not Reported
Roanoke,906,13,36,2020-09-25 00:00:00,Female
Roanoke,734,10,29,2020-09-25 00:00:00,Male
Roanoke,16,0,0,2020-09-25 00:00:00,Not Reported
Southside,673,23,40,2020-09-25 00:00:00,Female
Southside,726,21,44,2020-09-25 00:00:00,Male
Southside,5,0,0,2020-09-25 00:00:00,Not Reported
Thomas Jefferson,1782,38,92,2020-09-25 00:00:00,Female
Thomas Jefferson,1569,31,93,2020-09-25 00:00:00,Male
Thomas Jefferson,4,0,0,2020-09-25 00:00:00,Not Reported
Three Rivers,749,16,57,2020-09-25 00:00:00,Female
Three Rivers,939,14,55,2020-09-25 00:00:00,Male
Three Rivers,27,0,0,2020-09-25 00:00:00,Not Reported
Virginia Beach,3686,42,191,2020-09-25 00:00:00,Female
Virginia Beach,3074,46,178,2020-09-25 00:00:00,Male
Virginia Beach,16,0,0,2020-09-25 00:00:00,Not Reported
Western Tidewater,1887,58,90,2020-09-25 00:00:00,Female
Western Tidewater,1956,64,108,2020-09-25 00:00:00,Male
Western Tidewater,4,1,0,2020-09-25 00:00:00,Not Reported
West Piedmont,1148,34,132,2020-09-25 00:00:00,Female
West Piedmont,876,29,109,2020-09-25 00:00:00,Male
West Piedmont,7,0,0,2020-09-25 00:00:00,Not Reported
Alexandria,1975,35,142,2020-09-26 00:00:00,Female
Alexandria,1815,34,177,2020-09-26 00:00:00,Male
Alexandria,14,0,0,2020-09-26 00:00:00,Not Reported
Alleghany,826,17,33,2020-09-26 00:00:00,Female
Alleghany,734,9,43,2020-09-26 00:00:00,Male
Alleghany,9,0,0,2020-09-26 00:00:00,Not Reported
Arlington,1941,69,220,2020-09-26 00:00:00,Female
Arlington,1989,80,278,2020-09-26 00:00:00,Male
Arlington,5,0,0,2020-09-26 00:00:00,Not Reported
Central Shenandoah,2878,33,136,2020-09-26 00:00:00,Female
Central Shenandoah,2435,37,130,2020-09-26 00:00:00,Male
Central Shenandoah,15,0,0,2020-09-26 00:00:00,Not Reported
Central Virginia,1684,19,59,2020-09-26 00:00:00,Female
Central Virginia,1478,18,61,2020-09-26 00:00:00,Male
Central Virginia,39,0,0,2020-09-26 00:00:00,Not Reported
Chesapeake,2361,32,209,2020-09-26 00:00:00,Female
Chesapeake,1928,39,198,2020-09-26 00:00:00,Male
Chesapeake,7,0,0,2020-09-26 00:00:00,Not Reported
Chesterfield,3231,57,179,2020-09-26 00:00:00,Female
Chesterfield,3069,66,190,2020-09-26 00:00:00,Male
Chesterfield,122,1,0,2020-09-26 00:00:00,Not Reported
Chickahominy,904,24,79,2020-09-26 00:00:00,Female
Chickahominy,893,28,83,2020-09-26 00:00:00,Male
Chickahominy,33,0,1,2020-09-26 00:00:00,Not Reported
Crater,1654,56,146,2020-09-26 00:00:00,Female
Crater,2224,47,125,2020-09-26 00:00:00,Male
Crater,37,0,3,2020-09-26 00:00:00,Not Reported
Cumberland Plateau,419,6,27,2020-09-26 00:00:00,Female
Cumberland Plateau,375,4,28,2020-09-26 00:00:00,Male
Cumberland Plateau,1,0,0,2020-09-26 00:00:00,Not Reported
Eastern Shore,748,26,71,2020-09-26 00:00:00,Female
Eastern Shore,723,24,68,2020-09-26 00:00:00,Male
Eastern Shore,9,0,0,2020-09-26 00:00:00,Not Reported
Fairfax,10625,284,932,2020-09-26 00:00:00,Female
Fairfax,10101,311,1246,2020-09-26 00:00:00,Male
Fairfax,167,6,2,2020-09-26 00:00:00,Not Reported
Hampton,998,11,25,2020-09-26 00:00:00,Female
Hampton,794,13,40,2020-09-26 00:00:00,Male
Hampton,17,0,0,2020-09-26 00:00:00,Not Reported
Henrico,2873,111,218,2020-09-26 00:00:00,Female
Henrico,2527,100,213,2020-09-26 00:00:00,Male
Henrico,34,0,0,2020-09-26 00:00:00,Not Reported
Lenowisco,453,4,35,2020-09-26 00:00:00,Female
Lenowisco,438,16,40,2020-09-26 00:00:00,Male
Lenowisco,2,0,0,2020-09-26 00:00:00,Not Reported
Lord Fairfax,1614,55,128,2020-09-26 00:00:00,Female
Lord Fairfax,1459,56,139,2020-09-26 00:00:00,Male
Lord Fairfax,16,0,0,2020-09-26 00:00:00,Not Reported
Loudoun,3421,78,193,2020-09-26 00:00:00,Female
Loudoun,3315,46,236,2020-09-26 00:00:00,Male
Loudoun,56,0,0,2020-09-26 00:00:00,Not Reported
Mount Rogers,1563,49,100,2020-09-26 00:00:00,Female
Mount Rogers,1166,61,141,2020-09-26 00:00:00,Male
Mount Rogers,8,0,0,2020-09-26 00:00:00,Not Reported
New River,1606,9,20,2020-09-26 00:00:00,Female
New River,1531,10,38,2020-09-26 00:00:00,Male
New River,33,0,0,2020-09-26 00:00:00,Not Reported
Norfolk,2512,36,187,2020-09-26 00:00:00,Female
Norfolk,2308,42,176,2020-09-26 00:00:00,Male
Norfolk,2,0,0,2020-09-26 00:00:00,Not Reported
Peninsula,2259,42,91,2020-09-26 00:00:00,Female
Peninsula,2085,33,101,2020-09-26 00:00:00,Male
Peninsula,21,0,0,2020-09-26 00:00:00,Not Reported
Piedmont,687,14,54,2020-09-26 00:00:00,Female
Piedmont,1287,35,81,2020-09-26 00:00:00,Male
Piedmont,4,0,0,2020-09-26 00:00:00,Not Reported
Pittsylvania-Danville,1033,24,82,2020-09-26 00:00:00,Female
Pittsylvania-Danville,820,12,55,2020-09-26 00:00:00,Male
Pittsylvania-Danville,9,0,1,2020-09-26 00:00:00,Not Reported
Portsmouth,1347,31,154,2020-09-26 00:00:00,Female
Portsmouth,1204,28,121,2020-09-26 00:00:00,Male
Portsmouth,4,0,0,2020-09-26 00:00:00,Not Reported
Prince William,7533,100,473,2020-09-26 00:00:00,Female
Prince William,7261,136,615,2020-09-26 00:00:00,Male
Prince William,128,0,2,2020-09-26 00:00:00,Not Reported
Rappahannock,2790,30,179,2020-09-26 00:00:00,Female
Rappahannock,2445,45,209,2020-09-26 00:00:00,Male
Rappahannock,18,0,0,2020-09-26 00:00:00,Not Reported
Rappahannock Rapidan,1335,26,72,2020-09-26 00:00:00,Female
Rappahannock Rapidan,1266,25,100,2020-09-26 00:00:00,Male
Rappahannock Rapidan,16,0,0,2020-09-26 00:00:00,Not Reported
Richmond,2310,22,203,2020-09-26 00:00:00,Female
Richmond,2259,36,211,2020-09-26 00:00:00,Male
Richmond,56,3,2,2020-09-26 00:00:00,Not Reported
Roanoke,927,13,36,2020-09-26 00:00:00,Female
Roanoke,751,10,29,2020-09-26 00:00:00,Male
Roanoke,16,0,0,2020-09-26 00:00:00,Not Reported
Southside,682,23,40,2020-09-26 00:00:00,Female
Southside,732,21,44,2020-09-26 00:00:00,Male
Southside,6,0,0,2020-09-26 00:00:00,Not Reported
Thomas Jefferson,1805,38,92,2020-09-26 00:00:00,Female
Thomas Jefferson,1610,31,93,2020-09-26 00:00:00,Male
Thomas Jefferson,4,0,0,2020-09-26 00:00:00,Not Reported
Three Rivers,771,16,57,2020-09-26 00:00:00,Female
Three Rivers,964,14,55,2020-09-26 00:00:00,Male
Three Rivers,27,0,0,2020-09-26 00:00:00,Not Reported
Virginia Beach,3704,43,194,2020-09-26 00:00:00,Female
Virginia Beach,3089,46,180,2020-09-26 00:00:00,Male
Virginia Beach,16,0,0,2020-09-26 00:00:00,Not Reported
Western Tidewater,1900,58,91,2020-09-26 00:00:00,Female
Western Tidewater,1969,64,108,2020-09-26 00:00:00,Male
Western Tidewater,4,1,0,2020-09-26 00:00:00,Not Reported
West Piedmont,1153,35,134,2020-09-26 00:00:00,Female
West Piedmont,880,30,109,2020-09-26 00:00:00,Male
West Piedmont,7,0,0,2020-09-26 00:00:00,Not Reported
Alexandria,1980,35,142,2020-09-27 00:00:00,Female
Alexandria,1820,34,178,2020-09-27 00:00:00,Male
Alexandria,14,0,0,2020-09-27 00:00:00,Not Reported
Alleghany,840,18,33,2020-09-27 00:00:00,Female
Alleghany,741,9,43,2020-09-27 00:00:00,Male
Alleghany,9,0,0,2020-09-27 00:00:00,Not Reported
Arlington,1951,69,220,2020-09-27 00:00:00,Female
Arlington,1995,80,278,2020-09-27 00:00:00,Male
Arlington,5,0,0,2020-09-27 00:00:00,Not Reported
Central Shenandoah,2899,33,136,2020-09-27 00:00:00,Female
Central Shenandoah,2460,37,129,2020-09-27 00:00:00,Male
Central Shenandoah,15,0,0,2020-09-27 00:00:00,Not Reported
Central Virginia,1691,19,60,2020-09-27 00:00:00,Female
Central Virginia,1487,18,61,2020-09-27 00:00:00,Male
Central Virginia,39,0,0,2020-09-27 00:00:00,Not Reported
Chesapeake,2362,32,209,2020-09-27 00:00:00,Female
Chesapeake,1930,40,200,2020-09-27 00:00:00,Male
Chesapeake,7,0,0,2020-09-27 00:00:00,Not Reported
Chesterfield,3259,57,179,2020-09-27 00:00:00,Female
Chesterfield,3082,66,191,2020-09-27 00:00:00,Male
Chesterfield,122,1,0,2020-09-27 00:00:00,Not Reported
Chickahominy,911,24,80,2020-09-27 00:00:00,Female
Chickahominy,896,28,82,2020-09-27 00:00:00,Male
Chickahominy,33,0,1,2020-09-27 00:00:00,Not Reported
Crater,1673,56,146,2020-09-27 00:00:00,Female
Crater,2242,47,125,2020-09-27 00:00:00,Male
Crater,37,0,3,2020-09-27 00:00:00,Not Reported
Cumberland Plateau,425,6,27,2020-09-27 00:00:00,Female
Cumberland Plateau,379,4,29,2020-09-27 00:00:00,Male
Cumberland Plateau,0,0,0,2020-09-27 00:00:00,Not Reported
Eastern Shore,748,26,71,2020-09-27 00:00:00,Female
Eastern Shore,723,24,68,2020-09-27 00:00:00,Male
Eastern Shore,9,0,0,2020-09-27 00:00:00,Not Reported
Fairfax,10690,284,932,2020-09-27 00:00:00,Female
Fairfax,10148,311,1246,2020-09-27 00:00:00,Male
Fairfax,170,6,2,2020-09-27 00:00:00,Not Reported
Hampton,1005,11,25,2020-09-27 00:00:00,Female
Hampton,797,13,40,2020-09-27 00:00:00,Male
Hampton,17,0,0,2020-09-27 00:00:00,Not Reported
Henrico,2884,111,218,2020-09-27 00:00:00,Female
Henrico,2535,100,214,2020-09-27 00:00:00,Male
Henrico,34,0,0,2020-09-27 00:00:00,Not Reported
Lenowisco,457,4,35,2020-09-27 00:00:00,Female
Lenowisco,441,16,40,2020-09-27 00:00:00,Male
Lenowisco,2,0,0,2020-09-27 00:00:00,Not Reported
Lord Fairfax,1616,55,128,2020-09-27 00:00:00,Female
Lord Fairfax,1461,56,139,2020-09-27 00:00:00,Male
Lord Fairfax,16,0,0,2020-09-27 00:00:00,Not Reported
Loudoun,3434,78,193,2020-09-27 00:00:00,Female
Loudoun,3326,46,236,2020-09-27 00:00:00,Male
Loudoun,56,0,0,2020-09-27 00:00:00,Not Reported
Mount Rogers,1594,52,104,2020-09-27 00:00:00,Female
Mount Rogers,1186,62,142,2020-09-27 00:00:00,Male
Mount Rogers,8,0,0,2020-09-27 00:00:00,Not Reported
New River,1626,9,20,2020-09-27 00:00:00,Female
New River,1545,10,38,2020-09-27 00:00:00,Male
New River,33,0,0,2020-09-27 00:00:00,Not Reported
Norfolk,2513,36,187,2020-09-27 00:00:00,Female
Norfolk,2309,42,177,2020-09-27 00:00:00,Male
Norfolk,2,0,0,2020-09-27 00:00:00,Not Reported
Peninsula,2269,42,92,2020-09-27 00:00:00,Female
Peninsula,2094,33,103,2020-09-27 00:00:00,Male
Peninsula,21,0,0,2020-09-27 00:00:00,Not Reported
Piedmont,687,14,54,2020-09-27 00:00:00,Female
Piedmont,1287,35,81,2020-09-27 00:00:00,Male
Piedmont,4,0,0,2020-09-27 00:00:00,Not Reported
Pittsylvania-Danville,1038,24,83,2020-09-27 00:00:00,Female
Pittsylvania-Danville,826,12,55,2020-09-27 00:00:00,Male
Pittsylvania-Danville,9,0,1,2020-09-27 00:00:00,Not Reported
Portsmouth,1349,31,155,2020-09-27 00:00:00,Female
Portsmouth,1206,28,121,2020-09-27 00:00:00,Male
Portsmouth,4,0,0,2020-09-27 00:00:00,Not Reported
Prince William,7562,100,473,2020-09-27 00:00:00,Female
Prince William,7289,136,616,2020-09-27 00:00:00,Male
Prince William,130,0,2,2020-09-27 00:00:00,Not Reported
Rappahannock,2794,30,179,2020-09-27 00:00:00,Female
Rappahannock,2458,45,210,2020-09-27 00:00:00,Male
Rappahannock,18,0,0,2020-09-27 00:00:00,Not Reported
Rappahannock Rapidan,1341,26,72,2020-09-27 00:00:00,Female
Rappahannock Rapidan,1269,25,100,2020-09-27 00:00:00,Male
Rappahannock Rapidan,16,0,0,2020-09-27 00:00:00,Not Reported
Richmond,2312,22,203,2020-09-27 00:00:00,Female
Richmond,2269,36,211,2020-09-27 00:00:00,Male
Richmond,56,3,2,2020-09-27 00:00:00,Not Reported
Roanoke,941,17,37,2020-09-27 00:00:00,Female
Roanoke,756,10,29,2020-09-27 00:00:00,Male
Roanoke,16,0,0,2020-09-27 00:00:00,Not Reported
Southside,684,23,40,2020-09-27 00:00:00,Female
Southside,734,21,44,2020-09-27 00:00:00,Male
Southside,6,0,0,2020-09-27 00:00:00,Not Reported
Thomas Jefferson,1825,38,92,2020-09-27 00:00:00,Female
