health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date,sex
Henrico,15,0,1,2020-07-22 00:00:00,Not Reported
Lenowisco,82,1,11,2020-07-22 00:00:00,Female
Lenowisco,63,4,11,2020-07-22 00:00:00,Male
Lenowisco,0,0,0,2020-07-22 00:00:00,Not Reported
Lord Fairfax,1248,46,95,2020-07-22 00:00:00,Female
Lord Fairfax,1114,36,110,2020-07-22 00:00:00,Male
Lord Fairfax,8,0,0,2020-07-22 00:00:00,Not Reported
Loudoun,2373,67,141,2020-07-22 00:00:00,Female
Loudoun,2338,39,183,2020-07-22 00:00:00,Male
Loudoun,27,0,0,2020-07-22 00:00:00,Not Reported
Mount Rogers,535,16,35,2020-07-22 00:00:00,Female
Mount Rogers,460,21,62,2020-07-22 00:00:00,Male
Mount Rogers,2,0,0,2020-07-22 00:00:00,Not Reported
New River,161,1,8,2020-07-22 00:00:00,Female
New River,187,5,17,2020-07-22 00:00:00,Male
New River,3,0,0,2020-07-22 00:00:00,Not Reported
Norfolk,1275,8,75,2020-07-22 00:00:00,Female
Norfolk,1113,12,74,2020-07-22 00:00:00,Male
Norfolk,1,0,0,2020-07-22 00:00:00,Not Reported
Peninsula,1118,24,75,2020-07-22 00:00:00,Female
Peninsula,977,15,76,2020-07-22 00:00:00,Male
Peninsula,9,0,0,2020-07-22 00:00:00,Not Reported
Piedmont,372,5,48,2020-07-22 00:00:00,Female
Piedmont,816,14,67,2020-07-22 00:00:00,Male
Piedmont,4,0,0,2020-07-22 00:00:00,Not Reported
Pittsylvania-Danville,270,4,33,2020-07-22 00:00:00,Female
Pittsylvania-Danville,187,1,23,2020-07-22 00:00:00,Male
Pittsylvania-Danville,5,0,0,2020-07-22 00:00:00,Not Reported
Portsmouth,570,12,60,2020-07-22 00:00:00,Female
Portsmouth,512,9,43,2020-07-22 00:00:00,Male
Portsmouth,3,0,0,2020-07-22 00:00:00,Not Reported
Prince William,5131,83,399,2020-07-22 00:00:00,Female
Prince William,5088,109,509,2020-07-22 00:00:00,Male
Prince William,68,0,1,2020-07-22 00:00:00,Not Reported
Rappahannock,1541,20,123,2020-07-22 00:00:00,Female
Rappahannock,1375,28,136,2020-07-22 00:00:00,Male
Rappahannock,7,0,1,2020-07-22 00:00:00,Not Reported
Rappahannock Rapidan,873,10,51,2020-07-22 00:00:00,Female
Rappahannock Rapidan,857,14,76,2020-07-22 00:00:00,Male
Rappahannock Rapidan,2,1,1,2020-07-22 00:00:00,Not Reported
Richmond,1287,9,118,2020-07-22 00:00:00,Female
Richmond,1312,24,141,2020-07-22 00:00:00,Male
Richmond,44,2,2,2020-07-22 00:00:00,Not Reported
Roanoke,355,7,7,2020-07-22 00:00:00,Female
Roanoke,311,3,8,2020-07-22 00:00:00,Male
Roanoke,13,0,0,2020-07-22 00:00:00,Not Reported
Southside,302,19,30,2020-07-22 00:00:00,Female
Southside,248,13,30,2020-07-22 00:00:00,Male
Southside,4,0,0,2020-07-22 00:00:00,Not Reported
Thomas Jefferson,779,15,65,2020-07-22 00:00:00,Female
Thomas Jefferson,679,15,59,2020-07-22 00:00:00,Male
Thomas Jefferson,0,0,0,2020-07-22 00:00:00,Not Reported
