health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
Prince William,10508,194,930,2020-07-26 00:00:00
Rappahannock,3016,50,274,2020-07-26 00:00:00
Rappahannock Rapidan,1764,25,130,2020-07-26 00:00:00
Richmond,2712,36,265,2020-07-26 00:00:00
Roanoke,724,10,16,2020-07-26 00:00:00
Southside,591,32,62,2020-07-26 00:00:00
Thomas Jefferson,1600,30,129,2020-07-26 00:00:00
Three Rivers,935,13,67,2020-07-26 00:00:00
Virginia Beach,3548,43,183,2020-07-26 00:00:00
Western Tidewater,1550,69,120,2020-07-26 00:00:00
West Piedmont,823,11,90,2020-07-26 00:00:00
Alexandria,2735,57,266,2020-07-27 00:00:00
Alleghany,793,15,37,2020-07-27 00:00:00
Arlington,2823,135,431,2020-07-27 00:00:00
Central Shenandoah,2571,50,199,2020-07-27 00:00:00
Central Virginia,856,6,19,2020-07-27 00:00:00
Chesapeake,2246,25,191,2020-07-27 00:00:00
Chesterfield,4051,90,236,2020-07-27 00:00:00
Chickahominy,875,40,122,2020-07-27 00:00:00
Crater,2024,50,198,2020-07-27 00:00:00
Cumberland Plateau,198,1,13,2020-07-27 00:00:00
Eastern Shore,1362,43,121,2020-07-27 00:00:00
Fairfax,15586,530,1875,2020-07-27 00:00:00
Hampton,916,4,48,2020-07-27 00:00:00
Henrico,3371,178,303,2020-07-27 00:00:00
Lenowisco,198,6,28,2020-07-27 00:00:00
Lord Fairfax,2427,82,210,2020-07-27 00:00:00
Loudoun,4914,106,327,2020-07-27 00:00:00
Mount Rogers,1123,39,104,2020-07-27 00:00:00
New River,402,6,28,2020-07-27 00:00:00
Norfolk,2779,20,158,2020-07-27 00:00:00
Peninsula,2404,40,158,2020-07-27 00:00:00
Piedmont,1227,19,116,2020-07-27 00:00:00
Pittsylvania-Danville,560,5,57,2020-07-27 00:00:00
Portsmouth,1291,21,109,2020-07-27 00:00:00
Prince William,10641,194,931,2020-07-27 00:00:00
Rappahannock,3064,50,282,2020-07-27 00:00:00
Rappahannock Rapidan,1789,26,130,2020-07-27 00:00:00
Richmond,2762,36,266,2020-07-27 00:00:00
Roanoke,737,10,16,2020-07-27 00:00:00
Southside,597,32,62,2020-07-27 00:00:00
Thomas Jefferson,1648,30,133,2020-07-27 00:00:00
Three Rivers,939,13,66,2020-07-27 00:00:00
Virginia Beach,3742,43,188,2020-07-27 00:00:00
Western Tidewater,1598,69,129,2020-07-27 00:00:00
West Piedmont,823,11,90,2020-07-27 00:00:00
Alexandria,2749,57,266,2020-07-28 00:00:00
Alleghany,793,15,37,2020-07-28 00:00:00
