health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
Rappahannock Rapidan,2081,28,142,2020-08-20 00:00:00
Richmond,3480,43,350,2020-08-20 00:00:00
Roanoke,1104,15,36,2020-08-20 00:00:00
Southside,905,37,69,2020-08-20 00:00:00
Thomas Jefferson,2188,43,157,2020-08-20 00:00:00
Three Rivers,1192,18,84,2020-08-20 00:00:00
Virginia Beach,5562,61,284,2020-08-20 00:00:00
Western Tidewater,2468,86,154,2020-08-20 00:00:00
West Piedmont,1369,26,169,2020-08-20 00:00:00
Alexandria,3203,61,288,2020-08-21 00:00:00
Alleghany,1045,18,56,2020-08-21 00:00:00
Arlington,3334,137,448,2020-08-21 00:00:00
Central Shenandoah,3001,60,230,2020-08-21 00:00:00
Central Virginia,1904,17,70,2020-08-21 00:00:00
Chesapeake,3412,41,277,2020-08-21 00:00:00
Chesterfield,5159,102,278,2020-08-21 00:00:00
Chickahominy,1107,46,135,2020-08-21 00:00:00
Crater,2774,69,237,2020-08-21 00:00:00
Cumberland Plateau,462,6,37,2020-08-21 00:00:00
Eastern Shore,1436,47,135,2020-08-21 00:00:00
Fairfax,17589,553,2028,2020-08-21 00:00:00
Hampton,1417,10,53,2020-08-21 00:00:00
Henrico,4259,188,360,2020-08-21 00:00:00
Lenowisco,587,10,54,2020-08-21 00:00:00
Lord Fairfax,2712,92,235,2020-08-21 00:00:00
Loudoun,5647,115,364,2020-08-21 00:00:00
Mount Rogers,1697,62,151,2020-08-21 00:00:00
New River,700,8,36,2020-08-21 00:00:00
Norfolk,4119,39,251,2020-08-21 00:00:00
Peninsula,3352,47,171,2020-08-21 00:00:00
Piedmont,1583,36,125,2020-08-21 00:00:00
Pittsylvania-Danville,1133,16,89,2020-08-21 00:00:00
Portsmouth,2057,30,156,2020-08-21 00:00:00
Prince William,12476,210,1008,2020-08-21 00:00:00
Rappahannock,4103,58,327,2020-08-21 00:00:00
Rappahannock Rapidan,2101,28,144,2020-08-21 00:00:00
Richmond,3502,43,352,2020-08-21 00:00:00
Roanoke,1122,15,38,2020-08-21 00:00:00
Southside,915,37,69,2020-08-21 00:00:00
Thomas Jefferson,2217,43,158,2020-08-21 00:00:00
Three Rivers,1202,18,84,2020-08-21 00:00:00
Virginia Beach,5623,61,298,2020-08-21 00:00:00
Western Tidewater,2526,86,157,2020-08-21 00:00:00
West Piedmont,1384,27,172,2020-08-21 00:00:00
Alexandria,3238,61,292,2020-08-22 00:00:00
Alleghany,1065,18,57,2020-08-22 00:00:00
Arlington,3357,137,449,2020-08-22 00:00:00
Central Shenandoah,3032,60,230,2020-08-22 00:00:00
Central Virginia,1963,18,71,2020-08-22 00:00:00
Chesapeake,3462,42,287,2020-08-22 00:00:00
Chesterfield,5206,102,284,2020-08-22 00:00:00
Chickahominy,1114,46,136,2020-08-22 00:00:00
Crater,2838,69,240,2020-08-22 00:00:00
Cumberland Plateau,484,6,38,2020-08-22 00:00:00
Eastern Shore,1438,47,136,2020-08-22 00:00:00
Fairfax,17701,553,2029,2020-08-22 00:00:00
Hampton,1437,10,53,2020-08-22 00:00:00
Henrico,4294,188,360,2020-08-22 00:00:00
Lenowisco,593,10,54,2020-08-22 00:00:00
Lord Fairfax,2727,92,235,2020-08-22 00:00:00
Loudoun,5684,115,365,2020-08-22 00:00:00
Mount Rogers,1730,62,155,2020-08-22 00:00:00
New River,729,8,37,2020-08-22 00:00:00
Norfolk,4164,39,255,2020-08-22 00:00:00
Peninsula,3422,47,173,2020-08-22 00:00:00
Piedmont,1608,36,125,2020-08-22 00:00:00
Pittsylvania-Danville,1160,16,90,2020-08-22 00:00:00
Portsmouth,2085,30,159,2020-08-22 00:00:00
Prince William,12576,212,1010,2020-08-22 00:00:00
Rappahannock,4144,59,330,2020-08-22 00:00:00
Rappahannock Rapidan,2119,28,143,2020-08-22 00:00:00
Richmond,3548,43,352,2020-08-22 00:00:00
Roanoke,1121,15,40,2020-08-22 00:00:00
Southside,925,37,69,2020-08-22 00:00:00
Thomas Jefferson,2247,43,162,2020-08-22 00:00:00
Three Rivers,1208,18,86,2020-08-22 00:00:00
Virginia Beach,5668,63,306,2020-08-22 00:00:00
Western Tidewater,2575,86,157,2020-08-22 00:00:00
West Piedmont,1410,27,174,2020-08-22 00:00:00
Alexandria,3257,61,292,2020-08-23 00:00:00
Alleghany,1066,19,57,2020-08-23 00:00:00
Arlington,3383,137,449,2020-08-23 00:00:00
Central Shenandoah,3046,60,231,2020-08-23 00:00:00
Central Virginia,2007,18,71,2020-08-23 00:00:00
Chesapeake,3523,42,293,2020-08-23 00:00:00
Chesterfield,5246,102,285,2020-08-23 00:00:00
Chickahominy,1125,47,138,2020-08-23 00:00:00
Crater,2900,70,241,2020-08-23 00:00:00
Cumberland Plateau,487,6,38,2020-08-23 00:00:00
Eastern Shore,1438,47,137,2020-08-23 00:00:00
Fairfax,17817,556,2036,2020-08-23 00:00:00
Hampton,1454,11,53,2020-08-23 00:00:00
Henrico,4319,189,361,2020-08-23 00:00:00
Lenowisco,603,10,55,2020-08-23 00:00:00
Lord Fairfax,2745,92,235,2020-08-23 00:00:00
Loudoun,5712,115,366,2020-08-23 00:00:00
Mount Rogers,1748,64,158,2020-08-23 00:00:00
New River,771,8,37,2020-08-23 00:00:00
Norfolk,4164,43,256,2020-08-23 00:00:00
Peninsula,3458,48,173,2020-08-23 00:00:00
Piedmont,1608,36,125,2020-08-23 00:00:00
Pittsylvania-Danville,1183,16,92,2020-08-23 00:00:00
Portsmouth,2086,30,159,2020-08-23 00:00:00
Prince William,12647,213,1012,2020-08-23 00:00:00
Rappahannock,4174,60,333,2020-08-23 00:00:00
Rappahannock Rapidan,2165,29,143,2020-08-23 00:00:00
Richmond,3588,43,353,2020-08-23 00:00:00
Roanoke,1123,15,40,2020-08-23 00:00:00
Southside,931,37,69,2020-08-23 00:00:00
Thomas Jefferson,2261,45,162,2020-08-23 00:00:00
Three Rivers,1210,18,88,2020-08-23 00:00:00
Virginia Beach,5693,64,307,2020-08-23 00:00:00
Western Tidewater,2603,88,157,2020-08-23 00:00:00
West Piedmont,1425,28,174,2020-08-23 00:00:00
Alexandria,3309,61,294,2020-08-25 00:00:00
Alleghany,1086,19,58,2020-08-25 00:00:00
Arlington,3415,138,452,2020-08-25 00:00:00
Central Shenandoah,3091,61,234,2020-08-25 00:00:00
Central Virginia,2081,18,71,2020-08-25 00:00:00
Chesapeake,3582,43,303,2020-08-25 00:00:00
Chesterfield,5286,103,289,2020-08-25 00:00:00
Chickahominy,1136,47,139,2020-08-25 00:00:00
Crater,2929,71,242,2020-08-25 00:00:00
Cumberland Plateau,499,6,38,2020-08-25 00:00:00
Eastern Shore,1438,47,137,2020-08-25 00:00:00
Fairfax,17956,561,2036,2020-08-25 00:00:00
Hampton,1474,15,54,2020-08-25 00:00:00
Henrico,4403,189,368,2020-08-25 00:00:00
Lenowisco,647,11,56,2020-08-25 00:00:00
Lord Fairfax,2770,93,237,2020-08-25 00:00:00
Loudoun,5769,115,369,2020-08-25 00:00:00
Mount Rogers,1794,68,164,2020-08-25 00:00:00
New River,857,8,37,2020-08-25 00:00:00
Norfolk,4245,44,261,2020-08-25 00:00:00
Peninsula,3508,50,179,2020-08-25 00:00:00
Piedmont,1635,37,127,2020-08-25 00:00:00
Pittsylvania-Danville,1213,16,92,2020-08-25 00:00:00
Portsmouth,2135,31,160,2020-08-25 00:00:00
Prince William,12793,213,1017,2020-08-25 00:00:00
Rappahannock,4242,60,335,2020-08-25 00:00:00
Rappahannock Rapidan,2191,29,144,2020-08-25 00:00:00
Richmond,3662,43,359,2020-08-25 00:00:00
Roanoke,1129,15,41,2020-08-25 00:00:00
Southside,948,37,69,2020-08-25 00:00:00
Thomas Jefferson,2294,46,163,2020-08-25 00:00:00
Three Rivers,1226,18,89,2020-08-25 00:00:00
Virginia Beach,5788,64,309,2020-08-25 00:00:00
Western Tidewater,2644,88,160,2020-08-25 00:00:00
West Piedmont,1460,29,176,2020-08-25 00:00:00
Alexandria,3324,61,296,2020-08-26 00:00:00
Alleghany,1108,19,58,2020-08-26 00:00:00
Arlington,3435,138,452,2020-08-26 00:00:00
Central Shenandoah,3102,61,234,2020-08-26 00:00:00
Central Virginia,2088,18,72,2020-08-26 00:00:00
Chesapeake,3625,45,306,2020-08-26 00:00:00
Chesterfield,5314,103,291,2020-08-26 00:00:00
Chickahominy,1180,47,139,2020-08-26 00:00:00
Crater,2964,71,242,2020-08-26 00:00:00
Cumberland Plateau,505,7,43,2020-08-26 00:00:00
Eastern Shore,1439,47,137,2020-08-26 00:00:00
Fairfax,18053,563,2041,2020-08-26 00:00:00
Hampton,1483,15,54,2020-08-26 00:00:00
Henrico,4428,190,372,2020-08-26 00:00:00
Lenowisco,652,11,56,2020-08-26 00:00:00
Lord Fairfax,2775,93,237,2020-08-26 00:00:00
Loudoun,5787,117,370,2020-08-26 00:00:00
Mount Rogers,1811,69,166,2020-08-26 00:00:00
New River,925,8,37,2020-08-26 00:00:00
Norfolk,4260,47,269,2020-08-26 00:00:00
Peninsula,3526,50,181,2020-08-26 00:00:00
Piedmont,1643,38,127,2020-08-26 00:00:00
Pittsylvania-Danville,1236,16,93,2020-08-26 00:00:00
Portsmouth,2142,34,163,2020-08-26 00:00:00
Prince William,12838,213,1021,2020-08-26 00:00:00
Rappahannock,4262,60,337,2020-08-26 00:00:00
Rappahannock Rapidan,2202,29,147,2020-08-26 00:00:00
Richmond,3735,44,362,2020-08-26 00:00:00
Roanoke,1140,15,42,2020-08-26 00:00:00
Southside,957,37,69,2020-08-26 00:00:00
Thomas Jefferson,2309,47,164,2020-08-26 00:00:00
Three Rivers,1231,18,90,2020-08-26 00:00:00
Virginia Beach,5821,66,314,2020-08-26 00:00:00
Western Tidewater,2674,88,161,2020-08-26 00:00:00
West Piedmont,1484,30,183,2020-08-26 00:00:00
Alexandria,3333,61,297,2020-08-27 00:00:00
Alleghany,1134,19,58,2020-08-27 00:00:00
Arlington,3457,138,454,2020-08-27 00:00:00
Central Shenandoah,3145,61,234,2020-08-27 00:00:00
Central Virginia,2155,18,72,2020-08-27 00:00:00
Chesapeake,3660,47,309,2020-08-27 00:00:00
Chesterfield,5347,104,296,2020-08-27 00:00:00
Chickahominy,1187,47,139,2020-08-27 00:00:00
Crater,2997,71,242,2020-08-27 00:00:00
Cumberland Plateau,514,7,45,2020-08-27 00:00:00
Eastern Shore,1442,47,137,2020-08-27 00:00:00
Fairfax,18134,563,2054,2020-08-27 00:00:00
Hampton,1505,15,54,2020-08-27 00:00:00
Henrico,4467,191,374,2020-08-27 00:00:00
Lenowisco,666,11,57,2020-08-27 00:00:00
Lord Fairfax,2778,93,237,2020-08-27 00:00:00
Loudoun,5825,117,373,2020-08-27 00:00:00
Mount Rogers,1844,69,169,2020-08-27 00:00:00
New River,963,8,37,2020-08-27 00:00:00
Norfolk,4297,49,276,2020-08-27 00:00:00
Peninsula,3568,50,181,2020-08-27 00:00:00
Piedmont,1656,38,127,2020-08-27 00:00:00
Pittsylvania-Danville,1270,16,94,2020-08-27 00:00:00
Portsmouth,2161,34,167,2020-08-27 00:00:00
Prince William,12910,213,1024,2020-08-27 00:00:00
Rappahannock,4320,61,339,2020-08-27 00:00:00
Rappahannock Rapidan,2225,29,148,2020-08-27 00:00:00
Richmond,3767,45,365,2020-08-27 00:00:00
Roanoke,1169,15,44,2020-08-27 00:00:00
Southside,977,37,69,2020-08-27 00:00:00
Thomas Jefferson,2336,48,164,2020-08-27 00:00:00
Three Rivers,1250,19,91,2020-08-27 00:00:00
Virginia Beach,5876,65,314,2020-08-27 00:00:00
Western Tidewater,2710,89,161,2020-08-27 00:00:00
West Piedmont,1534,32,189,2020-08-27 00:00:00
Alexandria,3352,64,297,2020-08-28 00:00:00
Alleghany,1161,19,58,2020-08-28 00:00:00
Arlington,3492,137,458,2020-08-28 00:00:00
Central Shenandoah,3180,61,234,2020-08-28 00:00:00
Central Virginia,2206,18,74,2020-08-28 00:00:00
Chesapeake,3685,47,313,2020-08-28 00:00:00
Chesterfield,5378,108,298,2020-08-28 00:00:00
Chickahominy,1195,47,139,2020-08-28 00:00:00
Crater,3023,72,244,2020-08-28 00:00:00
Cumberland Plateau,523,7,45,2020-08-28 00:00:00
Eastern Shore,1444,48,137,2020-08-28 00:00:00
Fairfax,18260,564,2067,2020-08-28 00:00:00
Hampton,1519,16,54,2020-08-28 00:00:00
Henrico,4510,193,376,2020-08-28 00:00:00
Lenowisco,674,12,57,2020-08-28 00:00:00
Lord Fairfax,2779,93,237,2020-08-28 00:00:00
Loudoun,5878,118,374,2020-08-28 00:00:00
Mount Rogers,1870,70,172,2020-08-28 00:00:00
New River,1012,8,37,2020-08-28 00:00:00
Norfolk,4328,52,281,2020-08-28 00:00:00
Peninsula,3597,50,181,2020-08-28 00:00:00
Piedmont,1670,38,127,2020-08-28 00:00:00
Pittsylvania-Danville,1296,16,94,2020-08-28 00:00:00
Portsmouth,2186,34,172,2020-08-28 00:00:00
Prince William,12988,213,1026,2020-08-28 00:00:00
Rappahannock,4359,61,342,2020-08-28 00:00:00
Rappahannock Rapidan,2243,29,148,2020-08-28 00:00:00
Richmond,3795,47,372,2020-08-28 00:00:00
Roanoke,1179,15,44,2020-08-28 00:00:00
Southside,984,37,69,2020-08-28 00:00:00
Thomas Jefferson,2372,49,166,2020-08-28 00:00:00
Three Rivers,1255,20,93,2020-08-28 00:00:00
Virginia Beach,5906,65,319,2020-08-28 00:00:00
Western Tidewater,2743,89,161,2020-08-28 00:00:00
West Piedmont,1550,33,194,2020-08-28 00:00:00
Alexandria,3358,62,297,2020-08-29 00:00:00
Alleghany,1152,19,58,2020-08-29 00:00:00
Arlington,3513,137,461,2020-08-29 00:00:00
Central Shenandoah,3237,61,234,2020-08-29 00:00:00
Central Virginia,2258,18,77,2020-08-29 00:00:00
Chesapeake,3736,47,316,2020-08-29 00:00:00
Chesterfield,5417,108,302,2020-08-29 00:00:00
Chickahominy,1216,48,140,2020-08-29 00:00:00
Crater,3090,73,249,2020-08-29 00:00:00
Cumberland Plateau,528,7,45,2020-08-29 00:00:00
Eastern Shore,1447,48,137,2020-08-29 00:00:00
Fairfax,18378,569,2075,2020-08-29 00:00:00
Hampton,1529,16,54,2020-08-29 00:00:00
Henrico,4553,192,377,2020-08-29 00:00:00
Lenowisco,686,12,58,2020-08-29 00:00:00
Lord Fairfax,2791,93,239,2020-08-29 00:00:00
Loudoun,5924,118,379,2020-08-29 00:00:00
Mount Rogers,1914,70,174,2020-08-29 00:00:00
New River,1102,9,37,2020-08-29 00:00:00
Norfolk,4334,52,283,2020-08-29 00:00:00
Peninsula,3675,53,181,2020-08-29 00:00:00
Piedmont,1687,38,127,2020-08-29 00:00:00
Pittsylvania-Danville,1318,18,95,2020-08-29 00:00:00
Portsmouth,2198,34,173,2020-08-29 00:00:00
Prince William,13073,214,1030,2020-08-29 00:00:00
Rappahannock,4398,62,345,2020-08-29 00:00:00
Rappahannock Rapidan,2261,30,148,2020-08-29 00:00:00
Richmond,3831,47,372,2020-08-29 00:00:00
Roanoke,1186,15,44,2020-08-29 00:00:00
Southside,993,37,69,2020-08-29 00:00:00
Thomas Jefferson,2424,50,166,2020-08-29 00:00:00
Three Rivers,1268,20,93,2020-08-29 00:00:00
Virginia Beach,5948,67,320,2020-08-29 00:00:00
Western Tidewater,2794,90,161,2020-08-29 00:00:00
West Piedmont,1592,34,196,2020-08-29 00:00:00
Alexandria,3369,62,298,2020-08-30 00:00:00
Alleghany,1156,19,58,2020-08-30 00:00:00
Arlington,3540,137,466,2020-08-30 00:00:00
Central Shenandoah,3294,61,234,2020-08-30 00:00:00
Central Virginia,2286,18,78,2020-08-30 00:00:00
Chesapeake,3778,47,319,2020-08-30 00:00:00
Chesterfield,5433,108,304,2020-08-30 00:00:00
Chickahominy,1226,48,140,2020-08-30 00:00:00
Crater,3129,73,249,2020-08-30 00:00:00
Cumberland Plateau,530,7,45,2020-08-30 00:00:00
Eastern Shore,1447,48,137,2020-08-30 00:00:00
Fairfax,18496,569,2078,2020-08-30 00:00:00
Hampton,1542,16,54,2020-08-30 00:00:00
Henrico,4579,192,379,2020-08-30 00:00:00
Lenowisco,699,12,60,2020-08-30 00:00:00
Lord Fairfax,2798,93,240,2020-08-30 00:00:00
Loudoun,5945,118,383,2020-08-30 00:00:00
Mount Rogers,1938,70,177,2020-08-30 00:00:00
New River,1187,9,37,2020-08-30 00:00:00
Norfolk,4361,52,285,2020-08-30 00:00:00
Peninsula,3710,53,181,2020-08-30 00:00:00
Piedmont,1687,38,127,2020-08-30 00:00:00
Pittsylvania-Danville,1372,18,95,2020-08-30 00:00:00
Portsmouth,2213,34,175,2020-08-30 00:00:00
Prince William,13124,214,1033,2020-08-30 00:00:00
Rappahannock,4425,62,348,2020-08-30 00:00:00
Rappahannock Rapidan,2275,30,150,2020-08-30 00:00:00
Richmond,3879,47,373,2020-08-30 00:00:00
Roanoke,1189,15,44,2020-08-30 00:00:00
Southside,996,37,69,2020-08-30 00:00:00
Thomas Jefferson,2458,50,167,2020-08-30 00:00:00
Three Rivers,1276,20,93,2020-08-30 00:00:00
Virginia Beach,5985,68,321,2020-08-30 00:00:00
Western Tidewater,2819,90,161,2020-08-30 00:00:00
West Piedmont,1606,34,197,2020-08-30 00:00:00
Alexandria,3378,62,298,2020-08-31 00:00:00
Alleghany,1178,19,58,2020-08-31 00:00:00
Arlington,3555,138,467,2020-08-31 00:00:00
Central Shenandoah,3366,62,234,2020-08-31 00:00:00
Central Virginia,2315,18,78,2020-08-31 00:00:00
Chesapeake,3801,47,322,2020-08-31 00:00:00
Chesterfield,5455,108,304,2020-08-31 00:00:00
Chickahominy,1235,48,140,2020-08-31 00:00:00
Crater,3174,73,250,2020-08-31 00:00:00
Cumberland Plateau,548,7,48,2020-08-31 00:00:00
Eastern Shore,1449,48,137,2020-08-31 00:00:00
Fairfax,18603,572,2080,2020-08-31 00:00:00
Hampton,1554,16,54,2020-08-31 00:00:00
Henrico,4608,192,379,2020-08-31 00:00:00
Lenowisco,709,12,60,2020-08-31 00:00:00
Lord Fairfax,2805,93,240,2020-08-31 00:00:00
Loudoun,5979,118,384,2020-08-31 00:00:00
Mount Rogers,1955,70,177,2020-08-31 00:00:00
New River,1223,9,37,2020-08-31 00:00:00
Norfolk,4394,52,285,2020-08-31 00:00:00
Peninsula,3743,55,181,2020-08-31 00:00:00
Piedmont,1687,38,127,2020-08-31 00:00:00
Pittsylvania-Danville,1376,20,95,2020-08-31 00:00:00
Portsmouth,2213,34,175,2020-08-31 00:00:00
Prince William,13206,215,1033,2020-08-31 00:00:00
Rappahannock,4450,62,348,2020-08-31 00:00:00
Rappahannock Rapidan,2285,30,150,2020-08-31 00:00:00
Richmond,3897,47,375,2020-08-31 00:00:00
Roanoke,1200,15,44,2020-08-31 00:00:00
Southside,1019,37,69,2020-08-31 00:00:00
Thomas Jefferson,2475,50,168,2020-08-31 00:00:00
Three Rivers,1287,20,93,2020-08-31 00:00:00
Virginia Beach,6028,68,321,2020-08-31 00:00:00
Western Tidewater,2836,91,161,2020-08-31 00:00:00
West Piedmont,1608,34,197,2020-08-31 00:00:00
Alexandria,3395,62,298,2020-09-01 00:00:00
Alleghany,1182,22,61,2020-09-01 00:00:00
Arlington,3560,140,466,2020-09-01 00:00:00
Central Shenandoah,3464,62,235,2020-09-01 00:00:00
Central Virginia,2357,19,78,2020-09-01 00:00:00
Chesapeake,3811,48,328,2020-09-01 00:00:00
Chesterfield,5524,110,303,2020-09-01 00:00:00
Chickahominy,1252,48,140,2020-09-01 00:00:00
Crater,3196,76,250,2020-09-01 00:00:00
Cumberland Plateau,550,8,48,2020-09-01 00:00:00
Eastern Shore,1452,48,136,2020-09-01 00:00:00
Fairfax,18696,574,2082,2020-09-01 00:00:00
Hampton,1562,16,54,2020-09-01 00:00:00
Henrico,4651,193,381,2020-09-01 00:00:00
Lenowisco,724,12,62,2020-09-01 00:00:00
Lord Fairfax,2818,94,246,2020-09-01 00:00:00
Loudoun,6008,118,387,2020-09-01 00:00:00
Mount Rogers,1994,73,182,2020-09-01 00:00:00
New River,1335,9,37,2020-09-01 00:00:00
Norfolk,4406,55,288,2020-09-01 00:00:00
Peninsula,3771,57,181,2020-09-01 00:00:00
Piedmont,1712,39,127,2020-09-01 00:00:00
Pittsylvania-Danville,1391,20,98,2020-09-01 00:00:00
Portsmouth,2234,36,180,2020-09-01 00:00:00
Prince William,13282,216,1038,2020-09-01 00:00:00
Rappahannock,4489,62,351,2020-09-01 00:00:00
Rappahannock Rapidan,2300,30,152,2020-09-01 00:00:00
Richmond,3920,49,374,2020-09-01 00:00:00
Roanoke,1201,15,45,2020-09-01 00:00:00
Southside,1036,37,69,2020-09-01 00:00:00
Thomas Jefferson,2490,50,170,2020-09-01 00:00:00
Three Rivers,1290,20,94,2020-09-01 00:00:00
Virginia Beach,6049,69,321,2020-09-01 00:00:00
Western Tidewater,2891,91,161,2020-09-01 00:00:00
West Piedmont,1622,34,198,2020-09-01 00:00:00
Alexandria,3415,62,300,2020-09-02 00:00:00
Alleghany,1185,22,62,2020-09-02 00:00:00
Arlington,3569,141,469,2020-09-02 00:00:00
Central Shenandoah,3551,62,236,2020-09-02 00:00:00
Central Virginia,2385,19,80,2020-09-02 00:00:00
Chesapeake,3826,49,334,2020-09-02 00:00:00
Chesterfield,5566,110,304,2020-09-02 00:00:00
Chickahominy,1260,48,143,2020-09-02 00:00:00
Crater,3228,77,253,2020-09-02 00:00:00
Cumberland Plateau,554,8,48,2020-09-02 00:00:00
Eastern Shore,1452,48,136,2020-09-02 00:00:00
Fairfax,18793,575,2086,2020-09-02 00:00:00
Hampton,1570,16,54,2020-09-02 00:00:00
Henrico,4670,194,381,2020-09-02 00:00:00
Lenowisco,731,12,63,2020-09-02 00:00:00
Lord Fairfax,2832,97,248,2020-09-02 00:00:00
Loudoun,6053,118,389,2020-09-02 00:00:00
Mount Rogers,2037,74,187,2020-09-02 00:00:00
New River,1446,9,37,2020-09-02 00:00:00
Norfolk,4429,57,291,2020-09-02 00:00:00
Peninsula,3803,58,181,2020-09-02 00:00:00
Piedmont,1725,39,127,2020-09-02 00:00:00
Pittsylvania-Danville,1407,20,100,2020-09-02 00:00:00
Portsmouth,2242,41,186,2020-09-02 00:00:00
Prince William,13328,218,1041,2020-09-02 00:00:00
Rappahannock,4520,63,352,2020-09-02 00:00:00
Rappahannock Rapidan,2310,31,152,2020-09-02 00:00:00
Richmond,3950,49,373,2020-09-02 00:00:00
Roanoke,1203,15,45,2020-09-02 00:00:00
Southside,1052,37,71,2020-09-02 00:00:00
Thomas Jefferson,2515,53,170,2020-09-02 00:00:00
Three Rivers,1298,20,94,2020-09-02 00:00:00
Virginia Beach,6081,70,324,2020-09-02 00:00:00
Western Tidewater,2914,93,161,2020-09-02 00:00:00
West Piedmont,1642,36,200,2020-09-02 00:00:00
Alexandria,3436,62,301,2020-09-03 00:00:00
Alleghany,1207,22,62,2020-09-03 00:00:00
Arlington,3587,141,470,2020-09-03 00:00:00
Central Shenandoah,3620,62,237,2020-09-03 00:00:00
Central Virginia,2434,19,81,2020-09-03 00:00:00
Chesapeake,3859,49,339,2020-09-03 00:00:00
Chesterfield,5606,110,304,2020-09-03 00:00:00
Chickahominy,1280,48,143,2020-09-03 00:00:00
Crater,3260,78,253,2020-09-03 00:00:00
Cumberland Plateau,558,9,48,2020-09-03 00:00:00
Eastern Shore,1455,48,136,2020-09-03 00:00:00
Fairfax,18858,576,2100,2020-09-03 00:00:00
Hampton,1589,16,54,2020-09-03 00:00:00
Henrico,4707,194,383,2020-09-03 00:00:00
Lenowisco,744,12,65,2020-09-03 00:00:00
Lord Fairfax,2840,97,250,2020-09-03 00:00:00
Loudoun,6077,118,391,2020-09-03 00:00:00
Mount Rogers,2072,75,189,2020-09-03 00:00:00
New River,1534,9,37,2020-09-03 00:00:00
Norfolk,4450,59,300,2020-09-03 00:00:00
Peninsula,3852,58,181,2020-09-03 00:00:00
Piedmont,1733,40,127,2020-09-03 00:00:00
Pittsylvania-Danville,1437,20,104,2020-09-03 00:00:00
Portsmouth,2258,42,188,2020-09-03 00:00:00
Prince William,13414,219,1045,2020-09-03 00:00:00
Rappahannock,4552,62,354,2020-09-03 00:00:00
Rappahannock Rapidan,2323,31,154,2020-09-03 00:00:00
Richmond,4027,49,376,2020-09-03 00:00:00
Roanoke,1199,15,46,2020-09-03 00:00:00
Southside,1068,37,71,2020-09-03 00:00:00
Thomas Jefferson,2562,56,171,2020-09-03 00:00:00
Three Rivers,1317,20,94,2020-09-03 00:00:00
Virginia Beach,6128,70,326,2020-09-03 00:00:00
Western Tidewater,2961,93,161,2020-09-03 00:00:00
West Piedmont,1664,36,200,2020-09-03 00:00:00
Alexandria,3459,62,302,2020-09-04 00:00:00
Alleghany,1224,23,63,2020-09-04 00:00:00
Arlington,3605,142,472,2020-09-04 00:00:00
Central Shenandoah,3683,63,239,2020-09-04 00:00:00
Central Virginia,2481,19,84,2020-09-04 00:00:00
Chesapeake,3887,49,342,2020-09-04 00:00:00
Chesterfield,5634,110,307,2020-09-04 00:00:00
Chickahominy,1296,48,144,2020-09-04 00:00:00
Crater,3289,79,252,2020-09-04 00:00:00
Cumberland Plateau,563,9,49,2020-09-04 00:00:00
Eastern Shore,1455,48,136,2020-09-04 00:00:00
Fairfax,18930,576,2103,2020-09-04 00:00:00
Hampton,1603,16,54,2020-09-04 00:00:00
Henrico,4738,194,386,2020-09-04 00:00:00
Lenowisco,756,12,66,2020-09-04 00:00:00
Lord Fairfax,2846,97,253,2020-09-04 00:00:00
Loudoun,6146,118,394,2020-09-04 00:00:00
Mount Rogers,2114,75,191,2020-09-04 00:00:00
New River,1668,9,37,2020-09-04 00:00:00
Norfolk,4468,59,301,2020-09-04 00:00:00
Peninsula,3902,58,181,2020-09-04 00:00:00
Piedmont,1742,40,127,2020-09-04 00:00:00
Pittsylvania-Danville,1474,20,104,2020-09-04 00:00:00
Portsmouth,2269,42,191,2020-09-04 00:00:00
Prince William,13483,219,1046,2020-09-04 00:00:00
Rappahannock,4579,65,359,2020-09-04 00:00:00
Rappahannock Rapidan,2337,31,156,2020-09-04 00:00:00
Richmond,4052,49,381,2020-09-04 00:00:00
Roanoke,1220,15,50,2020-09-04 00:00:00
Southside,1098,37,71,2020-09-04 00:00:00
Thomas Jefferson,2597,57,171,2020-09-04 00:00:00
Three Rivers,1332,20,94,2020-09-04 00:00:00
Virginia Beach,6160,71,327,2020-09-04 00:00:00
Western Tidewater,2998,94,162,2020-09-04 00:00:00
West Piedmont,1691,36,203,2020-09-04 00:00:00
Alexandria,3476,62,302,2020-09-05 00:00:00
Alleghany,1234,23,65,2020-09-05 00:00:00
Arlington,3620,143,476,2020-09-05 00:00:00
Central Shenandoah,3780,63,243,2020-09-05 00:00:00
Central Virginia,2513,19,84,2020-09-05 00:00:00
Chesapeake,3899,49,342,2020-09-05 00:00:00
Chesterfield,5678,110,309,2020-09-05 00:00:00
Chickahominy,1306,48,144,2020-09-05 00:00:00
Crater,3312,80,254,2020-09-05 00:00:00
Cumberland Plateau,569,9,49,2020-09-05 00:00:00
Eastern Shore,1456,48,136,2020-09-05 00:00:00
Fairfax,19068,576,2107,2020-09-05 00:00:00
Hampton,1614,16,55,2020-09-05 00:00:00
Henrico,4757,194,387,2020-09-05 00:00:00
Lenowisco,766,13,67,2020-09-05 00:00:00
Lord Fairfax,2849,98,253,2020-09-05 00:00:00
Loudoun,6166,118,394,2020-09-05 00:00:00
Mount Rogers,2161,75,192,2020-09-05 00:00:00
New River,1750,9,38,2020-09-05 00:00:00
Norfolk,4481,60,308,2020-09-05 00:00:00
Peninsula,3920,58,181,2020-09-05 00:00:00
