COUNTY,COUNTYNAME,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Scrape_Time
085,MARTIN,9085,200,296,794,1041,1133,1197,1501,1470,1016,413,24,0 to 100,53,1,4501,4156,427,8987,98,0,644,1784,6553,9046,2901,6144,1,39,0,1,1342,1525,97,177,461,524,513,462,293,183,121,66,3,0 to 99,38,1053,147,865,817,1504,757,621,435,3,241,2,1,42,2900,1535,1350,2882,18,0,17663,77,20671,17740,2900,42,1301,1290,2020-07-14 20:04:49.057807
087,MONROE,4395,60,87,310,592,610,746,905,662,312,109,2,0 to 101,52,2,2267,2111,15,4304,91,0,1355,734,3286,4357,641,3716,0,38,4,1,273,341,16,24,66,125,106,111,79,68,32,13,1,0 to 100,43,324,20,13,263,152,200,268,89,5,35,4,0,6,641,352,283,620,21,0,7445,66,8155,7511,641,6,1296,1019,2020-07-14 20:04:49.057807
089,NASSAU,3840,60,73,362,424,463,543,703,637,393,178,4,0 to 103,54,4,2078,1589,169,3717,123,0,140,441,3377,3830,571,3259,0,10,2,3,272,273,8,14,129,94,92,86,76,45,14,12,0,0 to 94,40,321,62,28,137,32,369,147,89,1,34,0,0,3,570,281,286,548,22,0,9409,100,10087,9509,570,3,759,753,2020-07-14 20:04:49.057807
091,OKALOOSA,8104,225,183,764,1263,1157,1052,1176,896,758,586,44,0 to 119,49,38,4805,3199,62,7952,151,1,257,934,7209,8075,1446,6629,0,29,5,36,758,625,19,44,261,312,218,179,162,118,77,51,4,0 to 103,38,771,122,99,433,239,664,522,141,3,80,1,0,10,1445,635,768,1424,20,1,17238,131,18836,17369,1445,10,1541,1110,2020-07-14 20:04:49.057807
093,OKEECHOBEE,2089,44,89,305,285,251,255,311,204,189,144,12,0 to 119,47,0,1188,879,22,2078,11,0,152,423,1605,2088,581,1507,0,1,0,0,285,291,18,48,112,105,98,68,78,23,19,11,1,0 to 94,35,362,60,69,87,260,218,100,68,0,52,2,0,2,581,292,287,578,3,0,4079,8,4675,4087,581,2,661,580,2020-07-14 20:04:49.057807
095,ORANGE,79023,1369,1872,8450,13318,12046,12227,11731,8071,3843,1471,4625,0 to 120,45,176,42649,35881,317,77747,1275,1,1457,3173,74232,78743,19378,59364,1,280,5,159,9339,9549,283,479,4094,5092,3315,2722,1880,884,445,169,14,0 to 106,34,4264,2498,2835,9464,2480,3839,12742,1132,50,578,39,5,85,19377,9718,9478,19060,316,1,167004,950,187559,167954,19377,85,2263,2035,2020-07-14 20:04:49.057807
097,OSCEOLA,17215,253,520,1548,2765,2654,2843,2669,1957,972,344,690,0 to 155,47,31,9436,7676,72,17113,102,0,1226,1700,14858,17153,4575,12576,2,62,2,29,2285,2182,67,164,687,1099,832,775,482,276,153,38,2,0 to 102,37,1434,237,1289,1541,1774,772,1955,469,9,237,7,2,37,4575,2233,2307,4501,74,0,33481,27,38160,33508,4575,37,1860,1349,2020-07-14 20:04:49.057807
099,PALM BEACH,82416,1341,2083,7098,10893,10436,11693,13465,11503,7969,4306,1629,0 to 119,52,52,44727,37384,253,81560,854,2,4122,8193,68433,82225,22280,59764,181,191,6,46,11105,10900,382,812,3229,4225,3659,3314,2825,1674,1184,944,31,0 to 105,41,8250,3508,3104,7204,6440,8017,7609,2885,42,2088,27,14,624,22279,11012,11203,22064,213,2,167023,636,190276,167659,22279,624,6559,6294,2020-07-14 20:04:49.057807
101,PASCO,17590,346,454,1685,2362,2457,2794,2902,2471,1471,618,30,0 to 119,50,31,9962,7530,67,17502,88,0,768,2202,14746,17547,4189,13356,2,43,1,31,2078,2043,70,121,711,805,682,662,503,364,186,84,1,0 to 99,40,2254,260,384,1268,673,1984,1509,471,8,287,4,1,34,4189,2054,2090,4166,23,0,44069,65,48358,44134,4189,34,3153,2601,2020-07-14 20:04:49.057807
103,PINELLAS,46770,485,782,3787,6485,5583,6716,8490,7382,4519,2452,89,0 to 120,54,26,26678,19959,107,46414,356,0,3331,4253,36889,46727,11755,34971,1,43,7,22,6222,5390,150,384,1852,2577,1604,1627,1518,923,660,451,8,0 to 104,40,5078,2023,634,3934,881,6195,4593,1275,20,971,18,2,262,11754,5439,6258,11669,85,0,114730,268,126834,114998,11754,262,966,874,2020-07-14 20:04:49.057807
105,POLK,25127,605,789,2407,3704,3577,3633,3736,3383,2073,886,334,0 to 119,48,105,14020,10820,182,25019,108,0,947,2620,21600,25102,7882,17219,1,25,5,105,4027,3709,147,321,1207,1589,1423,1153,885,595,351,209,1,0 to 103,39,3452,1248,656,2496,1806,3014,3032,980,10,596,5,1,151,7881,3721,4044,7852,29,0,57888,75,65923,57963,7881,151,2488,1917,2020-07-14 20:04:49.057807
107,PUTNAM,4018,90,173,436,605,513,606,647,458,313,164,13,0 to 118,48,10,2426,1528,54,4010,8,0,126,327,3318,4015,835,3179,1,3,0,9,410,397,20,80,151,151,125,106,93,57,35,15,2,0 to 100,36,403,239,93,100,156,559,120,122,0,64,0,0,7,835,397,410,835,0,0,8264,8,9113,8272,835,7,237,168,2020-07-14 20:04:49.057807
113,SANTA ROSA,8251,256,315,960,1136,1127,1237,1282,1098,580,250,10,0 to 119,47,8,4537,3668,38,8180,71,0,245,975,7208,8250,1413,6837,0,1,0,8,699,687,20,31,419,255,178,210,145,81,48,25,0,0 to 101,34,930,89,33,350,37,973,392,69,0,82,1,0,11,1412,691,705,1402,10,0,16020,60,17501,16080,1412,11,2071,1526,2020-07-14 20:04:49.057807
115,SARASOTA,15824,182,264,1175,1690,1605,2033,2765,2979,2077,1011,43,0 to 119,58,39,8790,6850,145,15567,257,0,649,912,13861,15811,3334,12476,1,13,6,39,1702,1550,32,92,562,609,480,471,411,298,217,160,2,0 to 104,42,1462,180,228,1424,328,1322,1644,301,17,272,11,2,100,3334,1572,1720,3294,40,0,45880,214,49449,46094,3334,100,838,732,2020-07-14 20:04:49.057807
117,SEMINOLE,20595,283,493,2208,2946,2808,3138,3226,2690,1315,626,862,0 to 119,48,19,11597,8840,139,20548,47,0,511,1188,19111,20567,4538,16028,1,28,0,10,2435,2061,58,116,1016,1003,651,635,461,273,178,145,0,0 to 104,36,1728,418,434,1940,524,1225,2771,380,5,213,1,0,25,4536,2067,2445,4520,16,0,44489,30,49099,44519,4536,25,1479,1236,2020-07-14 20:04:49.057807
109,ST. JOHNS,11966,185,309,1225,1352,1736,1985,2050,1762,929,415,18,0 to 119,50,85,6482,5258,141,11922,44,0,475,1291,10396,11889,2019,9859,11,77,4,20,985,972,25,52,503,314,277,329,282,140,71,25,1,0 to 98,39,1132,98,89,675,119,1113,762,172,4,102,5,0,12,2019,984,998,1994,25,0,26335,17,28400,26352,2019,12,1704,1664,2020-07-14 20:04:49.057807
111,ST. LUCIE,12910,234,316,1038,1681,1710,2021,2154,1885,1204,628,39,0 to 119,52,69,7459,5185,197,12761,149,0,752,1825,10363,12725,3134,9584,7,185,0,24,1691,1394,55,121,434,561,516,522,399,271,148,99,8,0 to 104,42,1019,537,300,1262,603,1065,1450,314,1,246,2,1,64,3134,1403,1698,3118,16,0,26610,130,29912,26740,3134,64,2053,2038,2020-07-14 20:04:49.057807
119,SUMTER,4307,37,37,127,209,222,341,585,1535,984,145,85,0 to 119,69,2,2141,1987,177,4230,77,0,215,411,3681,4282,681,3601,0,25,1,2,282,385,1,12,41,43,73,89,102,188,110,22,0,4 to 92,63,401,84,21,170,34,459,183,141,1,85,0,0,18,681,387,285,676,5,0,11859,72,12623,11931,681,18,312,300,2020-07-14 20:04:49.057807
121,SUWANNEE,2668,88,98,258,360,332,325,400,329,251,216,11,0 to 118,51,0,1642,949,77,2652,16,0,96,578,1798,2668,761,1907,0,0,3,0,421,314,32,55,119,114,117,106,81,59,49,28,1,0 to 102,40,364,110,160,111,259,360,126,111,1,70,0,0,22,761,320,431,745,16,0,4400,0,5164,4400,761,22,163,159,2020-07-14 20:04:49.057807
123,TAYLOR,1013,33,24,105,154,143,132,173,146,75,24,4,0 to 118,47,0,566,416,31,1005,8,0,24,211,723,1012,149,862,1,1,0,0,74,72,0,5,32,39,27,16,17,5,8,0,0,6 to 84,34,77,39,20,11,26,107,14,30,0,10,0,0,1,149,72,76,147,2,0,1648,6,1806,1654,149,1,384,283,2020-07-14 20:04:49.057807
125,UNION,1259,13,28,82,84,120,145,412,287,74,14,0,0 to 118,59,0,353,900,6,1259,0,0,30,83,1107,1258,120,1138,0,1,0,0,35,85,1,8,26,13,11,8,28,22,3,0,0,4 to 80,47,74,32,4,10,5,102,13,14,0,10,0,0,2,120,85,35,120,0,0,2574,0,2695,2574,120,2,179,177,2020-07-14 20:04:49.057807
999,Unknown,1571,4,9,109,202,213,227,193,141,212,258,3,0 to 119,56,14,1017,534,6,197,1374,0,4,21,1529,1571,328,1242,1,0,3,9,24,40,4,8,54,82,60,64,30,11,8,6,1,0 to 82,32,24,9,0,40,30,2,41,0,3,0,2,1,0,328,171,144,73,255,0,2300,1085,3730,3385,328,0,41,39,2020-07-14 20:04:49.057807
127,VOLUSIA,23705,222,425,1659,2712,2661,3413,4680,4240,2307,1100,286,0 to 119,56,14,13247,9828,616,23593,112,0,769,1635,21063,23686,4164,19522,0,19,4,11,2182,1933,50,137,676,799,579,607,566,396,208,136,9,0 to 102,42,1759,545,770,1059,572,2187,1374,541,7,322,5,0,78,4163,1947,2198,4133,30,0,47954,81,52252,48035,4163,78,1822,1200,2020-07-14 20:04:49.057807
129,WAKULLA,1427,20,37,126,170,195,239,265,223,112,39,1,0 to 102,52,0,797,620,10,1422,5,0,35,163,1160,1427,164,1263,0,0,1,0,80,81,1,3,36,32,27,29,21,9,5,1,0,3 to 86,39,93,35,6,27,7,123,31,22,0,9,0,0,1,164,82,82,161,3,0,2939,2,3108,2941,164,1,286,211,2020-07-14 20:04:49.057807
131,WALTON,2213,55,60,247,287,312,319,358,267,171,134,3,0 to 101,49,1,1187,990,35,2103,110,0,82,272,1509,2213,622,1591,0,0,3,1,265,296,7,21,138,109,108,76,92,37,27,7,0,0 to 101,38,469,42,9,43,122,408,33,65,9,38,2,0,10,622,324,296,563,59,0,4575,51,5252,4626,622,10,279,224,2020-07-14 20:04:49.057807
133,WASHINGTON,1049,15,23,76,118,130,167,221,140,104,55,0,0 to 119,54,7,611,412,19,1041,8,0,40,227,793,1046,205,841,0,3,0,7,99,94,1,5,22,29,22,30,38,27,22,8,0,3 to 99,54,99,50,6,45,2,146,52,21,0,24,0,0,13,204,96,101,200,4,0,2140,4,2349,2144,204,13,273,215,2020-07-14 20:04:49.057807
001,ALACHUA,17096,230,256,2268,3243,2435,2393,2694,1973,943,594,67,0 to 119,45,9778,7172,146,16809,287,0,396,16178,944,79,2322,14768,6,0,16803,1174,1105,5,2284,19,55,762,549,255,255,201,143,51,30,2,0 to 103,29,794,527,317,646,346,1233,705,200,8,107,7,0,12,2322,1128,1189,2284,38,0,50557,247,53142,50804,2322,12,180,158,2020-07-15 20:06:43.975848
003,BAKER,1065,35,22,128,160,154,170,172,113,76,33,2,0 to 99,47,577,435,53,1005,60,0,73,861,220,5,187,869,0,9,996,85,98,4,187,2,6,30,29,31,27,30,13,15,4,0,1 to 97,43,123,38,6,20,3,154,30,30,0,21,0,0,4,187,98,85,187,0,0,3005,58,3250,3063,187,4,212,211,2020-07-15 20:06:43.975848
005,BAY,4534,53,63,452,670,655,745,782,536,326,196,56,0 to 119,49,2518,1962,54,4472,62,0,286,3805,1004,94,1523,3009,0,2,4470,797,679,4,1480,20,31,271,324,261,250,189,110,50,16,1,0 to 96,39,827,177,68,408,169,855,456,158,7,54,2,3,8,1523,706,813,1480,43,0,11796,22,13366,11818,1523,8,152,144,2020-07-15 20:06:43.975848
007,BRADFORD,1583,24,33,140,203,188,237,301,195,153,103,6,0 to 118,53,990,570,23,1581,2,0,54,1399,239,2,161,1421,0,1,1580,98,63,0,161,2,8,22,19,27,27,14,11,19,12,0,1 to 107,46,108,41,6,6,6,143,12,25,0,18,0,0,2,161,63,98,161,0,0,3124,2,3290,3126,161,2,351,319,2020-07-15 20:06:43.975848
009,BREVARD,22605,291,425,1737,2515,2545,3162,4782,4160,2212,627,149,0 to 119,56,12678,9816,111,22581,24,0,874,20570,2719,125,3723,18871,0,11,22570,1905,1783,16,3704,42,92,763,758,549,529,463,276,146,102,2,0 to 101,38,1962,277,272,1193,545,1899,1260,459,4,231,3,0,40,3722,1790,1916,3704,18,0,59187,6,62957,59193,3722,40,1194,1136,2020-07-15 20:06:43.975848
011,BROWARD,123848,2615,3561,10780,19572,19480,21063,21398,14090,7364,3713,212,0 to 119,47,66631,55669,1548,122201,1647,0,4939,100947,23210,1140,34153,89594,21,80,122103,17208,16390,165,33763,664,1458,4968,7013,6036,5531,4497,2237,1168,564,17,0 to 119,39,12774,9137,2325,9527,10894,13698,9171,4994,79,2616,62,23,464,34153,16640,17347,33763,390,0,254488,1232,290146,255720,34153,464,15274,14905,2020-07-15 20:06:43.975848
013,CALHOUN,680,7,12,59,70,97,99,123,97,76,40,0,0 to 99,54,407,260,13,680,0,0,18,468,161,8,184,495,0,1,679,119,65,0,184,1,5,21,21,18,23,28,20,25,22,0,1 to 99,55,141,19,10,14,12,150,22,28,0,20,0,0,7,184,65,119,184,0,0,1186,0,1376,1186,184,7,341,279,2020-07-15 20:06:43.975848
015,CHARLOTTE,6226,70,62,348,547,612,873,1190,1158,789,570,7,0 to 119,60,3610,2540,76,6204,22,0,338,5285,960,31,1281,4940,1,4,6199,678,575,22,1275,12,18,126,147,122,175,232,185,135,128,1,0 to 101,56,896,81,45,253,84,902,289,167,1,183,1,0,80,1281,576,682,1275,6,0,16474,16,17781,16490,1281,80,168,149,2020-07-15 20:06:43.975848
017,CITRUS,4696,64,94,303,478,439,574,862,994,672,208,8,0 to 222,59,2619,1906,171,4688,8,0,165,3738,665,36,665,4023,1,7,4681,332,329,3,664,7,18,89,94,79,100,133,79,47,19,0,0 to 97,49,500,39,42,83,44,512,108,59,0,74,0,0,17,665,329,333,664,1,0,12551,6,13230,12557,665,17,1559,1104,2020-07-15 20:06:43.975848
019,CLAY,9538,173,258,834,1189,1364,1569,1625,1392,792,320,22,0 to 101,51,5450,3970,118,9515,23,0,387,8287,1109,74,1641,7886,1,10,9504,888,743,5,1636,14,48,230,286,267,278,224,159,86,48,1,0 to 100,43,763,295,124,454,151,982,503,252,0,141,0,0,42,1641,746,890,1636,5,0,21845,18,23516,21863,1641,42,1025,992,2020-07-15 20:06:43.975848
021,COLLIER,20417,532,823,2246,2541,2667,2756,2915,2939,2219,741,38,0 to 105,50,10835,9439,143,20041,376,0,772,15824,4344,187,6872,13401,3,141,19897,3378,3357,40,6775,189,357,1256,1162,1169,1047,813,443,304,132,0,0 to 101,38,3259,347,498,2671,2800,1451,2524,755,21,486,11,6,99,6872,3411,3415,6775,97,0,38938,279,46131,39217,6872,99,4715,3732,2020-07-15 20:06:43.975848
023,COLUMBIA,4105,100,119,298,549,579,572,772,601,301,205,9,0 to 119,52,2103,1920,82,4087,18,0,327,3337,702,16,929,3173,0,3,4084,271,653,0,924,20,29,85,186,191,158,144,76,28,12,0,0 to 97,42,313,208,67,336,70,449,405,16,0,61,0,0,4,929,657,272,924,5,0,7331,13,8295,7344,929,4,38,36,2020-07-15 20:06:43.975848
025,DADE,207767,2460,4026,18880,35140,33729,37546,33906,22122,12351,6910,697,0 to 225,47,107776,98784,1207,206124,1642,1,5103,185943,22562,1055,72317,135173,97,180,205849,35931,35518,182,71631,873,1845,8938,14138,12266,12907,10107,5839,3263,2048,93,0 to 108,43,26755,7669,2556,34651,27795,9471,34365,8447,57,4523,32,15,1202,72317,35871,36240,71630,686,1,375512,939,449593,376451,72317,1202,7229,6489,2020-07-15 20:06:43.975848
027,DESOTO,3129,87,167,301,457,470,540,555,313,163,72,4,0 to 102,46,1284,1720,125,3119,10,0,116,2151,942,14,997,2124,0,8,3111,414,579,4,997,32,92,133,200,184,152,121,59,14,10,0,0 to 97,36,653,97,35,212,537,228,232,137,0,80,0,0,12,997,579,414,997,0,0,6094,10,7119,6104,997,12,1071,936,2020-07-15 20:06:43.975848
029,DIXIE,898,25,32,76,100,150,114,144,139,76,41,1,0 to 118,51,535,349,14,898,0,0,17,728,149,2,135,763,0,0,898,75,59,1,135,0,6,19,16,22,17,16,22,13,4,0,6 to 91,48,99,15,1,20,0,110,25,27,0,15,0,0,4,135,59,75,135,0,0,1641,0,1777,1641,135,4,241,186,2020-07-15 20:06:43.975848
031,DUVAL,60296,1010,1486,6503,10723,9056,9124,9891,7038,3543,1791,131,-6 to 119,46,32980,26544,772,59600,696,0,1277,54882,4084,237,14152,46035,11,98,59495,7335,6567,85,13987,172,489,2473,3559,2438,1987,1535,857,401,235,6,0 to 102,36,3557,4314,1266,4850,1246,6755,5986,753,24,430,12,4,89,14152,6657,7407,13987,165,0,130312,520,145171,130832,14152,89,3724,3607,2020-07-15 20:06:43.975848
033,ESCAMBIA,21389,495,565,2260,3103,2572,2846,3693,3037,1758,1004,56,0 to 119,51,12651,8645,93,18218,3171,0,573,19497,1859,117,4745,16622,2,20,18196,2226,1863,48,4137,51,133,991,969,664,571,554,357,283,172,0,0 to 105,36,1745,1077,141,1174,131,2609,1397,414,2,221,1,3,55,4745,2116,2581,4137,608,0,40908,2518,48188,43426,4745,55,1049,969,2020-07-15 20:06:43.975848
035,FLAGLER,4323,62,55,265,441,503,618,831,822,501,219,6,0 to 119,57,2514,1751,58,4284,39,0,181,3779,432,52,557,3763,0,3,4281,300,242,6,548,11,17,76,83,60,90,95,82,32,11,0,0 to 94,49,319,75,92,62,68,392,88,81,4,47,2,1,6,557,247,304,548,9,0,10148,30,10747,10178,557,6,598,563,2020-07-15 20:06:43.975848
037,FRANKLIN,559,9,8,32,43,45,67,130,131,76,18,0,0 to 95,61,323,234,2,555,4,0,11,481,56,12,48,510,0,1,554,27,19,0,46,0,1,4,7,3,7,12,6,5,2,0,9 to 85,56,33,12,0,1,2,42,2,7,0,3,0,0,0,47,19,28,46,1,0,1684,3,1735,1687,47,0,93,92,2020-07-15 20:06:43.975848
039,GADSDEN,3308,65,131,278,553,565,569,495,407,157,85,3,0 to 119,46,2229,1063,16,3288,19,1,69,2850,526,21,687,2619,1,1,3287,425,250,6,681,14,41,84,131,141,115,68,49,29,14,1,0 to 98,39,205,267,36,173,98,379,204,118,0,76,0,0,9,687,250,431,680,6,1,6783,13,7500,6796,687,9,569,374,2020-07-15 20:06:43.975848
041,GILCHRIST,862,23,25,100,112,122,129,125,111,78,37,0,0 to 118,49,479,375,8,862,0,0,23,692,205,3,169,693,0,0,862,60,109,0,169,6,7,24,27,27,28,22,16,11,1,0,0 to 94,42,120,16,15,18,29,116,24,11,0,3,0,0,0,169,109,60,169,0,0,2600,0,2774,2600,169,0,271,254,2020-07-15 20:06:43.975848
043,GLADES,385,7,16,51,80,81,47,35,34,26,6,2,1 to 90,39,185,199,1,385,0,0,45,195,205,0,213,172,0,0,385,86,127,0,213,4,5,35,57,57,29,15,7,2,1,1,1 to 89,36,162,30,12,9,123,78,12,31,0,20,0,0,1,213,127,86,213,0,0,588,0,803,588,213,1,194,135,2020-07-15 20:06:43.975848
045,GULF,746,19,26,66,78,76,128,141,125,67,20,0,0 to 94,53,430,313,3,687,59,0,35,594,123,16,109,637,0,0,687,58,46,0,104,1,5,22,16,17,28,12,6,1,1,0,2 to 89,42,65,30,3,6,12,85,7,20,1,6,1,0,0,109,50,59,104,5,0,2296,54,2463,2350,109,0,193,190,2020-07-15 20:06:43.975848
047,HAMILTON,2131,28,44,192,558,430,335,252,174,72,42,4,0 to 118,40,532,1577,22,2125,6,0,46,1896,443,7,444,1686,0,1,2124,139,302,0,441,17,27,62,108,79,71,56,17,6,1,0,0 to 86,35,171,231,35,4,70,222,149,64,1,16,0,0,2,444,304,140,441,3,0,2881,3,3329,2884,444,2,45,43,2020-07-15 20:06:43.975848
049,HARDEE,1522,51,132,232,286,198,192,180,148,75,28,0,0 to 94,37,827,671,24,1514,8,0,72,686,751,15,633,889,0,0,1514,326,297,4,627,22,66,115,135,93,78,52,46,20,6,0,0 to 87,32,462,70,63,32,428,169,30,100,3,54,3,1,4,633,301,328,627,6,0,2799,2,3435,2801,633,4,1099,999,2020-07-15 20:06:43.975848
051,HENDRY,3148,114,153,440,584,501,458,396,231,154,110,7,0 to 104,40,1552,1581,15,3146,2,0,291,1756,1224,10,1288,1859,0,1,3145,550,733,5,1288,39,65,208,284,234,203,124,68,40,23,0,0 to 101,37,1032,132,41,83,893,330,65,208,0,112,0,0,30,1288,733,550,1288,0,0,5171,2,6472,5173,1288,30,1760,1333,2020-07-15 20:06:43.975848
053,HERNANDO,4785,85,92,448,655,580,706,821,649,468,277,4,0 to 102,52,2830,1938,17,4760,25,0,311,3761,1053,54,988,3796,0,1,4759,498,477,1,976,13,31,164,184,130,155,135,97,56,22,0,0 to 100,41,677,72,73,154,138,579,259,192,2,103,2,1,10,987,481,505,976,11,0,12689,14,13694,12703,987,10,1213,1162,2020-07-15 20:06:43.975848
055,HIGHLANDS,4262,77,82,241,464,403,509,672,763,667,364,20,0 to 119,60,2541,1686,35,4196,66,0,108,3712,519,34,627,3629,1,5,4190,329,294,1,624,15,21,73,94,86,96,107,66,59,10,0,0 to 95,48,339,117,93,75,193,340,91,142,2,93,1,0,13,627,297,329,624,3,0,10835,63,11540,10898,627,13,772,658,2020-07-15 20:06:43.975848
057,HILLSBOROUGH,70764,1676,2257,7807,12028,10463,10765,10844,8112,4342,1996,474,0 to 119,45,39689,30605,470,70311,453,0,1496,64001,5453,352,21018,49575,22,149,70140,10993,9721,195,20909,423,861,3858,4886,3313,2999,2189,1139,640,348,362,0 to 104,35,6329,2542,2333,9705,4296,5630,10983,1467,12,839,9,3,192,21018,9772,11051,20909,109,0,153473,341,175040,153814,21018,192,5044,4697,2020-07-15 20:06:43.975848
059,HOLMES,1021,18,19,85,157,146,165,172,162,70,26,1,0 to 119,50,486,520,15,1007,14,0,15,784,236,10,258,763,0,0,1007,53,200,0,253,3,1,30,71,59,43,23,16,7,5,0,1 to 93,38,137,71,9,36,16,179,58,10,0,7,0,0,1,258,201,57,253,5,0,2617,9,2888,2626,258,1,177,171,2020-07-15 20:06:43.975848
061,INDIAN RIVER,6920,101,160,617,730,699,854,1063,1172,853,655,16,0 to 119,58,4165,2716,39,6848,72,0,289,5412,1412,85,1386,5505,0,29,6821,719,641,14,1374,29,80,260,243,193,185,134,113,86,62,1,0 to 99,38,573,113,127,561,269,477,628,176,6,97,3,0,22,1386,649,723,1374,12,0,18264,58,19719,18322,1386,22,1722,1238,2020-07-15 20:06:43.975848
063,JACKSON,3469,38,56,314,580,577,597,530,353,254,164,6,0 to 105,47,1573,1810,86,3444,25,0,25,2708,630,39,675,2789,1,4,3439,228,434,2,664,6,12,75,126,123,127,97,56,28,25,0,0 to 100,44,270,192,33,169,34,371,259,102,2,70,0,0,5,675,440,233,664,11,0,6165,14,6866,6179,675,5,843,642,2020-07-15 20:06:43.975848
065,JEFFERSON,652,15,17,36,62,87,95,127,124,68,20,1,0 to 101,55,384,264,4,646,6,0,15,506,134,10,100,552,0,0,646,52,45,0,97,2,3,11,17,12,16,15,10,7,7,0,0 to 95,48,47,36,11,3,10,79,8,20,2,12,0,0,4,100,48,52,97,3,0,1540,2,1643,1542,100,4,136,98,2020-07-15 20:06:43.975848
067,LAFAYETTE,395,7,3,47,50,43,40,48,54,57,45,1,0 to 119,57,247,139,9,395,0,0,11,334,32,1,64,331,0,0,395,32,29,3,64,2,3,7,13,5,10,11,8,2,3,0,3 to 98,48,36,11,7,10,10,44,10,13,0,4,0,0,0,64,29,32,64,0,0,647,0,713,647,64,0,44,44,2020-07-15 20:06:43.975848
069,LAKE,17748,275,332,1244,1882,1859,2288,2818,3024,2108,691,1227,0 to 103,56,9354,7391,1003,17603,145,0,249,16550,920,106,2882,14821,0,45,17560,1457,1365,37,2859,47,91,486,561,435,456,385,228,144,45,4,0 to 103,40,864,314,373,1308,367,1018,1474,254,12,154,5,1,28,2882,1377,1467,2859,23,0,42884,120,45915,43004,2882,28,1074,782,2020-07-15 20:06:43.975848
071,LEE,34410,449,676,3221,4654,4537,4943,5471,5321,3485,1588,65,0 to 119,52,19345,14745,320,33340,1069,1,1131,29470,4654,206,10850,23536,2,22,33317,5506,4997,148,10651,176,334,1726,2092,1734,1676,1333,839,547,382,10,0 to 101,41,4856,1128,359,4308,2700,3453,4498,1402,18,758,15,4,206,10849,5103,5593,10650,198,1,69363,868,81104,70231,10849,206,3266,1663,2020-07-15 20:06:43.975848
073,LEON,15031,215,389,2414,2533,2134,2158,2289,1803,703,351,42,0 to 119,43,7816,7070,145,14770,260,1,321,13670,1149,111,2606,12412,2,11,14758,1337,1184,27,2548,21,97,1057,518,291,231,225,109,35,12,10,0 to 105,26,700,725,97,1026,149,1084,1315,156,13,70,11,7,10,2606,1212,1367,2547,58,1,38256,198,41141,38454,2606,10,1166,748,2020-07-15 20:06:43.975848
075,LEVY,1938,33,36,204,249,215,264,369,287,197,82,2,0 to 118,54,1113,807,18,1934,4,0,59,1503,488,10,296,1642,0,0,1934,116,175,2,293,3,6,61,55,44,38,43,28,11,6,1,2 to 99,40,123,28,102,40,113,140,40,34,0,21,0,0,2,296,177,117,293,3,0,3911,1,4218,3912,296,2,447,397,2020-07-15 20:06:43.975848
077,LIBERTY,2289,7,10,179,698,565,411,278,96,30,7,8,0 to 105,38,207,2074,8,2289,0,0,4,2005,136,4,281,2008,0,0,2289,26,254,1,281,3,4,32,66,58,65,44,7,1,1,0,0 to 85,40,163,104,5,9,8,185,88,10,0,5,0,0,1,281,254,26,281,0,0,2365,0,2648,2365,281,1,157,132,2020-07-15 20:06:43.975848
079,MADISON,1422,72,68,146,172,188,199,203,197,115,56,6,0 to 99,48,898,519,5,1396,26,0,48,959,526,34,402,1019,0,1,1395,244,152,0,396,25,24,51,57,64,67,57,28,11,18,0,0 to 98,42,84,267,22,23,23,318,55,71,0,17,0,1,4,402,154,248,396,6,0,3317,20,3753,3337,402,4,528,428,2020-07-15 20:06:43.975848
081,MANATEE,19700,355,590,1638,2242,2289,2624,3416,3505,2132,805,104,0 to 119,55,11030,8366,304,19412,288,0,1216,17058,2721,55,5564,14130,4,2,19406,2871,2603,38,5512,112,320,891,1022,919,817,672,406,253,151,1,0 to 101,39,2256,450,442,2364,1284,1605,2623,276,5,368,3,2,139,5564,2625,2899,5512,52,0,52479,234,58310,52713,5564,139,474,376,2020-07-15 20:06:43.975848
