COUNTY,COUNTYNAME,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Scrape_Time
047,HAMILTON,75,1,1,11,10,11,7,15,10,7,2,0,0 to 93,50,40,29,6,73,2,0,8,61,12,2,2,72,0,1,73,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,56 to 62,59,2,0,0,0,0,2,0,1,0,0,0,0,0,2,0,2,2,0,0,71,1,75,72,2,0,2,0,2020-04-13 22:12:45.562914
049,HARDEE,77,2,1,9,17,8,11,13,12,3,1,0,0 to 89,47,43,32,2,74,3,0,2,73,3,2,3,74,0,0,74,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,39 to 73,71,1,0,0,0,0,1,0,0,2,0,2,0,0,3,1,2,1,2,0,73,1,77,74,3,0,0,0,2020-04-13 22:12:45.562914
051,HENDRY,219,4,6,14,43,41,23,40,28,12,8,0,1 to 90,46,124,92,3,218,1,0,14,197,26,1,22,197,0,0,218,11,11,0,22,0,1,0,6,5,2,6,2,0,0,0,11 to 72,42,10,4,0,8,6,10,6,9,0,6,0,0,0,22,11,11,22,0,0,196,1,219,197,22,0,47,35,2020-04-13 22:12:45.562914
053,HERNANDO,1099,17,16,81,163,162,181,202,156,88,32,1,0 to 97,50,657,435,7,1086,13,0,44,999,98,35,71,1027,0,1,1085,33,34,0,67,0,0,4,17,7,10,15,13,4,1,0,18 to 85,49,39,3,3,22,8,26,33,22,2,13,2,0,2,71,35,36,67,4,0,1018,9,1099,1027,71,2,29,19,2020-04-13 22:12:45.562914
055,HIGHLANDS,487,11,2,29,71,65,73,79,79,55,21,2,0 to 95,53,279,186,22,478,9,0,20,429,32,15,61,422,2,2,474,28,32,0,60,1,1,4,10,5,7,12,10,10,1,0,0 to 85,56,28,15,15,2,22,30,8,27,1,19,1,0,5,61,33,28,60,1,0,414,8,487,422,61,5,61,21,2020-04-13 22:12:45.562914
057,HILLSBOROUGH,12448,328,292,1149,2272,2162,2057,1898,1333,647,302,8,0 to 119,45,7392,4986,70,12312,136,0,352,11750,438,237,813,11604,26,5,12282,385,389,2,776,9,20,96,134,138,154,129,77,37,19,0,0 to 100,45,384,125,168,99,221,429,126,216,5,127,2,1,16,813,405,406,776,37,0,11506,98,12448,11604,813,16,654,330,2020-04-13 22:12:45.562914
059,HOLMES,93,4,3,8,13,12,19,13,14,5,1,1,0 to 100,48,53,28,12,92,1,0,0,93,3,1,2,86,0,5,87,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,27 to 39,33,2,0,0,0,0,2,0,2,0,0,0,0,0,2,2,0,2,0,0,85,1,93,86,2,0,3,3,2020-04-13 22:12:45.562914
061,INDIAN RIVER,1138,14,17,68,122,102,169,214,239,134,58,1,0 to 105,58,678,436,24,1126,12,0,77,1006,98,51,77,1016,1,44,1083,28,41,0,69,0,1,4,7,4,11,15,20,11,4,0,8 to 94,63,51,4,13,1,4,55,10,36,4,20,1,0,1,77,45,32,69,8,0,1014,2,1138,1016,77,1,194,76,2020-04-13 22:12:45.562914
063,JACKSON,204,4,2,19,36,32,39,32,22,15,3,0,0 to 94,48,118,82,4,198,6,0,18,178,20,16,6,198,0,0,198,5,0,0,5,0,0,0,3,2,1,0,0,0,0,0,28 to 47,35,2,3,0,0,0,5,0,2,0,0,0,0,0,6,1,5,5,1,0,193,5,204,198,6,0,24,17,2020-04-13 22:12:45.562914
065,JEFFERSON,71,2,2,1,8,15,11,18,6,3,4,1,1 to 95,51,44,26,1,69,2,0,2,45,18,3,12,59,0,0,69,5,6,0,11,0,0,0,1,1,1,1,3,2,3,0,29 to 95,67,4,5,1,1,1,7,3,3,1,3,0,0,1,12,7,5,11,1,0,58,1,71,59,12,1,37,24,2020-04-13 22:12:45.562914
