COUNTY,COUNTYNAME,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Scrape_Time
051,HENDRY,33,0,2,1,5,7,4,8,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,7 to 86,49,NA,0,0,17,16,0,33,0,0,3,29,1,0,0,0,0,0,0,0,32,0,32,0,1,4,2,0,0,0,0,0,0,0,32,0,32,32,0,0,3,3,2020-03-28 17:22:43.330393
053,HERNANDO,211,5,8,14,26,25,34,32,38,19,10,0,0,0,2,3,0,0,1,5,1,1,0,0 to 93,51,19 to 85,13,0,122,88,1,204,7,0,53,139,19,9,2,2,10,2,1,0,210,13,197,0,1,36,56,10,13,6,7,13,0,0,190,7,203,197,13,0,20,16,2020-03-28 17:22:43.330403
055,HIGHLANDS,75,2,0,4,16,9,6,13,11,12,2,0,0,0,0,3,1,0,1,1,4,0,0,1 to 89,51,28 to 78,10,0,47,20,8,75,0,0,4,63,8,5,2,3,6,2,2,1,54,10,43,1,21,7,4,3,10,3,6,10,0,0,43,0,53,43,10,1,23,21,2020-03-28 17:22:43.330412
057,HILLSBOROUGH,3160,120,95,302,614,545,459,423,331,185,84,2,2,7,24,43,33,35,25,19,6,1,0,0 to 102,44,0 to 86,189,0,1860,1279,21,3121,39,0,135,2936,89,59,90,46,121,48,26,2,3151,195,2956,0,9,153,84,99,195,99,94,189,6,0,2924,32,3113,2956,195,2,457,149,2020-03-28 17:22:43.330421
059,HOLMES,25,2,2,0,2,3,8,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2 to 79,45,NA,0,0,15,5,5,25,0,0,1,24,0,0,0,0,0,0,0,0,20,0,20,0,5,0,1,0,0,0,0,0,0,0,20,0,20,20,0,0,2,2,2020-03-28 17:22:43.330431
061,INDIAN RIVER,218,4,2,16,14,21,25,50,43,30,12,1,0,0,0,3,0,2,3,4,4,0,0,0 to 105,57,25 to 84,15,0,132,82,4,216,2,0,19,172,27,12,1,3,14,1,1,0,211,16,195,0,7,26,8,12,16,7,9,15,1,0,194,1,209,195,16,0,66,45,2020-03-28 17:22:43.330440
063,JACKSON,68,0,0,9,12,11,8,12,6,6,3,1,0,0,0,1,0,0,0,0,0,0,0,20 to 88,48,33 to 33,0,0,38,23,7,66,2,0,12,44,12,1,0,0,1,0,0,0,61,1,60,0,7,17,5,3,1,1,0,0,1,0,59,1,59,60,1,0,7,4,2020-03-28 17:22:43.330449
065,JEFFERSON,11,2,1,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 to 64,37,NA,0,0,4,7,0,11,0,0,1,10,0,0,0,0,0,0,0,0,11,0,11,0,0,1,0,0,0,0,0,0,0,0,11,0,11,11,0,0,7,1,2020-03-28 17:22:43.330458
067,LAFAYETTE,9,0,0,1,1,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19 to 86,54,NA,0,0,5,4,0,9,0,0,3,6,0,0,0,0,0,0,0,0,9,0,9,0,0,3,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,2020-03-28 17:22:43.330467
069,LAKE,751,22,9,49,70,80,112,128,133,116,31,1,0,0,2,2,4,3,8,8,7,1,0,0 to 99,54,21 to 85,30,0,441,291,19,743,8,0,36,689,26,4,18,13,16,11,8,0,744,35,708,1,7,41,17,21,35,19,16,30,5,0,707,2,737,709,35,0,81,57,2020-03-28 17:22:43.330476
