COUNTY,COUNTYNAME,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Scrape_Time
045,GULF,51,3,2,2,6,7,8,12,8,3,0,0,0,0,0,0,1,0,0,0,0,0,48,1 to 77,42,42 to 42,1,0,30,21,0,49,2,0,20,23,8,0,0,1,1,0,0,0,51,1,50,0,0,15,16,1,1,0,1,1,0,0,48,2,51,50,1,0,5,4,2020-04-04 20:10:00.800183
047,HAMILTON,38,0,1,7,1,8,3,9,1,6,2,0,0,0,0,0,0,0,0,0,0,0,50,11 to 93,NA,NA,0,0,18,18,2,36,2,0,10,27,1,0,0,0,0,0,0,0,36,0,36,0,2,8,1,4,0,0,0,0,0,0,35,1,38,36,0,0,2,0,2020-04-04 20:10:00.800183
049,HARDEE,32,2,1,1,5,3,3,8,8,0,1,0,0,0,0,0,0,0,0,1,0,0,49,0 to 89,73,73 to 73,0,0,19,13,0,30,2,0,1,29,2,0,0,1,0,0,1,0,32,1,31,0,0,1,2,0,1,0,1,0,1,0,30,1,32,31,1,0,0,0,2020-04-04 20:10:00.800183
051,HENDRY,114,0,4,6,19,21,13,22,14,9,6,0,0,0,0,2,2,1,0,1,0,0,50,7 to 90,42,28 to 70,6,0,67,44,3,113,1,0,10,103,1,4,0,2,4,0,2,0,114,6,108,0,0,8,4,2,6,3,3,6,0,0,107,1,114,108,6,0,13,12,2020-04-04 20:10:00.800183
053,HERNANDO,556,10,12,44,78,76,78,112,88,43,15,0,0,0,3,9,3,4,8,9,3,1,50,0 to 97,51,19 to 85,38,0,330,222,4,547,9,0,77,451,28,25,3,12,32,0,8,0,554,40,513,1,2,40,66,35,40,21,19,38,2,0,506,7,556,513,40,0,27,17,2020-04-04 20:10:00.800183
055,HIGHLANDS,228,9,1,11,41,31,30,32,37,26,8,2,1,0,2,6,2,3,3,6,6,1,50,0 to 95,54,0 to 85,29,0,128,78,22,224,4,0,16,200,12,10,3,17,17,4,9,2,222,30,190,2,6,16,27,14,30,18,12,29,1,0,187,3,228,190,30,2,50,31,2020-04-04 20:10:00.800183
057,HILLSBOROUGH,7508,234,183,703,1386,1333,1179,1107,803,399,176,5,4,9,69,90,87,91,75,44,22,6,45,0 to 110,44,0 to 93,484,0,4453,3016,39,7430,78,0,301,7032,175,163,191,143,347,72,78,5,7501,497,6997,7,7,263,225,198,497,255,242,484,13,0,6937,64,7508,7001,497,5,644,321,2020-04-04 20:10:00.800183
059,HOLMES,51,4,2,1,8,4,10,10,7,4,0,1,0,0,0,1,0,0,0,0,0,0,47,0 to 79,27,27 to 27,1,0,31,16,4,51,0,0,1,49,1,0,0,1,1,0,0,0,46,1,45,0,5,0,2,0,1,1,0,1,0,0,45,0,51,45,1,0,3,3,2020-04-04 20:10:00.800183
061,INDIAN RIVER,581,8,9,29,44,56,86,116,125,76,31,1,0,1,2,6,2,9,9,12,8,1,57,0 to 105,57,8 to 88,44,0,348,226,7,571,10,0,56,483,42,24,3,23,37,3,10,0,565,50,515,0,16,51,19,31,50,30,20,44,6,0,513,2,581,515,50,0,108,60,2020-04-04 20:10:00.800183
063,JACKSON,112,0,0,13,23,15,19,18,11,9,3,1,0,0,0,3,1,0,0,0,0,0,47,16 to 88,32,28 to 38,3,0,66,42,4,110,2,0,16,82,14,3,0,1,4,0,0,0,108,4,103,1,4,18,5,8,4,1,3,3,1,0,103,1,112,104,4,0,7,4,2020-04-04 20:10:00.800183
065,JEFFERSON,24,2,2,1,1,3,3,10,0,2,0,0,0,0,0,0,0,0,0,0,1,0,45,1 to 76,76,76 to 76,1,0,9,15,0,24,0,0,2,22,0,0,0,1,0,0,1,0,24,1,23,0,0,1,1,0,1,1,0,1,0,0,23,0,24,23,1,0,7,1,2020-04-04 20:10:00.800183
067,LAFAYETTE,22,1,0,3,2,6,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,46,0 to 86,NA,NA,0,0,11,11,0,22,0,0,5,17,0,0,0,0,0,0,0,0,22,0,22,0,0,4,8,0,0,0,0,0,0,0,22,0,22,22,0,0,0,0,2020-04-04 20:10:00.800183
069,LAKE,1793,59,30,124,249,203,287,281,267,223,68,2,0,0,4,4,9,18,19,24,16,1,51,0 to 101,59,18 to 86,88,0,1054,708,31,1777,16,0,69,1691,33,19,47,29,40,37,18,2,1784,95,1684,5,9,45,49,65,95,46,49,88,7,0,1676,9,1793,1685,95,2,178,136,2020-04-04 20:10:00.800183
071,LEE,3596,53,40,228,491,504,590,614,592,363,119,2,0,1,18,45,41,47,59,71,53,13,52,0 to 100,56,10 to 100,330,0,2095,1440,61,3567,28,1,249,3282,65,109,166,73,138,144,66,11,3577,348,3229,0,19,93,43,229,348,175,170,329,18,1,3222,7,3596,3229,348,11,518,438,2020-04-04 20:10:00.800183
073,LEON,941,29,21,134,168,138,143,149,102,45,12,0,0,0,4,9,12,6,6,4,0,1,44,0 to 95,43,19 to 86,39,0,556,371,14,935,5,1,28,881,32,20,1,21,33,1,8,0,937,42,895,0,4,23,20,26,42,23,19,38,3,1,893,2,941,895,42,0,157,111,2020-04-04 20:10:00.800183
075,LEVY,136,3,7,12,20,17,22,15,23,14,3,0,0,0,0,0,0,0,2,0,0,0,48,0 to 91,62,60 to 64,2,0,90,46,0,136,0,0,18,118,0,1,0,1,1,0,1,0,136,2,134,0,0,7,11,2,2,1,1,2,0,0,134,0,136,134,2,0,7,6,2020-04-04 20:10:00.800183
077,LIBERTY,7,1,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,2 to 76,NA,NA,0,0,4,3,0,7,0,0,0,7,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,0,0,0,2020-04-04 20:10:00.800183
079,MADISON,47,2,0,5,5,5,9,7,8,4,2,0,0,0,2,0,0,1,2,1,0,0,50,2 to 88,46,23 to 66,5,0,30,16,1,46,1,0,8,36,3,3,0,3,5,0,1,0,45,6,39,0,2,6,0,4,6,2,4,5,1,0,39,0,47,39,6,0,21,20,2020-04-04 20:10:00.800183
081,MANATEE,851,14,15,51,98,114,153,156,139,74,35,2,0,2,4,13,14,26,21,29,18,2,52,0 to 100,56,14 to 86,129,0,507,333,11,845,6,0,80,756,15,4,105,20,45,56,28,3,848,129,719,0,3,60,49,32,129,61,68,129,0,0,713,6,851,719,129,3,173,109,2020-04-04 20:10:00.800183
083,MARION,1116,21,17,97,122,138,168,190,210,103,48,2,0,0,3,7,6,10,9,6,0,1,52,0 to 99,48,19 to 88,39,0,664,424,28,1111,5,0,54,1012,50,31,1,10,35,1,6,0,941,42,899,0,175,218,328,62,42,19,23,39,3,0,898,1,1116,899,42,0,90,80,2020-04-04 20:10:00.800183
085,MARTIN,620,11,6,31,65,73,93,106,124,75,36,0,0,0,2,3,3,11,14,9,11,0,55,1 to 99,59,20 to 84,50,0,345,255,20,617,3,0,30,565,25,23,11,19,34,8,11,0,614,53,561,0,6,26,17,24,53,31,22,50,3,0,561,0,620,561,53,0,58,51,2020-04-04 20:10:00.800183
087,MONROE,448,5,4,29,58,73,85,94,66,22,12,0,0,0,5,7,4,10,7,4,5,0,50,0 to 92,48,19 to 80,37,0,256,188,4,428,20,0,55,341,52,14,18,10,32,3,7,2,354,42,312,0,94,94,124,29,42,21,20,37,5,0,299,13,448,312,42,2,121,108,2020-04-04 20:10:00.800183
089,NASSAU,350,3,6,27,58,55,51,68,44,31,7,0,0,0,1,3,3,2,4,6,2,0,49,1 to 92,55,24 to 84,21,0,206,124,20,347,3,0,16,318,16,7,5,9,17,0,4,0,350,21,329,0,0,18,8,10,21,10,11,21,0,0,326,3,350,329,21,0,21,18,2020-04-04 20:10:00.800183
091,OKALOOSA,491,22,18,32,91,82,74,82,51,30,8,1,1,0,2,12,8,8,8,9,10,1,45,0 to 93,52,3 to 87,56,0,290,185,16,486,4,1,75,375,41,34,3,22,51,0,8,1,449,59,390,0,42,55,18,69,59,31,28,55,3,1,389,1,491,390,59,1,232,152,2020-04-04 20:10:00.800183
093,OKEECHOBEE,100,1,4,9,11,15,11,21,13,11,3,1,0,0,0,1,1,0,0,1,0,0,51,4 to 97,49,33 to 74,2,0,48,44,8,97,3,0,24,69,7,0,3,0,2,0,1,0,98,3,95,0,2,27,2,1,3,2,1,2,1,0,93,2,100,95,3,0,2,1,2020-04-04 20:10:00.800183
095,ORANGE,6811,268,199,616,1263,1238,1123,942,658,346,157,1,8,6,52,115,120,139,116,59,30,12,44,0 to 99,47,0 to 91,614,0,3905,2877,29,6647,163,1,211,6481,119,113,372,172,223,347,87,8,6799,657,6139,3,12,202,114,131,657,352,302,613,43,1,6022,120,6811,6142,657,8,554,394,2020-04-04 20:10:00.800183
097,OSCEOLA,1486,24,40,123,275,283,246,219,172,83,18,3,1,2,14,26,37,45,45,32,13,1,45,0 to 97,50,0 to 91,212,0,861,615,10,1476,10,0,236,1129,121,77,48,91,114,44,58,4,1403,216,1187,0,83,185,52,168,216,115,101,212,4,0,1183,4,1486,1187,216,4,201,124,2020-04-04 20:10:00.800183
099,PALM BEACH,5243,80,86,350,740,746,841,825,764,532,258,21,4,2,56,94,108,138,147,177,159,68,52,0 to 110,58,0 to 99,923,0,2967,2201,75,5188,53,2,314,4822,107,80,677,197,173,632,149,35,5158,954,4201,3,85,140,526,194,954,490,455,921,31,2,4180,21,5243,4201,954,35,650,536,2020-04-04 20:10:00.800183
101,PASCO,2062,38,54,128,251,327,370,388,307,151,45,3,1,1,8,10,19,17,17,15,2,0,50,0 to 95,47,1 to 82,86,0,1268,788,6,2043,19,0,112,1888,62,36,27,27,64,8,18,2,2039,90,1948,1,23,87,58,69,90,46,44,86,4,0,1933,15,2062,1948,90,2,246,160,2020-04-04 20:10:00.800183
103,PINELLAS,5760,90,89,357,848,792,930,1040,896,478,227,13,0,3,25,60,39,63,78,52,19,3,51,0 to 104,50,6 to 95,314,0,3373,2366,21,5661,99,0,412,5097,251,171,77,94,228,54,60,7,5684,342,5331,11,76,418,73,137,342,184,158,314,28,0,5262,70,5760,5332,342,7,305,235,2020-04-04 20:10:00.800183
105,POLK,2125,45,40,158,300,321,337,331,320,208,65,0,1,4,6,18,24,23,27,25,12,2,50,0 to 98,51,3 to 88,142,0,1242,853,30,2117,8,0,153,1895,77,48,26,68,69,21,52,4,2107,142,1963,2,18,140,46,74,142,65,76,142,0,0,1955,8,2125,1963,142,4,192,152,2020-04-04 20:10:00.800183
107,PUTNAM,471,13,9,39,68,64,71,89,57,45,16,0,0,1,2,0,2,5,2,5,1,0,49,0 to 97,51,14 to 82,18,0,275,173,23,470,1,0,98,361,12,12,1,5,14,0,4,1,466,18,447,1,5,54,20,89,18,9,9,18,0,0,447,1,471,448,18,1,34,33,2020-04-04 20:10:00.800183
113,SANTA ROSA,620,39,28,68,109,102,105,64,69,30,6,0,2,0,9,8,6,6,9,7,3,0,41,0 to 98,45,0 to 84,50,0,369,249,2,620,0,0,39,552,29,23,15,12,42,0,8,2,620,50,569,1,0,45,4,22,50,30,20,50,0,0,570,0,620,570,50,2,416,174,2020-04-04 20:10:00.800183
115,SARASOTA,1209,19,16,52,109,118,155,180,213,209,138,0,1,0,4,6,10,16,17,31,30,14,59,0 to 115,64,4 to 99,116,0,670,529,10,1176,33,0,396,762,51,46,22,61,69,10,50,7,1199,129,1069,1,10,304,82,96,129,58,71,116,13,0,1051,19,1209,1070,129,7,217,128,2020-04-04 20:10:00.800183
117,SEMINOLE,1878,37,38,171,338,353,315,265,229,69,62,1,0,0,15,30,23,40,28,35,3,4,46,0 to 104,49,19 to 100,174,0,1122,738,18,1871,7,0,121,1689,68,64,35,79,109,32,37,1,1862,178,1683,1,16,109,55,90,178,82,96,174,4,0,1680,3,1878,1683,178,1,295,224,2020-04-04 20:10:00.800183
109,ST. JOHNS,1924,36,46,132,252,341,363,335,250,122,45,2,0,3,8,12,11,30,35,27,5,1,49,0 to 96,53,9 to 91,129,0,1062,786,76,1918,6,0,160,1689,75,65,32,35,82,26,24,2,1882,132,1748,2,42,132,120,104,132,70,61,129,3,0,1747,2,1924,1749,132,2,134,115,2020-04-04 20:10:00.800183
111,ST. LUCIE,967,23,31,62,119,135,159,156,147,95,40,0,0,0,4,6,6,10,19,18,9,4,51,0 to 98,58,18 to 95,74,0,547,373,47,962,5,0,85,849,33,40,1,35,51,1,24,3,947,76,871,0,20,80,14,40,76,35,41,74,2,0,868,3,967,871,76,3,73,68,2020-04-04 20:10:00.800183
119,SUMTER,903,10,10,12,22,27,58,130,396,219,19,0,0,0,1,0,4,5,8,30,21,4,66,0 to 96,68,18 to 92,73,0,509,375,19,903,0,0,64,803,36,38,6,29,46,2,25,3,892,73,814,5,11,86,27,51,73,40,32,73,0,0,818,0,903,818,73,3,37,34,2020-04-04 20:10:00.800183
121,SUWANNEE,144,2,2,12,19,15,24,24,25,17,4,0,0,0,3,3,3,3,2,0,3,0,52,1 to 92,46,21 to 80,17,0,104,38,2,144,0,0,54,86,4,11,3,3,13,0,4,0,141,17,124,0,3,37,19,24,17,3,14,17,0,0,124,0,144,124,17,0,7,5,2020-04-04 20:10:00.800183
123,TAYLOR,46,0,0,2,5,9,8,14,5,3,0,0,0,0,0,0,0,0,0,0,0,0,51,19 to 81,NA,NA,0,0,26,20,0,46,0,0,5,40,1,0,0,0,0,0,0,0,46,0,46,0,0,6,0,0,0,0,0,0,0,0,46,0,46,46,0,0,3,3,2020-04-04 20:10:00.800183
125,UNION,64,4,1,4,7,16,10,8,8,4,2,0,0,0,0,0,0,0,1,0,0,0,46,1 to 86,60,60 to 60,1,0,31,30,3,64,0,0,6,55,3,0,1,0,1,0,0,0,62,1,61,0,2,8,5,0,1,0,1,1,0,0,61,0,64,61,1,0,4,3,2020-04-04 20:10:00.800183
999,Unknown,80,0,0,5,11,4,12,8,15,11,12,2,0,0,2,2,0,0,2,1,1,2,60,19 to 96,55,23 to 87,7,0,37,41,2,63,17,0,0,80,0,0,10,0,0,10,0,0,37,10,27,0,43,0,0,0,10,3,7,7,3,0,16,11,80,27,10,0,13,11,2020-04-04 20:10:00.800183
127,VOLUSIA,1315,25,31,79,195,191,190,232,224,111,36,1,0,0,9,20,19,18,20,34,12,2,50,0 to 94,53,17 to 89,131,0,777,527,11,1308,7,0,72,1166,77,59,35,40,67,34,33,2,1312,134,1177,1,3,50,33,76,134,66,67,131,3,0,1174,4,1315,1178,134,2,285,189,2020-04-04 20:10:00.800183
129,WAKULLA,92,1,3,8,16,13,20,14,9,4,3,1,0,0,0,1,0,3,0,1,0,0,46,4 to 93,49,27 to 65,4,0,54,38,0,91,1,0,10,81,1,2,0,3,1,0,4,0,92,5,87,0,0,4,0,7,5,2,3,4,1,0,87,0,92,87,5,0,25,15,2020-04-04 20:10:00.800183
131,WALTON,168,6,3,15,16,25,34,30,26,10,3,0,0,0,3,2,1,5,3,2,4,1,48,0 to 97,54,20 to 90,14,0,94,71,3,157,11,0,38,102,28,13,1,7,15,1,5,0,168,21,147,0,0,16,38,12,21,8,13,14,7,0,143,4,168,147,21,0,23,17,2020-04-04 20:10:00.800183
133,WASHINGTON,68,0,1,3,10,17,8,14,9,5,1,0,0,0,0,0,0,1,0,0,0,0,50,5 to 86,53,53 to 53,1,0,40,21,7,68,0,0,18,44,6,0,1,0,0,0,1,0,65,1,64,0,3,20,2,2,1,1,0,1,0,0,64,0,68,64,1,0,9,9,2020-04-04 20:10:00.800183
001,ALACHUA,2228,76,33,347,495,338,280,268,223,90,40,38,1,0,24,28,14,17,19,14,4,1,42,0 to 118,43,2 to 91,115,0,1336,854,38,2188,40,0,165,2027,36,41,57,25,53,54,16,0,2216,123,2089,4,12,84,75,21,123,54,68,115,8,0,2058,32,2228,2090,123,0,62,50,2020-04-05 20:15:20.752265
003,BAKER,138,5,5,10,21,14,31,15,11,16,10,0,0,0,1,0,0,0,3,1,4,3,49,0 to 99,72,24 to 97,12,0,90,37,11,137,1,0,45,90,3,10,1,1,10,0,2,0,137,12,125,0,1,14,17,16,12,4,8,12,0,0,124,1,138,125,12,0,1,0,2020-04-05 20:15:20.752265
005,BAY,302,4,4,21,52,45,67,56,25,22,6,0,0,0,1,4,5,6,4,3,0,1,48,0 to 99,49,21 to 93,23,0,166,125,11,300,2,0,33,243,26,11,2,11,19,0,5,1,300,24,276,0,2,21,27,12,24,16,8,23,1,0,275,1,302,276,24,1,29,27,2020-04-05 20:15:20.752265
007,BRADFORD,144,0,0,11,15,16,16,22,18,29,15,2,0,0,0,0,1,0,0,1,2,3,59,19 to 100,77,36 to 100,7,0,88,48,8,144,0,0,32,112,0,2,4,1,4,1,2,0,141,7,134,0,3,10,21,15,7,2,5,7,0,0,134,0,144,134,7,0,27,16,2020-04-05 20:15:20.752265
009,BREVARD,1286,19,23,71,179,180,176,271,195,115,56,1,1,1,6,9,10,13,21,7,8,3,52,0 to 99,51,1 to 94,73,0,755,504,27,1279,7,0,89,1162,35,30,16,33,43,14,22,0,1283,79,1204,0,3,60,46,23,79,43,36,73,6,0,1203,1,1286,1204,79,0,200,165,2020-04-05 20:15:20.752265
011,BROWARD,17101,148,198,1164,2925,3161,3261,2893,1946,934,451,20,2,10,156,294,320,347,357,234,114,51,48,0 to 106,49,0 to 97,1842,0,8598,7024,1479,16950,151,0,1132,15402,567,596,735,555,977,670,239,40,17034,1886,15134,14,67,646,892,870,1886,1025,828,1842,44,0,15036,103,17101,15139,1886,40,936,699,2020-04-05 20:15:20.752265
013,CALHOUN,30,0,1,3,5,5,1,4,5,5,1,0,0,0,0,1,0,0,0,1,0,1,51,14 to 88,62,26 to 88,3,0,15,13,2,30,0,0,1,26,3,0,1,2,0,1,2,0,30,3,27,0,0,2,2,0,3,1,1,3,0,0,27,0,30,27,3,0,7,6,2020-04-05 20:15:20.752265
015,CHARLOTTE,563,10,10,29,47,57,83,97,122,64,42,2,0,0,2,3,1,9,7,14,6,5,56,0 to 98,63,24 to 94,47,0,324,229,10,558,5,0,32,525,6,14,22,11,19,17,11,1,559,47,512,0,4,17,1,24,47,18,29,47,0,0,508,4,563,512,47,1,75,64,2020-04-05 20:15:20.752265
017,CITRUS,548,10,8,33,61,69,72,102,101,66,23,3,0,0,4,5,5,4,11,7,5,2,54,0 to 97,55,17 to 88,43,0,298,177,73,546,2,0,99,432,17,18,12,13,25,5,13,2,543,43,499,1,5,29,61,45,43,21,22,43,0,0,498,2,548,500,43,2,159,75,2020-04-05 20:15:20.752265
019,CLAY,1097,10,22,69,144,197,233,188,136,67,25,6,0,0,5,8,12,21,14,11,3,5,49,0 to 99,52,18 to 95,79,0,622,423,52,1095,2,0,109,963,25,39,8,32,52,6,21,6,1093,79,1014,0,4,55,26,61,79,39,40,79,0,0,1012,2,1097,1014,79,6,42,30,2020-04-05 20:15:20.752265
021,COLLIER,2205,18,31,143,280,271,294,371,384,303,108,2,2,1,17,34,15,26,50,39,39,8,54,0 to 103,55,0 to 94,191,0,1263,929,13,2106,99,0,266,1828,111,83,88,60,139,61,31,2,2181,231,1950,0,24,140,167,98,231,120,110,191,40,0,1892,58,2205,1950,231,2,328,309,2020-04-05 20:15:20.752265
023,COLUMBIA,256,14,18,21,25,37,31,47,40,15,5,3,1,0,0,2,1,2,5,2,0,0,46,0 to 98,48,1 to 70,13,0,141,109,6,253,3,0,71,175,10,2,11,0,11,0,2,0,240,13,226,1,16,84,43,27,13,6,7,13,0,0,226,1,256,227,13,0,7,6,2020-04-05 20:15:20.752265
025,MIAMI-DADE,23083,281,356,1484,3912,3997,4250,3654,2917,1498,691,43,13,28,290,757,726,829,667,482,247,98,48,0 to 115,48,0 to 103,4103,0,11966,10760,357,22958,124,1,839,21876,368,319,3197,630,727,3168,251,31,22945,4146,18779,20,138,410,620,746,4146,2231,1859,4102,43,1,18708,78,23083,18786,4146,31,2076,1731,2020-04-05 20:15:20.752265
027,DESOTO,175,4,1,8,30,19,17,32,25,29,10,0,0,0,0,5,0,0,3,0,2,2,55,0 to 92,56,27 to 92,12,0,103,70,2,174,1,0,52,122,1,6,1,5,7,0,5,2,172,12,160,0,3,8,71,19,12,9,3,12,0,0,159,1,175,160,12,2,3,0,2020-04-05 20:15:20.752265
029,DIXIE,67,3,3,4,6,18,5,8,14,5,0,1,0,0,0,0,0,0,0,1,0,0,47,0 to 82,66,66 to 66,1,0,36,31,0,67,0,0,7,60,0,0,0,1,0,0,1,0,67,1,66,0,0,7,2,0,1,0,1,1,0,0,66,0,67,66,1,0,0,0,2020-04-05 20:15:20.752265
031,DUVAL,7338,109,127,551,1363,1275,1241,1116,771,421,346,18,2,3,31,63,65,70,72,49,35,22,48,0 to 103,51,1 to 97,401,0,4202,2726,410,7300,38,0,162,7134,42,34,337,42,68,300,45,9,7205,413,6790,2,133,229,101,168,413,183,209,401,12,0,6767,25,7338,6792,413,9,304,261,2020-04-05 20:15:20.752265
033,ESCAMBIA,1719,66,55,190,330,264,277,258,168,88,23,0,1,1,23,23,21,18,16,13,8,1,43,0 to 100,43,2 to 94,118,0,1052,658,9,1540,179,0,71,1607,41,61,47,17,81,35,9,1,1717,125,1592,0,2,62,48,22,125,65,60,118,7,0,1420,172,1719,1592,125,1,108,78,2020-04-05 20:15:20.752265
035,FLAGLER,409,4,3,19,45,58,61,76,91,39,12,1,0,0,1,3,2,4,11,8,2,0,54,0 to 93,57,17 to 77,29,0,227,154,28,405,4,0,25,363,21,21,2,8,25,1,5,1,409,31,376,2,0,7,54,17,31,16,15,29,2,0,374,2,409,376,31,1,58,32,2020-04-05 20:15:20.752265
037,FRANKLIN,29,0,1,3,3,1,4,9,4,4,0,0,0,0,0,1,0,0,1,0,0,0,53,7 to 84,42,25 to 60,1,0,13,15,1,28,1,0,4,22,3,2,0,0,2,0,0,0,29,2,27,0,0,7,2,0,2,0,2,1,1,0,27,0,29,27,2,0,3,3,2020-04-05 20:15:20.752265
039,GADSDEN,78,4,0,4,12,7,21,10,12,6,1,1,0,0,0,2,0,1,0,0,1,0,49,0 to 90,50,32 to 81,4,0,50,27,1,77,0,1,5,68,5,2,2,0,3,1,0,0,78,4,74,0,0,2,5,4,4,2,2,3,0,1,74,0,78,74,4,0,11,11,2020-04-05 20:15:20.752265
041,GILCHRIST,63,3,1,9,7,13,7,7,7,7,2,0,0,0,0,0,0,0,0,0,0,0,45,0 to 89,NA,NA,0,0,36,27,0,63,0,0,5,58,0,0,0,0,0,0,0,0,63,0,63,0,0,1,2,0,0,0,0,0,0,0,63,0,63,63,0,0,1,1,2020-04-05 20:15:20.752265
043,GLADES,15,0,0,0,3,2,3,1,3,1,2,0,0,0,0,1,0,0,0,1,1,1,55,26 to 90,67,30 to 89,4,0,5,9,1,15,0,0,4,11,0,0,1,3,1,0,3,1,15,4,11,0,0,1,1,2,4,3,1,4,0,0,11,0,15,11,4,1,2,1,2020-04-05 20:15:20.752265
045,GULF,52,3,2,2,6,8,8,12,8,3,0,0,0,0,0,0,1,0,0,0,0,0,47,1 to 77,42,42 to 42,1,0,30,22,0,50,2,0,21,23,8,0,0,1,1,0,0,0,52,1,51,0,0,15,17,1,1,0,1,1,0,0,49,2,52,51,1,0,5,4,2020-04-05 20:15:20.752265
047,HAMILTON,42,0,1,7,1,8,5,11,2,5,2,0,0,0,0,0,0,0,0,0,0,0,51,11 to 93,NA,NA,0,0,20,19,3,40,2,0,9,32,1,0,0,0,0,0,0,0,41,0,41,0,1,8,1,4,0,0,0,0,0,0,40,1,42,41,0,0,2,0,2020-04-05 20:15:20.752265
049,HARDEE,41,2,1,1,7,5,5,9,9,1,1,0,0,0,0,0,1,0,0,1,0,0,49,0 to 89,56,39 to 73,1,0,23,17,1,39,2,0,1,38,2,1,0,1,1,0,1,0,41,2,39,0,0,2,2,0,2,0,1,1,1,0,38,1,41,39,2,0,0,0,2020-04-05 20:15:20.752265
051,HENDRY,123,2,4,7,22,21,14,24,14,9,6,0,0,0,0,3,2,1,0,1,0,0,49,1 to 90,41,28 to 70,7,0,71,49,3,122,1,0,11,111,1,4,0,3,4,0,3,0,123,7,116,0,0,9,4,2,7,4,3,7,0,0,115,1,123,116,7,0,13,12,2020-04-05 20:15:20.752265
053,HERNANDO,616,10,12,50,89,81,90,121,98,47,18,0,0,0,3,9,3,5,9,9,4,1,50,0 to 97,52,19 to 85,41,0,371,241,4,607,9,0,77,511,28,25,6,12,32,3,8,0,614,43,570,1,2,40,67,35,43,21,22,41,2,0,563,7,616,570,43,0,27,17,2020-04-05 20:15:20.752265
055,HIGHLANDS,272,11,1,16,44,37,39,40,41,31,10,2,1,0,3,7,2,4,4,6,7,1,50,0 to 95,53,0 to 85,34,0,152,98,22,268,4,0,16,244,12,11,6,18,20,5,10,2,269,35,232,2,3,16,64,17,35,21,14,34,1,0,229,3,272,232,35,2,47,27,2020-04-05 20:15:20.752265
057,HILLSBOROUGH,8122,245,202,772,1484,1436,1292,1207,868,424,187,5,5,11,71,95,94,102,79,48,25,6,45,0 to 110,44,0 to 93,521,0,4826,3257,39,8036,86,0,314,7623,185,169,216,151,368,85,83,5,8116,536,7573,7,6,272,230,215,536,275,261,521,15,0,7507,70,8122,7577,536,5,645,322,2020-04-05 20:15:20.752265
059,HOLMES,54,4,2,3,8,4,10,10,7,4,1,1,0,0,0,1,0,0,0,0,0,0,47,0 to 100,27,27 to 27,1,0,32,17,5,54,0,0,1,52,1,0,0,1,1,0,0,0,51,1,50,0,3,0,2,0,1,1,0,1,0,0,50,0,54,50,1,0,3,3,2020-04-05 20:15:20.752265
061,INDIAN RIVER,636,8,9,35,55,61,93,125,137,79,33,1,0,1,2,6,2,10,11,13,8,2,56,0 to 105,57,8 to 94,49,0,380,248,8,626,10,0,59,532,45,24,3,28,40,2,13,0,621,55,566,0,15,54,18,33,55,33,22,49,6,0,564,2,636,566,55,0,117,69,2020-04-05 20:15:20.752265
063,JACKSON,113,1,0,12,22,16,20,19,12,9,2,0,0,0,0,3,1,0,0,0,0,0,47,2 to 86,32,28 to 38,3,0,69,42,2,110,3,0,18,79,16,3,0,1,4,0,0,0,112,4,107,1,1,18,13,8,4,1,3,3,1,0,106,2,113,108,4,0,8,2,2020-04-05 20:15:20.752265
065,JEFFERSON,32,2,2,1,2,4,5,11,1,3,1,0,0,0,0,0,0,0,0,0,1,0,48,1 to 93,76,76 to 76,1,0,13,15,4,32,0,0,6,26,0,0,0,1,0,0,1,0,26,1,25,0,6,1,5,2,1,1,0,1,0,0,25,0,32,25,1,0,8,2,2020-04-05 20:15:20.752265
067,LAFAYETTE,23,1,0,3,2,6,2,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,48,0 to 86,NA,NA,0,0,12,11,0,23,0,0,5,18,0,0,0,0,0,0,0,0,23,0,23,0,0,4,8,0,0,0,0,0,0,0,23,0,23,23,0,0,0,0,2020-04-05 20:15:20.752265
