Female,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 5 to 9 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over,Female: Under 5 years,Male,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 5 to 9 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Male: Under 5 years,Total,state_fips,state
5176849,354043,206343,140669,75420,72232,207386,348319,349832,347763,361101,358119,340155,361883,331842,122025,169835,104843,135028,173444,120534,86400,86142,323491,4922471,356987,214171,149344,79306,74337,215989,345707,335122,324493,342239,343239,362535,340625,303635,109836,147552,92193,116941,143107,91023,56634,40006,337450,10099320,13,GA
703803,40789,23591,15030,8164,8134,28430,48866,48462,43677,43089,44209,40818,46925,48281,18543,26372,16926,21743,26699,18821,17313,24195,44726,709870,42878,24474,16797,11126,11674,33157,54785,51136,44315,45159,44447,44021,46869,46363,19162,24671,16792,20748,23564,16261,11150,13402,46919,1413673,15,HI
815638,59972,34698,22205,11743,11277,30218,52734,52869,49177,49867,47933,59474,52092,52611,20549,28525,17897,22612,30223,21033,15401,16455,56073,819845,63203,36789,22642,11934,11537,35001,54240,54435,53019,48371,48507,63121,51252,49215,20505,28359,18120,22862,27426,18939,12222,10156,57990,1635483,16,ID
6541224,417184,255035,167960,88219,90762,261676,440623,443426,417582,420620,433245,406002,462938,444516,166337,221899,135306,170843,230977,173922,137340,167980,386832,6310460,433141,265587,177077,93019,92459,271599,451382,444848,416098,418066,425138,423475,447134,418778,155332,206225,120685,149494,192932,130990,93075,80553,403373,12851684,17,IL
3344256,219506,133376,90946,51154,50603,133666,211008,210483,202776,208221,214538,215528,234785,230461,85070,115823,72956,92044,120459,91083,71002,83775,204993,3245322,227010,139071,95685,51231,51327,143287,213314,210903,202924,208123,213177,227477,228785,217747,81208,110018,67015,80389,102983,70263,47898,40456,215031,6589578,18,IN
1563601,99256,59678,44670,23926,22785,63976,93413,97563,91254,88739,94286,99949,108288,106948,41857,55524,34872,42987,57924,48794,38760,52169,95983,1542988,104387,62481,48195,25668,24242,66773,98673,101628,93193,91438,96256,104895,107318,105000,41207,55474,32566,39550,51961,38544,27100,25554,100885,3106589,19,IA
1456380,98611,57862,39771,21548,21506,59716,93022,95244,86020,84362,86650,98831,99133,97322,37657,49998,30329,37411,50846,39693,33179,40625,97044,1441912,102041,61082,42725,24171,23440,65573,97980,98081,89387,85834,87581,104005,96825,96554,33441,47877,29102,34944,43933,31632,22811,21022,101871,2898292,20,KS
2239244,139441,83731,57437,32080,32324,85768,140562,140971,137236,142304,148575,137648,161731,157371,59696,81618,52131,66325,86244,64319,47502,50821,133409,2172745,147445,87958,59854,33256,34575,92432,142822,142473,137521,143699,145975,143442,155508,148554,53822,76635,47799,57710,74483,48915,31815,24936,141116,4411989,21,KY
2373986,150008,90661,58771,35757,35632,98944,170262,163843,144702,142987,148834,153849,164657,162855,60512,81420,49305,63461,86940,61583,48804,48545,151654,2271684,157523,93769,62901,36920,36798,99946,169347,162758,144108,137510,142660,158955,154526,149898,56020,75355,46914,55859,69420,48180,30275,24439,157603,4645670,22,LA
678579,36263,23388,16642,9023,7857,21502,38679,38131,36688,42415,47761,34739,54341,55715,21733,28997,18728,23278,30189,22463,18051,20197,31799,651344,37303,24593,17585,8806,8180,23761,38551,37282,35594,40913,45819,38069,52375,53356,19082,27383,17809,22530,26944,18303,12824,10935,33347,1329923,23,ME
3073168,184756,113264,77915,38548,39244,118771,207811,206948,195323,200184,221033,182580,234810,214349,79801,110159,68000,83413,106764,77444,60322,71627,180102,2886734,190220,117618,80957,42064,41699,120255,206954,198879,182947,190003,204655,191821,216462,197157,70635,94479,56978,72844,87900,58628,40221,35909,187449,5959902,24,MD
3472772,195476,122753,106014,53253,51993,140055,239913,225591,203326,225233,245541,184318,259933,244384,90237,125147,76658,96159,129717,93718,80791,104753,177809,3269371,205750,128825,103553,52377,50709,143640,239400,221195,197194,212757,232575,189820,246732,228079,83336,112745,68622,84901,106534,71962,52760,50104,185801,6742143,25,MA
5039715,314651,197638,135758,74455,74575,203711,304082,296463,288704,310837,336192,295998,371553,372902,137044,191638,118261,148033,193163,143656,115304,135777,279320,4869885,326848,207202,141974,78686,76071,213726,312873,294174,282845,306332,329761,311461,359045,350962,132845,176931,108882,134497,167808,115095,78312,68910,294645,9909600,26,MI
2740711,174889,104222,70743,35984,36475,105503,179358,187182,164802,166653,177704,177033,200218,192572,70479,94835,57234,71514,95790,72968,58946,75046,170561,2710157,182018,109365,73162,36888,37730,110151,186133,192368,171231,168430,179414,185771,199124,190741,67293,94192,54756,67010,85356,58792,42428,39565,178239,5450868,27,MN
1538923,102044,60903,44060,23358,24247,59844,98827,98436,93452,97112,96362,101694,105089,103838,37604,53923,33156,43048,57472,43753,31537,33955,95209,1450269,106059,62941,45322,25049,23083,62311,97476,94857,87979,92847,90844,106204,97169,94068,34563,48605,30683,37861,47037,32933,20454,14743,97181,2989192,28,MS
3086334,191084,116392,78323,44089,44186,122769,200586,199552,182006,185611,194708,190877,221145,218877,78872,112034,69137,88511,121523,91317,71886,80511,182338,2973317,201323,122377,83436,48246,44496,125605,201748,198343,183101,180516,190154,199061,214868,202644,76524,102154,61929,79717,103280,71966,48871,41286,191672,6059651,29,MO
