# Cases Race/Ethnicity: Hispanic,# Cases Race/Ethnicity: NH American Indian or Alaskan Native,# Cases Race/Ethnicity: NH Asian or Pacific Islander,# Cases Race/Ethnicity: NH Black,# Cases Race/Ethnicity: NH Multiracial,# Cases Race/Ethnicity: NH Other,# Cases Race/Ethnicity: NH White,# Cases Race/Ethnicity: Unknown Race,# Deaths Race/Ethnicity: Hispanic,# Deaths Race/Ethnicity: NH American Indian or Alaskan Native,# Deaths Race/Ethnicity: NH Asian or Pacific Islander,# Deaths Race/Ethnicity: NH Black,# Deaths Race/Ethnicity: NH Multiracial,# Deaths Race/Ethnicity: NH Other,# Deaths Race/Ethnicity: NH White,# Deaths Race/Ethnicity: Unknown Race,Reported Date
10575,53,790,7181,195,351,19122,16059,399,2,48,661,35,21,3273,41,2020-09-10 00:00:00
10735,53,806,7233,231,381,19266,16190,399,2,48,661,35,21,3278,41,2020-09-13 00:00:00
10763,53,807,7238,231,381,19288,16270,399,2,48,661,35,21,3278,41,2020-09-14 00:00:00
10813,53,811,7263,236,384,19362,16244,400,2,48,661,35,21,3279,41,2020-09-15 00:00:00
10842,53,813,7295,238,394,19413,16338,400,2,48,661,35,21,3280,41,2020-09-16 00:00:00
10887,53,815,7306,239,396,19472,16359,400,2,48,662,35,21,3283,41,2020-09-17 00:00:00
11006,54,819,7331,257,447,19581,16529,400,2,49,662,35,21,3285,41,2020-09-20 00:00:00
11017,54,820,7333,261,458,19597,16620,400,2,49,662,35,21,3286,41,2020-09-21 00:00:00
11067,55,825,7351,265,462,19676,16614,400,2,49,662,35,21,3287,41,2020-09-22 00:00:00
11079,57,827,7335,277,478,19650,16769,400,2,49,662,35,21,3289,41,2020-09-23 00:00:00
11132,57,832,7368,285,486,19768,16659,400,2,49,662,35,21,3290,42,2020-09-24 00:00:00
11119,56,835,7300,322,504,19653,17358,400,2,49,662,35,21,3291,43,2020-09-27 00:00:00
11256,57,844,7413,330,537,19959,16933,400,2,49,662,35,21,3294,42,2020-09-28 00:00:00
11307,58,843,7418,373,557,19985,17009,401,2,49,662,35,21,3296,42,2020-09-29 00:00:00
11336,58,846,7426,386,566,20040,17084,401,2,49,665,35,21,3296,42,2020-09-30 00:00:00
11391,58,850,7457,406,617,20199,17319,401,2,49,665,35,21,3298,42,2020-10-01 00:00:00
11494,57,858,7486,432,667,20342,17784,401,2,49,666,35,21,3301,42,2020-10-04 00:00:00
11524,58,861,7496,435,677,20352,17838,401,2,49,667,35,21,3304,42,2020-10-05 00:00:00
11538,58,863,7501,439,684,20368,17913,401,2,49,667,35,21,3305,42,2020-10-06 00:00:00
11632,58,870,7527,442,708,20487,18024,401,2,49,667,35,21,3310,42,2020-10-07 00:00:00
11714,58,875,7550,446,712,20570,18113,403,2,49,668,35,21,3310,42,2020-10-08 00:00:00
11991,64,891,7686,489,788,21055,18413,403,2,49,668,35,21,3312,42,2020-10-11 00:00:00
12034,64,892,7699,494,793,21146,18575,403,2,49,668,35,21,3313,42,2020-10-12 00:00:00
12092,65,897,7715,507,835,21229,18521,403,2,49,668,36,21,3316,42,2020-10-13 00:00:00
12146,67,899,7744,510,839,21341,18482,404,2,49,668,36,21,3318,42,2020-10-14 00:00:00
12235,69,914,7767,517,846,21505,18977,404,2,49,668,36,21,3320,42,2020-10-15 00:00:00
12342,71,920,7853,536,925,21877,19497,404,2,49,669,36,21,3331,42,2020-10-18 00:00:00
12410,71,926,7899,541,935,22039,19634,405,2,49,668,36,21,3335,43,2020-10-19 00:00:00
12502,70,933,7925,552,948,22146,19795,405,2,49,670,37,21,3340,43,2020-10-20 00:00:00
12595,71,933,7960,563,974,22296,19981,405,2,49,670,37,21,3342,43,2020-10-21 00:00:00
12662,72,939,7983,568,1014,22435,20379,405,2,50,670,37,22,3348,43,2020-10-22 00:00:00
13065,74,954,8148,588,1085,23011,21174,406,2,50,672,37,22,3357,43,2020-10-25 00:00:00
13155,75,957,8172,596,1102,23162,21418,406,2,50,673,39,22,3360,43,2020-10-26 00:00:00
13305,75,968,8210,596,1115,23360,21498,410,2,50,674,39,22,3363,44,2020-10-27 00:00:00
13658,76,980,8278,604,1139,23749,21962,411,2,50,674,39,22,3367,44,2020-10-28 00:00:00
13807,77,994,8329,616,1183,23943,22258,412,2,50,674,39,22,3373,44,2020-10-29 00:00:00
14409,88,1009,8507,649,1261,24588,23347,413,2,51,676,39,22,3380,44,2020-11-01 00:00:00
14496,88,1017,8542,653,1282,24746,24019,415,2,51,678,39,22,3384,44,2020-11-02 00:00:00
14664,88,1026,8562,675,1294,24962,24102,417,2,51,679,39,22,3391,44,2020-11-03 00:00:00
14973,91,1040,8669,722,1370,25583,24612,417,2,51,681,39,22,3399,45,2020-11-04 00:00:00
15125,94,1042,8718,738,1421,25877,25110,419,2,51,682,39,23,3410,45,2020-11-05 00:00:00
15717,93,1075,8892,817,1617,26909,26343,422,2,51,685,40,23,3430,45,2020-11-08 00:00:00
15866,98,1083,8943,831,1676,27280,27210,424,2,51,685,39,23,3438,45,2020-11-09 00:00:00
16138,100,1094,9001,849,1751,27739,28069,428,2,51,686,39,23,3442,45,2020-11-10 00:00:00
