# Cases Age [0-9],# Cases Age [10-19],# Cases Age [20-29],# Cases Age [30-39],# Cases Age [40-49],# Cases Age [50-59],# Cases Age [60-69],# Cases Age [70-79],# Cases Age [80 and older],# Confirmed Cases Age [0-9],# Confirmed Cases Age [10-19],# Confirmed Cases Age [20-29],# Confirmed Cases Age [30-39],# Confirmed Cases Age [40-49],# Confirmed Cases Age [50-59],# Confirmed Cases Age [60-69],# Confirmed Cases Age [70-79],# Confirmed Cases Age [80 and older],# Confirmed Deaths Age [0-9],# Confirmed Deaths Age [10-19],# Confirmed Deaths Age [20-29],# Confirmed Deaths Age [30-39],# Confirmed Deaths Age [40-49],# Confirmed Deaths Age [50-59],# Confirmed Deaths Age [60-69],# Confirmed Deaths Age [70-79],# Confirmed Deaths Age [80 and older],# Deaths Age [0-9],# Deaths Age [10-19],# Deaths Age [20-29],# Deaths Age [30-39],# Deaths Age [40-49],# Deaths Age [50-59],# Deaths Age [60-69],# Deaths Age [70-79],# Deaths Age [80 and older],# Probable Cases Age [0-9],# Probable Cases Age [10-19],# Probable Cases Age [20-29],# Probable Cases Age [30-39],# Probable Cases Age [40-49],# Probable Cases Age [50-59],# Probable Cases Age [60-69],# Probable Cases Age [70-79],# Probable Cases Age [80 and older],# Probable Deaths Age [0-9],# Probable Deaths Age [10-19],# Probable Deaths Age [20-29],# Probable Deaths Age [30-39],# Probable Deaths Age [40-49],# Probable Deaths Age [50-59],# Probable Deaths Age [60-69],# Probable Deaths Age [70-79],# Probable Deaths Age [80 and older],Reported Date
566,1186,5065,6175,6200,7529,6317,4214,6694,543,1135,4879,5991,6015,7256,6079,3966,6020,1,1,4,19,42,133,432,719,1888,1,1,4,19,52,161,506,879,2460,23,51,186,184,185,273,238,248,674,0,0,0,0,10,28,74,160,572,2020-06-07 00:00:00
564,1179,5038,6150,6186,7515,6310,4202,6679,541,1128,4853,5965,6001,7242,6071,3955,6007,1,1,4,18,42,133,430,718,1882,1,1,4,18,52,161,504,877,2452,23,51,185,185,185,273,239,247,672,0,0,0,0,10,28,74,159,570,2020-06-06 00:00:00
558,1172,5012,6125,6164,7493,6298,4195,6664,535,1121,4828,5940,5979,7218,6058,3948,5992,1,1,4,18,42,133,430,715,1874,1,1,4,18,52,161,503,873,2441,23,51,184,185,185,275,240,247,672,0,0,0,0,10,28,73,158,567,2020-06-05 00:00:00
540,1151,4950,6058,6110,7437,6269,4171,6640,517,1101,4765,5875,5925,7166,6028,3928,5961,1,1,4,18,42,133,425,712,1860,1,1,4,18,52,161,499,868,2433,23,50,185,183,185,271,241,243,679,0,0,0,0,10,28,74,156,573,2020-06-04 00:00:00
538,1136,4903,6021,6072,7405,6249,4165,6608,514,1088,4718,5840,5889,7136,6007,3919,5931,1,1,4,18,41,131,420,705,1850,1,1,4,18,51,159,495,859,2418,24,48,185,181,183,269,242,246,677,0,0,0,0,10,28,75,154,568,2020-06-03 00:00:00
530,1126,4886,5991,6059,7387,6226,4154,6581,508,1078,4704,5812,5877,7126,5990,3910,5908,1,1,4,18,42,129,419,702,1840,1,1,4,18,52,157,493,856,2406,22,48,182,179,182,261,236,244,673,0,0,0,0,10,28,74,154,566,2020-06-02 00:00:00
523,1117,4863,5980,6049,7386,6214,4152,6568,502,1073,4681,5798,5867,7123,5977,3908,5898,1,1,4,19,42,128,419,699,1826,1,1,4,19,52,157,493,853,2391,21,44,182,182,182,263,237,244,670,0,0,0,0,10,29,74,154,565,2020-06-01 00:00:00
515,1102,4829,5948,6015,7349,6198,4133,6527,494,1058,4648,5760,5835,7083,5954,3887,5837,1,1,4,19,42,125,419,688,1812,1,1,4,19,52,156,499,844,2393,21,44,181,188,180,266,244,246,690,0,0,0,0,10,31,80,156,581,2020-05-31 00:00:00
688,1464,5871,6743,6679,7991,6608,4443,6986,665,1406,5666,6575,6492,7754,6398,4209,6332,1,1,4,21,45,148,458,784,2035,1,1,4,21,57,178,540,952,2618,23,58,205,168,187,237,210,234,654,0,0,0,0,12,30,82,168,583,2020-07-13 00:00:00
693,1473,5892,6762,6691,8003,6621,4449,6992,670,1415,5687,6594,6504,7766,6411,4215,6338,1,1,4,21,45,148,458,788,2039,1,1,4,21,57,178,540,956,2622,23,58,205,168,187,237,210,234,654,0,0,0,0,12,30,82,168,583,2020-07-14 00:00:00
693,1486,5925,6779,6704,8021,6641,4448,6995,671,1429,5721,6610,6517,7784,6431,4216,6341,1,1,4,21,45,148,460,789,2046,1,1,4,21,57,178,542,956,2629,22,57,204,169,187,237,210,232,654,0,0,0,0,12,30,82,167,583,2020-07-15 00:00:00
697,1500,5950,6799,6721,8042,6658,4458,7011,675,1443,5745,6630,6534,7804,6448,4225,6356,1,1,4,21,44,150,460,789,2049,1,1,4,21,56,181,542,957,2633,22,57,205,169,187,238,210,233,655,0,0,0,0,12,31,82,168,584,2020-07-16 00:00:00
703,1522,5994,6821,6745,8062,6662,4466,7024,681,1465,5790,6652,6559,7824,6452,4234,6365,1,1,4,21,44,150,460,790,2054,1,1,4,21,56,181,542,958,2642,22,57,204,169,186,238,210,232,659,0,0,0,0,12,31,82,168,588,2020-07-19 00:00:00
705,1535,6004,6829,6751,8067,6662,4463,7024,683,1478,5800,6660,6565,7832,6452,4232,6365,1,1,4,21,44,150,460,791,2055,1,1,4,21,56,180,542,958,2643,22,57,204,169,186,235,210,231,659,0,0,0,0,12,30,82,167,588,2020-07-20 00:00:00
713,1555,6031,6842,6758,8091,6674,4471,7033,691,1490,5819,6668,6570,7848,6457,4238,6374,1,1,4,21,44,150,460,790,2056,1,1,4,21,56,180,542,957,2644,22,65,212,174,188,243,217,233,659,0,0,0,0,12,30,82,167,588,2020-07-21 00:00:00
714,1563,6050,6856,6766,8096,6674,4464,6994,692,1498,5838,6683,6578,7854,6456,4231,6335,1,1,4,21,44,150,460,793,2056,1,1,4,21,56,180,543,960,2644,22,65,212,173,188,242,218,233,659,0,0,0,0,12,30,83,167,588,2020-07-22 00:00:00
730,1645,6170,6938,6844,8165,6724,4483,7022,709,1585,5975,6774,6663,7930,6508,4252,6362,1,1,4,21,44,150,460,793,2057,1,1,4,21,56,180,543,960,2647,21,60,195,164,181,235,216,231,660,0,0,0,0,12,30,83,167,590,2020-07-23 00:00:00
744,1690,6225,6979,6857,8190,6730,4491,7022,723,1620,6026,6815,6673,7953,6513,4260,6363,1,1,4,21,44,150,459,794,2062,1,1,4,21,56,180,542,961,2652,21,70,199,164,184,237,217,231,659,0,0,0,0,12,30,83,167,590,2020-07-26 00:00:00
749,1709,6244,6991,6870,8202,6736,4496,7025,728,1640,6045,6827,6686,7965,6519,4266,6365,1,1,4,21,45,151,459,796,2063,1,1,4,21,57,181,542,962,2654,21,69,199,164,184,237,217,230,660,0,0,0,0,12,30,83,166,591,2020-07-27 00:00:00
757,1740,6330,7099,6948,8282,6775,4508,7046,736,1676,6141,6936,6766,8050,6564,4278,6386,1,1,4,21,45,152,460,796,2064,1,1,4,21,57,182,542,962,2655,21,64,189,163,182,232,211,230,660,0,0,0,0,12,30,82,166,591,2020-07-28 00:00:00
763,1775,6357,7122,6953,8299,6784,4514,7048,742,1711,6168,6962,6771,8069,6574,4284,6388,1,1,4,21,45,152,460,798,2068,1,1,4,21,57,182,542,964,2659,21,64,189,160,182,230,210,230,660,0,0,0,0,12,30,82,166,591,2020-07-29 00:00:00
775,1797,6395,7149,6974,8315,6789,4513,7048,753,1732,6206,6987,6793,8084,6579,4284,6388,1,1,4,21,45,152,461,798,2068,1,1,4,21,57,182,543,964,2659,22,65,189,162,181,231,210,229,660,0,0,0,0,12,30,82,166,591,2020-07-30 00:00:00
788,1841,6450,7199,7012,8344,6804,4519,7051,766,1775,6256,7035,6829,8111,6594,4289,6391,1,1,4,21,45,152,462,799,2070,1,1,4,21,57,182,544,966,2661,22,66,194,164,183,233,210,230,660,0,0,0,0,12,30,82,167,591,2020-08-02 00:00:00
786,1848,6463,7208,7022,8347,6808,4522,7052,764,1782,6269,7045,6838,8115,6598,4292,6392,1,1,4,21,45,152,462,799,2070,1,1,4,21,57,182,544,966,2661,22,66,194,163,184,232,210,230,660,0,0,0,0,12,30,82,167,591,2020-08-03 00:00:00
793,1869,6481,7231,7042,8358,6816,4527,7054,771,1802,6287,7068,6859,8127,6606,4297,6394,1,1,4,21,45,152,462,799,2070,1,1,4,21,57,182,544,966,2661,22,67,194,163,183,231,210,230,660,0,0,0,0,12,30,82,167,591,2020-08-04 00:00:00
792,1871,6484,7233,7046,8363,6817,4529,7054,770,1804,6289,7069,6863,8129,6607,4299,6394,1,1,4,21,45,152,462,800,2069,1,1,4,21,57,182,544,967,2660,22,67,195,164,183,234,210,230,660,0,0,0,0,12,30,82,167,591,2020-08-05 00:00:00
795,1880,6499,7239,7056,8380,6826,4531,7056,772,1813,6304,7076,6872,8146,6615,4301,6395,1,1,4,21,45,152,462,800,2072,1,1,4,21,57,182,544,967,2664,23,67,195,163,184,234,211,230,661,0,0,0,0,12,30,82,167,592,2020-08-06 00:00:00
810,1915,6547,7281,7101,8414,6844,4538,7059,787,1847,6348,7115,6912,8180,6633,4307,6397,1,1,4,21,45,152,462,800,2074,1,1,4,21,57,182,544,967,2667,23,68,199,166,189,234,211,231,662,0,0,0,0,12,30,82,167,593,2020-08-09 00:00:00
817,1927,6572,7297,7118,8430,6853,4547,7063,794,1858,6370,7132,6929,8194,6642,4316,6402,1,1,4,21,45,152,462,800,2075,1,1,4,21,57,182,544,967,2667,23,69,202,165,189,236,211,231,661,0,0,0,0,12,30,82,167,592,2020-08-10 00:00:00
817,1932,6573,7299,7121,8435,6856,4549,7064,794,1862,6371,7134,6931,8197,6645,4316,6402,1,1,4,21,45,152,463,801,2078,1,1,4,21,57,182,546,968,2670,23,70,202,165,190,238,211,233,662,0,0,0,0,12,30,83,167,592,2020-08-11 00:00:00
820,1947,6591,7314,7132,8440,6867,4550,7067,797,1877,6386,7146,6941,8202,6656,4317,6405,1,1,4,21,45,152,463,801,2078,1,1,4,21,57,182,546,968,2670,23,70,205,168,191,238,211,233,662,0,0,0,0,12,30,83,167,592,2020-08-12 00:00:00
826,1955,6620,7331,7151,8455,6879,4556,7071,804,1886,6415,7164,6959,8216,6667,4321,6409,1,1,4,21,45,152,463,801,2081,1,1,4,21,57,182,546,968,2673,22,69,205,167,192,239,212,235,662,0,0,0,0,12,30,83,167,592,2020-08-13 00:00:00
846,2009,6694,7407,7205,8502,6900,4572,7079,823,1939,6487,7237,7012,8261,6691,4337,6418,1,1,4,21,45,152,463,804,2081,1,1,4,21,57,182,546,971,2673,23,70,207,170,193,241,209,235,661,0,0,0,0,12,30,83,167,592,2020-08-16 00:00:00
846,2012,6697,7407,7204,8500,6897,4567,7072,823,1941,6490,7236,7011,8259,6688,4332,6410,1,1,4,21,45,152,463,804,2080,1,1,4,21,57,182,546,971,2673,23,71,207,171,193,241,209,235,662,0,0,0,0,12,30,83,167,593,2020-08-17 00:00:00
848,2023,6707,7419,7211,8510,6901,4567,7075,825,1950,6497,7249,7017,8268,6692,4332,6413,1,1,4,21,45,152,463,804,2081,1,1,4,21,57,182,546,971,2674,23,73,210,170,194,242,209,235,662,0,0,0,0,12,30,83,167,593,2020-08-18 00:00:00
856,2035,6733,7436,7225,8529,6910,4575,7080,833,1962,6520,7264,7032,8285,6701,4341,6418,1,1,4,21,45,152,463,804,2081,1,1,4,21,57,182,546,971,2675,23,73,213,172,193,244,209,234,662,0,0,0,0,12,30,83,167,594,2020-08-19 00:00:00
862,2050,6751,7442,7237,8540,6919,4578,7087,839,1975,6536,7268,7042,8293,6709,4344,6425,1,1,4,21,45,153,463,805,2081,1,1,4,21,57,183,546,972,2675,23,75,215,174,195,247,210,234,662,0,0,0,0,12,30,83,167,594,2020-08-20 00:00:00
890,2124,6872,7533,7305,8606,6940,4594,7094,864,2046,6648,7351,7106,8359,6730,4358,6432,1,1,4,21,45,153,463,805,2081,1,1,4,21,57,183,546,972,2675,26,78,224,182,199,247,210,236,662,0,0,0,0,12,30,83,167,594,2020-08-23 00:00:00
894,2129,6884,7542,7308,8611,6944,4594,7090,868,2051,6659,7361,7108,8364,6734,4358,6432,1,1,4,21,45,153,463,808,2084,1,1,4,21,57,183,546,975,2675,26,78,225,181,200,247,210,236,658,0,0,0,0,12,30,83,167,591,2020-08-24 00:00:00
904,2152,6936,7573,7338,8633,6958,4598,7094,878,2072,6704,7390,7138,8384,6746,4361,6435,1,1,4,21,45,153,463,806,2085,1,1,4,21,57,183,546,974,2676,26,80,232,183,200,249,212,237,659,0,0,0,0,12,30,83,168,591,2020-08-25 00:00:00
912,2178,6965,7600,7351,8650,6969,4602,7096,885,2096,6733,7415,7150,8399,6757,4364,6437,1,1,4,21,45,153,463,807,2084,1,1,4,21,57,183,547,975,2676,27,82,232,185,201,251,212,238,659,0,0,0,0,12,30,84,168,592,2020-08-26 00:00:00
922,2210,7004,7622,7366,8662,6978,4606,7098,895,2125,6764,7435,7165,8411,6766,4368,6439,1,1,4,21,45,153,463,807,2084,1,1,4,21,57,183,547,975,2676,27,85,240,187,201,251,212,238,659,0,0,0,0,12,30,84,168,592,2020-08-27 00:00:00
941,2273,7102,7692,7417,8717,6994,4610,7106,915,2187,6856,7503,7212,8459,6782,4373,6447,1,1,4,21,45,153,463,807,2085,1,1,4,21,57,183,547,974,2677,26,86,246,189,205,258,212,237,659,0,0,0,0,12,30,84,167,592,2020-08-30 00:00:00
945,2291,7144,7718,7422,8732,6999,4618,7110,919,2206,6898,7529,7218,8475,6787,4381,6451,1,1,4,21,45,153,463,808,2085,1,1,4,21,57,183,547,975,2677,26,85,246,189,204,257,212,237,659,0,0,0,0,12,30,84,167,592,2020-08-31 00:00:00
949,2314,7161,7737,7433,8746,7008,4621,7112,922,2226,6913,7549,7228,8488,6796,4384,6453,1,1,4,21,45,153,463,809,2085,1,1,4,21,57,183,547,976,2677,27,88,248,188,205,258,212,237,659,0,0,0,0,12,30,84,167,592,2020-09-01 00:00:00
953,2331,7188,7748,7444,8760,7017,4623,7118,926,2241,6939,7560,7240,8501,6805,4386,6459,1,1,4,21,45,153,464,809,2085,1,1,4,21,57,183,548,976,2677,27,90,249,188,204,259,212,237,659,0,0,0,0,12,30,84,167,592,2020-09-02 00:00:00
960,2357,7234,7764,7465,8779,7028,4630,7121,932,2267,6981,7574,7258,8520,6815,4393,6462,1,1,4,21,45,153,464,809,2085,1,1,4,21,57,183,548,976,2677,28,90,253,190,207,259,213,237,659,0,0,0,0,12,30,84,167,592,2020-09-03 00:00:00
