County Name,Scrape Time,Total Cases,Total Deaths,Total Hospitalized
Asotin,2020-06-21 21:18:09.274684,20,2,1
Benton,2020-06-21 21:18:09.274684,1426,76,186
Chelan,2020-06-21 21:18:09.274684,285,6,19
Clallam,2020-06-21 21:18:09.274684,33,0,3
Clark,2020-06-21 21:18:09.274684,647,30,98
Columbia,2020-06-21 21:18:09.274684,2,0,0
Cowlitz,2020-06-21 21:18:09.274684,145,0,19
Douglas,2020-06-21 21:18:09.274684,193,3,12
Ferry,2020-06-21 21:18:09.274684,1,0,0
Franklin,2020-06-21 21:18:09.274684,1278,29,121
Garfield,2020-06-21 21:18:09.274684,0,0,0
Grant,2020-06-21 21:18:09.274684,373,5,35
Grays Harbor,2020-06-21 21:18:09.274684,24,0,7
Island,2020-06-21 21:18:09.274684,188,12,32
Jefferson,2020-06-21 21:18:09.274684,33,0,7
King,2020-06-21 21:18:09.274684,9211,600,1732
Kitsap,2020-06-21 21:18:09.274684,190,2,28
Kittitas,2020-06-21 21:18:09.274684,98,0,2
Klickitat,2020-06-21 21:18:09.274684,51,3,8
Lewis,2020-06-21 21:18:09.274684,49,3,13
Lincoln,2020-06-21 21:18:09.274684,2,0,0
Mason,2020-06-21 21:18:09.274684,42,1,5
Okanogan,2020-06-21 21:18:09.274684,63,2,5
Pacific,2020-06-21 21:18:09.274684,12,1,2
Pend Oreille,2020-06-21 21:18:09.274684,3,0,0
Pierce,2020-06-21 21:18:09.274684,2281,93,392
San Juan,2020-06-21 21:18:09.274684,18,0,1
Skagit,2020-06-21 21:18:09.274684,485,15,55
Skamania,2020-06-21 21:18:09.274684,5,0,1
Snohomish,2020-06-21 21:18:09.274684,3237,163,595
Spokane,2020-06-21 21:18:09.274684,974,38,108
Stevens,2020-06-21 21:18:09.274684,17,1,4
Thurston,2020-06-21 21:18:09.274684,211,5,33
Wahkiakum,2020-06-21 21:18:09.274684,4,0,0
Walla Walla,2020-06-21 21:18:09.274684,135,3,9
Whatcom,2020-06-21 21:18:09.274684,499,39,52
Whitman,2020-06-21 21:18:09.274684,30,0,0
