state,stateAbbrev,date,Cases,Deaths,Tests,Sex_Cases [Male],Sex_Cases [Female],Sex_Cases [Unknown],Age_Cases [0-1],Age_Cases [1-9],Age_Cases [10-19],Age_Cases [20-29],Age_Cases [30-39],Age_Cases [40-49],Age_Cases [50-59],Age_Cases [60-64],Age_Cases [65-69],Age_Cases [70-74],Age_Cases [75-79],Age_Cases [80+],Race_Cases [Asian],Race_Cases [Black],Race_Cases [Hispanic],Race_Cases [Other],Race_Cases [Unknown],Race_Cases [White],pullTime,Sex_Deaths [Female],Sex_Deaths [Male],Sex_Deaths [Unknown],Age_Cases [Unknown],Age_Deaths [0-1],Age_Deaths [1-9],Age_Deaths [10-19],Age_Deaths [20-29],Age_Deaths [30-39],Age_Deaths [40-49],Age_Deaths [50-59],Age_Deaths [60-64],Age_Deaths [65-69],Age_Deaths [70-74],Age_Deaths [75-79],Age_Deaths [80+],Age_Deaths [Unknown],Race_Deaths [Asian],Race_Deaths [Black],Race_Deaths [Hispanic],Race_Deaths [Other],Race_Deaths [White],Race_Deaths [Unknown],Sex_Cases [Gender],Sex_Deaths [Gender],"Age_Cases [Age
Grouping]","Age_Deaths [Age
Grouping]",Race_Cases [Race/Ethnicity],Race_Deaths [Race/Ethnicity],Age_Cases [Pending DOB],Sex_Cases [Total],Sex_Deaths [Total],Age_Cases [Total],Age_Deaths [Grand Total],Race_Cases [Total],Race_Deaths [Total ]
Texas,TX,2020-04-15,15492,364,151810.0,1073.0,1042.0,67.0,3.0,16.0,49.0,290.0,361.0,420.0,416.0,200.0,149.0,104.0,69.0,100.0,98.0,250.0,552.0,16.0,428.0,838.0,4/15/20 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-16,16455,393,158547.0,1096.0,1053.0,67.0,3.0,16.0,50.0,292.0,362.0,423.0,420.0,206.0,153.0,106.0,73.0,107.0,98.0,253.0,557.0,16.0,442.0,850.0,19:53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-17,17371,428,169536.0,1147.0,1111.0,77.0,4.0,16.0,52.0,309.0,379.0,436.0,448.0,210.0,162.0,113.0,77.0,124.0,103.0,267.0,590.0,16.0,476.0,883.0,08:45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-18,18260,453,176239.0,1210.0,1181.0,82.0,4.0,17.0,58.0,331.0,393.0,456.0,466.0,217.0,172.0,118.0,84.0,151.0,108.0,278.0,634.0,17.0,516.0,920.0,15:31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-19,18923,477,182710.0,1271.0,1220.0,83.0,4.0,18.0,59.0,336.0,404.0,470.0,480.0,228.0,178.0,123.0,88.0,180.0,110.0,296.0,663.0,18.0,543.0,944.0,28:41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-20,19458,495,190394.0,1323.0,1267.0,84.0,4.0,18.0,61.0,354.0,425.0,485.0,497.0,240.0,188.0,125.0,89.0,182.0,114.0,310.0,694.0,20.0,560.0,976.0,24:16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-21,20196,517,205399.0,1382.0,1334.0,83.0,4.0,18.0,64.0,375.0,448.0,503.0,524.0,249.0,192.0,130.0,93.0,192.0,114.0,326.0,739.0,22.0,573.0,1025.0,16:11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-22,21069,541,216783.0,1411.0,1386.0,105.0,4.0,20.0,67.0,387.0,464.0,523.0,544.0,254.0,198.0,132.0,97.0,205.0,115.0,340.0,775.0,22.0,609.0,1041.0,26:49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-23,21944,561,225078.0,1482.0,1396.0,106.0,4.0,21.0,68.0,397.0,483.0,541.0,560.0,262.0,201.0,135.0,97.0,208.0,115.0,372.0,794.0,22.0,620.0,1061.0,26:39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-24,22806,593,242547.0,1544.0,1436.0,107.0,4.0,21.0,72.0,412.0,498.0,560.0,582.0,269.0,206.0,141.0,103.0,212.0,118.0,396.0,835.0,22.0,631.0,1085.0,42:37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-25,23773,623,262816.0,1577.0,1498.0,107.0,4.0,21.0,72.0,426.0,510.0,572.0,599.0,273.0,210.0,144.0,107.0,235.0,118.0,404.0,875.0,22.0,642.0,1121.0,34:48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-26,24631,648,276021.0,1603.0,1543.0,108.0,4.0,23.0,75.0,437.0,522.0,588.0,608.0,278.0,216.0,146.0,111.0,237.0,118.0,415.0,900.0,22.0,653.0,1146.0,08:04.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-27,25297,663,290517.0,2340.0,2387.0,203.0,17.0,45.0,122.0,689.0,842.0,948.0,906.0,409.0,293.0,209.0,142.0,279.0,199.0,841.0,1485.0,35.0,892.0,1478.0,46:53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-28,26171,690,300384.0,2410.0,2447.0,197.0,17.0,45.0,123.0,717.0,861.0,973.0,928.0,427.0,292.0,214.0,142.0,285.0,199.0,867.0,1534.0,36.0,906.0,1512.0,42:46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-29,27054,732,314790.0,2634.0,2669.0,200.0,17.0,50.0,140.0,770.0,935.0,1060.0,1015.0,457.0,323.0,239.0,160.0,306.0,212.0,932.0,1550.0,43.0,997.0,1769.0,01:28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-30,28087,782,330300.0,3103.0,3112.0,207.0,20.0,60.0,166.0,915.0,1103.0,1251.0,1177.0,521.0,372.0,279.0,185.0,341.0,240.0,1068.0,1895.0,49.0,1137.0,2033.0,01:06.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-05-01,29229,816,351775.0,3676.0,3611.0,227.0,24.0,75.0,191.0,1103.0,1311.0,1455.0,1375.0,598.0,440.0,324.0,217.0,366.0,275.0,1226.0,2546.0,61.0,1209.0,2197.0,31:42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-05-02,30522,847,380648.0,4617.0,4424.0,236.0,27.0,93.0,254.0,1398.0,1659.0,1778.0,1724.0,727.0,522.0,380.0,248.0,431.0,395.0,1432.0,3278.0,69.0,1414.0,2689.0,40:00.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-05-03,31548,867,390560.0,4889.0,4703.0,243.0,29.0,105.0,274.0,1511.0,1743.0,1885.0,1825.0,772.0,548.0,395.0,263.0,449.0,408.0,1540.0,3530.0,66.0,1481.0,2810.0,39:54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-05-04,32332,884,407398.0,5293.0,5010.0,257.0,30.0,105.0,294.0,1622.0,1892.0,2051.0,1960.0,830.0,581.0,410.0,276.0,473.0,421.0,1643.0,3846.0,83.0,1568.0,2999.0,48:19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-05-05,33369,906,427210.0,5746.0,5439.0,262.0,32.0,118.0,334.0,1766.0,2073.0,2174.0,2113.0,880.0,631.0,448.0,299.0,538.0,444.0,1783.0,4277.0,81.0,1645.0,3217.0,22:35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-05-06,34422,948,438938.0,6153.0,5903.0,267.0,32.0,133.0,368.0,1914.0,2238.0,2337.0,2256.0,942.0,681.0,473.0,325.0,583.0,461.0,1881.0,4701.0,85.0,1728.0,3467.0,19:01.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-05-07,35390,973,455162.0,6252.0,6014.0,267.0,32.0,141.0,376.0,1952.0,2275.0,2369.0,2297.0,955.0,697.0,477.0,325.0,596.0,462.0,1896.0,4821.0,87.0,1746.0,3521.0,00:11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-05-08,36609,1004,477118.0,6520.0,6136.0,271.0,33.0,147.0,388.0,2006.0,2346.0,2448.0,2379.0,993.0,724.0,491.0,330.0,601.0,466.0,1981.0,4820.0,89.0,1837.0,3734.0,08:22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-05-09,37860,1049,489294.0,,,,,,,,,,,,,,,,,,,,,,5/9/20 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-05-10,38869,1088,513978.0,7147.0,6428.0,277.0,35.0,160.0,414.0,2174.0,2525.0,2603.0,2554.0,1085.0,769.0,517.0,347.0,628.0,483.0,2117.0,5425.0,92.0,1870.0,3865.0,5/10/20 00:00,187.0,263.0,31.0,41.0,0.0,0.0,2.0,10.0,9.0,21.0,52.0,44.0,58.0,45.0,44.0,194.0,2.0,6.0,66.0,117.0,1.0,176.0,115.0,,,,,,,,,,,,,
Texas,TX,2020-05-11,39869,1100,525697.0,7178.0,6464.0,278.0,35.0,160.0,414.0,2171.0,2524.0,2600.0,2551.0,1081.0,768.0,516.0,347.0,628.0,485.0,2115.0,5485.0,93.0,1870.0,3872.0,5/11/20 00:00,187.0,265.0,31.0,125.0,0.0,0.0,2.0,10.0,9.0,21.0,52.0,44.0,59.0,45.0,44.0,194.0,3.0,6.0,66.0,118.0,2.0,176.0,115.0,,,,,,,,,,,,,
Texas,TX,2020-05-12,41048,1133,538172.0,7224.0,6508.0,279.0,36.0,164.0,420.0,2183.0,2539.0,2620.0,2568.0,1083.0,772.0,520.0,349.0,632.0,485.0,2117.0,5553.0,93.0,1875.0,3888.0,40:01.9,188.0,266.0,31.0,125.0,0.0,0.0,2.0,10.0,9.0,21.0,52.0,45.0,59.0,45.0,44.0,195.0,3.0,6.0,66.0,120.0,2.0,176.0,115.0,,,,,,,,,,,,,
Texas,TX,2020-05-13,42403,1158,587431.0,7257.0,6538.0,279.0,36.0,165.0,425.0,2191.0,2553.0,2632.0,2582.0,1083.0,774.0,524.0,351.0,634.0,486.0,2124.0,5589.0,94.0,1876.0,3905.0,26:35.2,188.0,266.0,31.0,124.0,0.0,0.0,2.0,10.0,9.0,21.0,52.0,45.0,59.0,45.0,44.0,195.0,3.0,6.0,66.0,120.0,2.0,176.0,115.0,,,,,,,,,,,,,
Texas,TX,2020-05-14,43851,1216,623284.0,7304.0,6566.0,279.0,36.0,167.0,428.0,2200.0,2569.0,2642.0,2598.0,1089.0,782.0,525.0,353.0,636.0,488.0,2148.0,5611.0,95.0,1887.0,3920.0,07:14.7,190.0,268.0,31.0,124.0,0.0,0.0,2.0,10.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,196.0,3.0,6.0,67.0,120.0,2.0,179.0,115.0,,,,,,,,,,,,,
Texas,TX,2020-05-15,45198,1272,645992.0,7372.0,6567.0,280.0,36.0,167.0,429.0,2210.0,2580.0,2656.0,2607.0,1097.0,791.0,529.0,353.0,640.0,488.0,2170.0,5630.0,96.0,1889.0,3946.0,31:18.4,190.0,268.0,31.0,124.0,0.0,0.0,2.0,10.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,196.0,3.0,6.0,67.0,120.0,2.0,180.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-16,46999,1305,678471.0,7410.0,6567.0,280.0,36.0,167.0,429.0,2215.0,2590.0,2663.0,2616.0,1101.0,792.0,531.0,353.0,640.0,488.0,2180.0,5649.0,96.0,1891.0,3953.0,01:12.8,190.0,268.0,31.0,124.0,0.0,0.0,2.0,10.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,196.0,3.0,6.0,67.0,120.0,2.0,180.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-17,47784,1336,693276.0,7411.0,6567.0,280.0,36.0,167.0,429.0,2215.0,2591.0,2663.0,2616.0,1101.0,792.0,531.0,353.0,640.0,488.0,2181.0,5649.0,96.0,1891.0,3953.0,58:16.0,190.0,268.0,31.0,124.0,0.0,0.0,2.0,10.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,196.0,3.0,6.0,67.0,120.0,2.0,180.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-18,48693,1347,723013.0,7411.0,6567.0,280.0,36.0,167.0,429.0,2215.0,2591.0,2663.0,2616.0,1101.0,792.0,531.0,353.0,640.0,488.0,2181.0,5649.0,96.0,1891.0,3953.0,21:53.5,190.0,268.0,31.0,124.0,0.0,0.0,2.0,10.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,196.0,3.0,6.0,67.0,120.0,2.0,180.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-19,49912,1369,740383.0,7437.0,6591.0,280.0,37.0,168.0,432.0,2227.0,2601.0,2674.0,2619.0,1105.0,794.0,533.0,354.0,640.0,491.0,2181.0,5686.0,96.0,1893.0,3961.0,03:50.1,190.0,268.0,31.0,124.0,0.0,0.0,2.0,10.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,196.0,3.0,6.0,67.0,120.0,2.0,180.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-20,51323,1419,770241.0,7465.0,6591.0,280.0,37.0,168.0,432.0,2232.0,2607.0,2680.0,2627.0,1106.0,795.0,534.0,354.0,640.0,491.0,2186.0,5702.0,96.0,1894.0,3967.0,5/20/20 00:00,190.0,268.0,31.0,124.0,0.0,0.0,2.0,10.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,196.0,3.0,6.0,67.0,120.0,2.0,180.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-21,52268,1440,800433.0,7583.0,6593.0,280.0,37.0,169.0,432.0,2244.0,2629.0,2698.0,2660.0,1115.0,811.0,540.0,356.0,641.0,492.0,2219.0,5754.0,96.0,1896.0,3999.0,02:28.8,190.0,268.0,31.0,124.0,0.0,0.0,2.0,10.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,196.0,3.0,6.0,67.0,120.0,2.0,180.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-22,53449,1480,834437.0,7604.0,6617.0,281.0,37.0,169.0,433.0,2255.0,2643.0,2703.0,2666.0,1119.0,815.0,540.0,356.0,642.0,493.0,2228.0,5771.0,96.0,1903.0,4011.0,09:49.0,191.0,268.0,31.0,124.0,0.0,0.0,2.0,11.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,196.0,3.0,6.0,67.0,121.0,2.0,180.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-23,54509,1506,870935.0,7719.0,6630.0,279.0,37.0,168.0,435.0,2271.0,2671.0,2735.0,2692.0,1129.0,822.0,542.0,359.0,644.0,493.0,2266.0,5806.0,96.0,1927.0,4040.0,48:48.8,191.0,268.0,31.0,123.0,0.0,0.0,2.0,11.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,196.0,3.0,6.0,67.0,121.0,2.0,180.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-24,55348,1519,870935.0,7719.0,6630.0,279.0,37.0,168.0,435.0,2271.0,2671.0,2735.0,2692.0,1129.0,822.0,542.0,359.0,644.0,493.0,2266.0,5806.0,96.0,1927.0,4040.0,39:06.8,191.0,268.0,31.0,123.0,0.0,0.0,2.0,11.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,196.0,3.0,6.0,67.0,121.0,2.0,180.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-25,55971,1527,906074.0,7790.0,6701.0,281.0,38.0,168.0,440.0,2293.0,2704.0,2765.0,2712.0,1143.0,831.0,543.0,362.0,650.0,498.0,2315.0,5862.0,96.0,1938.0,4063.0,56:59.8,192.0,268.0,31.0,123.0,0.0,0.0,2.0,11.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,197.0,3.0,6.0,67.0,122.0,2.0,180.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-26,56560,1536,943239.0,7791.0,6701.0,281.0,38.0,168.0,440.0,2293.0,2705.0,2765.0,2712.0,1143.0,831.0,543.0,362.0,650.0,498.0,2315.0,5862.0,96.0,1939.0,4063.0,07:46.9,192.0,268.0,31.0,123.0,0.0,0.0,2.0,11.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,197.0,3.0,6.0,67.0,122.0,2.0,180.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-27,57921,1562,961861.0,7796.0,6709.0,281.0,38.0,168.0,440.0,2295.0,2708.0,2770.0,2714.0,1143.0,831.0,543.0,362.0,651.0,498.0,2315.0,5873.0,96.0,1939.0,4065.0,53:57.2,192.0,269.0,31.0,123.0,0.0,0.0,2.0,11.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,198.0,3.0,6.0,67.0,122.0,2.0,181.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-28,59776,1601,989994.0,7823.0,6719.0,281.0,38.0,170.0,440.0,2299.0,2714.0,2780.0,2722.0,1148.0,832.0,544.0,362.0,651.0,498.0,2321.0,5891.0,97.0,1940.0,4076.0,20:28.6,192.0,269.0,31.0,123.0,0.0,0.0,2.0,11.0,9.0,21.0,54.0,45.0,59.0,45.0,45.0,198.0,3.0,6.0,67.0,122.0,2.0,181.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-29,61006,1626,1027449.0,7878.0,6718.0,282.0,38.0,170.0,440.0,2306.0,2728.0,2795.0,2735.0,1154.0,833.0,544.0,362.0,650.0,498.0,2341.0,5912.0,96.0,1938.0,4093.0,15:42.0,192.0,268.0,31.0,123.0,0.0,0.0,2.0,11.0,9.0,21.0,54.0,45.0,58.0,45.0,45.0,198.0,3.0,6.0,67.0,122.0,1.0,181.0,114.0,,,,,,,,,,,,,
Texas,TX,2020-05-30,62338,1648,1054793.0,7921.0,6722.0,282.0,38.0,170.0,441.0,2309.0,2732.0,2798.0,2747.0,1159.0,841.0,551.0,365.0,651.0,498.0,2360.0,5923.0,96.0,1941.0,4107.0,55:10.5,192.0,271.0,31.0,123.0,0.0,0.0,2.0,11.0,9.0,21.0,54.0,45.0,58.0,47.0,45.0,199.0,3.0,6.0,67.0,122.0,1.0,183.0,115.0,,,,,,,,,,,,,
Texas,TX,2020-05-31,64287,1672,1073491.0,7921.0,6722.0,282.0,38.0,170.0,441.0,2309.0,2732.0,2798.0,2747.0,1159.0,841.0,551.0,365.0,651.0,498.0,2360.0,5923.0,96.0,1941.0,4107.0,56:18.6,192.0,271.0,31.0,123.0,0.0,0.0,2.0,11.0,9.0,21.0,54.0,45.0,58.0,47.0,45.0,199.0,3.0,6.0,67.0,122.0,1.0,183.0,115.0,,,,,,,,,,,,,
Texas,TX,2020-06-01,64880,1678,1093676.0,7936.0,6751.0,283.0,38.0,172.0,443.0,2316.0,2745.0,2805.0,2753.0,1161.0,845.0,552.0,366.0,651.0,500.0,2365.0,5951.0,96.0,1942.0,4116.0,12:31.5,192.0,271.0,31.0,123.0,0.0,0.0,2.0,11.0,9.0,21.0,54.0,45.0,58.0,47.0,45.0,199.0,3.0,6.0,67.0,122.0,1.0,183.0,115.0,,,,,,,,,,,,,
Texas,TX,2020-06-02,66568,1698,1117274.0,7948.0,6760.0,283.0,38.0,173.0,445.0,2317.0,2749.0,2806.0,2759.0,1164.0,846.0,552.0,367.0,652.0,500.0,2369.0,5963.0,96.0,1942.0,4121.0,21:08.9,193.0,271.0,31.0,123.0,0.0,0.0,2.0,11.0,9.0,21.0,54.0,45.0,58.0,47.0,46.0,199.0,3.0,6.0,67.0,123.0,1.0,183.0,115.0,,,,,,,,,,,,,
Texas,TX,2020-06-03,68271,1734,1150868.0,7997.0,6763.0,284.0,38.0,173.0,445.0,2323.0,2757.0,2819.0,2774.0,1169.0,850.0,553.0,368.0,652.0,501.0,2389.0,5981.0,96.0,,4130.0,01:51.3,193.0,271.0,31.0,123.0,0.0,0.0,2.0,11.0,9.0,21.0,54.0,45.0,58.0,47.0,46.0,199.0,3.0,6.0,67.0,123.0,1.0,183.0,115.0,,,,,,,,,,,,,
Texas,TX,2020-06-04,69920,1767,1174948.0,8066.0,6777.0,284.0,38.0,174.0,452.0,2329.0,2776.0,2829.0,2789.0,1176.0,859.0,556.0,373.0,653.0,503.0,2404.0,6018.0,97.0,1948.0,4157.0,37:19.1,272.0,364.0,28.0,123.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
Texas,TX,2020-06-05,71613,1788,1209187.0,8079.0,6777.0,284.0,38.0,174.0,452.0,2330.0,2777.0,2830.0,2793.0,1179.0,860.0,558.0,373.0,653.0,503.0,2407.0,6023.0,97.0,1949.0,4161.0,19:39.0,272.0,364.0,28.0,123.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
Texas,TX,2020-06-06,73553,1819,1218955.0,8108.0,6778.0,284.0,38.0,174.0,452.0,2333.0,2784.0,2835.0,2801.0,1181.0,861.0,559.0,374.0,655.0,503.0,2413.0,6034.0,97.0,1949.0,4174.0,37:48.2,272.0,364.0,28.0,123.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
Texas,TX,2020-06-07,74978,1830,1255899.0,8108.0,6778.0,284.0,38.0,174.0,452.0,2333.0,2784.0,2835.0,2801.0,1181.0,861.0,559.0,374.0,655.0,503.0,2413.0,6034.0,97.0,1949.0,4174.0,36:10.0,272.0,364.0,28.0,123.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
Texas,TX,2020-06-08,75616,1836,1286139.0,8108.0,6778.0,284.0,38.0,174.0,452.0,2333.0,2784.0,2835.0,2801.0,1181.0,861.0,559.0,374.0,655.0,503.0,2413.0,6034.0,97.0,1949.0,4174.0,33:17.0,272.0,364.0,28.0,123.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
Texas,TX,2020-06-09,77253,1853,1302049.0,8108.0,6778.0,284.0,38.0,174.0,452.0,2333.0,2784.0,2835.0,2801.0,1181.0,861.0,559.0,374.0,655.0,503.0,2413.0,6034.0,97.0,1949.0,4174.0,37:04.2,272.0,364.0,28.0,123.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
Texas,TX,2020-06-10,79757,1885,1348893.0,8264.0,6962.0,287.0,40.0,177.0,463.0,2417.0,2853.0,2897.0,2847.0,1206.0,874.0,571.0,383.0,662.0,518.0,2523.0,6178.0,99.0,1980.0,4215.0,38:45.1,272.0,364.0,28.0,123.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
Texas,TX,2020-06-11,79757,1885,1348893.0,8264.0,6962.0,287.0,40.0,177.0,463.0,2417.0,2853.0,2897.0,2847.0,1206.0,874.0,571.0,383.0,662.0,518.0,2523.0,6178.0,99.0,1980.0,4215.0,2020-06-11 20:34:30.414865,272.0,364.0,28.0,123.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
Texas,TX,2020-06-12,83680,1939,1404369.0,8325.0,7006.0,289.0,41.0,180.0,470.0,2434.0,2861.0,2924.0,2855.0,1216.0,882.0,584.0,387.0,663.0,519.0,2532.0,6271.0,99.0,1969.0,4230.0,2020-06-12 20:29:18.611643,272.0,364.0,28.0,123.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
Texas,TX,2020-06-13,86011,1957,1442950.0,8386.0,7006.0,290.0,41.0,180.0,471.0,2436.0,2869.0,2931.0,2873.0,1224.0,887.0,592.0,391.0,664.0,519.0,2552.0,6286.0,99.0,1969.0,4257.0,2020-06-13 20:46:31.318358,272.0,364.0,28.0,123.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
Texas,TX,2020-06-14,87854,1976,1463851.0,8386.0,7006.0,290.0,41.0,180.0,471.0,2436.0,2869.0,2931.0,2873.0,1224.0,887.0,592.0,391.0,664.0,519.0,2552.0,6286.0,99.0,1969.0,4257.0,2020-06-14 20:06:02.452839,272.0,364.0,28.0,123.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
Texas,TX,2020-06-15,89108,1983,1499015.0,8386.0,7006.0,290.0,41.0,180.0,471.0,2436.0,2869.0,2931.0,2873.0,1224.0,887.0,592.0,391.0,664.0,519.0,2552.0,6286.0,99.0,1969.0,4257.0,2020-06-15 20:29:50.126763,272.0,364.0,28.0,123.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
Texas,TX,2020-06-16,93206,2029,1522434.0,8395.0,7006.0,290.0,41.0,180.0,471.0,2436.0,2869.0,2935.0,2873.0,1226.0,887.0,593.0,392.0,665.0,519.0,2555.0,6287.0,99.0,1969.0,4262.0,2020-06-16 20:11:37.631129,272.0,364.0,28.0,123.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
Texas,TX,2020-06-17,96335,2062,1560537.0,9141.0,9039.0,166.0,70.0,295.0,761.0,2986.0,3374.0,3355.0,3244.0,1303.0,971.0,609.0,461.0,904.0,563.0,2182.0,6382.0,109.0,4083.0,5027.0,2020-06-17 20:50:53.032868,272.0,364.0,28.0,13.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
Texas,TX,2020-06-18,99851,2105,1576925.0,9338.0,9250.0,175.0,72.0,301.0,775.0,3057.0,3457.0,3405.0,3310.0,1330.0,1000.0,633.0,469.0,941.0,570.0,2222.0,6523.0,112.0,4218.0,5118.0,2020-06-18 21:10:50.801374,272.0,364.0,28.0,13.0,0.0,0.0,2.0,11.0,13.0,26.0,72.0,60.0,74.0,69.0,70.0,265.0,2.0,13.0,85.0,171.0,5.0,269.0,121.0,,,,,,,,,,,,,
