County Name,Scrape Time,Total Cases,Total Deaths,Total Tested: Negative
Morrow,2020-06-30 20:16:52.977483,61,1,455
Multnomah,2020-06-30 20:16:52.977483,2202,69,49326
Polk,2020-06-30 20:16:52.977483,141,12,2807
Sherman,2020-06-30 20:16:52.977483,1,0,141
Tillamook,2020-06-30 20:16:52.977483,9,0,1208
Umatilla,2020-06-30 20:16:52.977483,492,4,3449
Union,2020-06-30 20:16:52.977483,337,1,1553
Wallowa,2020-06-30 20:16:52.977483,8,0,420
Wasco,2020-06-30 20:16:52.977483,69,1,2133
Washington,2020-06-30 20:16:52.977483,1331,20,31094
Wheeler,2020-06-30 20:16:52.977483,0,0,119
Yamhill,2020-06-30 20:16:52.977483,119,8,5153
Baker,2020-07-01 20:13:32.862935,4,0,489
Benton,2020-07-01 20:13:32.862935,84,5,6124
Clackamas,2020-07-01 20:13:32.862935,751,24,22687
Clatsop,2020-07-01 20:13:32.862935,49,0,2410
Columbia,2020-07-01 20:13:32.862935,30,0,2716
Coos,2020-07-01 20:13:32.862935,41,0,2682
Crook,2020-07-01 20:13:32.862935,10,0,1060
Curry,2020-07-01 20:13:32.862935,7,0,674
Deschutes,2020-07-01 20:13:32.862935,183,0,10630
Douglas,2020-07-01 20:13:32.862935,42,0,5010
Gilliam,2020-07-01 20:13:32.862935,0,0,95
Grant,2020-07-01 20:13:32.862935,1,0,191
Harney,2020-07-01 20:13:32.862935,1,0,402
Hood River,2020-07-01 20:13:32.862935,88,0,2295
Jackson,2020-07-01 20:13:32.862935,117,0,12091
Jefferson,2020-07-01 20:13:32.862935,118,0,1947
Josephine,2020-07-01 20:13:32.862935,33,1,4179
Klamath,2020-07-01 20:13:32.862935,123,0,4983
Lake,2020-07-01 20:13:32.862935,19,0,247
Lane,2020-07-01 20:13:32.862935,165,3,23202
Lincoln,2020-07-01 20:13:32.862935,324,2,4571
Linn,2020-07-01 20:13:32.862935,151,9,6716
Malheur,2020-07-01 20:13:32.862935,124,1,1499
Marion,2020-07-01 20:13:32.862935,1539,47,16750
Morrow,2020-07-01 20:13:32.862935,64,1,474
Multnomah,2020-07-01 20:13:32.862935,2239,69,50667
Polk,2020-07-01 20:13:32.862935,149,12,2854
