# Confirmatory Lab Tests,% Cases Race/Ethnicity: Black,% Cases Race/Ethnicity: Other,% Cases Race/Ethnicity: White,County Name,Scrape Time,Total Cases: Female,Total Cases: Male,Total Confirmatory Tests: Female,Total Confirmatory Tests: Male,Total Confirmed Cases,Total Deaths: ,Total Probable Cases,Total Recovered
9349,20.67,6.15,73.18,Marion,2020-08-05 20:55:30.581396,100,78,9349,9349,175,2,4,99
4726,0.78,6.20,93.02,Marshall,2020-08-05 20:55:30.581396,64,65,4726,4726,126,1,3,116
2360,0.00,1.96,98.04,Mason,2020-08-05 20:55:30.581396,26,24,2360,2360,51,1,0,30
2095,20.83,31.25,47.92,McDowell,2020-08-05 20:55:30.581396,26,22,2095,2095,47,0,1,13
7919,10.40,58.38,31.21,Mercer,2020-08-05 20:55:30.581396,95,73,7919,7919,173,3,0,39
3928,11.21,9.48,79.31,Mineral,2020-08-05 20:55:30.581396,58,58,3928,3928,114,4,2,80
2861,1.96,24.84,73.20,Mingo,2020-08-05 20:55:30.581396,88,63,2861,2861,151,3,2,62
23479,11.41,13.99,74.60,Monongalia,2020-08-05 20:55:30.581396,463,464,23479,23479,913,5,16,828
1773,0.00,0.00,100.00,Monroe,2020-08-05 20:55:30.581396,10,9,1773,1773,18,0,1,18
1730,0.00,0.00,100.00,Morgan,2020-08-05 20:55:30.581396,9,17,1730,1730,25,0,1,25
2942,0.00,3.03,96.97,Nicholas,2020-08-05 20:55:30.581396,22,11,2942,2942,32,1,1,21
15795,11.03,7.98,80.99,Ohio,2020-08-05 20:55:30.581396,152,111,15795,15795,262,4,1,225
1423,7.14,7.14,85.71,Pendleton,2020-08-05 20:55:30.581396,21,21,1423,1423,41,1,1,24
645,0.00,33.33,66.67,Pleasants,2020-08-05 20:55:30.581396,6,3,645,645,8,0,1,6
1274,0.00,0.00,100.00,Pocahontas,2020-08-05 20:55:30.581396,20,21,1274,1274,40,0,1,41
5616,2.40,8.80,88.80,Preston,2020-08-05 20:55:30.581396,68,57,5616,5616,102,4,23,108
6765,2.30,9.77,87.93,Putnam,2020-08-05 20:55:30.581396,91,82,6765,6765,173,0,1,119
13431,10.63,9.66,79.71,Raleigh,2020-08-05 20:55:30.581396,101,106,13431,13431,200,1,7,144
7067,4.85,33.98,61.17,Randolph,2020-08-05 20:55:30.581396,39,164,7067,7067,203,0,3,201
1655,0.00,0.00,100.00,Ritchie,2020-08-05 20:55:30.581396,0,3,1655,1655,3,0,0,3
1965,0.00,7.14,92.86,Roane,2020-08-05 20:55:30.581396,8,6,1965,1965,14,1,0,13
1754,0.00,0.00,100.00,Summers,2020-08-05 20:55:30.581396,4,3,1754,1754,7,0,0,6
3991,0.00,9.09,90.91,Taylor,2020-08-05 20:55:30.581396,29,26,3991,3991,54,1,1,35
2588,0.00,18.18,81.82,Tucker,2020-08-05 20:55:30.581396,7,4,2588,2588,11,0,0,8
789,0.00,0.00,100.00,Tyler,2020-08-05 20:55:30.581396,8,4,789,789,12,0,0,12
2945,0.00,0.00,100.00,Upshur,2020-08-05 20:55:30.581396,20,19,2945,2945,36,0,3,36
4183,0.00,1.55,98.45,Wayne,2020-08-05 20:55:30.581396,136,58,4183,4183,192,9,2,164
925,0.00,0.00,100.00,Webster,2020-08-05 20:55:30.581396,2,1,925,925,3,0,0,3
1776,0.00,5.00,95.00,Wetzel,2020-08-05 20:55:30.581396,17,23,1776,1776,40,0,0,39
401,0.00,0.00,100.00,Wirt,2020-08-05 20:55:30.581396,2,4,401,401,6,0,0,6
9898,3.75,13.33,82.92,Wood,2020-08-05 20:55:30.581396,121,119,9898,9898,228,5,12,190
2570,0.00,33.33,66.67,Wyoming,2020-08-05 20:55:30.581396,14,10,2570,2570,24,1,0,10
