Active Cases,County Name,Deaths,FIPS,Negative Cases,Pending Cases,Positive Cases,Recovered,Scrape Time,Testing: Private Lab,Testing: Public Lab,Total Tested
0,Franklin,0,047,213,0,2,2,2020-05-22 20:06:04.325211,206,9,215
3,Fulton,0,049,213,0,6,3,2020-05-22 20:06:04.325211,209,10,219
8,Garland,1,051,3540,0,132,123,2020-05-22 20:06:04.325211,3597,75,3672
0,Grant,0,053,416,0,16,16,2020-05-22 20:06:04.325211,397,35,432
18,Greene,0,055,1463,0,42,24,2020-05-22 20:06:04.325211,1364,141,1505
3,Hempstead,1,057,205,0,11,7,2020-05-22 20:06:04.325211,202,14,216
1,Hot Spring,0,059,727,0,29,28,2020-05-22 20:06:04.325211,705,51,756
1,Howard,0,061,244,0,15,14,2020-05-22 20:06:04.325211,257,2,259
4,Independence,0,063,647,0,27,23,2020-05-22 20:06:04.325211,651,23,674
3,Izard,0,065,174,0,14,11,2020-05-22 20:06:04.325211,179,9,188
0,Jackson,0,067,212,0,1,1,2020-05-22 20:06:04.325211,204,9,213
258,Jefferson,23,069,2242,0,501,220,2020-05-22 20:06:04.325211,1598,1145,2743
1,Johnson,0,071,305,0,36,35,2020-05-22 20:06:04.325211,305,36,341
0,Lafayette,1,073,37,0,9,8,2020-05-22 20:06:04.325211,45,1,46
16,Lawrence,5,075,585,0,81,60,2020-05-22 20:06:04.325211,638,28,666
6,Lee,1,077,186,0,13,6,2020-05-22 20:06:04.325211,158,41,199
21,Lincoln,8,079,913,0,966,937,2020-05-22 20:06:04.325211,1366,513,1879
1,Little River,0,081,154,0,1,0,2020-05-22 20:06:04.325211,137,18,155
0,Logan,0,083,231,0,4,4,2020-05-22 20:06:04.325211,220,15,235
3,Lonoke,0,085,1518,0,46,43,2020-05-22 20:06:04.325211,1357,207,1564
2,Madison,0,087,249,0,3,1,2020-05-22 20:06:04.325211,240,12,252
0,Marion,0,089,147,0,1,1,2020-05-22 20:06:04.325211,144,4,148
3,Miller,1,091,582,0,42,38,2020-05-22 20:06:04.325211,612,12,624
30,Missing County Info,0,05,26145,0,144,114,2020-05-22 20:06:04.325211,26183,106,26289
14,Mississippi,1,093,857,0,70,55,2020-05-22 20:06:04.325211,823,104,927
0,Monroe,0,095,141,0,5,5,2020-05-22 20:06:04.325211,136,10,146
0,Montgomery,0,097,132,0,1,1,2020-05-22 20:06:04.325211,124,9,133
1,Nevada,0,099,112,0,4,3,2020-05-22 20:06:04.325211,109,7,116
0,Newton,0,101,110,0,3,3,2020-05-22 20:06:04.325211,113,0,113
1,Ouachita,0,103,682,0,10,9,2020-05-22 20:06:04.325211,569,123,692
1,Perry,0,105,239,0,12,11,2020-05-22 20:06:04.325211,219,32,251
2,Phillips,1,107,359,0,7,4,2020-05-22 20:06:04.325211,320,46,366
0,Pike,0,109,497,0,4,4,2020-05-22 20:06:04.325211,496,5,501
7,Poinsett,2,111,445,0,31,22,2020-05-22 20:06:04.325211,453,23,476
1,Polk,0,113,392,0,9,8,2020-05-22 20:06:04.325211,323,78,401
47,Pope,1,115,2121,0,100,52,2020-05-22 20:06:04.325211,2114,107,2221
0,Prairie,0,117,89,0,2,2,2020-05-22 20:06:04.325211,87,4,91
130,Pulaski,29,119,10612,0,761,602,2020-05-22 20:06:04.325211,9843,1530,11373
4,Randolph,0,121,853,0,25,21,2020-05-22 20:06:04.325211,794,84,878
8,Saline,1,125,2839,0,83,74,2020-05-22 20:06:04.325211,2641,281,2922
0,Scott,0,127,24,0,1,1,2020-05-22 20:06:04.325211,20,5,25
0,Searcy,0,129,312,0,6,6,2020-05-22 20:06:04.325211,312,6,318
3,Sebastian,0,131,908,0,18,15,2020-05-22 20:06:04.325211,897,29,926
38,Sevier,1,133,429,0,62,23,2020-05-22 20:06:04.325211,462,29,491
29,Sharp,2,135,260,0,42,11,2020-05-22 20:06:04.325211,262,40,302
323,St. Francis,1,123,2406,0,621,297,2020-05-22 20:06:04.325211,2542,485,3027
0,Stone,0,137,203,0,8,8,2020-05-22 20:06:04.325211,205,6,211
48,Union,4,139,768,0,144,92,2020-05-22 20:06:04.325211,857,55,912
0,Van Buren,2,141,407,0,28,26,2020-05-22 20:06:04.325211,326,109,435
103,Washington,5,143,3656,0,213,105,2020-05-22 20:06:04.325211,2954,915,3869
2,White,1,145,1564,0,37,34,2020-05-22 20:06:04.325211,1499,102,1601
0,Woodruff,0,147,85,0,1,1,2020-05-22 20:06:04.325211,82,4,86
63,Yell,1,149,301,0,76,12,2020-05-22 20:06:04.325211,346,31,377
0,Arkansas,0,001,253,0,2,2,2020-05-23 20:36:33.142391,237,18,255
1,Ashley,0,003,547,0,19,18,2020-05-23 20:36:33.142391,430,136,566
1,Baxter,0,005,532,0,6,5,2020-05-23 20:36:33.142391,517,21,538
101,Benton,0,007,8289,0,237,136,2020-05-23 20:36:33.142391,8098,428,8526
2,Boone,0,009,589,0,6,4,2020-05-23 20:36:33.142391,582,13,595
5,Bradley,1,011,367,0,16,10,2020-05-23 20:36:33.142391,190,193,383
0,Calhoun,0,013,56,0,0,0,2020-05-23 20:36:33.142391,47,9,56
5,Carroll,0,015,587,0,10,5,2020-05-23 20:36:33.142391,556,41,597
3,Chicot,0,017,199,0,12,9,2020-05-23 20:36:33.142391,145,66,211
2,Clark,0,019,683,0,36,34,2020-05-23 20:36:33.142391,449,270,719
1,Clay,0,021,464,0,4,3,2020-05-23 20:36:33.142391,461,7,468
1,Cleburne,4,023,590,0,73,68,2020-05-23 20:36:33.142391,578,85,663
3,Cleveland,0,025,274,0,18,15,2020-05-23 20:36:33.142391,208,84,292
6,Columbia,2,027,301,0,20,12,2020-05-23 20:36:33.142391,289,32,321
1,Conway,1,029,513,0,14,12,2020-05-23 20:36:33.142391,475,52,527
59,Craighead,0,031,3701,0,181,122,2020-05-23 20:36:33.142391,3715,167,3882
2,Crawford,0,033,565,0,13,11,2020-05-23 20:36:33.142391,570,8,578
62,Crittenden,9,035,2494,0,280,209,2020-05-23 20:36:33.142391,2382,392,2774
13,Cross,0,037,560,0,42,29,2020-05-23 20:36:33.142391,437,165,602
0,Dallas,0,039,140,0,1,1,2020-05-23 20:36:33.142391,129,12,141
