County Name,Scrape Time,Total Deaths
Todd,2020-07-05 20:12:04.329465,1
Union,2020-07-05 20:12:04.329465,1
Beadle,2020-07-06 20:09:59.271519,6
Brown,2020-07-06 20:09:59.271519,2
Buffalo,2020-07-06 20:09:59.271519,2
Faulk,2020-07-06 20:09:59.271519,1
Jackson,2020-07-06 20:09:59.271519,1
Jerauld,2020-07-06 20:09:59.271519,1
Lake,2020-07-06 20:09:59.271519,1
Lincoln,2020-07-06 20:09:59.271519,1
McCook,2020-07-06 20:09:59.271519,1
Meade,2020-07-06 20:09:59.271519,1
Minnehaha,2020-07-06 20:09:59.271519,58
Pennington,2020-07-06 20:09:59.271519,16
Todd,2020-07-06 20:09:59.271519,1
Union,2020-07-06 20:09:59.271519,1
Beadle,2020-07-07 20:08:45.490894,6
Brown,2020-07-07 20:08:45.490894,2
Buffalo,2020-07-07 20:08:45.490894,2
Faulk,2020-07-07 20:08:45.490894,1
Jackson,2020-07-07 20:08:45.490894,1
Jerauld,2020-07-07 20:08:45.490894,1
Lake,2020-07-07 20:08:45.490894,1
Lincoln,2020-07-07 20:08:45.490894,1
McCook,2020-07-07 20:08:45.490894,1
Meade,2020-07-07 20:08:45.490894,1
Minnehaha,2020-07-07 20:08:45.490894,58
Pennington,2020-07-07 20:08:45.490894,16
Todd,2020-07-07 20:08:45.490894,1
Union,2020-07-07 20:08:45.490894,1
Beadle,2020-07-08 20:39:40.553024,6
Brown,2020-07-08 20:39:40.553024,2
Buffalo,2020-07-08 20:39:40.553024,2
Faulk,2020-07-08 20:39:40.553024,1
Jackson,2020-07-08 20:39:40.553024,1
Jerauld,2020-07-08 20:39:40.553024,1
Lake,2020-07-08 20:39:40.553024,1
Lincoln,2020-07-08 20:39:40.553024,1
McCook,2020-07-08 20:39:40.553024,1
Meade,2020-07-08 20:39:40.553024,1
Minnehaha,2020-07-08 20:39:40.553024,58
Pennington,2020-07-08 20:39:40.553024,16
Todd,2020-07-08 20:39:40.553024,1
Union,2020-07-08 20:39:40.553024,1
Beadle,2020-07-09 20:22:33.264372,6
Brown,2020-07-09 20:22:33.264372,2
Buffalo,2020-07-09 20:22:33.264372,2
Faulk,2020-07-09 20:22:33.264372,1
Jackson,2020-07-09 20:22:33.264372,1
Jerauld,2020-07-09 20:22:33.264372,1
Lake,2020-07-09 20:22:33.264372,1
Lincoln,2020-07-09 20:22:33.264372,1
McCook,2020-07-09 20:22:33.264372,1
Meade,2020-07-09 20:22:33.264372,1
Minnehaha,2020-07-09 20:22:33.264372,58
Pennington,2020-07-09 20:22:33.264372,16
Todd,2020-07-09 20:22:33.264372,1
Union,2020-07-09 20:22:33.264372,1
Beadle,2020-07-10 20:22:13.346308,6
Brown,2020-07-10 20:22:13.346308,2
Buffalo,2020-07-10 20:22:13.346308,2
Faulk,2020-07-10 20:22:13.346308,1
Jackson,2020-07-10 20:22:13.346308,1
Jerauld,2020-07-10 20:22:13.346308,1
Lake,2020-07-10 20:22:13.346308,1
Lincoln,2020-07-10 20:22:13.346308,1
McCook,2020-07-10 20:22:13.346308,1
Meade,2020-07-10 20:22:13.346308,1
Minnehaha,2020-07-10 20:22:13.346308,58
Pennington,2020-07-10 20:22:13.346308,16
Todd,2020-07-10 20:22:13.346308,1
Union,2020-07-10 20:22:13.346308,1
Beadle,2020-07-11 20:22:47.013565,6
Brown,2020-07-11 20:22:47.013565,2
Buffalo,2020-07-11 20:22:47.013565,2
Faulk,2020-07-11 20:22:47.013565,1
Jackson,2020-07-11 20:22:47.013565,1
Jerauld,2020-07-11 20:22:47.013565,1
Lake,2020-07-11 20:22:47.013565,1
Lincoln,2020-07-11 20:22:47.013565,1
McCook,2020-07-11 20:22:47.013565,1
Meade,2020-07-11 20:22:47.013565,1
Minnehaha,2020-07-11 20:22:47.013565,58
Pennington,2020-07-11 20:22:47.013565,16
Todd,2020-07-11 20:22:47.013565,1
Union,2020-07-11 20:22:47.013565,1
Beadle,2020-07-12 20:15:55.336709,6
Brown,2020-07-12 20:15:55.336709,2
Buffalo,2020-07-12 20:15:55.336709,2
Faulk,2020-07-12 20:15:55.336709,1
Jackson,2020-07-12 20:15:55.336709,1
Jerauld,2020-07-12 20:15:55.336709,1
Lake,2020-07-12 20:15:55.336709,1
Lincoln,2020-07-12 20:15:55.336709,1
McCook,2020-07-12 20:15:55.336709,1
Meade,2020-07-12 20:15:55.336709,1
Minnehaha,2020-07-12 20:15:55.336709,58
Pennington,2020-07-12 20:15:55.336709,16
Todd,2020-07-12 20:15:55.336709,1
Union,2020-07-12 20:15:55.336709,1
Beadle,2020-07-13 20:19:03.410923,6
Brown,2020-07-13 20:19:03.410923,2
Buffalo,2020-07-13 20:19:03.410923,2
Faulk,2020-07-13 20:19:03.410923,1
Jackson,2020-07-13 20:19:03.410923,1
Jerauld,2020-07-13 20:19:03.410923,1
Lake,2020-07-13 20:19:03.410923,1
Lincoln,2020-07-13 20:19:03.410923,1
McCook,2020-07-13 20:19:03.410923,1
Meade,2020-07-13 20:19:03.410923,1
Minnehaha,2020-07-13 20:19:03.410923,58
Pennington,2020-07-13 20:19:03.410923,16
Todd,2020-07-13 20:19:03.410923,1
Union,2020-07-13 20:19:03.410923,1
Beadle,2020-07-14 20:14:56.035837,6
Brown,2020-07-14 20:14:56.035837,2
Buffalo,2020-07-14 20:14:56.035837,2
Faulk,2020-07-14 20:14:56.035837,1
Jackson,2020-07-14 20:14:56.035837,1
Jerauld,2020-07-14 20:14:56.035837,1
Lake,2020-07-14 20:14:56.035837,1
Lincoln,2020-07-14 20:14:56.035837,1
McCook,2020-07-14 20:14:56.035837,1
Meade,2020-07-14 20:14:56.035837,1
Minnehaha,2020-07-14 20:14:56.035837,58
Pennington,2020-07-14 20:14:56.035837,16
Todd,2020-07-14 20:14:56.035837,1
Union,2020-07-14 20:14:56.035837,1
Beadle,2020-07-15 20:16:42.374205,6
Brown,2020-07-15 20:16:42.374205,2
Buffalo,2020-07-15 20:16:42.374205,2
Faulk,2020-07-15 20:16:42.374205,1
Jackson,2020-07-15 20:16:42.374205,1
Jerauld,2020-07-15 20:16:42.374205,1
Lake,2020-07-15 20:16:42.374205,1
Lincoln,2020-07-15 20:16:42.374205,1
McCook,2020-07-15 20:16:42.374205,1
Meade,2020-07-15 20:16:42.374205,1
Minnehaha,2020-07-15 20:16:42.374205,58
Pennington,2020-07-15 20:16:42.374205,16
Todd,2020-07-15 20:16:42.374205,1
Union,2020-07-15 20:16:42.374205,1
Beadle,2020-07-16 20:21:44.188095,6
Brown,2020-07-16 20:21:44.188095,2
Buffalo,2020-07-16 20:21:44.188095,2
Faulk,2020-07-16 20:21:44.188095,1
Jackson,2020-07-16 20:21:44.188095,1
Jerauld,2020-07-16 20:21:44.188095,1
Lake,2020-07-16 20:21:44.188095,1
Lincoln,2020-07-16 20:21:44.188095,1
McCook,2020-07-16 20:21:44.188095,1
Meade,2020-07-16 20:21:44.188095,1
Minnehaha,2020-07-16 20:21:44.188095,58
Pennington,2020-07-16 20:21:44.188095,16
Todd,2020-07-16 20:21:44.188095,1
Union,2020-07-16 20:21:44.188095,1
Beadle,2020-07-17 20:19:12.497022,6
Brown,2020-07-17 20:19:12.497022,2
Buffalo,2020-07-17 20:19:12.497022,2
Faulk,2020-07-17 20:19:12.497022,1
Jackson,2020-07-17 20:19:12.497022,1
Jerauld,2020-07-17 20:19:12.497022,1
Lake,2020-07-17 20:19:12.497022,1
Lincoln,2020-07-17 20:19:12.497022,1
McCook,2020-07-17 20:19:12.497022,1
Meade,2020-07-17 20:19:12.497022,1
Minnehaha,2020-07-17 20:19:12.497022,58
Pennington,2020-07-17 20:19:12.497022,16
Todd,2020-07-17 20:19:12.497022,1
Union,2020-07-17 20:19:12.497022,1
Beadle,2020-07-18 20:25:53.582800,6
Brown,2020-07-18 20:25:53.582800,2
Buffalo,2020-07-18 20:25:53.582800,2
Faulk,2020-07-18 20:25:53.582800,1
Jackson,2020-07-18 20:25:53.582800,1
Jerauld,2020-07-18 20:25:53.582800,1
Lake,2020-07-18 20:25:53.582800,1
Lincoln,2020-07-18 20:25:53.582800,1
McCook,2020-07-18 20:25:53.582800,1
Meade,2020-07-18 20:25:53.582800,1
Minnehaha,2020-07-18 20:25:53.582800,58
Pennington,2020-07-18 20:25:53.582800,16
Todd,2020-07-18 20:25:53.582800,1
Union,2020-07-18 20:25:53.582800,1
Beadle,2020-07-19 20:15:22.004210,6
Brown,2020-07-19 20:15:22.004210,2
Buffalo,2020-07-19 20:15:22.004210,2
Faulk,2020-07-19 20:15:22.004210,1
Jackson,2020-07-19 20:15:22.004210,1
Jerauld,2020-07-19 20:15:22.004210,1
Lake,2020-07-19 20:15:22.004210,1
Lincoln,2020-07-19 20:15:22.004210,1
McCook,2020-07-19 20:15:22.004210,1
Meade,2020-07-19 20:15:22.004210,1
Minnehaha,2020-07-19 20:15:22.004210,58
Pennington,2020-07-19 20:15:22.004210,16
Todd,2020-07-19 20:15:22.004210,1
Union,2020-07-19 20:15:22.004210,1
Beadle,2020-07-20 20:18:46.234575,6
