County Name,Scrape Time,Total Deaths,Total Negative Cases,Total Positive Cases,Total Recovered Cases
Lincoln,2020-08-22 19:17:38.809865,2,7212,711,613
Lyman,2020-08-22 19:17:38.809865,3,986,91,82
Marshall,2020-08-22 19:17:38.809865,0,483,12,8
McCook,2020-08-22 19:17:38.809865,1,662,36,26
McPherson,2020-08-22 19:17:38.809865,0,224,8,7
Meade,2020-08-22 19:17:38.809865,1,2054,106,83
Mellette,2020-08-22 19:17:38.809865,0,393,24,24
Miner,2020-08-22 19:17:38.809865,0,259,15,15
Minnehaha,2020-08-22 19:17:38.809865,68,28876,4655,4189
Moody,2020-08-22 19:17:38.809865,0,655,33,30
Oglala Lakota,2020-08-22 19:17:38.809865,2,2971,158,140
Pennington,2020-08-22 19:17:38.809865,33,11369,951,804
Perkins,2020-08-22 19:17:38.809865,0,196,6,5
Potter,2020-08-22 19:17:38.809865,0,303,2,1
Roberts,2020-08-22 19:17:38.809865,1,1891,87,73
Sanborn,2020-08-22 19:17:38.809865,0,235,13,13
Spink,2020-08-22 19:17:38.809865,0,1182,27,21
Stanley,2020-08-22 19:17:38.809865,0,264,16,14
Sully,2020-08-22 19:17:38.809865,0,83,4,3
Todd,2020-08-22 19:17:38.809865,5,2249,75,62
Lincoln,2020-08-23 20:33:20.459657,2,7587,787,671
Lyman,2020-08-23 20:33:20.459657,3,1015,94,83
Marshall,2020-08-23 20:33:20.459657,0,493,15,9
McCook,2020-08-23 20:33:20.459657,1,688,39,31
McPherson,2020-08-23 20:33:20.459657,0,232,10,7
Meade,2020-08-23 20:33:20.459657,1,2193,164,98
Mellette,2020-08-23 20:33:20.459657,0,399,24,24
Miner,2020-08-23 20:33:20.459657,0,265,15,15
Minnehaha,2020-08-23 20:33:20.459657,70,30156,4896,4344
Moody,2020-08-23 20:33:20.459657,0,689,37,30
Oglala Lakota,2020-08-23 20:33:20.459657,2,3010,163,144
Pennington,2020-08-23 20:33:20.459657,33,11775,1042,857
Perkins,2020-08-23 20:33:20.459657,0,200,6,5
Potter,2020-08-23 20:33:20.459657,0,317,4,1
Roberts,2020-08-23 20:33:20.459657,1,1971,89,78
Sanborn,2020-08-23 20:33:20.459657,0,244,13,13
Spink,2020-08-23 20:33:20.459657,0,1237,35,24
Stanley,2020-08-23 20:33:20.459657,0,289,20,17
Sully,2020-08-23 20:33:20.459657,0,96,7,4
Todd,2020-08-23 20:33:20.459657,5,2360,76,68
Lincoln,2020-08-24 19:18:04.086624,2,7629,795,680
Lyman,2020-08-24 19:18:04.086624,3,1017,94,83
Marshall,2020-08-24 19:18:04.086624,0,496,15,9
McCook,2020-08-24 19:18:04.086624,1,691,39,31
McPherson,2020-08-24 19:18:04.086624,0,233,10,7
Meade,2020-08-24 19:18:04.086624,1,2198,170,102
Mellette,2020-08-24 19:18:04.086624,0,402,24,24
Miner,2020-08-24 19:18:04.086624,0,270,15,15
Minnehaha,2020-08-24 19:18:04.086624,70,30328,4924,4388
Moody,2020-08-24 19:18:04.086624,0,692,38,30
Oglala Lakota,2020-08-24 19:18:04.086624,2,3013,163,145
Pennington,2020-08-24 19:18:04.086624,33,11821,1070,864
Perkins,2020-08-24 19:18:04.086624,0,208,8,5
Potter,2020-08-24 19:18:04.086624,0,320,4,1
Roberts,2020-08-24 19:18:04.086624,1,1982,91,79
Sanborn,2020-08-24 19:18:04.086624,0,247,13,13
Spink,2020-08-24 19:18:04.086624,0,1237,35,25
Stanley,2020-08-24 19:18:04.086624,0,291,20,19
