# Cases Race/Ethnicity: American Indian or Alaska Native (Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Not Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Unknown Ethnicity),# Cases Race/Ethnicity: Asian (Hispanic),# Cases Race/Ethnicity: Asian (Not Hispanic),# Cases Race/Ethnicity: Asian (Unknown Ethnicity),# Cases Race/Ethnicity: Black or African American (Hispanic),# Cases Race/Ethnicity: Black or African American (Not Hispanic),# Cases Race/Ethnicity: Black or African American (Unknown Ethnicity),# Cases Race/Ethnicity: Other Race (Hispanic),# Cases Race/Ethnicity: Other Race (Not Hispanic),# Cases Race/Ethnicity: Other Race (Unknown Ethnicity),# Cases Race/Ethnicity: Unknown Race (Hispanic),# Cases Race/Ethnicity: Unknown Race (Not Hispanic),# Cases Race/Ethnicity: Unknown Race (Unknown Ethnicity),# Cases Race/Ethnicity: White (Hispanic),# Cases Race/Ethnicity: White (Not Hispanic),# Cases Race/Ethnicity: White (Unknown Ethnicity),County Name,Report Date,Total Cases
0,0,1,0,1,0,0,108,20,0,4,7,0,1,14,0,15,1,SUNFLOWER,06/22/2020,172
0,0,0,0,0,0,0,44,6,1,3,1,0,0,6,0,5,2,TALLAHATCHIE,06/22/2020,68
0,0,0,0,0,0,3,78,3,0,2,6,0,0,43,1,54,2,TATE,06/22/2020,192
0,0,0,0,0,0,0,30,3,6,2,5,1,0,15,3,40,2,TIPPAH,06/22/2020,107
0,0,0,0,0,0,0,2,0,0,5,3,0,0,6,0,38,1,TISHOMINGO,06/22/2020,55
0,1,0,0,0,0,0,46,4,0,1,1,0,0,10,0,13,1,TUNICA,06/22/2020,77
1,1,0,0,0,0,0,35,4,11,0,0,0,3,29,2,38,7,UNION,06/22/2020,131
0,0,0,0,1,0,0,49,3,0,1,0,0,2,15,0,64,5,WALTHALL,06/22/2020,140
0,1,0,0,1,0,1,116,60,0,3,15,0,2,36,0,93,19,WARREN,06/22/2020,347
0,0,1,0,0,0,0,196,43,0,5,16,0,2,32,0,26,2,WASHINGTON,06/22/2020,323
0,0,0,0,0,0,0,274,36,2,17,41,0,0,10,3,49,9,WAYNE,06/22/2020,441
0,0,0,0,0,0,0,38,5,0,2,3,0,0,8,0,62,4,WEBSTER,06/22/2020,122
0,2,0,0,0,0,0,69,6,0,1,0,0,0,4,0,3,0,WILKINSON,06/22/2020,85
0,0,6,0,0,0,2,104,20,1,1,3,0,1,14,0,36,5,WINSTON,06/22/2020,193
0,0,0,0,0,0,0,85,3,0,0,0,0,0,3,2,40,0,YALOBUSHA,06/22/2020,133
0,3,0,0,0,1,4,222,16,2,1,8,1,1,60,29,55,4,YAZOO,06/22/2020,407
7,323,660,2,63,10,41,10700,1001,867,318,680,31,62,1751,289,5516,577,Total,06/22/2020,22898
0,0,0,0,1,0,0,137,6,3,12,5,0,1,2,19,43,5,ADAMS,06/23/2020,234
0,1,0,0,0,0,0,9,0,0,2,2,0,2,9,0,16,0,ALCORN,06/23/2020,41
0,0,0,0,0,0,0,40,3,0,0,3,0,2,4,1,23,3,AMITE,06/23/2020,79
0,2,2,0,0,0,0,184,12,5,3,0,0,0,13,0,113,4,ATTALA,06/23/2020,338
0,0,0,0,0,0,0,9,1,3,0,0,0,0,2,0,6,1,BENTON,06/23/2020,22
0,0,2,0,0,0,0,147,12,0,4,6,1,3,21,2,27,5,BOLIVAR,06/23/2020,230
0,0,0,0,0,0,0,35,1,3,1,1,0,1,7,2,46,3,CALHOUN,06/23/2020,100
0,0,0,0,0,0,1,59,3,0,0,1,0,0,9,0,59,6,CARROLL,06/23/2020,138
1,0,0,0,0,0,6,114,10,1,3,6,0,1,21,0,36,4,CHICKASAW,06/23/2020,203
0,0,0,0,0,0,0,34,1,0,0,1,0,0,7,0,20,4,CHOCTAW,06/23/2020,67
0,0,0,0,1,0,0,84,25,0,0,2,0,0,51,0,13,4,CLAIBORNE,06/23/2020,180
0,0,0,0,1,0,0,100,0,2,6,4,0,1,2,0,70,4,CLARKE,06/23/2020,190
0,0,0,0,0,0,0,149,37,1,4,1,0,0,14,1,13,2,CLAY,06/23/2020,222
0,0,0,0,0,0,0,111,13,3,2,5,1,0,12,5,13,2,COAHOMA,06/23/2020,167
0,2,0,0,1,0,0,300,24,34,13,36,0,1,31,2,53,6,COPIAH,06/23/2020,503
0,0,0,0,0,0,1,116,11,4,0,6,0,1,29,4,66,10,COVINGTON,06/23/2020,248
0,2,0,0,9,2,5,319,26,49,22,26,6,0,176,40,280,28,DESOTO,06/23/2020,990
0,0,0,0,5,1,1,258,40,97,12,17,1,1,57,13,199,40,FORREST,06/23/2020,742
0,0,0,0,0,0,0,16,3,0,0,0,0,1,0,1,10,1,FRANKLIN,06/23/2020,32
0,0,0,0,1,0,0,4,2,1,2,2,0,2,5,5,32,2,GEORGE,06/23/2020,58
0,0,0,0,0,0,0,27,3,0,1,2,0,0,1,0,34,3,GREENE,06/23/2020,71
0,0,0,0,0,0,0,121,4,0,1,12,0,1,14,0,67,6,GRENADA,06/23/2020,226
