PctCaseAge_0_19,PctCaseAge_20_29,PctCaseAge_30_39,PctCaseAge_40_49,PctCaseAge_50_59,PctCaseAge_60_69,PctCaseAge_70_79,PctCaseAge_80_plus,PctCaseFemale,PctCaseMale,PctDeathAge_0_19,PctDeathAge_20_29,PctDeathAge_30_39,PctDeathAge_40_49,PctDeathAge_50_59,PctDeathAge_60_69,PctDeathAge_70_79,PctDeathAge_80_plus,PctDeathFemale,PctDeathMale,Scrape_Time
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-08 22:04:57.171638
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-09 20:28:31.189635
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-10 20:06:07.416975
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-11 20:50:21.435457
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-12 20:16:09.703034
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-13 20:07:55.415563
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-14 21:04:13.423606
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-15 20:23:29.879804
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-16 19:58:10.047698
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-17 19:55:43.360610
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-18 20:19:00.618426
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-19 19:59:53.504682
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-20 20:02:33.916960
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-20 20:04:34.377449
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-21 20:58:30.868880
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-22 20:06:59.813141
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-23 20:38:55.580532
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-24 20:34:51.285266
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-25 20:50:55.331753
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-26 21:05:02.198931
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-27 20:40:46.910749
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-28 20:13:45.890945
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-29 19:59:53.925938
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-30 19:52:21.418301
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-31 20:12:12.468875
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-01 20:06:42.899606
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-02 20:17:06.120272
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-03 19:55:55.987989
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-04 20:28:15.168188
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-05 20:15:32.625495
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-06 20:34:15.451480
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-07 20:32:21.715589
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-08 20:29:52.423779
